,equipRef,groupRef,navName,siteRef,typeRef,unit,date,mean,std,max,min,sensorrate
0,AHU-01,Pharmacy Air Systems,AHU1_2_7_9_CLG_DP,Pharmacy,AHU1_2_7_9_CLG_DP,kPa,2020-05-01,107.41779846875005,2.0208303364018194,109.876122,98.990685,96
1,AHU-01,Pharmacy Air Systems,AHU1_2_7_9_CLG_DP,Pharmacy,AHU1_2_7_9_CLG_DP,°C,2020-03-16,106.64904074193551,2.030185896224021,109.53019,102.801254,31
2,AHU-01,Pharmacy Air Systems,AHU1_2_HTG_DP,Pharmacy,AHU1_2_HTG_DP,kPa,2020-05-01,47.16430992708333,0.9441739465013221,49.204479,44.9114,96
3,AHU-01,Pharmacy Air Systems,AHU1_2_HTG_DP,Pharmacy,AHU1_2_HTG_DP,°C,2020-03-16,49.93967112903224,0.669538284802231,50.983723,48.135803,31
4,AHU-01,Pharmacy Air Systems,AHU1_2_HTG_DP_BPV_SP,Pharmacy,AHU1_2_HTG_DP_BPV_SP,kPa,2020-05-01,49.349997999999985,0.0,49.349998,49.349998,47
5,AHU-01,Pharmacy Air Systems,AHU1_2_HTG_DP_BPV_SP,Pharmacy,AHU1_2_HTG_DP_BPV_SP,°C,2020-03-16,49.349998000000014,0.0,49.349998,49.349998,16
6,AHU-01,Pharmacy Air Systems,AHU1_HCDT,Pharmacy,AHU1_HCDT,°C,2020-03-16,15.584156,0.8319834390664622,17.18915,14.165812,15
7,AHU-01,Pharmacy Air Systems,AHU1_HCDT,Pharmacy,AHU1_HCDT,°C,2020-05-01,18.698599321428567,0.9072723674641505,20.785463,16.760113,28
8,AHU-01,Pharmacy Air Systems,AHU1_STM_VLV,Pharmacy,AHU1_STM_VLV,%,2020-03-16,59.560748479999994,3.246530052641501,66.618607,52.327477,25
9,AHU-01,Pharmacy Air Systems,AHU1_STM_VLV,Pharmacy,AHU1_STM_VLV,%,2020-05-01,25.260487389830505,5.809784477983047,37.341278,15.358528,59
10,AHU-01,Pharmacy Air Systems,AHU1~4_PLENUM_PRES(MUX),Pharmacy,AHU1~4_PLENUM_PRES(MUX),Pa,2020-03-16,400.23390700000004,3.302986687793484,404.018616,397.933258,3
11,AHU-01,Pharmacy Air Systems,AHU1~4_PLENUM_PRES(MUX),Pharmacy,AHU1~4_PLENUM_PRES(MUX),Pa,2020-05-01,400.07360414285716,2.8971093521263263,402.529816,396.691162,7
12,AHU-01,Pharmacy Air Systems,Discharge Air Humidity,Pharmacy,AHU1_SAH,%RH,2020-03-16,68.65325196874998,3.0188904136114982,71.859848,59.392723,32
13,AHU-01,Pharmacy Air Systems,Discharge Air Humidity,Pharmacy,AHU1_SAH,%RH,2020-05-01,44.48185291666666,3.3491318341442446,50.156113,38.453533,96
14,AHU-01,Pharmacy Air Systems,Discharge Air Humidity Sp,Pharmacy,AHU1_SAH_SP,%,2020-03-16,68.6026103125,2.8123635271631473,70.0,60.651882,16
15,AHU-01,Pharmacy Air Systems,Discharge Air Humidity Sp,Pharmacy,AHU1_SAH_SP,%RH,2020-05-01,4462.689084297874,324.81984529959857,4893.586914,3947.156494,47
16,AHU-01,Pharmacy Air Systems,Discharge Air Max Pressure Sp,Pharmacy,AHU1_HILIM_PRES_SP,Pa,2020-03-16,850.0,0.0,850.0,850.0,16
17,AHU-01,Pharmacy Air Systems,Discharge Air Max Pressure Sp,Pharmacy,AHU1_HILIM_PRES_SP,Pa,2020-05-01,850.0,0.0,850.0,850.0,47
18,AHU-01,Pharmacy Air Systems,Discharge Air Pressure Sp,Pharmacy,AHU1_PRES_SP,Pa,2020-03-16,400.0,0.0,400.0,400.0,32
19,AHU-01,Pharmacy Air Systems,Discharge Air Pressure Sp,Pharmacy,AHU1_PRES_SP,Pa,2020-05-01,400.0,0.0,400.0,400.0,95
20,AHU-01,Pharmacy Air Systems,Discharge Air Temp,Pharmacy,AHU1_SAT,°C,2020-03-16,18.940763299999997,0.7417015181243802,19.857635,17.826817,10
21,AHU-01,Pharmacy Air Systems,Discharge Air Temp,Pharmacy,AHU1_SAT,°C,2020-05-01,20.245066148148144,0.9816018296260487,22.151863,19.116255,27
22,AHU-01,Pharmacy Air Systems,Discharge Air Temp Sp,Pharmacy,AHU1_SAT_SP,°C,2020-03-16,18.980466874999998,0.3075387753191175,19.788231,18.619982,16
23,AHU-01,Pharmacy Air Systems,Discharge Air Temp Sp,Pharmacy,AHU1_SAT_SP,°C,2020-05-01,20.50642627659574,0.7497058106424059,21.422947,19.735863,47
24,AHU-01,Pharmacy Air Systems,Entering Chilled Water Temp,Pharmacy,AHU1_2_7_9_CHWRT,°C,2020-03-16,19.84306222580645,1.5516928169802087,21.215233,17.529644,31
25,AHU-01,Pharmacy Air Systems,Entering Chilled Water Temp,Pharmacy,AHU1_2_7_9_CHWRT,°C,2020-05-01,17.78550142708333,0.16628576789983482,18.183271,17.316698,96
26,AHU-01,Pharmacy Air Systems,Entering Chilled Water Temp,Pharmacy,AHU1_CHWRT,°C,2020-03-16,17.003496,0.0,17.003496,17.003496,1
27,AHU-01,Pharmacy Air Systems,Entering Hot Water Temp,Pharmacy,AHU1_HWRT,°C,2020-03-16,13.730518333333336,1.6761165560748166,17.719118,10.624517,33
28,AHU-01,Pharmacy Air Systems,Entering Hot Water Temp,Pharmacy,AHU1_HWRT,°C,2020-05-01,17.832012632911386,1.5741707896841923,21.829182,14.695843,79
29,AHU-01,Pharmacy Air Systems,Heating Valve Cmd,Pharmacy,AHU1_HCV,%,2020-03-16,15.201344636363636,4.17327620747262,23.038155,7.838341,11
