,uniqueId,mean,std,min,max,update_rate,endUseLabel,energy_no_energy,energy_yes_energy,sensor_no_sensor,sensor_yes_sensor,equipRef_Air_Equip,equipRef_Cooling,equipRef_Heating,equipRef_LEED,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,AHU-01 SF Air Systems Energy AHU1_SF_VFD_PWR(kWh),0.00013495121476424452,0.004347065899986655,0.00013406690092326054,0.00013579408637619597,0.9994341757827234,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.2382425106336758e-06,0.0,-1.2382425106342264e-06,-1.2382425106342256e-06,0.0,-2.432106466753718e-07,-2.432106466753756e-07,-2.432106466753752e-07,-4.3041932979882934e-06,3.087498837506367e-06,-6.386062237873191e-06,0.0,-2.7955715973030174e-05,-2.1031167804833946e-06,0.0,2.1333961902188676e-05,-1.306885062791447e-05,0.0,-1.306885062791458e-05,-1.3068850627914585e-05
1,AHU-02 SF Air Systems Energy AHU2_SF_VFD_PWR(kWh),0.00011534905290054364,0.0040482023724696435,0.00011452487236111961,0.00011614005451298832,0.9994341757827234,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-6.677026663388947e-07,0.0,-6.677026663388588e-07,-6.677026663388589e-07,0.0,-5.707888328015853e-07,-5.707888328015708e-07,-5.707888328015701e-07,-6.573960227779315e-06,3.8799304161142555e-06,-9.2776632991053e-06,0.0,-3.2682537564819396e-05,-5.705202575745991e-06,0.0,2.1622417120306005e-05,-1.5044034887549028e-05,0.0,-1.504403488754984e-05,-1.5044034887549843e-05
2,AHU-03 SF Air Systems Energy AHU3_SF_VFD_PWR(kWh),0.0005401070930151649,0.014232646880041087,0.0005372432346297773,0.0005429728517891287,1.0,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.1604718323568414e-05,0.0,-1.1604718323569342e-05,-1.1604718323569357e-05,0.0,6.636198025020362e-06,6.636198025020473e-06,6.63619802502047e-06,2.039443854040195e-05,-1.7340338246072834e-06,2.0362018427899786e-05,0.0,-4.6756197274885884e-05,-1.1693625480482214e-05,0.0,0.00014611603171701135,-3.1844412688217186e-05,0.0,-3.184441268821791e-05,-3.184441268821793e-05
3,AHU-04 SF Air Systems Energy AHU4_SF_VFD_PWR(kWh),0.0005381536808481024,0.014068193433732995,0.0005353239185973715,0.0005409856000947665,1.0,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.1449896662719011e-05,0.0,-1.1449896662720092e-05,-1.1449896662720092e-05,0.0,6.602961548524432e-06,6.6029615485244625e-06,6.602961548524458e-06,2.0598275140556377e-05,-1.9051484017602732e-06,2.0666146817951316e-05,0.0,-4.549022464392817e-05,-1.1715775178587258e-05,0.0,0.00014516998008109284,-3.090023097746918e-05,0.0,-3.090023097746988e-05,-3.0900230977469904e-05
4,AHU-05 SF Air Systems Energy AHU5_SF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,1.0,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AHU-06 SF Air Systems Energy AHU6_SF_VFD_PWR(kWh),4.132591623774892e-05,0.0007447865364720181,4.1244114082812716e-05,4.155537554246922e-05,1.0,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.8418451704638537e-06,0.0,-1.8418451704638527e-06,-1.841845170463852e-06,0.0,1.2379880862456625e-06,1.2379880862456781e-06,1.2379880862456788e-06,4.518985607696422e-06,4.43020160587749e-06,3.8565738439862535e-06,0.0,6.241324046445991e-06,2.0317351860600783e-06,0.0,1.0683370071173717e-05,4.1314449121060724e-08,0.0,4.1314449121060546e-08,4.1314449121061604e-08
6,AHU-07 SF Air Systems Energy AHU7_SF_VFD_PWR(kWh),3.480527696660495e-05,0.0006998709897870205,3.470331458069044e-05,3.499716707693082e-05,0.9994341757827234,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.7214071225106626e-06,0.0,-1.721407122510669e-06,-1.721407122510669e-06,0.0,1.0254286220983221e-06,1.0254286220983194e-06,1.0254286220983192e-06,3.76794130761666e-06,3.6947760829398826e-06,3.2138332726258574e-06,0.0,5.174735086570136e-06,1.6436038655448467e-06,0.0,9.046914579396987e-06,-1.4631486766680982e-07,0.0,-1.4631486766680995e-07,-1.463148676668099e-07
7,AHU-08 SF Air Systems Energy AHU8_SF_VFD_PWR(kWh),4.9341991506606474e-05,0.0008557561957303548,4.919431553272038e-05,4.959328168528911e-05,1.0,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.8894971080772464e-06,0.0,-1.889497108077327e-06,-1.8894971080773284e-06,0.0,1.2774854713884317e-06,1.2774854713884114e-06,1.2774854713884107e-06,5.178837982418455e-06,-8.938014248374879e-07,5.554338541706072e-06,0.0,-2.7051985109095747e-06,-1.0229486634922039e-06,0.0,2.2958423239546037e-05,-1.6025510328932817e-06,0.0,-1.602551032893349e-06,-1.60255103289335e-06
8,AHU-09 RF Air Systems Energy AHU9_RF_VFD_PWR(kWh),5.4488821189885315e-05,0.0011340386737242708,5.43389414746315e-05,5.4803941759611555e-05,0.9994341757827234,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.9753373934670633e-06,0.0,-1.9753373934670484e-06,-1.9753373934670506e-06,0.0,1.2714441909581298e-06,1.2714441909581059e-06,1.2714441909581067e-06,5.181260153377827e-06,-9.799839031726798e-07,5.5261005339523814e-06,0.0,-3.250807047654471e-06,-2.3458163225602595e-06,0.0,2.4588480844692553e-05,-1.9555658519076562e-06,0.0,-1.9555658519076914e-06,-1.955565851907692e-06
9,AHU-09 SF Air Systems Energy AHU9_SF_VFD_PWR(kWh),0.00018071132509029153,0.0037069111504708027,0.00018023242127170844,0.00018173736112986612,0.9994341757827234,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-6.55606209989068e-06,0.0,-6.556062099890597e-06,-6.5560620998906006e-06,0.0,4.2809396016984066e-06,4.280939601698588e-06,4.28093960169859e-06,1.7203278800232003e-05,-3.1815531187284324e-06,1.8485322196363743e-05,0.0,-8.287368207803457e-06,-5.63212660765823e-06,0.0,7.664135179211416e-05,-5.412139082445218e-06,0.0,-5.4121390824453686e-06,-5.41213908244537e-06
