,hour,date,mean_9,std_9,max_9,min_9,mean_4,mean_12,mean_7,mean_14,mean_8,mean_16,mean_5,mean_6,mean_10,mean_3,std_4,std_12,std_7,std_14,std_8,std_16,std_5,std_6,std_10,std_3,max_4,max_12,max_7,max_14,max_8,max_16,max_5,max_6,max_10,max_3,min_4,min_12,min_7,min_14,min_8,min_16,min_5,min_6,min_10,min_3,std_18,max_18,min_18,max_1,mean_18,mean_1,std_1,min_1,min_17,mean_11,mean_19,max_17,std_2,min_2,max_11,std_0,std_19,min_15,min_11,std_17,std_15,std_13,max_2,min_13,max_0,mean_0,mean_15,mean_13,max_19,max_13,mean_2,max_15,min_19,min_0,mean_17,std_11,urate_0,urate_1,urate_2,urate_3,urate_4,urate_5,urate_6,urate_7,urate_8,urate_9,urate_10,urate_11,urate_12,urate_13,urate_14,urate_15,urate_16,urate_17,urate_18,urate_19
0,0,2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.644836,781.4913685363637,456.26421660975615,937.740906,291.9665398557601,24.369999,816.499939,38665.172265176894,3.6427453663772935,931.144043,773.163452,4.042231633209593,3.5040776844502384,2.9652069138120294,872.0,84.467659,2044515.625,2448.6445093418606,937.6836149578947,90.67269632493706,462.925171,100.093605,722.9457141428571,942.881958,444.729858,-422.0,928.2729839411758,6.260152941679141,3.71553038553692,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,397.0,0.0,95.0,0.0,153.0,0.0,246.0
1,1,2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.857483,779.4871509367091,455.14411062172263,938.442444,292.410057485002,24.369999,787.103333,26315.25933193679,3.4196555784232134,930.831665,775.20575,4.289168918120971,3.360663208191935,1.682728271212905,872.0,83.607407,786692.5,1809.74349165096,937.4474670499998,87.83876038983057,462.725372,92.845192,723.9099998571428,941.89856,447.267517,-422.0,926.22697693007,3.0045805031977046,3.7904595948595077,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,295.0,0.0,80.0,0.0,143.0,0.0,267.0
2,17,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.712219,783.5576716470592,458.68201267965367,946.075562,294.5461280909924,24.369999,791.101379,27639.691324850024,3.5683075987152293,934.466431,775.518921,4.329102702981531,3.9787600523289437,10.960160629165117,872.0,808.87146,786692.5,1989.8576454065692,942.203901783019,852.0964647338341,465.686249,872.600281,724.5766665238095,950.926941,450.884918,-422.0,933.9365349451219,3.6335969398186694,3.8002613809627532,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,665.0,0.0,106.0,0.0,164.0,0.0,231.0
3,18,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.3751830000001,785.7873971834861,460.85867366666656,947.2023929999999,292.8623839817469,24.369999,794.690125,26072.871870337014,3.4800462889241652,934.136414,778.380798,4.151769617711176,3.8245169848450873,12.80397042788708,872.0,95.985184,786692.5,1830.8143378449386,943.781980016,124.7108850503401,469.56045499999993,155.411697,724.8742855714285,954.72644,452.799988,-422.0,935.3240081192056,3.78729042142571,4.358091918971901,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,735.0,0.0,125.0,0.0,151.0,0.0,255.0
4,19,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.1826779999999,784.033717017857,460.5024018326999,946.185547,292.5564240318215,24.369999,790.507202,25731.473957029564,3.59968514699323,936.449646,774.71814,4.173430664801456,3.454432794094521,19.335354037318947,872.0,78.223183,786692.5,1768.794535222973,941.3181510825685,111.79307443320366,469.206543,147.791977,724.2314284285713,948.544922,453.0162659999999,-422.0,933.765081721855,3.806416615838077,4.066216510564147,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,771.0,0.0,109.0,0.0,151.0,0.0,263.0
5,2,2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.046692,778.9775247415729,455.7021332373539,935.458191,292.39288071346164,24.369999,786.180664,26186.01736694177,3.3982212807742456,931.438965,769.822083,3.826804160094456,3.433032300786759,2.0254040294336515,872.0,85.486107,786692.5,1793.3785643560818,938.0249852345675,90.19335530196079,463.515076,97.723038,723.8742855714285,942.824585,446.835297,-422.0,925.3248607788458,3.479606357325748,3.8263994772380743,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,255.0,0.0,81.0,0.0,104.0,0.0,257.0
6,20,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.510742,783.935650234234,461.14722039737944,945.915283,293.18778175371267,24.369999,794.731384,25998.65388415794,3.7093105901542773,934.7245480000001,773.137634,4.1137553524590995,4.053956347307105,11.908499042229424,872.0,72.93721,786692.5,1816.934916985143,942.4127056249994,97.77014122292175,469.9154050000001,128.191483,725.5528569999999,950.780212,451.571228,-422.0,934.3727759934643,4.056379759128454,3.9875844042692226,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,794.0,0.0,104.0,0.0,153.0,0.0,229.0
7,21,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.137329,780.8868171529409,461.9577467479339,941.252625,292.65894641084884,24.369999,789.247498,26407.37861421909,3.4029429800153834,935.057312,773.82312,3.854661619149047,3.772900372317894,8.531383810481927,872.0,50.234161,786692.5,1854.472073646289,942.361882111111,87.54135102521013,469.218628,110.959702,724.4457141428571,952.0383910000002,454.38028,-422.0,932.619542775194,3.6465914759205695,3.934219124373775,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,595.0,0.0,117.0,0.0,129.0,0.0,242.0
8,22,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.814209,777.7487633333332,456.81668111870493,936.715881,292.677047623014,24.369999,784.289429,26727.235917106816,3.4909248281701286,934.716003,767.951843,3.641017805849275,3.728309780800637,5.005610165099793,872.0,57.092083,786692.5,1916.1281645558147,940.5932405306123,85.8104723436426,465.506165,93.337433,724.4814284285713,945.748718,449.244415,-422.0,928.3511990378788,3.6781713179261737,3.767588760618602,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,291.0,0.0,49.0,0.0,132.0,0.0,278.0
9,23,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.413147,779.7306437333334,456.6156416315789,939.759705,292.2450110441257,24.369999,788.774414,26157.053782517585,3.7345928156774937,930.00885,768.054565,3.954798036676187,3.6463246248673005,3.327469929820571,872.0,80.346565,786692.5,1841.545041141141,937.2340870909086,88.50528022572178,465.905396,98.013718,723.5528569999999,945.204529,448.096191,-422.0,929.6893876578948,3.889247735223958,3.913526464822479,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,381.0,0.0,99.0,0.0,152.0,0.0,266.0
