,uniqueId,max,std,mean,min,update_rate,endUseLabel,energy_no_energy,energy_yes_energy,sensor_no_sensor,sensor_yes_sensor,equipRef_Air_Equip,equipRef_Cooling,equipRef_Heating,equipRef_LEED,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,AHU-01 SF Air Systems Energy AHU1_SF_VFD_PWR(kWh),0.00017732840732246404,0.004027175015596063,0.0001765703532681694,0.00017581229425757736,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4763818534471686e-06,-2.395627197822097e-06,-3.5716558421087816e-06,-1.0353096062195147e-06,-3.080787969242542e-06,-3.477009878541965e-06,-8.714658482724338e-07,-5.215624630501173e-07,7.093330971939663e-07,-3.424415941823848e-06,-5.930908854985083e-06,3.242809480257749e-06,-1.035309606219515e-06,-6.238709072569984e-06,-1.5677160578686028e-06,-3.6539044084198596e-06,3.7459196049054405e-06,-1.2783872128395006e-06,-3.4828987816402115e-06,-2.531692029624063e-06,-3.3983120832842617e-06,-1.0353096062195147e-06,-3.2939982186954664e-06,-3.468634307962413e-06,-1.017242480144703e-06,4.4229403737150304e-07,3.2722182606944886e-07,-3.471225568945814e-06,-2.2994419170640216e-06,-3.777678449783946e-06,-1.0353096062195147e-06,-1.918590198882742e-06,-3.4813221676853205e-06,-3.781730783480602e-07,-1.8916416419974283e-06,7.530033693674339e-07,-8.698772788461493e-07,-8.916929238330921e-06,-5.464300562384195e-09,0.0,-3.2454948982035497e-06,-5.464300562384195e-09,1.695265618560945e-05,1.3416017285774962e-06,3.452011310692272e-06,-9.07930644890417e-06,-9.53953256099892e-07,-7.1474562514848175e-06,-9.53953256099892e-07,3.1599957286818535e-06,0.0,8.879444299308629e-07,0.0005643576388525119,-8.698772788461493e-07,8.879444299308629e-07,-0.00013458023018909245,-9.53953256099892e-07,-8.698772788461493e-07,0.00010996206145049906,5.662059099651939e-05,1.3416017285774962e-06,0.00010443509152566451,0.0,-5.464300562384195e-09,-1.020846997010441e-05,-1.6006469301708526e-05,1.3416017285774962e-06,8.879444299308629e-07,0.0,-2.0674938782536374e-05,-0.0001626481284413092,0.0,-9.110201299250675e-06,-3.70053890040098e-06,-3.3072867939791577e-06,7.531227203931446e-07,-3.0003036887587514e-07,-1.0353096062195147e-06,-5.5417834127046e-06,-5.464300562384195e-09,5.731134801981955e-07,-7.60098917475972e-07,-6.899729305464423e-07,-5.464300562384195e-09,-5.464300562384195e-09,-5.464300562384195e-09,-3.70053890040098e-06,7.5825621273742695e-06,-5.464300562384195e-09,-1.1545956657193244e-05,-3.6432982251426985e-06,3.4350664132543458e-06
1,AHU-02 SF Air Systems Energy AHU2_SF_VFD_PWR(kWh),0.00015496490657575295,0.004095928451474677,0.00015418996790907548,0.00015341468496834674,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6937523132042516e-06,-2.5549922290506434e-06,-3.795888487569877e-06,-1.07711888861834e-06,-3.2463087056684897e-06,-3.69465125943675e-06,-9.475983330575405e-07,-5.671579168628874e-07,7.42970189798389e-07,-3.5952575709748046e-06,-6.307406452950193e-06,3.4149793703124097e-06,-1.07711888861834e-06,-6.595906332271603e-06,-1.6534214139473777e-06,-3.7626499451935957e-06,3.84614128809145e-06,-1.289568021083788e-06,-3.7001719798077622e-06,-2.699065290828441e-06,-3.6123965893127175e-06,-1.07711888861834e-06,-3.472432879522799e-06,-3.68568902768031e-06,-1.0905522791091362e-06,4.3565207843159953e-07,3.437877617505167e-07,-3.688512861048138e-06,-2.452373896882968e-06,-4.013964530113383e-06,-1.07711888861834e-06,-2.0137810538764825e-06,-3.699201429755629e-06,-4.40381165333593e-07,-1.987407039341843e-06,7.848209281857194e-07,-8.930596589204984e-07,-9.251020346742617e-06,-3.705237692929344e-09,0.0,-3.429197291202746e-06,-3.705237692929344e-09,1.7581590637449797e-05,1.3812958217055854e-06,3.631472819328607e-06,-9.26527341070707e-06,-9.827803798806318e-07,-7.434313143069047e-06,-9.827803798806318e-07,3.251705239983247e-06,0.0,9.137796923209598e-07,0.0005863153706808255,-8.930596589204984e-07,9.137796923209598e-07,-0.0001376648864989376,-9.827803798806318e-07,-8.930596589204984e-07,0.00011288231110504522,5.7135335371364015e-05,1.3812958217055854e-06,0.0001074014305739475,0.0,-3.705237692929344e-09,-1.0491367433687519e-05,-1.6260053224876634e-05,1.3812958217055854e-06,9.137796923209598e-07,0.0,-2.12531586154956e-05,-0.00016758931567474746,0.0,-9.219812210291754e-06,-3.934825546328217e-06,-3.5208224642623494e-06,7.803581124694601e-07,-3.2920743040473486e-07,-1.07711888861834e-06,-5.856599521597191e-06,-3.705237692929344e-09,5.946295207308149e-07,-8.104143768115492e-07,-6.912371669017061e-07,-3.705237692929344e-09,-3.705237692929344e-09,-3.705237692929344e-09,-3.934825546328217e-06,7.783399439083228e-06,-3.705237692929344e-09,-1.1841256639839328e-05,-3.872593938760918e-06,3.5340784002050495e-06
2,AHU-03 SF Air Systems Energy AHU3_SF_VFD_PWR(kWh),0.0007081033488237586,0.01113071519167384,0.0007060426824147057,0.0007039866234463711,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.055359874362763e-05,-7.245378398994129e-06,-1.0877050089905798e-05,-2.829058430524176e-06,-9.046577625964693e-06,-1.055947438768898e-05,-2.7920439177539716e-06,-1.941295775589426e-06,2.1449179195104135e-06,-9.746007712780531e-06,-1.8161845201592997e-05,9.6328202096693e-06,-2.8290584305241765e-06,-1.865597447132422e-05,-4.589740208431208e-06,-9.576074289487837e-06,9.323391933806499e-06,-3.2373318405623987e-06,-1.0565831091199075e-05,-7.663875946705902e-06,-1.0355122052014352e-05,-2.829058430524176e-06,-9.694948523813581e-06,-1.0533438439643009e-05,-3.0889729303016588e-06,6.984192791276084e-07,1.0196807882502905e-06,-1.0541423548056656e-05,-6.936930398744212e-06,-1.1495379991192553e-05,-2.829058430524176e-06,-5.513308422650699e-06,-1.0571962467087732e-05,-1.4894656768647367e-06,-5.605765046408429e-06,2.2316181703788867e-06,-2.227442835741003e-06,-2.405676899311236e-05,6.2855777392404195e-09,0.0,-9.624657879341086e-06,6.2855777392404195e-09,4.566542863800165e-05,3.500290265037e-06,9.993005825767271e-06,-2.260461555865368e-05,-2.4927220888002864e-06,-1.960911449309811e-05,-2.4927220888002864e-06,8.219812906281699e-06,0.0,2.307642704053862e-06,0.0015392834325992587,-2.227442835741003e-06,2.307642704053862e-06,-0.00033984679866327564,-2.4927220888002864e-06,-2.227442835741003e-06,0.0002823926860889408,0.00013262182811438124,3.500290265037e-06,0.0002717252494145634,0.0,6.2855777392404195e-09,-2.6354382810715712e-05,-3.891039330825226e-05,3.500290265037e-06,2.307642704053862e-06,0.0,-5.3430934842522825e-05,-0.0004259624245977822,0.0,-2.1569054464467953e-05,-1.1274468463120025e-05,-1.0095928256093955e-05,2.1746974432268505e-06,-9.317831979095892e-07,-2.829058430524176e-06,-1.6534044871161475e-05,6.2855777392404195e-09,1.690368047391709e-06,-2.3061415933506583e-06,-1.572784764027648e-06,6.2855777392404195e-09,6.2855777392404195e-09,6.2855777392404195e-09,-1.1274468463120025e-05,1.942968134720624e-05,6.2855777392404195e-09,-2.950192018584306e-05,-1.1081344340779204e-05,8.919360240094857e-06
3,AHU-04 SF Air Systems Energy AHU4_SF_VFD_PWR(kWh),0.0007040916635091737,0.010972321189673236,0.0007020624494021346,0.0007000372101068644,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.038204186706856e-05,-7.127858756199645e-06,-1.0699423966285067e-05,-2.7915804710459868e-06,-8.907642959597786e-06,-1.0387745430926045e-05,-2.7431728042671405e-06,-1.902328510459514e-06,2.109977486282595e-06,-9.604007000837401e-06,-1.7861558071584818e-05,9.486001388067402e-06,-2.791580471045987e-06,-1.8359949294251034e-05,-4.516860773759231e-06,-9.456320638943052e-06,9.217324012677225e-06,-3.200393592162682e-06,-1.0394271839381643e-05,-7.539410149060672e-06,-1.0185772768203423e-05,-2.7915804710459868e-06,-9.545425942854754e-06,-1.0362141270488299e-05,-3.0386978376144325e-06,7.007555406169173e-07,1.002605279249244e-06,-1.0369984054454637e-05,-6.8248704918005786e-06,-1.1308019836666414e-05,-2.7915804710459868e-06,-5.432045751841778e-06,-1.040005490561501e-05,-1.4571254739545322e-06,-5.518025495803581e-06,2.196393614880364e-06,-2.201666479707481e-06,-2.368496195070455e-05,6.4650615889713325e-09,0.0,-9.471127667000984e-06,6.4650615889713325e-09,4.50426025909646e-05,3.4548733705844073e-06,9.847326437337249e-06,-2.2339943637705312e-05,-2.4614177363457375e-06,-1.9341135258653494e-05,-2.4614177363457375e-06,8.124358650569921e-06,0.0,2.279616503261981e-06,0.0015183761368951225,-2.201666479707481e-06,2.279616503261981e-06,-0.00033557825787737923,-2.4614177363457375e-06,-2.201666479707481e-06,0.00027896968856279235,0.00013118406006695871,3.4548733705844073e-06,0.00026796360270274033,0.0,6.4650615889713325e-09,-2.6031788375363932e-05,-3.852524972473225e-05,3.4548733705844073e-06,2.279616503261981e-06,0.0,-5.276951671826512e-05,-0.00042051279761040616,0.0,-2.14054092434051e-05,-1.1090121407005674e-05,-9.930324830960361e-06,2.1417584668547052e-06,-9.164186186015722e-07,-2.7915804710459868e-06,-1.6272741419648524e-05,6.4650615889713325e-09,1.6638149944542286e-06,-2.2771795471087324e-06,-1.5486890189339117e-06,6.4650615889713325e-09,6.4650615889713325e-09,6.4650615889713325e-09,-1.1090121407005674e-05,1.92031757940312e-05,6.4650615889713325e-09,-2.9150222453442152e-05,-1.0900660597129506e-05,8.809479679863253e-06
4,AHU-05 SF Air Systems Energy AHU5_SF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AHU-06 SF Air Systems Energy AHU6_SF_VFD_PWR(kWh),5.338797108135068e-05,0.0006669565361569986,5.327177703254128e-05,5.31544351490791e-05,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.437760998256862e-07,-1.817737357883403e-07,-3.655542949490266e-07,-5.785835255010037e-08,-2.806903152897578e-07,-3.4478300126552876e-07,-6.268746022156729e-08,-1.679358274476856e-07,1.1095584339670402e-07,-2.091857528589519e-07,-6.370193800110349e-07,3.64649104036436e-07,-5.7858352550100373e-08,-6.265162102422101e-07,-1.1972041394860838e-07,-1.6054486720797227e-07,-2.3561082283210182e-08,-1.2275968365713693e-07,-3.429366612374431e-07,-2.0003977910653438e-07,-3.472729972132295e-07,-5.785835255010037e-08,-3.039670050361386e-07,-3.4392390189929153e-07,-5.941922116551089e-08,-1.1574777707435066e-07,5.906015750456998e-08,-3.439631546137663e-07,-1.662929848433457e-07,-3.864910399003392e-07,-5.785835255010037e-08,-1.5397724819729295e-07,-3.450795564971175e-07,-3.270992279157722e-08,-2.2227150675275535e-07,1.1332659626903661e-07,-2.7794540106371596e-08,-3.5918813587517153e-07,3.375261001118705e-09,0.0,-2.947578999584777e-07,3.375261001118705e-09,7.989862299134506e-07,4.875524041010222e-08,2.9932305896912744e-07,-1.8890922916706298e-07,-3.5031138005772664e-08,-4.427867419750009e-07,-3.5031138005772664e-08,1.1296465868279176e-07,0.0,3.150188555625081e-08,3.1582248291537263e-05,-2.7794540106371596e-08,3.150188555625081e-08,-3.298411968257086e-06,-3.5031138005772664e-08,-2.7794540106371596e-08,3.421771872081338e-06,1.3244593325244342e-07,4.875524041010222e-08,3.420608763965924e-06,0.0,3.375261001118705e-09,-3.417828376139778e-07,-2.762994385323175e-07,4.875524041010222e-08,3.150188555625081e-08,0.0,-7.224387035178681e-07,-5.975191914081564e-06,0.0,-1.4051393542430822e-07,-3.719845846386755e-07,-3.243602931898408e-07,1.0545876870677546e-07,3.5136061523317095e-09,-5.785835255010037e-08,-5.499847538278422e-07,3.375261001118705e-09,9.323553410926806e-08,-8.101514841068154e-08,6.198421545446269e-09,3.375261001118705e-09,3.375261001118705e-09,3.375261001118705e-09,-3.719845846386755e-07,2.447627639776513e-07,3.375261001118705e-09,-3.3620538457618495e-07,-3.63569484310865e-07,1.1659347939875529e-07
6,AHU-07 SF Air Systems Energy AHU7_SF_VFD_PWR(kWh),4.483331674472946e-05,0.0004633744195003964,4.475210277382889e-05,4.467167869135779e-05,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9433161746890765e-07,-1.650795187658485e-07,-3.1374692007272753e-07,-6.311435299236949e-08,-2.462415885195486e-07,-2.953112224870997e-07,-7.190691728738283e-08,-1.5518769874791777e-07,8.270384079108901e-08,-1.3437904910251474e-07,-5.501568633030784e-07,2.633909005509353e-07,-6.31143529923695e-08,-5.299356879683511e-07,-1.0451386494822714e-07,-6.730141132563426e-08,-1.0015040910528794e-07,-6.351719099161262e-08,-2.930699963073688e-07,-1.801970280397048e-07,-2.99138165815368e-07,-6.311435299236949e-08,-2.6535666426834937e-07,-2.9456118324909583e-07,-6.158795516589494e-08,-1.2122822878259474e-07,3.9784238820286496e-08,-2.947391443727463e-07,-1.5166776344234762e-07,-3.3036761185647993e-07,-6.311435299236949e-08,-1.421362074513824e-07,-2.955155502303419e-07,-5.6493356209540926e-08,-1.8299268254975428e-07,8.186252626715096e-08,2.204081730450977e-08,-2.4932642332335546e-06,1.988225184963647e-09,0.0,-1.8471155184319716e-07,1.988225184963647e-09,6.622925536400462e-07,2.5844692474482944e-08,3.8993065879426216e-07,7.118180018861482e-08,-3.545168110260279e-08,-3.7299116005796896e-07,-3.545168110260279e-08,-2.2932269013885798e-07,0.0,2.4806548039843265e-08,1.9930084304827202e-05,2.204081730450977e-08,2.4806548039843265e-08,2.2639709159145653e-07,-3.545168110260279e-08,2.204081730450977e-08,6.827723295359252e-07,-8.62068342425075e-07,2.5844692474482944e-08,1.40715232907034e-07,0.0,1.988225184963647e-09,-1.1771036115763324e-07,4.7455269186511296e-07,2.5844692474482944e-08,2.4806548039843265e-08,0.0,-2.405879755578111e-07,-2.4057700497758182e-06,0.0,5.664677668069407e-08,-3.169998205319822e-07,-2.8066228189781696e-07,7.178225906504284e-08,-1.0113735975164968e-08,-6.311435299236949e-08,-4.672134269905883e-07,1.988225184963647e-09,6.514301373506388e-08,-1.6984549820902203e-07,7.709055426683417e-08,1.988225184963647e-09,1.988225184963647e-09,1.988225184963647e-09,-3.169998205319822e-07,1.769003329231159e-07,1.988225184963647e-09,9.684311646425031e-09,-3.106237486936905e-07,9.233309049049263e-08
7,AHU-08 SF Air Systems Energy AHU8_SF_VFD_PWR(kWh),6.465850687308752e-05,0.0005606161617072923,6.4553799548309e-05,6.447720477838357e-05,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.140263724887884e-07,-5.610761220138332e-07,-8.524096619805486e-07,-1.8357898646045625e-07,-6.474917637547603e-07,-8.160350074928104e-07,-2.9140331114501926e-07,-2.98508617994847e-07,1.3841941090710182e-07,-4.347881921107437e-07,-1.4652328874429465e-06,5.929605910298466e-07,-1.8357898646045628e-07,-1.3653897785898908e-06,-3.0129229855930675e-07,-1.6165180720270386e-07,-6.326953261559392e-08,-1.0220355042900052e-08,-8.112460437302022e-07,-5.947007294625587e-07,-8.153655205178042e-07,-1.8357898646045625e-07,-6.958941352694407e-07,-8.138338229715383e-07,-2.5663538271443034e-07,-1.978187996921676e-07,5.559061209554596e-08,-8.148653977136539e-07,-5.314977204541324e-07,-8.956322012887162e-07,-1.8357898646045625e-07,-3.838086958547785e-07,-8.167164287933725e-07,-2.6569802236457423e-07,-3.9918977990922646e-07,1.2741370394113485e-07,6.417372797545295e-08,-6.908972535473705e-06,2.371648053879496e-09,0.0,-5.068958681217294e-07,2.371648053879496e-09,1.980065624291911e-06,7.44664381923539e-08,1.0434920975386268e-06,1.7162372509384126e-07,-8.891849250200586e-08,-1.0152884837038093e-06,-8.891849250200586e-08,-6.369091163878586e-07,0.0,7.315137260264449e-08,5.5632988678142175e-05,6.417372797545295e-08,7.315137260264449e-08,1.0068985093994818e-07,-8.891849250200586e-08,6.417372797545295e-08,2.143653845711422e-06,-2.1748905172899914e-06,7.44664381923539e-08,3.665411463799855e-07,0.0,2.371648053879496e-09,-3.374374105319374e-07,1.3640891556971296e-06,7.44664381923539e-08,7.315137260264449e-08,0.0,-7.446601752355773e-07,-7.380686356194757e-06,0.0,2.582023099791564e-07,-8.750756684941341e-07,-7.980712267217516e-07,9.816839453076007e-08,-1.0631716830473737e-07,-1.8357898646045625e-07,-1.206759436501212e-06,2.371648053879496e-09,8.647203327820291e-08,-4.774488627764125e-07,1.6979854533774643e-07,2.371648053879496e-09,2.371648053879496e-09,2.371648053879496e-09,-8.750756684941341e-07,5.16575731765322e-07,2.371648053879496e-09,-6.380794882917865e-08,-8.580131215267167e-07,2.6463295599404894e-07
8,AHU-09 RF Air Systems Energy AHU9_RF_VFD_PWR(kWh),6.960320292968927e-05,0.0008052954647926287,6.94537427631166e-05,6.935414460420921e-05,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.021181423357615e-07,-6.261376356907747e-07,-9.438821549834235e-07,-1.9617712025621207e-07,-7.099808261913218e-07,-9.042585810704184e-07,-3.250901541459658e-07,-3.252375672052879e-07,1.5131767319937095e-07,-4.906763929549639e-07,-1.622303638448657e-06,6.46511628963435e-07,-1.961771202562121e-07,-1.505319182965896e-06,-3.388055337106905e-07,-1.8657740786676372e-07,-5.250145640039952e-08,-2.4958520333869352e-09,-8.991255710110149e-07,-6.630891110610206e-07,-9.030592430771764e-07,-1.9617712025621207e-07,-7.635950515926506e-07,-9.018239106306282e-07,-2.872755832254612e-07,-2.1169642932515444e-07,6.144967908303985e-08,-9.029756964376848e-07,-5.935948204257616e-07,-9.914963813368841e-07,-1.9617712025621207e-07,-4.1792667700433474e-07,-9.050053562659913e-07,-2.963292682770515e-07,-4.407631906062839e-07,1.387088230312481e-07,7.520695902701703e-08,-7.42094986593086e-06,-3.428889794422264e-09,0.0,-5.523700555819031e-07,-3.428889794422264e-09,2.006902996166081e-06,8.944622253349232e-08,1.1788699277861738e-06,1.6615802663895333e-07,-8.276486689451788e-08,-1.1309573265546351e-06,-8.276486689451788e-08,-7.649837327517509e-07,0.0,8.382545711918021e-08,6.21876899804651e-05,7.520695902701703e-08,8.382545711918021e-08,-9.790850610277642e-09,-8.276486689451788e-08,7.520695902701703e-08,2.690531303228623e-06,-2.663512098686025e-06,8.944622253349232e-08,3.7874636477448433e-07,0.0,-3.428889794422264e-09,-3.7565642831256117e-07,1.3572225717110085e-06,8.944622253349232e-08,8.382545711918021e-08,0.0,-8.232037253571262e-07,-8.995739365927131e-06,0.0,3.0865774936281174e-07,-9.705587155135545e-07,-8.857906484233131e-07,1.068275183122243e-07,-1.1906917421974191e-07,-1.9617712025621207e-07,-1.329549892924257e-06,-3.428889794422264e-09,9.373407759621678e-08,-4.787893494396344e-07,1.308765545229364e-07,-3.428889794422264e-09,-3.428889794422264e-09,-3.428889794422264e-09,-9.705587155135545e-07,5.828127943807255e-07,-3.428889794422264e-09,-1.4776136992955067e-07,-9.512063797195207e-07,3.061631035029974e-07
9,AHU-09 SF Air Systems Energy AHU9_SF_VFD_PWR(kWh),0.00023040991391503392,0.002723050206126811,0.0002299183295909633,0.00022957250929112554,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7596429331515016e-06,-1.898047217587259e-06,-2.889852095494503e-06,-5.940040387642062e-07,-2.175415218823702e-06,-2.7661971812133334e-06,-9.760790539889415e-07,-1.0175277991080462e-06,4.82453368136794e-07,-1.5117349834711956e-06,-4.966335553127888e-06,1.981308659465233e-06,-5.940040387642063e-07,-4.623670242871558e-06,-1.04834985628623e-06,-5.806227704855754e-07,-1.9899365807908486e-07,-1.8017306480346452e-08,-2.7505937041039204e-06,-2.012252252287848e-06,-2.7646216544196317e-06,-5.940040387642062e-07,-2.3404406975806993e-06,-2.758786090793622e-06,-8.626833685644946e-07,-6.724115397523001e-07,2.064296894573508e-07,-2.7621249344920294e-06,-1.797314663411373e-06,-3.0354403309528673e-06,-5.940040387642062e-07,-1.2764974350832395e-06,-2.7684420609511157e-06,-8.853633749495798e-07,-1.3664538842986528e-06,4.4461138868582777e-07,2.348429645361899e-07,-2.262788315357934e-05,-1.3819130958851353e-08,0.0,-1.6912572459414138e-06,-1.3819130958851353e-08,6.020388724245996e-06,2.768222440235705e-07,3.611170088797778e-06,4.963419847913737e-07,-2.470769948644547e-07,-3.4650850942775634e-06,-2.470769948644547e-07,-2.3557006120036806e-06,0.0,2.573861156580218e-07,0.00019047089608607764,2.348429645361899e-07,2.573861156580218e-07,-5.5144378870134125e-08,-2.470769948644547e-07,2.348429645361899e-07,8.36819188812009e-06,-8.157571254999113e-06,2.768222440235705e-07,9.777479774153702e-07,0.0,-1.3819130958851353e-08,-1.1504193391852942e-06,4.057889652141541e-06,2.768222440235705e-07,2.573861156580218e-07,0.0,-2.5110310637221997e-06,-2.776018647616693e-05,0.0,9.4561516352321e-07,-2.969725981498776e-06,-2.7050390435179524e-06,3.4894842757488907e-07,-3.467428059550476e-07,-5.940040387642062e-07,-4.082569888731409e-06,-1.3819130958851353e-08,3.0730872011344787e-07,-1.4487761498823002e-06,3.7882714102037306e-07,-1.3819130958851353e-08,-1.3819130958851353e-08,-1.3819130958851353e-08,-2.969725981498776e-06,1.7865806869236418e-06,-1.3819130958851353e-08,-4.752026458527215e-07,-2.9101509663586104e-06,9.386447596936541e-07
