,uniqueId,min,max,mean,std,update_rate,endUseLabel,energy_no_energy,energy_yes_energy,sensor_no_sensor,sensor_yes_sensor,equipRef_Air_Equip,equipRef_Cooling,equipRef_Heating,equipRef_LEED,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,AHU-01 SF Air Systems Energy AHU1_SF_VFD_PWR(kWh),0.00017581229425757736,0.00017732840732246404,0.0001765703532681694,0.004027175015596063,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4763818534468116e-06,-2.395627197822247e-06,-3.571655842108366e-06,-1.0353096062194596e-06,-3.080787969242074e-06,-3.4770098785415877e-06,-8.714658482727111e-07,-5.215624630495695e-07,7.09333097193669e-07,-3.4244159418212534e-06,-5.930908854985202e-06,3.242809480256333e-06,-1.0353096062194599e-06,-6.238709072568877e-06,-1.5677160578680734e-06,-3.653904408418867e-06,3.7459196049065336e-06,-1.2783872128380634e-06,-3.4828987816398087e-06,-2.531692029624181e-06,-3.398312083283871e-06,-1.0353096062194596e-06,-3.29399821869493e-06,-3.468634307962036e-06,-1.01724248014492e-06,4.4229403737223525e-07,3.2722182606906595e-07,-3.4712255689454805e-06,-2.299441917064203e-06,-3.7776784497834368e-06,-1.0353096062194596e-06,-1.9185901988824944e-06,-3.4813221676849876e-06,-3.7817307834846327e-07,-1.8916416419972983e-06,7.530033693670541e-07,-5.464300562535658e-09,-7.147456251490566e-06,8.879444299304773e-07,-1.0208469970101518e-05,8.879444299304773e-07,-0.00016264812844118409,-9.539532560997734e-07,-5.464300562535658e-09,-3.245494898204191e-06,-8.698772788454059e-07,0.0,0.00010443509152573588,3.4520113106961322e-06,0.0,0.0001099620614504713,0.0005643576388525551,-9.539532560997734e-07,-9.079306448905545e-06,-9.539532560997734e-07,1.341601728577329e-06,-8.698772788454059e-07,5.662059099661111e-05,-0.00013458023018920567,-1.6006469301715096e-05,1.6952656185610043e-05,-8.916929238352742e-06,1.341601728577329e-06,0.0,0.0,-8.698772788454059e-07,-5.464300562535658e-09,0.0,8.879444299304773e-07,1.341601728577329e-06,3.1599957286780173e-06,-2.0674938782532437e-05,-9.110201299263458e-06,-3.7005389004005844e-06,-3.3072867939790836e-06,7.531227203926408e-07,-3.000303688761693e-07,-1.0353096062194596e-06,-5.541783412703662e-06,-5.464300562535658e-09,5.731134801977044e-07,-7.600989174740586e-07,-6.899729305467257e-07,-5.464300562535658e-09,-5.464300562535658e-09,-5.464300562535658e-09,-3.7005389004005844e-06,7.58256212737317e-06,-5.464300562535658e-09,-1.1545956657186706e-05,-3.6432982251423555e-06,3.4350664132523485e-06
1,AHU-02 SF Air Systems Energy AHU2_SF_VFD_PWR(kWh),0.00015341468496834674,0.00015496490657575295,0.00015418996790907548,0.004095928451474677,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6937523132038277e-06,-2.554992229050793e-06,-3.7958884875694156e-06,-1.0771188886183124e-06,-3.2463087056680357e-06,-3.694651259436328e-06,-9.4759833305779e-07,-5.671579168622682e-07,7.429701897980917e-07,-3.5952575709722402e-06,-6.307406452950223e-06,3.4149793703109935e-06,-1.0771188886183124e-06,-6.5959063322704825e-06,-1.6534214139468793e-06,-3.7626499451925755e-06,3.8461412880926884e-06,-1.2895680210823905e-06,-3.700171979807382e-06,-2.6990652908285297e-06,-3.6123965893123266e-06,-1.0771188886183124e-06,-3.4724328795223037e-06,-3.6856890276799106e-06,-1.0905522791093534e-06,4.3565207843241787e-07,3.437877617501018e-07,-3.6885128610477387e-06,-2.4523738968831794e-06,-4.013964530112874e-06,-1.0771188886183124e-06,-2.0137810538762622e-06,-3.699201429755229e-06,-4.4038116533402487e-07,-1.9874070393416868e-06,7.848209281853144e-07,-3.705237693080807e-09,-7.434313143075022e-06,9.137796923206017e-07,-1.0491367433684664e-05,9.137796923206017e-07,-0.0001675893156746187,-9.827803798804838e-07,-3.705237693080807e-09,-3.429197291203387e-06,-8.930596589197973e-07,0.0,0.00010740143057401889,3.6314728193326104e-06,0.0,0.00011288231110501602,0.0005863153706808702,-9.827803798804838e-07,-9.265273410708594e-06,-9.827803798804838e-07,1.3812958217053768e-06,-8.930596589197973e-07,5.713533537145958e-05,-0.00013766488649905167,-1.6260053224882933e-05,1.7581590637451088e-05,-9.251020346766115e-06,1.3812958217053768e-06,0.0,0.0,-8.930596589197973e-07,-3.705237693080807e-09,0.0,9.137796923206017e-07,1.3812958217053768e-06,3.2517052399792313e-06,-2.1253158615491914e-05,-9.219812210304639e-06,-3.934825546327798e-06,-3.5208224642621516e-06,7.80358112468906e-07,-3.2920743040502904e-07,-1.0771188886183124e-06,-5.856599521596281e-06,-3.705237693080807e-09,5.946295207303729e-07,-8.104143768096359e-07,-6.912371669020332e-07,-3.705237693080807e-09,-3.705237693080807e-09,-3.705237693080807e-09,-3.934825546327798e-06,7.78339943908225e-06,-3.705237693080807e-09,-1.1841256639832838e-05,-3.87259393876046e-06,3.5340784002029688e-06
2,AHU-03 SF Air Systems Energy AHU3_SF_VFD_PWR(kWh),0.0007039866234463711,0.0007081033488237586,0.0007060426824147057,0.01113071519167384,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0553598743626738e-05,-7.245378398994548e-06,-1.0877050089904644e-05,-2.829058430523956e-06,-9.046577625963483e-06,-1.0559474387688137e-05,-2.7920439177548034e-06,-1.9412957755881403e-06,2.144917919509711e-06,-9.746007712774182e-06,-1.8161845201593353e-05,9.63282020966578e-06,-2.8290584305239563e-06,-1.8655974471321466e-05,-4.589740208430025e-06,-9.576074289485245e-06,9.323391933809269e-06,-3.2373318405586858e-06,-1.0565831091198045e-05,-7.663875946706197e-06,-1.0355122052013341e-05,-2.829058430523956e-06,-9.694948523812206e-06,-1.053343843964199e-05,-3.0889729303021475e-06,6.984192791295034e-07,1.0196807882492694e-06,-1.0541423548055769e-05,-6.936930398744573e-06,-1.149537999119135e-05,-2.829058430523956e-06,-5.513308422650092e-06,-1.057196246708671e-05,-1.4894656768657732e-06,-5.605765046407858e-06,2.2316181703778233e-06,6.285577738854876e-09,-1.9609114493112566e-05,2.307642704052926e-06,-2.635438281070854e-05,2.307642704052926e-06,-0.0004259624245974629,-2.492722088799931e-06,6.285577738854876e-09,-9.624657879342626e-06,-2.227442835739043e-06,0.0,0.0002717252494147475,9.993005825776831e-06,0.0,0.000282392686088868,0.001539283432599366,-2.492722088799931e-06,-2.2604615558656926e-05,-2.492722088799931e-06,3.500290265036499e-06,-2.227442835739043e-06,0.00013262182811461302,-0.00033984679866355953,-3.891039330826922e-05,4.566542863800187e-05,-2.405676899316943e-05,3.500290265036499e-06,0.0,0.0,-2.227442835739043e-06,6.285577738854876e-09,0.0,2.307642704052926e-06,3.500290265036499e-06,8.219812906272133e-06,-5.3430934842512105e-05,-2.1569054464499476e-05,-1.1274468463119002e-05,-1.0095928256093707e-05,2.1746974432254906e-06,-9.317831979102266e-07,-2.829058430523956e-06,-1.653404487115903e-05,6.285577738854876e-09,1.690368047390629e-06,-2.3061415933452267e-06,-1.5727847640281713e-06,6.285577738854876e-09,6.285577738854876e-09,6.285577738854876e-09,-1.1274468463119002e-05,1.9429681347203212e-05,6.285577738854876e-09,-2.9501920185826626e-05,-1.1081344340778196e-05,8.919360240089753e-06
3,AHU-04 SF Air Systems Energy AHU4_SF_VFD_PWR(kWh),0.0007000372101068644,0.0007040916635091737,0.0007020624494021346,0.010972321189673236,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0382041867067667e-05,-7.127858756200124e-06,-1.0699423966284005e-05,-2.7915804710457665e-06,-8.907642959596576e-06,-1.0387745430925158e-05,-2.743172804267917e-06,-1.9023285104581805e-06,2.1099774862818383e-06,-9.604007000831357e-06,-1.7861558071584998e-05,9.486001388063882e-06,-2.7915804710457665e-06,-1.8359949294248334e-05,-4.516860773758171e-06,-9.45632063894068e-06,9.217324012679946e-06,-3.200393592158969e-06,-1.0394271839380793e-05,-7.539410149061086e-06,-1.0185772768202594e-05,-2.7915804710457665e-06,-9.54542594285349e-06,-1.0362141270487411e-05,-3.0386978376149755e-06,7.007555406188554e-07,1.002605279248159e-06,-1.0369984054453837e-05,-6.824870491801061e-06,-1.1308019836665304e-05,-2.7915804710457665e-06,-5.432045751841062e-06,-1.040005490561421e-05,-1.4571254739555687e-06,-5.518025495803113e-06,2.196393614879503e-06,6.4650615885307124e-09,-1.93411352586678e-05,2.2796165032610996e-06,-2.603178837535705e-05,2.2796165032610996e-06,-0.0004205127976100968,-2.4614177363455007e-06,6.4650615885307124e-09,-9.471127667002625e-06,-2.2016664797055718e-06,0.0,0.00026796360270292443,9.847326437346562e-06,0.0,0.00027896968856272345,0.0015183761368952298,-2.4614177363455007e-06,-2.2339943637708657e-05,-2.4614177363455007e-06,3.4548733705840736e-06,-2.2016664797055718e-06,0.0001311840600671861,-0.0003355782578776665,-3.852524972474927e-05,4.504260259096525e-05,-2.3684961950763297e-05,3.4548733705840736e-06,0.0,0.0,-2.2016664797055718e-06,6.4650615885307124e-09,0.0,2.2796165032610996e-06,3.4548733705840736e-06,8.124358650560509e-06,-5.2769516718255066e-05,-2.140540924343642e-05,-1.1090121407004744e-05,-9.930324830960115e-06,2.141758466853345e-06,-9.164186186023568e-07,-2.7915804710457665e-06,-1.6272741419646132e-05,6.4650615885307124e-09,1.6638149944530502e-06,-2.277179547103054e-06,-1.5486890189345658e-06,6.4650615885307124e-09,6.4650615885307124e-09,6.4650615885307124e-09,-1.1090121407004744e-05,1.9203175794028266e-05,6.4650615885307124e-09,-2.915022245342618e-05,-1.0900660597128545e-05,8.809479679858371e-06
4,AHU-05 SF Air Systems Energy AHU5_SF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AHU-06 SF Air Systems Energy AHU6_SF_VFD_PWR(kWh),5.31544351490791e-05,5.338797108135068e-05,5.327177703254128e-05,0.0006669565361569986,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.437760998256799e-07,-1.8177373578835153e-07,-3.655542949490187e-07,-5.7858352550084875e-08,-2.80690315289735e-07,-3.447830012655204e-07,-6.268746022158114e-08,-1.6793582744767071e-07,1.1095584339669305e-07,-2.091857528589147e-07,-6.37019380011034e-07,3.646491040363995e-07,-5.785835255008488e-08,-6.265162102421742e-07,-1.197204139486006e-07,-1.6054486720794125e-07,-2.3561082283194244e-08,-1.2275968365708455e-07,-3.4293666123743613e-07,-2.0003977910654362e-07,-3.472729972132216e-07,-5.7858352550084875e-08,-3.0396700503611407e-07,-3.439239018992846e-07,-5.9419221165519375e-08,-1.1574777707433316e-07,5.906015750456399e-08,-3.4396315461376073e-07,-1.6629298484335512e-07,-3.864910399003291e-07,-5.7858352550084875e-08,-1.5397724819727403e-07,-3.4507955649711124e-07,-3.270992279159521e-08,-2.2227150675274317e-07,1.1332659626902317e-07,3.37526100111182e-09,-4.427867419751523e-07,3.150188555623489e-08,-3.417828376138783e-07,3.150188555623489e-08,-5.975191914077741e-06,-3.503113800577359e-08,3.37526100111182e-09,-2.9475789995850733e-07,-2.7794540106341106e-08,0.0,3.42060876396935e-06,2.99323058969213e-07,0.0,3.42177187208059e-06,3.158224829153801e-05,-3.503113800577359e-08,-1.8890922916708296e-07,-3.503113800577359e-08,4.8755240410097e-08,-2.7794540106341106e-08,1.324459332548291e-07,-3.2984119682608356e-06,-2.762994385326516e-07,7.989862299132185e-07,-3.5918813587611565e-07,4.8755240410097e-08,0.0,0.0,-2.7794540106341106e-08,3.37526100111182e-09,0.0,3.150188555623489e-08,4.8755240410097e-08,1.1296465868269106e-07,-7.224387035176795e-07,-1.4051393542463952e-07,-3.719845846386697e-07,-3.243602931898408e-07,1.0545876870675971e-07,3.5136061523232818e-09,-5.7858352550084875e-08,-5.499847538278074e-07,3.37526100111182e-09,9.323553410925425e-08,-8.10151484105716e-08,6.198421545438092e-09,3.37526100111182e-09,3.37526100111182e-09,3.37526100111182e-09,-3.719845846386697e-07,2.447627639775795e-07,3.37526100111182e-09,-3.362053845759982e-07,-3.635694843108593e-07,1.1659347939869634e-07
6,AHU-07 SF Air Systems Energy AHU7_SF_VFD_PWR(kWh),4.467167869135779e-05,4.483331674472946e-05,4.475210277382889e-05,0.0004633744195003964,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.943316174689077e-07,-1.6507951876584888e-07,-3.1374692007272764e-07,-6.311435299236894e-08,-2.462415885195482e-07,-2.953112224870996e-07,-7.190691728738305e-08,-1.551876987479168e-07,8.270384079108915e-08,-1.3437904910251527e-07,-5.501568633030783e-07,2.633909005509346e-07,-6.311435299236895e-08,-5.299356879683508e-07,-1.0451386494822745e-07,-6.730141132563443e-08,-1.0015040910528608e-07,-6.351719099161158e-08,-2.9306999630736883e-07,-1.801970280397053e-07,-2.9913816581536803e-07,-6.311435299236894e-08,-2.6535666426834905e-07,-2.9456118324909594e-07,-6.15879551658952e-08,-1.2122822878259374e-07,3.978423882028659e-08,-2.9473914437274645e-07,-1.5166776344234826e-07,-3.3036761185647993e-07,-6.311435299236894e-08,-1.4213620745138193e-07,-2.9551555023034203e-07,-5.649335620954104e-08,-1.8299268254975367e-07,8.186252626715087e-08,1.9882251849635394e-09,-3.7299116005796917e-07,2.4806548039842713e-08,-1.1771036115763746e-07,2.4806548039842713e-08,-2.4057700497757996e-06,-3.545168110260215e-08,1.9882251849635394e-09,-1.8471155184319735e-07,2.2040817304509837e-08,0.0,1.407152329070532e-07,3.8993065879426184e-07,0.0,6.827723295359757e-07,1.9930084304827216e-05,-3.545168110260215e-08,7.118180018861328e-08,-3.545168110260215e-08,2.584469247448286e-08,2.2040817304509837e-08,-8.62068342425089e-07,2.2639709159143837e-07,4.7455269186510804e-07,6.622925536400388e-07,-2.493264233233586e-06,2.584469247448286e-08,0.0,0.0,2.2040817304509837e-08,1.9882251849635394e-09,0.0,2.4806548039842713e-08,2.584469247448286e-08,-2.2932269013885785e-07,-2.4058797555780584e-07,5.664677668069186e-08,-3.1699982053198225e-07,-2.8066228189781706e-07,7.17822590650427e-08,-1.0113735975165064e-08,-6.311435299236894e-08,-4.6721342699058793e-07,1.9882251849635394e-09,6.514301373506388e-08,-1.698454982090242e-07,7.709055426683392e-08,1.9882251849635394e-09,1.9882251849635394e-09,1.9882251849635394e-09,-3.1699982053198225e-07,1.7690033292311534e-07,1.9882251849635394e-09,9.68431164642877e-09,-3.1062374869369066e-07,9.233309049049545e-08
7,AHU-08 SF Air Systems Energy AHU8_SF_VFD_PWR(kWh),6.447720477838357e-05,6.465850687308752e-05,6.4553799548309e-05,0.0005606161617072923,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.140263724887878e-07,-5.610761220138337e-07,-8.524096619805481e-07,-1.8357898646045694e-07,-6.474917637547603e-07,-8.160350074928101e-07,-2.9140331114501974e-07,-2.9850861799484645e-07,1.3841941090710097e-07,-4.3478819211074283e-07,-1.4652328874429452e-06,5.929605910298477e-07,-1.8357898646045696e-07,-1.3653897785898895e-06,-3.012922985593044e-07,-1.6165180720270588e-07,-6.32695326155908e-08,-1.0220355042898181e-08,-8.112460437302017e-07,-5.947007294625589e-07,-8.153655205178039e-07,-1.8357898646045694e-07,-6.958941352694406e-07,-8.138338229715378e-07,-2.5663538271443103e-07,-1.9781879969216686e-07,5.5590612095545455e-08,-8.148653977136536e-07,-5.314977204541325e-07,-8.956322012887159e-07,-1.8357898646045694e-07,-3.8380869585477893e-07,-8.167164287933722e-07,-2.6569802236457423e-07,-3.99189779909227e-07,1.2741370394113406e-07,2.3716480538793885e-09,-1.0152884837038093e-06,7.315137260264317e-08,-3.374374105319447e-07,7.315137260264317e-08,-7.380686356194713e-06,-8.891849250200539e-08,2.3716480538793885e-09,-5.068958681217285e-07,6.417372797545407e-08,0.0,3.66541146380131e-07,1.0434920975386277e-06,0.0,2.143653845711551e-06,5.563298867814213e-05,-8.891849250200539e-08,1.716237250938429e-07,-8.891849250200539e-08,7.446643819235457e-08,6.417372797545407e-08,-2.174890517289987e-06,1.0068985093986237e-07,1.3640891556971286e-06,1.9800656242919067e-06,-6.908972535473798e-06,7.446643819235457e-08,0.0,0.0,6.417372797545407e-08,2.3716480538793885e-09,0.0,7.315137260264317e-08,7.446643819235457e-08,-6.369091163878588e-07,-7.446601752355632e-07,2.582023099791452e-07,-8.750756684941335e-07,-7.980712267217515e-07,9.816839453075918e-08,-1.0631716830473794e-07,-1.8357898646045694e-07,-1.206759436501211e-06,2.3716480538793885e-09,8.647203327820205e-08,-4.774488627764167e-07,1.697985453377466e-07,2.3716480538793885e-09,2.3716480538793885e-09,2.3716480538793885e-09,-8.750756684941335e-07,5.165757317653166e-07,2.3716480538793885e-09,-6.38079488291688e-08,-8.580131215267161e-07,2.64632955994057e-07
8,AHU-09 RF Air Systems Energy AHU9_RF_VFD_PWR(kWh),6.935414460420921e-05,6.960320292968927e-05,6.94537427631166e-05,0.0008052954647926287,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.021181423357613e-07,-6.26137635690775e-07,-9.43882154983423e-07,-1.9617712025621106e-07,-7.099808261913207e-07,-9.042585810704181e-07,-3.2509015414596557e-07,-3.252375672052862e-07,1.5131767319937158e-07,-4.906763929549608e-07,-1.6223036384486587e-06,6.465116289634318e-07,-1.961771202562111e-07,-1.5053191829658949e-06,-3.3880553371069087e-07,-1.865774078667638e-07,-5.250145640039402e-08,-2.4958520333844396e-09,-8.991255710110144e-07,-6.630891110610208e-07,-9.030592430771759e-07,-1.9617712025621106e-07,-7.635950515926498e-07,-9.018239106306273e-07,-2.872755832254609e-07,-2.1169642932515185e-07,6.14496790830401e-08,-9.029756964376844e-07,-5.935948204257617e-07,-9.914963813368833e-07,-1.9617712025621106e-07,-4.1792667700433374e-07,-9.05005356265991e-07,-2.963292682770513e-07,-4.407631906062838e-07,1.387088230312483e-07,-3.4288897944219415e-09,-1.1309573265546353e-06,8.382545711917903e-08,-3.7565642831256943e-07,8.382545711917903e-08,-8.995739365927092e-06,-8.276486689451812e-08,-3.4288897944219415e-09,-5.523700555819015e-07,7.520695902701802e-08,0.0,3.787463647745409e-07,1.1788699277861752e-06,0.0,2.690531303228743e-06,6.218768998046509e-05,-8.276486689451812e-08,1.6615802663895614e-07,-8.276486689451812e-08,8.944622253349232e-08,7.520695902701802e-08,-2.663512098685997e-06,-9.790850610290843e-09,1.3572225717109994e-06,2.006902996166067e-06,-7.4209498659310174e-06,8.944622253349232e-08,0.0,0.0,7.520695902701802e-08,-3.4288897944219415e-09,0.0,8.382545711917903e-08,8.944622253349232e-08,-7.64983732751751e-07,-8.232037253570999e-07,3.086577493627929e-07,-9.70558715513554e-07,-8.857906484233128e-07,1.068275183122247e-07,-1.1906917421974143e-07,-1.9617712025621106e-07,-1.3295498929242562e-06,-3.4288897944219415e-09,9.373407759621696e-08,-4.787893494396403e-07,1.3087655452293759e-07,-3.4288897944219415e-09,-3.4288897944219415e-09,-3.4288897944219415e-09,-9.70558715513554e-07,5.828127943807227e-07,-3.4288897944219415e-09,-1.4776136992954027e-07,-9.512063797195204e-07,3.0616310350300767e-07
9,AHU-09 SF Air Systems Energy AHU9_SF_VFD_PWR(kWh),0.00022957250929112554,0.00023040991391503392,0.0002299183295909633,0.002723050206126811,0.9895833333333333,02_HEATING_COOLING_COMBINED,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.759642933151501e-06,-1.898047217587259e-06,-2.8898520954945034e-06,-5.940040387642045e-07,-2.175415218823701e-06,-2.766197181213334e-06,-9.760790539889398e-07,-1.0175277991080443e-06,4.824533681367959e-07,-1.5117349834711784e-06,-4.966335553127896e-06,1.9813086594652428e-06,-5.940040387642045e-07,-4.623670242871558e-06,-1.0483498562862181e-06,-5.806227704855811e-07,-1.9899365807906247e-07,-1.8017306480335067e-08,-2.7505937041039208e-06,-2.0122522522878483e-06,-2.764621654419632e-06,-5.940040387642045e-07,-2.340440697580698e-06,-2.7587860907936228e-06,-8.626833685644929e-07,-6.724115397522936e-07,2.0642968945735177e-07,-2.7621249344920302e-06,-1.797314663411375e-06,-3.0354403309528678e-06,-5.940040387642045e-07,-1.2764974350832378e-06,-2.768442060951116e-06,-8.853633749495771e-07,-1.366453884298658e-06,4.4461138868582936e-07,-1.3819130958850492e-08,-3.4650850942775634e-06,2.573861156580187e-07,-1.1504193391853132e-06,2.573861156580187e-07,-2.7760186476166724e-05,-2.470769948644526e-07,-1.3819130958850492e-08,-1.6912572459414124e-06,2.3484296453619172e-07,0.0,9.77747977415839e-07,3.6111700887977794e-06,0.0,8.368191888120494e-06,0.0001904708960860776,-2.470769948644526e-07,4.963419847913825e-07,-2.470769948644526e-07,2.76822244023564e-07,2.3484296453619172e-07,-8.15757125499925e-06,-5.5144378870120923e-08,4.057889652141525e-06,6.020388724245964e-06,-2.2627883153579502e-05,2.76822244023564e-07,0.0,0.0,2.3484296453619172e-07,-1.3819130958850492e-08,0.0,2.573861156580187e-07,2.76822244023564e-07,-2.3557006120036836e-06,-2.511031063722145e-06,9.456151635231747e-07,-2.9697259814987764e-06,-2.7050390435179537e-06,3.4894842757488986e-07,-3.467428059550484e-07,-5.940040387642045e-07,-4.082569888731409e-06,-1.3819130958850492e-08,3.0730872011344887e-07,-1.4487761498823244e-06,3.7882714102037306e-07,-1.3819130958850492e-08,-1.3819130958850492e-08,-1.3819130958850492e-08,-2.9697259814987764e-06,1.7865806869236333e-06,-1.3819130958850492e-08,-4.7520264585269667e-07,-2.91015096635861e-06,9.386447596936841e-07
