,hour,date,max_6.0,max_12.0,max_11.0,max_14.0,std_6.0,mean_9.0,std_14.0,std_2.0,std_7.0,min_12.0,mean_13.0,std_13.0,min_2.0,std_0.0,min_8.0,mean_12.0,min_6.0,mean_11.0,std_5.0,std_10.0,max_13.0,mean_1.0,mean_3.0,min_11.0,min_5.0,std_12.0,std_9.0,max_10.0,min_3.0,std_8.0,min_13.0,std_1.0,max_3.0,max_4.0,max_8.0,max_1.0,min_14.0,std_11.0,mean_14.0,min_4.0,mean_8.0,mean_6.0,mean_7.0,std_4.0,mean_4.0,max_9.0,mean_0.0,mean_10.0,std_3.0,min_0.0,mean_5.0,max_5.0,max_7.0,max_2.0,min_9.0,max_0.0,min_10.0,min_7.0,mean_2.0,min_1.0,urate_0.0,urate_1.0,urate_2.0,urate_3.0,urate_4.0,urate_5.0,urate_6.0,urate_7.0,urate_8.0,urate_9.0,urate_10.0,urate_11.0,urate_12.0,urate_13.0,urate_14.0
0,0,2020-01-16,2415.102539,6739.417969,731.123596,16519.853516,259.6363100520916,119.32278982625478,2034.3210908687909,149.32566318870397,51.436649642468275,-2.108732,132.72088515686272,193.6893722673778,-14.14582,609.4494860435483,0.0,132.6675223686603,-60.165009,408.5544320711708,110.59192615540759,58.68466479326188,800.0,21.5005686027548,107.18480187677059,-16.120611,0.0,422.5288569111226,532.6278924026951,320.275574,-150.27124,0.0,-99.634705,5.401451291666038,3750.892334,327.669983,0.0,103.583214,0.3,304.73775375839926,381.27680741025625,-50.0,0.0,342.52882881544264,63.03577301799098,33.2447279961315,25.765014479166663,7324.585449,181.43875811474112,44.21344760308284,208.54793211448504,-90.154846,68.46827417554238,535.0,306.0,666.737061,-18.261284,8340.195312,-1.310212,0.0,108.18555461821364,0.608193,1.182846371347785,1.4987613542526836,0.7512487512487512,1.6063348416289593,1.2145214521452146,0.7980501392757661,0.6444174757281553,0.965962441314554,0.19381255686988172,1.9653725078698845,1.8535714285714286,2.4245689655172415,3.2037037037037037,0.14912280701754385,0.37937743190661477
1,1,2020-01-16,2415.102539,6744.254395,2844.0,16519.853516,291.9836264572929,137.51945385801204,2017.3522397973236,146.96229611972313,51.340385753547956,-1.808879,135.3581400588235,194.3793550845491,-13.501994,674.7293403926178,0.0,147.90282926594207,-60.165009,417.76125043723266,109.09276351310493,52.536579195973935,800.0,21.375739877094958,107.25758492047714,-16.421642,0.0,475.6058685180954,628.9106168155499,319.922394,-150.99292,0.0,-99.63470500000001,4.923082885720563,3812.63501,327.669983,0.0,72.522972,0.3,314.44611258629425,390.94576992424237,-50.0,0.0,361.1218790064936,60.22718085561498,30.35651296015507,25.60381244827585,7327.28418,193.5583244211311,40.82715682834445,228.34319090114232,-90.0,66.15633008552629,535.0,306.0,631.318115,0.0,8309.453125,-5.36,0.0,100.69484852704788,-0.088465,1.2667295004712535,1.6259289843104872,0.8331668331668332,1.7149321266968325,1.4675467546754675,0.9442896935933147,0.7475728155339806,1.0751173708920188,0.2429481346678799,2.0975865687303252,1.9488095238095238,2.5517241379310347,3.2444444444444445,0.19883040935672514,0.5136186770428015
2,10,2020-01-16,2415.102539,6785.428711,2847.0,16519.853516,291.9836264572929,71.38437566210398,2017.3522397973236,135.55708634711598,52.15606980115631,-2.353649,135.3581400588235,194.3793550845491,-13.119829,263.16416298693343,0.0,94.9712759237022,-60.16500899999999,203.02117106229488,104.94661326289405,72.35492928603882,800.0,20.97253735400271,108.53718879463071,-17.144484,0.0,346.134989863093,382.6668427303956,318.527832,-150.43161,0.0,-99.634705,4.960432984920446,3926.571777,327.669983,0.0,60.456219,0.3,251.14185886648022,390.9457699242423,-50.0,0.0,361.1218790064936,62.80192245771815,30.35651296015507,25.60381244827585,6928.072266,182.89056551201014,53.78280128369897,233.3968390880871,-90.154846,61.47419238815787,535.0,306.0,532.138672,0.0,3177.054199,-3.9900000000000007,0.0,106.2658739766585,3.185744,1.4910461828463712,1.7844756399669695,0.999000999000999,1.6923076923076923,1.4675467546754675,0.9498607242339833,0.7475728155339806,1.0293427230046948,0.2429481346678799,2.981112277019937,2.2785714285714285,3.9698275862068964,3.561111111111111,0.19883040935672514,0.5136186770428015
3,11,2020-01-16,2415.102539,6787.845703,2847.0,16519.853516,291.98362645729287,80.99313020554497,2017.3522397973238,138.39960722948808,52.84509875996786,-1.569987,135.3581400588235,194.3793550845491,-12.747733,261.21570725828866,0.0,97.42058494297642,-60.165009,217.70374456649398,105.36780583380767,63.79933168605179,800.0,21.409046904939395,107.66523989847369,-16.961329,0.0,363.94674408341507,423.8295975943501,319.211395,-150.063873,0.0,-99.634705,7.705645748418187,3911.171875,327.669983,0.0,105.399521,0.3,275.82702220156943,390.9457699242423,-50.0,0.0,361.1218790064936,63.54808563649027,30.356512960155065,25.60381244827585,6946.437012,174.78189843512436,50.35036466913945,232.5258538605642,-90.794479,61.70544169966995,535.0,306.0,534.807129,0.0,3157.677002,-3.6,0.0,98.66239591833995,3.136743,1.4382657869934024,1.7720891824938068,0.9210789210789211,1.7126696832579185,1.4675467546754675,0.9498607242339833,0.7475728155339806,0.9800469483568075,0.2429481346678799,2.488982161594963,2.407142857142857,3.769396551724138,3.248148148148148,0.19883040935672514,0.5136186770428015
4,12,2020-01-16,2415.102539,6763.684082,2847.0,16519.853516,291.9836264572929,86.35859113568848,2017.3522397973234,132.93791158771302,53.200612645544524,-0.944883,135.3581400588235,194.3793550845491,-12.747254,261.67410551045464,0.0,95.91360481259044,-60.165009,179.18394152289383,105.20731922794826,55.031707463885276,800.0,21.08591093525842,105.29104205649344,-16.924543,0.0,368.6769331351122,437.3657601668204,319.209961,-150.658325,0.0,-99.634705,5.0759063326367695,3907.992676,327.669983,0.0,57.420673,0.3,241.6880750106743,390.9457699242423,-50.0,0.0,361.1218790064936,63.418433326271206,30.345233492686464,25.601673170786498,6914.385254,154.56036536337194,45.04554679321152,228.63908730090222,-90.154846,61.52522730642503,535.0,306.0,533.714294,0.0,3157.691162,-3.36,0.0,90.92317887780895,2.902953,1.29688972667295,1.7729149463253508,0.8941058941058941,1.75,1.4686468646864685,0.9498607242339833,0.7475728155339806,0.9847417840375586,0.2429481346678799,2.343126967471144,2.2797619047619047,3.8383620689655173,3.1444444444444444,0.19883040935672514,0.5136186770428015
5,13,2020-01-16,2415.102539,6783.029297,2847.0,16519.853516,291.9836264572929,87.8211667397476,2017.3522397973236,118.38698318182246,52.57782961210689,-0.571215,135.3581400588235,194.3793550845491,-12.881673,261.96521468004863,0.0,94.56831803574018,-60.165009,172.52146484546537,105.6152354196681,66.96274499201665,800.0,21.161909247346514,108.91023963232456,-16.785078,0.0,370.20197425224796,443.85211477125523,319.071777,-150.658325,0.0,-99.634705,5.569659816576341,3888.830078,327.669983,0.0,106.406853,0.3,247.5181397743846,390.9457699242423,-50.0,0.0,361.1218790064936,63.50498081517246,30.35651296015507,25.60381244827585,6936.624512,159.4535433868196,52.46602493962258,231.29054117230135,-90.154846,60.84952540953947,535.0,306.0,538.49115,0.0,3146.060059,-3.0,0.0,75.951883748538,2.949307,1.3157398680490104,1.7894302229562344,0.8291708291708292,1.7635746606334841,1.4675467546754675,0.947075208913649,0.7475728155339806,0.9694835680751174,0.2429481346678799,2.2927597061909757,2.2083333333333335,3.6293103448275863,3.140740740740741,0.19883040935672514,0.5136186770428015
6,14,2020-01-16,2415.102539,6766.097168,2844.0,16519.853516,291.98362645729287,86.14833294179613,2017.3522397973236,135.9041109191542,51.67128320662217,-3.9617240000000002,135.3581400588235,194.3793550845491,-12.846041,257.6532021502582,0.0,99.80246874339294,-60.165009,130.32055289240864,100.8450892734551,80.75895338229037,800.0,21.280721625695715,104.11533566387621,-16.753014,0.0,400.0685715730697,457.05129446518083,318.553558,-150.290588,0.0,-99.634705,5.911096400938072,3911.044678,327.669983,0.0,106.174194,0.3,176.1396847399851,390.9457699242423,-50.0,0.0,361.1218790064936,60.69363817958655,30.356512960155072,25.60381244827585,6999.483887,163.08072037961676,67.81300327476184,228.2746369590386,-90.154846,65.8352234758308,535.0,306.0,600.097351,-1.652706,3153.818848,-2.67,0.0,91.47293022607488,3.04057,1.3779453345900095,1.7803468208092486,0.9140859140859141,1.7658371040723981,1.4675467546754675,1.0668523676880224,0.7475728155339806,1.0704225352112675,0.2429481346678799,2.210912906610703,2.5,3.6293103448275863,2.783333333333333,0.19883040935672514,0.5136186770428015
7,15,2020-01-16,2415.102539,6758.847168,2844.0,16519.853516,291.9836264572929,79.47773989279933,2017.3522397973234,134.31567669866277,85.86624460465977,-0.669374,135.3581400588235,194.3793550845491,-12.730818,827.4615665503829,0.0,130.70472686486482,-60.165009000000005,604.9997026461434,100.9825588761335,67.3097105942392,800.0,21.56212523096885,131.84154200123385,-17.059662,0.0,351.17387256962206,447.35986689194203,319.084229,-150.658325,0.0,-99.634705,6.692438377769795,3914.0268549999996,327.669983,0.0,106.149193,0.3,462.6807199041284,390.9457699242423,-50.0,0.0,361.1218790064936,64.32891330555556,30.35651296015507,25.60381244827585,7527.149902,239.63143770905793,60.08500950923066,238.62565824241233,-89.94838,64.83158370286574,535.0,1081.40625,643.155334,-2.604939,13792.166016,-2.66,0.0,92.2122285129069,3.210647,1.5711592836946278,1.9091659785301405,3.28971028971029,1.8981900452488687,1.4675467546754675,1.2465181058495822,0.7475728155339806,4.066901408450704,0.2429481346678799,4.42707240293809,3.0952380952380953,3.4461206896551726,4.988888888888889,0.19883040935672514,0.5136186770428015
8,16,2020-01-16,2415.102539,6780.558105,2844.0,16519.853516,291.9836264572929,96.71245976929508,2017.3522397973234,153.57302143522904,104.78399321976602,-4.312788,135.3581400588235,194.3793550845491,-13.265121,1186.7042696028557,0.0,126.87467743953484,-60.165009,733.4112226982429,120.66215026300655,72.14110016214083,800.0,21.44502099123957,144.39569303241046,-17.078695,0.0,410.461579088962,509.9367789805339,318.511414,-150.339417,0.0,-99.634705,5.792717833341516,3885.999023,327.669983,0.0,105.973366,0.3,458.06485060975047,390.9457699242423,-50.0,0.0,361.1218790064936,65.07330706147089,30.35651296015506,25.60381244827585,7497.0380860000005,290.6236258640583,64.26282484491982,250.81370474065943,-90.154846,67.33335552090027,1078.106445,1085.9375,1078.106445,-11.524349,13768.873047,-2.19,0.0,93.90059116541346,3.49336,1.4213006597549482,1.8852188274153592,1.6513486513486513,1.6843891402714932,1.4675467546754675,1.190807799442897,0.7475728155339806,1.8286384976525822,0.2429481346678799,3.582371458551941,3.1166666666666667,3.4418103448275863,4.342592592592593,0.19883040935672514,0.5136186770428015
9,17,2020-01-16,2415.102539,6768.436523,2844.0,16519.853516,291.98362645729287,104.19365134140871,2017.3522397973234,202.90484342355026,109.07422155389459,-3.650211,135.3581400588235,194.3793550845491,-13.614502,1163.647708559413,0.0,134.8056570851197,-60.16500899999999,734.3169125259765,147.6494781462443,77.5059513035289,800.0,21.583741888687722,141.34186122383363,-17.362545,0.0,447.2367596442058,550.3290214911688,318.851898,-150.966187,0.0,-99.634705,4.652072308473942,3917.395264,327.669983,0.0,51.736427,0.3,436.7269661831651,390.9457699242423,-50.0,0.0,361.1218790064936,65.69507840467404,30.345327110552244,25.60084049962545,7536.533203,291.4038476154353,59.04741513439521,252.70626742392406,-90.154846,69.26563411864409,1145.234985,1073.125,1145.234985,0.0,13468.737305,-1.73,0.0,121.87396528571423,3.637994,1.4410933081998114,1.8249380677126341,1.3256743256743257,1.8020361990950227,1.4686468646864685,1.2479108635097493,0.7475728155339806,1.124413145539906,0.2429481346678799,3.0094438614900314,2.3916666666666666,3.7004310344827585,3.9296296296296296,0.19883040935672514,0.5136186770428015
