time,UBC_EWS.firstValue,UBC_EWS.lastValue,,UBC_EWS.numReadings,equipRef,groupRef,navName,typeRef,unit,isGas,endUseLabel,Alex-Comments,Pannel Label
2019-10-31T00:00:00.000Z,30571.03906,30571.03906,,304,HW Submeters FM-3,Pharmacy Utilities,Energy,MV_PHARM_FM3_BTU_EF4_ENERGY(kWh)_TL,_,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,583313.8125,648305.75,,304,HW Submeters FM-4,Pharmacy Utilities,Energy,FM4_BTU_CT_ENERGY(kWh)_TL,_,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,162052.4844,167193.375,,304,HW Submeters FM-6,Pharmacy Utilities,Energy,FM6_BTU_P9_CRAH1~3_ENERGY(kWh)_TL,_,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,889660.4375,916585.0625,,304,HW Submeters FM-7,Pharmacy Utilities,Energy,FM7_BTU_P7_DATA_CTR_ENERGY(kWh)_TL,_,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,113780.2188,115022.4922,,304,HW Submeters FM-8,Pharmacy Utilities,Energy,FM8_BTU_P5AB_ENERGY(kWh)_TL,_,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,77695.86719,80129.45313,,304,HW Submeters FM-9,Pharmacy Utilities,Energy,FM9_BTU_CRAH4~6_ENERGY(kWh)_TL,_,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,30571.03906,30609.68945,,2162,HW Submeters FM-3,Pharmacy Utilities,Energy,MV_PHARM_FM3_BTU_EF4_ENERGY(kWh)_TL,kWh,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,648091.5625,1190332,,2162,HW Submeters FM-4,Pharmacy Utilities,Energy,FM4_BTU_CT_ENERGY(kWh)_TL,kWh,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,167173.3438,223834.2031,,2162,HW Submeters FM-6,Pharmacy Utilities,Energy,FM6_BTU_P9_CRAH1~3_ENERGY(kWh)_TL,kWh,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,916494.5,1143803.375,,2162,HW Submeters FM-7,Pharmacy Utilities,Energy,FM7_BTU_P7_DATA_CTR_ENERGY(kWh)_TL,kWh,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,115018.0391,128067.4219,,2162,HW Submeters FM-8,Pharmacy Utilities,Energy,FM8_BTU_P5AB_ENERGY(kWh)_TL,kWh,1,00_HEATING_SPACE_AND_WATER,,
2019-10-31T00:00:00.000Z,80119.67188,101128.2344,,2162,HW Submeters FM-9,Pharmacy Utilities,Energy,FM9_BTU_CRAH4~6_ENERGY(kWh)_TL,kWh,1,00_HEATING_SPACE_AND_WATER,,
