time,UBC_EWS.firstValue,UBC_EWS.lastValue,UBC_EWS.numReadings,equipRef,groupRef,navName,typeRef,unit,isGas,ALEX-NRCanLabelGuess,Alex-Comments
2019-10-31T00:00:00.000Z,0,0,2464,Water Submeters WM-4,Pharmacy Utilities,MV_PHARM_WM4_HX3_DAY_TL,MV_PHARM_WM4_HX3_DAY_TL,_,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,0,0,2464,Water Submeters WM-6,Pharmacy Utilities,MV_PHARM_WM6_MAIN_CHW_DAY_TL,MV_PHARM_WM6_MAIN_CHW_DAY_TL,_,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,14.347754,14.347754,2464,HW Submeters FM-1,Pharmacy Utilities,Entering Water Temp,FM1_BTU_EF1_2_EWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,11.1704,11.1704,2464,HW Submeters FM-1,Pharmacy Utilities,Leaving Water Temp,FM1_BTU_EF1_2_LWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,26.051077,26.271412,2463,HW Submeters FM-10,Pharmacy Utilities,Entering Water Temp,FM10_BTU_P4ABC_EWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,26.528234,26.502769,2463,HW Submeters FM-10,Pharmacy Utilities,Leaving Water Temp,FM10_BTU_P4ABC_LWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,25.620066,25.552214,2463,HW Submeters FM-11,Pharmacy Utilities,Entering Water Temp,FM11_BTU_P8AB_EWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,27.072294,26.758728,2463,HW Submeters FM-11,Pharmacy Utilities,Leaving Water Temp,FM11_BTU_P8AB_LWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,26.910654,26.796213,2464,HW Submeters FM-12,Pharmacy Utilities,Entering Water Temp,FM12_BTU_HX7_EWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,27.275677,27.046864,2464,HW Submeters FM-12,Pharmacy Utilities,Leaving Water Temp,FM12_BTU_HX7_LWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
2019-10-31T00:00:00.000Z,18.526016,19.569872,2464,HW Submeters FM-2,Pharmacy Utilities,Entering Water Temp,FM2_BTU_EF3_EWT,°C,0,0_NOT_ENERGY_CONSUMPTION,
