uniqueId,endUseLabel
AHU-01 SF Air Systems Energy AHU1_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-02 SF Air Systems Energy AHU2_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-03 SF Air Systems Energy AHU3_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-04 SF Air Systems Energy AHU4_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-05 SF Air Systems Energy AHU5_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-06 SF Air Systems Energy AHU6_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-07 SF Air Systems Energy AHU7_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-08 SF Air Systems Energy AHU8_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-09 RF Air Systems Energy AHU9_RF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-09 SF Air Systems Energy AHU9_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-10 RF Air Systems Energy AHU10_RF_VFD_PWR(kWh)_TL,02_HEATING_COOLING_COMBINED
AHU-10 SF Air Systems Energy AHU10_SF_VFD_PWR(kWh)_TL,02_HEATING_COOLING_COMBINED
AHU-13 Air Systems Energy AHU13_SF_VFD_PWR(kWh)_TL,02_HEATING_COOLING_COMBINED
AHU-14 SF Air Systems Energy AHU14_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-15 SF Air Systems Energy AHU15_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-16 Air Systems Energy AHU16_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-17 SF Air Systems Energy AHU17_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-18 RF Air Systems Energy AHU18_RF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-18 SF Air Systems Energy AHU18_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
CT-1A Hydronic Systems Energy CT1A_VFD_PWR(kWh),01_SPACE_COOLING
CT-1B Hydronic Systems Energy CT1B_VFD_PWR(kWh),01_SPACE_COOLING
CT-1C Hydronic Systems Energy CT1C_VFD_PWR(kWh),01_SPACE_COOLING
Cooling Plant P-5A Hydronic Systems Energy CHWP_P5A_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-5B Hydronic Systems Energy CHWP_P5B_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-5C Hydronic Systems Energy CHWP_P5C_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-7A Hydronic Systems Energy CHWP_P7A_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-7B Hydronic Systems Energy CHWP_P7B_VFD_PWR(kWh)_TL,01_SPACE_COOLING
