,hour,date,mean_15,mean_19,std_15,std_19,max_15,max_19,min_15,min_19,mean_1,mean_2,mean_4,mean_5,mean_6,mean_14,mean_18,mean_3,mean_8,std_1,std_2,std_4,std_5,std_6,std_14,std_18,std_3,std_8,max_1,max_2,max_4,max_5,max_6,max_14,max_18,max_3,max_8,min_1,min_2,min_4,min_5,min_6,min_14,min_18,min_3,min_8,min_7,min_16,std_11,min_17,min_13,mean_16,std_7,mean_7,max_7,std_10,max_12,mean_9,std_0,std_9,std_13,max_0,max_13,mean_13,std_12,min_0,mean_12,max_11,min_9,max_16,mean_17,mean_0,std_17,min_12,std_16,max_17,max_10,min_11,max_9,min_10,mean_10,mean_11,urate_0,urate_1,urate_2,urate_3,urate_4,urate_5,urate_6,urate_7,urate_8,urate_9,urate_10,urate_11,urate_12,urate_13,urate_14,urate_15,urate_16,urate_17,urate_18,urate_19
0,0,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.569031,0.0,0.0,0.0,0.0,0.0,7.979736924262861,0.0,782.2457791428573,967313.5502157987,6.488415108001794,0.0,42009320.0,0.0,0.0,0.0,-422.0,0.0,0.0,769.783875,0.0,439.7773633715414,48085.43472721277,3.9288299347136473,0.0,0.0,452.984772,109.4394,0.0,790.926025,63.948524,83.7744400892642,0.0,3.3053104711170302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,829.0,0.0,0.0,0.0,0.0,157.0,0.0,506.0,0.0,85.0
1,1,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,294.0,0.0,429.34411599999993,0.0,294.0,0.0,1.44,1.44,6.506966222245662,180.0,772.9729731616162,949140.182004042,3.5322655533438656,0.0,42009836.0,0.0,0.0,0.0,-422.0,180.0,16.093,763.941345,294.0,438.89592611157883,46667.337924303334,3.909182828938484,180.0,0.0,448.238922,104.47711199999999,16.093,780.354614,64.442459,80.5960865886076,16.093,3.420842350590977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,632.0,1.0,1.0,1.0,0.0,158.0,1.0,475.0,0.0,105.0
2,10,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.69311500000003,0.0,0.0,0.0,0.0,0.0,2.453496935341814,90.0,768.2868050000001,927920.4800035612,3.8269584106079297,0.0,42014720.0,0.0,0.0,0.0,-422.0,90.0,16.093,762.872986,0.0,434.632514861775,44521.032914294934,3.717842512676513,90.0,0.0,443.446411,97.862358,16.093,779.188416,83.33812,89.65473099423619,16.093,3.522723489262527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,347.0,1.0,1.0,1.0,0.0,181.0,1.0,586.0,0.0,75.0
3,11,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,426.68222,0.0,0.0,0.0,1.44,1.44,3.075339359125523,90.0,769.0342521093748,930412.9317481883,4.084619748096748,0.0,42015288.0,0.0,0.0,0.0,-422.0,90.0,16.093,763.022583,0.0,437.8226565055816,44785.603669738346,7.307206329806895,90.0,0.0,463.76886,100.64733899999999,16.093,778.85614,82.202118,89.96938083597884,16.093,3.498252039287498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,378.0,1.0,1.0,1.0,0.0,182.0,1.0,627.0,0.0,78.0
4,12,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,427.764313,0.4,0.0,0.0,1.44,1.44,2.020403507291203,67.5,768.6862855974024,930168.2637188911,3.614208373178481,0.0,42015864.0,0.4,0.4,0.0,-422.0,67.5,16.093,763.291504,0.0,442.570992607937,44754.969558437326,6.260807893164257,67.5,0.0,462.000763,96.480942,16.093,774.875183,84.598129,90.87981026329781,16.093,3.4967537872482106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0,376.0,1.0,1.0,1.0,0.0,152.0,1.0,630.0,0.0,60.0
5,13,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,431.116516,0.0,0.0,0.0,1.44,1.44,7.965194958734046,90.0,769.1633242465751,937813.1046340447,3.629175893783561,0.0,42016436.0,0.0,0.0,0.0,-422.0,90.0,16.093,763.862732,0.0,443.2553518210116,45483.513164181706,4.367144337560402,90.0,0.0,454.390167,120.10603299999998,16.093,774.654785,65.06617,93.85023521568623,16.093,3.4434826036290995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,459.0,1.0,1.0,1.0,0.0,149.0,1.0,514.0,0.0,103.0
6,14,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,72.0,0.0,430.737732,0.0,72.0,0.0,1.44,1.44,10.3089237638149,112.5,772.0024072599999,932244.8374859956,4.983508481956904,0.0,42016976.0,0.0,0.0,0.0,-422.0,112.5,16.093,762.332947,72.0,440.6946494999995,44965.18782312168,3.980417869604823,112.5,0.0,457.679504,109.70726,16.093,787.445679,46.549774,81.04224725032084,16.093,3.637090061594806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,779.0,1.0,1.0,1.0,0.0,172.0,1.0,552.0,0.0,83.0
7,15,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,160.0,0.0,433.293915,0.0,160.0,0.0,4.68,4.68,13.88628398983246,67.5,784.2571060695648,931224.3864581861,10.46814498657008,0.0,42017540.0,0.0,0.0,0.0,-422.0,67.5,16.093,765.786743,160.0,442.2988084902436,44870.95206563818,4.062633773389276,67.5,0.0,460.05490100000003,105.12268099999999,16.093,815.8255,29.707737,71.4158820117097,16.093,3.7288163808889627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,115.0,854.0,1.0,1.0,1.0,0.0,166.0,1.0,410.0,0.0,84.0
8,16,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,165.0,0.0,433.03784200000007,0.0,165.0,0.0,4.68,4.68,10.56067772020473,135.0,805.1435331764702,932867.8434216988,7.8752678981648865,0.0,42018088.0,0.0,0.0,0.0,-422.0,135.0,16.093,784.881531,165.0,442.4490041635876,45042.16512437848,3.7686206145955565,135.0,0.0,453.71694899999994,109.088219,16.093,819.7734379999999,54.416496,83.15553727283644,16.093,3.6136174463126354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,832.0,1.0,1.0,1.0,0.0,181.0,1.0,379.0,0.0,67.0
9,17,2020-05-01,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2400000000000007,586.0,0.0,430.01828,0.0,586.0,0.0,3.2400000000000007,3.2400000000000007,16.166624534476686,135.0,793.8519671025638,937924.8675146559,6.496509622224997,0.0,42018604.0,0.0,0.0,0.0,-422.0,135.0,16.093,782.434082,586.0,441.48776364048337,45524.41244984825,3.652490664096053,135.0,0.0,450.349854,105.914864,16.093,809.4798580000001,24.726059,72.4931260165289,16.093,3.5122357249875145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,847.0,1.0,1.0,1.0,0.0,158.0,1.0,331.0,0.0,86.0
