,groupRef,typeRef,unit,value
2020-03-16 02:20:00+00:00,weatherRef,UBC Sunrise,omit,False
2020-03-16 07:00:00+00:00,weatherRef,UBC HDDs,°daysC,0.462500
2020-03-16 07:00:00+00:00,weatherRef,UBC CDDs,°daysC,0.000000
2020-03-16 07:00:00+00:00,weatherRef,UBC Max Acceptable Temp,°C,23.151111
2020-03-16 14:00:00+00:00,weatherRef,UBC Precipitation Type,omit,rain
2020-03-16 14:23:00+00:00,weatherRef,UBC Sunrise,omit,True
2020-03-16 16:00:00+00:00,weatherRef,UBC Temp,°C,4.700000
2020-03-16 16:00:00+00:00,weatherRef,UBC Visibility,km,16.093000
2020-03-16 16:00:00+00:00,weatherRef,UBC Precipitation Intensity,mm,0.000000
2020-03-16 16:00:00+00:00,weatherRef,UBC Dewpoint,°C,-3.650000
2020-03-16 16:00:00+00:00,weatherRef,UBC Windspeed,m/s,1.440000
2020-03-16 16:00:00+00:00,weatherRef,UBC Cloud Cover,%,0.000000
2020-03-16 16:00:00+00:00,weatherRef,UBC Pressure,kPa,102.459999
2020-03-16 16:00:00+00:00,weatherRef,UBC Wind Bearing,deg,90.000000
2020-03-16 16:00:00+00:00,weatherRef,UBC Humidity,%RH,52.000000
2020-03-16 16:00:00+00:00,weatherRef,UBC Solar Radiation,W/m²,192.000000
2020-03-16 16:00:00+00:00,weatherRef,UBC Precipitation Probability,%,0.000000
2020-03-16 16:00:00+00:00,weatherRef,UBC Condition,omit,clear
2020-03-16 16:52:15+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630166
2020-03-16 16:52:15+00:00,weatherRef,UBC Running Mean Temp,°C,5.545958
2020-03-16 16:59:01+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630165
2020-03-16 16:59:01+00:00,weatherRef,UBC Running Mean Temp,°C,5.545956
2020-03-16 17:00:00+00:00,weatherRef,UBC Precipitation Probability,%,0.000000
2020-03-16 17:00:00+00:00,weatherRef,UBC Windspeed,m/s,0.000000
2020-03-16 17:00:00+00:00,weatherRef,UBC Temp,°C,6.400000
2020-03-16 17:00:00+00:00,weatherRef,UBC Dewpoint,°C,-3.510000
2020-03-16 17:00:00+00:00,weatherRef,UBC Visibility,km,16.093000
2020-03-16 17:00:00+00:00,weatherRef,UBC Precipitation Intensity,mm,0.000000
2020-03-16 17:00:00+00:00,weatherRef,UBC Condition,omit,clear
2020-03-16 17:00:00+00:00,weatherRef,UBC Solar Radiation,W/m²,365.000000
2020-03-16 17:00:00+00:00,weatherRef,UBC Pressure,kPa,102.489998
2020-03-16 17:00:00+00:00,weatherRef,UBC Cloud Cover,%,0.000000
2020-03-16 17:00:00+00:00,weatherRef,UBC Humidity,%RH,47.000000
2020-03-16 17:00:00+00:00,weatherRef,UBC Wind Bearing,deg,67.500000
2020-03-16 17:05:43+00:00,weatherRef,UBC Running Mean Temp,°C,5.545954
2020-03-16 17:05:43+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630165
2020-03-16 17:12:15+00:00,weatherRef,UBC Running Mean Temp,°C,5.545952
2020-03-16 17:12:15+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630164
2020-03-16 17:12:28+00:00,weatherRef,UBC Running Mean Temp,°C,5.545951
2020-03-16 17:12:28+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630164
2020-03-16 17:19:01+00:00,weatherRef,UBC Running Mean Temp,°C,5.545949
2020-03-16 17:19:01+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630163
2020-03-16 17:19:17+00:00,weatherRef,UBC Running Mean Temp,°C,5.545949
2020-03-16 17:19:17+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630163
2020-03-16 17:25:43+00:00,weatherRef,UBC Running Mean Temp,°C,5.545947
2020-03-16 17:25:43+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630163
2020-03-16 17:26:05+00:00,weatherRef,UBC Running Mean Temp,°C,5.545947
2020-03-16 17:26:05+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630163
2020-03-16 17:32:28+00:00,weatherRef,UBC Running Mean Temp,°C,5.545945
2020-03-16 17:32:28+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630162
2020-03-16 17:32:50+00:00,weatherRef,UBC Running Mean Temp,°C,5.545945
2020-03-16 17:32:50+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630162
2020-03-16 17:39:17+00:00,weatherRef,UBC Running Mean Temp,°C,5.545943
2020-03-16 17:39:17+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630161
2020-03-16 17:39:32+00:00,weatherRef,UBC Running Mean Temp,°C,5.545943
2020-03-16 17:39:32+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630161
2020-03-16 17:46:05+00:00,weatherRef,UBC Running Mean Temp,°C,5.545941
2020-03-16 17:46:05+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630161
2020-03-16 17:46:21+00:00,weatherRef,UBC Running Mean Temp,°C,5.545941
2020-03-16 17:46:21+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630161
2020-03-16 17:52:50+00:00,weatherRef,UBC Running Mean Temp,°C,5.545939
2020-03-16 17:52:50+00:00,weatherRef,UBC Target Comfort Temp,°C,20.630160
2020-03-16 17:53:12+00:00,weatherRef,UBC Running Mean Temp,°C,5.578619
