,id,ahu,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,boiler,bridgeName,chilled,chiller,close,cmd,co2,condenser,connRef,cool,cooling,coolingTower,cop,count,covTest,cur,curStatus,curVal,current,damper,delta,demand,differential,disMacro,disabled,discharge,effective,efficiency,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heating,heatingMode,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lim,lowLim,max,min,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,pharmAHU05_AV_Alarm,pharmAHU10_VAV_DMP,pharmAHU13_VAV_DMP,pharmAHU1415_AV_Alarm,pharmAHU1415_VAV_DMP,pharmAHU1617_AV_ALARM,pharmAHU1617_VAV_DMP,pharmAHU9_VAV_DMP,pharmCT,pharmHWblr,pharmHeatRejCV,pharmSTMblr,pharmSteamBoilers,pharm_LEF_AFLW,pharm_LEF_Power,pharm_SAV_Test,point,pointType,power,preFilter,pressure,primarySide,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,secondarySide,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,static,submeterAdd,tagTableRef,tags,tank,temp,testUnits,tlName,toTag,tz,unit,utilityPoint,valve,vavMode,voltage,volume,water,wifi,wifiId,zone,mod,equipRefclean,groupRefclean,siteRefclean,uniqueId,uniqueId_nounit
26,@p:ubcv:r:236c8e23-b2715935 Pharmacy Unsorted Points LTG_RLY5,,,,,,@p:ubcv:r:236bb31e-644ab133 PHARMA PHARM_LTG_LVL3_WEST RM3130 (700423),,TL5,,✓,LTG_RLY5,,,,,,,,,@p:ubcv:r:236bb31e-644ab133 PHARMA PHARM_LTG_LVL3_WEST RM3130 (700423),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:50:53.694-07:00 Los_Angeles,2018-11-28T16:32:36.119-08:00 Los_Angeles,,,,,,,,LTG_RLY5,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY5_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:36.686Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY5 Pharmacy LTG_RLY5,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY5 Pharmacy LTG_RLY5
43,@p:ubcv:r:2391c4f4-89d312ee Pharmacy EF-22 EF_22_FAIL_AL_BV_GV,,,,,,@p:ubcv:r:2391a82a-4ca68a87 PHARMA PHARM_FF_101/EF_103 (701252),,TL16,,✓,EF_22_FAIL_AL_BV_GV,,,,,,,,,@p:ubcv:r:2391a82a-4ca68a87 PHARMA PHARM_FF_101/EF_103 (701252),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,"OFF,ON",,@p:ubcv:r:2437ce34-865d9609 Pharmacy EF-22,✓,,,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:44:57.41-07:00 Los_Angeles,2018-11-28T16:32:49.611-08:00 Los_Angeles,,,,,,,,EF_22_FAIL_AL_BV_GV,✓,BV11,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,EF_22_FAIL_AL_BV_GV_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T18:53:30.571Z UTC,Pharmacy EF-22,Pharmacy Air Systems,Pharmacy,Pharmacy EF-22 Pharmacy Air Systems EF_22_FAIL_AL_BV_GV Pharmacy EF_22_FAIL_AL_BV_GV,Pharmacy EF-22 Pharmacy Air Systems EF_22_FAIL_AL_BV_GV Pharmacy EF_22_FAIL_AL_BV_GV
44,@p:ubcv:r:236c8a57-d45576f8 Pharmacy LEF-2 EF-2A EF2_F1_ENAB,,,,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,TL300,,✓,EF2_F1_ENAB,,,,,,✓,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,✓,,,"Off,On",,@p:ubcv:r:24354341-12d81500 Pharmacy LEF-2 EF-2A,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:49:19-07:00 Los_Angeles,,,,55666.0,2018-10-29T08:12:37-07:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:51:54.375-07:00 Los_Angeles,2018-11-28T16:32:38.697-08:00 Los_Angeles,,,,,,,,Exhaust Fan Enable Cmd,,BO1301,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24423bb9-3d9df396 (.+_)?EF_?\d+?_(F\d_)?ENAB(_TL)?,,,,,EF2_F1_ENAB_POLL_TL,,Los_Angeles,,,,,,,,,,,2020-04-09T19:16:25.281Z UTC,Pharmacy LEF-2 EF-2A,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-2 EF-2A Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF2_F1_ENAB,Pharmacy LEF-2 EF-2A Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF2_F1_ENAB
61,@p:ubcv:r:236c8a6c-899aaf30 Pharmacy LEF-1 EF-1A EF1_F1_SPD,,,✓,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,TL306,,✓,EF1_F1_SPD,,,,,,✓,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354340-7bd4827f Pharmacy LEF-1 EF-1A,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:45:00-07:00 Los_Angeles,,,,52082.0,2018-10-29T09:00:00-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:17.861-07:00 Los_Angeles,2018-11-28T16:32:44.381-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed Cmd,,AO2401,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:245ce733-3ddc740a (.+_)?EF\d_F\d_SPD(_CMD)?(_TL)?,,,,,EF1_F1_SPD_CMD_POLL_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:33.799Z UTC,Pharmacy LEF-1 EF-1A,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-1 EF-1A Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF1_F1_SPD%,Pharmacy LEF-1 EF-1A Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF1_F1_SPD%
69,@p:ubcv:r:236c8ab6-180c2022 Pharmacy LEF-3 EF3_HR_INLET_DMP,,,,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,TL11,,✓,EF3_HR_INLET_DMP,,,,,,,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354341-ab03a4e5 Pharmacy LEF-3,✓,,,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:43:20-07:00 Los_Angeles,,,,56430.0,2018-10-26T11:16:09-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:18.538-07:00 Los_Angeles,2018-11-28T16:32:28.483-08:00 Los_Angeles,,,,,,,,EF3_HR_INLET_DMP,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,EF3_HR_INLET_DMP_TL,,Los_Angeles,%,,,,,,,,,,2020-05-02T12:14:31.184Z UTC,Pharmacy LEF-3,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-3 Pharmacy Air Systems EF3_HR_INLET_DMP Pharmacy EF3_HR_INLET_DMP%,Pharmacy LEF-3 Pharmacy Air Systems EF3_HR_INLET_DMP Pharmacy EF3_HR_INLET_DMP%
82,@p:ubcv:r:236c89d6-bc0e9147 Pharmacy Rm 5206 EAV-5E035 5E035_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-c61ba5ec PHARMA PHARM_L4~L6_LAB_TLOG2 Manager (703200),,TL8,,✓,5E035_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-c61ba5ec PHARMA PHARM_L4~L6_LAB_TLOG2 Manager (703200),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f94d-4f42c7ff Pharmacy Rm 5206 EAV-5E035,✓,✓,,,,✓,,@p:ubcv:r:24353a1f-3e4e6d88 Pharmacy Floor 5,,,,,✓,,,,2020-06-05T08:45:00-07:00 Los_Angeles,,,,56119.0,2018-10-29T08:45:00-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:55:12.02-07:00 Los_Angeles,2018-11-28T16:32:30.712-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV8,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,5E035_VLV_FLOW_FDBK_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:36.45Z UTC,Pharmacy Rm 5206 EAV-5E035,Pharmacy Floor 5,Pharmacy,Pharmacy Rm 5206 EAV-5E035 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E035_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 5206 EAV-5E035 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E035_VLV_FLOW_FDBK_AVL/s
199,@p:ubcv:r:236c89f0-e42b135c Pharmacy Rm 6206 EAV-6E023 6E023_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,TL246,,✓,6E023_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f950-43e84a9a Pharmacy Rm 6206 EAV-6E023,✓,✓,,,,✓,,@p:ubcv:r:24353a2d-1dc5b578 Pharmacy Floor 6,,,,,✓,,,,2020-06-05T08:38:59-07:00 Los_Angeles,,,,56256.0,2018-10-28T07:00:23-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:20.151-07:00 Los_Angeles,2018-11-28T16:32:45.76-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV246,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,6E023_VLV_FLOW_FDBK_AV_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:35.768Z UTC,Pharmacy Rm 6206 EAV-6E023,Pharmacy Floor 6,Pharmacy,Pharmacy Rm 6206 EAV-6E023 Pharmacy Floor 6 Exhaust Air Flow Pharmacy 6E023_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 6206 EAV-6E023 Pharmacy Floor 6 Exhaust Air Flow Pharmacy 6E023_VLV_FLOW_FDBK_AVL/s
209,@p:ubcv:r:236c89f0-6b3159a5 Pharmacy Rm 5206 EAV-5E038 5E038_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,TL228,,✓,5E038_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f94d-72212df0 Pharmacy Rm 5206 EAV-5E038,✓,✓,,,,✓,,@p:ubcv:r:24353a1f-3e4e6d88 Pharmacy Floor 5,,,,,✓,,,,2020-06-05T08:38:59-07:00 Los_Angeles,,,,56256.0,2018-10-28T07:00:23-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:20.2-07:00 Los_Angeles,2018-11-28T16:32:47.288-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV228,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,5E038_VLV_FLOW_FDBK_AV_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:35.794Z UTC,Pharmacy Rm 5206 EAV-5E038,Pharmacy Floor 5,Pharmacy,Pharmacy Rm 5206 EAV-5E038 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E038_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 5206 EAV-5E038 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E038_VLV_FLOW_FDBK_AVL/s
298,@p:ubcv:r:236c8ab6-d704d706 Pharmacy LEF-3 EF-3C EF3_F3_ENAB,,,,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,TL229,,✓,EF3_F3_ENAB,,,,,,✓,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,✓,,,,,@p:ubcv:r:24354342-bf0f8c6e Pharmacy LEF-3 EF-3C,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:43:20-07:00 Los_Angeles,,,,55664.0,2018-10-29T08:01:20-07:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:45:18.473-07:00 Los_Angeles,2018-11-28T16:32:50.776-08:00 Los_Angeles,,,,,,,,Exhaust Fan Enable Cmd,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24423bb9-3d9df396 (.+_)?EF_?\d+?_(F\d_)?ENAB(_TL)?,,,,,EF3_F3_ENAB_POLL_TL,,Los_Angeles,,,,,,,,,,,2020-05-02T12:14:31.061Z UTC,Pharmacy LEF-3 EF-3C,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-3 EF-3C Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF3_F3_ENAB,Pharmacy LEF-3 EF-3C Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF3_F3_ENAB
320,@p:ubcv:r:236c8a57-a3ec9db0 Pharmacy LEF-2 EF-2C EF2_F3_SPD,,,✓,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,TL3,,✓,EF2_F3_SPD,,,,,,✓,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354341-0e22a213 Pharmacy LEF-2 EF-2C,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-02-20T08:08:16-08:00 Los_Angeles,,,,120.0,2018-11-23T17:17:10-08:00 Los_Angeles,ok,,,,Number,2020-06-05T08:51:53.315-07:00 Los_Angeles,2018-11-28T16:32:33.591-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed Cmd,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:245ce733-3ddc740a (.+_)?EF\d_F\d_SPD(_CMD)?(_TL)?,,,,,EF2_F3_SPD_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:34.039Z UTC,Pharmacy LEF-2 EF-2C,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-2 EF-2C Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF2_F3_SPD%,Pharmacy LEF-2 EF-2C Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF2_F3_SPD%
