,uniqueId_nounit,id,firstdate,time,groupRef_influx,equipRef_fix,equipRef_influx,navName_influx,siteRef,typeRef,unit_sspark,unit_influx,kind
0,Pharmacy Rm 4202 VAV-4S002 Pharmacy Floor 4 Flow Alarm Pharmacy 4S002_FLOW_ALARM_BV,@p:ubcv:r:236c8a03-8746f474 Pharmacy Rm 4202 VAV-4S002 4S002_FLOW_ALARM_BV,2019-11-21,2019-11-21 23:03:59,Pharmacy Floor 4,Pharmacy Rm 4202 VAV-4S002,Rm 4202 VAV-4S002,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4S002_FLOW_ALARM_BV,,_,Bool
1,Pharmacy Rm 2340 VAV-2S028 Pharmacy Floor 2 Discharge Air Damper Close Cmd Pharmacy VAV_2S028_Dmp_Close,@p:ubcv:r:2391c205-dd433467 Pharmacy Rm 2340 VAV-2S028 VAV_2S028_Dmp_Close,2020-01-07,2020-01-07 21:25:27,Pharmacy Floor 2,Pharmacy Rm 2340 VAV-2S028,Rm 2340 VAV-2S028,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_2S028_Dmp_Close,,omit,Bool
2,Pharmacy FF-103 Pharmacy Floor 1 Scheduled Occupancy Pharmacy FF_103_SCHED_BV,@p:ubcv:r:2391b8c5-3e3d09e9 Pharmacy FF-103 FF_103_SCHED_BV,2020-01-07,2020-01-07 14:00:01,Pharmacy Floor 1,Pharmacy FF-103,FF-103,Scheduled Occupancy,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FF_103_SCHED_BV,,omit,Bool
3,Pharmacy Heating Plant SBLR-3 Pharmacy Hydronic Systems PHARM_SB3_AIR_ACTUATOR_FAULT Pharmacy PHARM_SB3_AIR_ACTUATOR_FAULT,@p:ubcv:r:236c89d4-471854c7 Pharmacy Heating Plant SBLR-3 PHARM_SB3_AIR_ACTUATOR_FAULT,2018-10-30,2018-10-30 21:12:01,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-3,Heating Plant SBLR-3,PHARM_SB3_AIR_ACTUATOR_FAULT,@p:ubcv:r:20545206-9300bfc5 Pharmacy,PHARM_SB3_AIR_ACTUATOR_FAULT,,%,Bool
4,Pharmacy Rm 5202 EAV-5E044 Pharmacy Floor 5 Flow Alarm Pharmacy 5E044_FLOW_ALARM_BV,@p:ubcv:r:236c8a04-5ac5d985 Pharmacy Rm 5202 EAV-5E044 5E044_FLOW_ALARM_BV,2020-01-15,2020-01-15 23:51:54,Pharmacy Floor 5,Pharmacy Rm 5202 EAV-5E044,Rm 5202 EAV-5E044,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5E044_FLOW_ALARM_BV,,_,Bool
5,Pharmacy Windows Pharmacy Floor 3 L3_W_OAT_CLG_AVAIL Pharmacy L3_W_OAT_CLG_AVAIL,@p:ubcv:r:236c8fc9-a3718bb0 Pharmacy Windows L3_W_OAT_CLG_AVAIL,2019-09-13,2019-09-13 23:02:52,Pharmacy Floor 3,Pharmacy Windows,Windows,L3_W_OAT_CLG_AVAIL,@p:ubcv:r:20545206-9300bfc5 Pharmacy,L3_W_OAT_CLG_AVAIL,,_,Bool
6,Pharmacy Rm 6102a VAV-6S004 Pharmacy Floor 6 Exhaust Air Flow Alarm Pharmacy 6S004_6E005_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f9-6913c873 Pharmacy Rm 6102a VAV-6S004 6S004_6E005_EXH_FLOW_ALARM_BV,2019-10-23,2019-10-23 19:56:45,Pharmacy Floor 6,Pharmacy Rm 6102a VAV-6S004,Rm 6102a VAV-6S004,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S004_6E005_EXH_FLOW_ALARM_BV,,_,Bool
7,Pharmacy Rm B407b EAV-BS061 Pharmacy Floor 0 Exhaust Air Flow Alarm Pharmacy BS061_EXH_FLOW_AL_BV,@p:ubcv:r:236c8a40-39df9864 Pharmacy Rm B407b EAV-BS061 BS061_EXH_FLOW_AL_BV,2019-03-19,2019-03-19 15:53:09,Pharmacy Floor 0,Pharmacy Rm B407b EAV-BS061,Pharmacy Rm B407b EAV-BS061,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS061_EXH_FLOW_AL_BV,,_,Bool
8,Pharmacy AHU-18 Pharmacy Air Systems AHU18_NSB_HTG_BV Pharmacy AHU18_NSB_HTG_BV,@p:ubcv:r:236c8a6b-b18b7c81 Pharmacy AHU-18 AHU18_NSB_HTG_BV,2019-06-11,2019-06-11 18:12:04,Pharmacy Air Systems,Pharmacy AHU-18,AHU-18,AHU18_NSB_HTG_BV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU18_NSB_HTG_BV,,°C,Bool
9,Pharmacy Rm 6321 VAV-6S074 Pharmacy Floor 6 Discharge Air Damper Open Cmd Pharmacy VAV_6S074_Dmp_Open,@p:ubcv:r:2391cab4-9b5f6229 Pharmacy Rm 6321 VAV-6S074 VAV_6S074_Dmp_Open,2020-01-07,2020-01-07 20:25:25,Pharmacy Floor 6,Pharmacy Rm 6321 VAV-6S074,Rm 6321 VAV-6S074,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_6S074_Dmp_Open,,omit,Bool
