,index,id,groupRefclean,equipRefclean,siteRef,navName_x,bmsName,unit_x,kind,0
0,0,@p:ubcv:r:236c8a88-c9742760 Pharmacy Heating Plant HX-2 P-HX2A HX2_PHX2A_VFD_PWR(kWh),Pharmacy Hydronic Systems,Pharmacy Heating Plant HX-2 P-HX2A,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Energy,HX2_PHX2A_VFD_PWR(kWh),kWh,Number,
1,1,@p:ubcv:r:236c8a1e-5e449855 Pharmacy Elec Submeters LEED-2N1PC3 2N1PC3_CurrentC,Pharmacy Utilities,Pharmacy Elec Submeters LEED-2N1PC3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Current C,2N1PC3_CurrentC,A,Number,
2,2,@p:ubcv:r:2391be0a-02e78149 Pharmacy Rm Corr FC-513 FCU_513_S,Pharmacy Floor 5,Pharmacy Rm Corr FC-513,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Run ,FCU_513_S,A,Number,
3,3,@p:ubcv:r:2391c062-351afea3 Pharmacy Rm 1420 FC-111 FCU_111_S,Pharmacy Floor 1,Pharmacy Rm 1420 FC-111,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Run ,FCU_111_S,A,Number,
4,4,@p:ubcv:r:236c8a38-ed027843 Pharmacy Elec Submeters LEED-6ETLE1 6ETLE1_CurrentB,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6ETLE1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Current B,6ETLE1_CurrentB,A,Number,
5,5,@p:ubcv:r:236c89f0-1e1c5e2b Pharmacy Rm B503 EAV-BS048 BS048_AVG_SPACE_TEMP_AV,Pharmacy Floor 0,Pharmacy Rm B503 EAV-BS048,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,BS048_AVG_SPACE_TEMP_AV,°C,Number,
6,6,@p:ubcv:r:236c8ab6-741ffb08 Pharmacy AHU-15 AHU15_FIRE_MODE,Pharmacy Air Systems,Pharmacy AHU-15,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU15_FIRE_MODE,AHU15_FIRE_MODE,,Bool,
7,7,@p:ubcv:r:236c8c48-390b4223 Pharmacy Rm 6107 FC-601 FCU_601_SCHED,Pharmacy Floor 6,Pharmacy Rm 6107 FC-601,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Scheduled Occupancy,FCU_601_SCHED,,Bool,
8,8,@p:ubcv:r:2391bf0d-a492c280 Pharmacy Unsorted Points CO2_RM_B212,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CO2_RM_B212,CO2_RM_B212,ppm,Number,
9,9,@p:ubcv:r:236c8feb-55dfe033 Pharmacy CRAH System CRAH-2 CRAH2_LO_RT_AL_BV,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-2,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,CRAH2_LO_RT_AL_BV,,Bool,
10,10,@p:ubcv:r:2391c8e8-b3302f78 Pharmacy Rm 4616 RAD-4-09 RZ4_09_HWRT,Pharmacy Floor 4,Pharmacy Rm 4616 RAD-4-09,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Entering Hot Water Temp,RZ4_09_HWRT,°C,Number,
11,11,@p:ubcv:r:236c8acd-c98ff588 Pharmacy Heating Plant BLR-3 BLR_PB3_S,Pharmacy Hydronic Systems,Pharmacy Heating Plant BLR-3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Pump Run Status,BLR_PB3_S,A,Number,
12,12,@p:ubcv:r:236c89f1-136850b8 Pharmacy EAV-BE001 BE001_SASH_OPEN_PERCENT,Pharmacy Floor 0,Pharmacy EAV-BE001,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BE001_SASH_OPEN_PERCENT,BE001_SASH_OPEN_PERCENT,%,Number,
13,13,@p:ubcv:r:236c8a57-c68b8b92 Pharmacy LEF-2 EF-2C EF2_F3_VFD_INST_PWR(kW),Pharmacy Air Systems,Pharmacy LEF-2 EF-2C,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Power,EF2_F3_VFD_INST_PWR(kW),kW,Number,
14,14,@p:ubcv:r:236c8ab6-fd76abdb Pharmacy LEF-3 EF3_HR_INLET_T,Pharmacy Air Systems,Pharmacy LEF-3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Temp,EF3_HR_INLET_T,°C,Number,
15,15,@p:ubcv:r:236c8ae7-d690d79f Pharmacy Unsorted Points SMOKE_EF_19_S,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Fan Run ,SMOKE_EF_19_S,A,Number,
16,16,@p:ubcv:r:236c8acd-77bfac0f Pharmacy Heating Plant BLR-1 BLR1_SWT,Pharmacy Hydronic Systems,Pharmacy Heating Plant BLR-1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Leaving Hot Water Temp,BLR1_SWT,°C,Number,
17,17,@p:ubcv:r:236c8a1e-a8ad2986 Pharmacy Elec Submeters LEED-2N1PC3 2N1PC3_Demand,Pharmacy Utilities,Pharmacy Elec Submeters LEED-2N1PC3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Demand,2N1PC3_Demand,W,Number,
18,18,@p:ubcv:r:236c89f0-de523529 Pharmacy Rm B602 EAV-BS017 BS017_AVG_SPACE_TEMP_AV,Pharmacy Floor 0,Pharmacy Rm B602 EAV-BS017,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,BS017_AVG_SPACE_TEMP_AV,°C,Number,
19,19,@p:ubcv:r:2391c894-4025e37a Pharmacy Rm 4602 RAD-4-12 RZ4_12_RT_SP,Pharmacy Floor 4,Pharmacy Rm 4602 RAD-4-12,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp Effective Sp,RZ4_12_RT_SP,°C,Number,
20,20,@p:ubcv:r:226cf1e9-e32b6941 Pharmacy Cooling Plant Chiller System CHLR_PCH4A_FAIL_AL_BV,Pharmacy Hydronic Systems,Pharmacy Cooling Plant Chiller System,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,CHLR_PCH4A_FAIL_AL_BV,,Bool,
21,22,@p:ubcv:r:236c8a6b-d60f9e28 Pharmacy LEF-1 EF-1C EF1_F3_VFD_PWR(kWh),Pharmacy Air Systems,Pharmacy LEF-1 EF-1C,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Energy,EF1_F3_VFD_PWR(kWh),kWh,Number,
22,23,@p:ubcv:r:2391bb4a-434c27e7 Pharmacy Rm 2201 FC-206 FCU_206_CCV,Pharmacy Floor 2,Pharmacy Rm 2201 FC-206,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Cooling Valve Cmd,FCU_206_CCV,%,Number,
23,24,@p:ubcv:r:2391ca4a-3e90a1a6 Pharmacy Rm 5527 RAD-5-06 RZ5_06_HWRT_HILIM_SP,Pharmacy Floor 5,Pharmacy Rm 5527 RAD-5-06,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Entering Hot Water Temp Max Sp,RZ5_06_HWRT_HILIM_SP,°C,Number,
24,26,@p:ubcv:r:236c9051-2187d15b Pharmacy HW Submeters FM-7 MV_PHARM_FM7_BTU_P7_DATA_CTR_LWT_TL,Pharmacy Utilities,Pharmacy HW Submeters FM-7,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Leaving Water Temp,MV_PHARM_FM7_BTU_P7_DATA_CTR_LWT_TL,°C,Number,
25,29,@p:ubcv:r:236c8a99-6f587ea2 Pharmacy AHU-09 AHU9_HCDT,Pharmacy Air Systems,Pharmacy AHU-09,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU9_HCDT,AHU9_HCDT,°C,Number,
26,32,@p:ubcv:r:263d7bd5-fde756e1 Pharmacy Unsorted Points CHLR3_LO_TMP,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHLR3_LO_TMP,CHLR3_LO_TMP,,Bool,
