,0
id,126
ahu,18
air,46
alarm,33
avg,20
bacnetConnRef,116
bacnetCur,106
bacnetHis,50
bacnetObjectId,26
bacnetPoint,117
bacnetWriteLevel,7
bmsName,52
bridgeName,30
cmd,44
co2,29
connRef,125
cooling,31
count,30
covTest,15
cur,118
curConvert,101
curStatus,118
curVal,116
damper,40
delta,108
deltaTempPoint,99
differential,28
disMacro,126
discharge,45
dxCoilMode,1
effective,40
elec,102
elecMeterLoad,13
energy,125
entering,114
enum,48
equipName,40
equipRef,126
exhaust,40
fan,42
feedback,21
filter,25
flow,111
groupRef,126
heat,22
heating,40
his,126
hisCollectCov,118
hisCollectInterval,118
hisConvert,42
hisEnd,125
hisErr,39
hisFunc,105
hisMode,126
hisSize,125
hisStart,125
hisStatus,125
hisTotalized,124
hot,118
jci,22
johnson,9
kind,126
lastSynced,50
lastTagged,37
leaving,114
low,18
min,9
mixed,33
mode,30
navName,126
newPoint,1
noTagMatch,48
objectId,53
occ,42
occupancyIndicator,6
oldPoint,1
opcConnRef,92
opcCur,92
opcPoint,91
outside,39
point,126
pointType,74
power,123
preFilter,10
pressure,37
primaryLoop,22
pump,44
quantityID,121
reliability,26
roomRef,23
run,43
runtime,23
scheduleOcc,30
scheduled,11
sensor,126
siteRef,126
sourceID,121
sp,43
speed,37
sqlConnRef,121
sqlPoint,123
tagTableRef,44
temp,117
tlName,48
tz,126
unit,126
utilityPoint,124
valve,39
vfd,2
volume,88
water,124
waterMeterLoad,4
wifi,30
wifiId,30
writable,6
writeLevel,6
writeStatus,6
zachName,19
zone,43
zones,3
mod,126
boiler,10
chilled,29
chiller,13
cool,17
deb,1
emergency,2
enable,35
gas,23
heatPump,5
heatinging,1
humidity,27
max,9
perimeterHeat,14
ptRef,1
return,37
reversing,3
secondaryLoop,7
standby,1
tags,20
temporary,3
temporaryOccupancy,2
test2,1
testApi,1
unnocupied,1
unocc,1
autoSorted,1
base,2
condenser,17
curErr,8
esc,26
highLim,17
hrv,1
lowLim,17
navname,1
schedulable,1
scheduleRef,1
static,15
testName,1
testUnits,14
bypass,14
des,1
domestic,14
heatRecovery,8
nestHW,1
primarySide,4
slab,1
smokeDetector,1
sump,2
toTag,10
uh,1
warmCoomAdjust,1
submeterAdd,12
ahuMode,5
capacity,1
close,7
co,2
current,4
header,1
heatingMode,6
hvac,1
inMind,1
level,1
motion,3
occumancy,2
open,7
pool,1
secondarySide,5
shortName,6
tank,5
test2019,5
uv,1
vavMode,9
volt,2
voltage,3
beatyAHU2_VAV_DMP,1
beatyDSP_MV,1
beatyFH,1
beatyRTU1_VAV_DMP,1
beatyRTU2_VAV_DMP,1
beatyRTU3_VAV_DMP,1
beatyRTU4_VAV_DMP,1
beatyRTU5_VAV_DMP,1
beaty_MAD_MV,1
final,4
mixing,10
proj_1830_3W2W,5
bios_L2_SAV_FLW_SP,1
bios_L3_SAV_FLW_SP,1
bios_L4_SAV_FLW_SP,1
changeover,3
cm_BIOS_DHW,1
comp,5
coolingTower,13
custom,5
demand,6
disable,1
disabled,10
humidifier,5
modulating,3
ptTest,6
reheat,3
stage1,1
stage2,1
stage3,1
stage4,1
stage5,1
stage6,1
stage7,1
stage8,1
stageDemanded,3
stageRequired,3
supply,2
biowAHU1_2_3pumpVFD,1
biow_L2_SAV_FLW_SP,1
biow_L3_SAV_FLW_SP,1
biow_L4_SAV_FLW_SP,1
biow_SAV_HCV,1
projectColin,1
rad,2
recovery,1
condensate,1
hotWater,1
sqlSource,16
steam,2
alturaCooling,1
alturaHeating,1
brimMAU,1
brim_VAVE_DMP,1
brim_VAVS_FLW,1
brim_VAV_DMP,1
fumeHood,2
hisOnWrite,1
limit,1
qmi_EVAV_DMP,1
submeterSub,2
preheat,4
apparent,1
efficiency,3
nox,1
o2,1
real,1
ccmAHU4pumpVFD,1
ccmAHU5pumpVFD,1
ccmControlsOptMV,1
ccmFCU,1
ccmHPTest,1
ccmHeat,1
ccmHeatRecoveryMV,1
dupOld2,3
lead,1
rate,1
unknown,2
chanGunnDeepDive,1
frank,1
siemens,6
siemensName,1
window,2
chbeSPRMV,1
chemC_CPP,1
district,2
dump,1
pointRef,5
chemN_1809_FHOpt,1
chemN_CPP,1
bmsName2,1
dupOld,2
freq,1
occupancy,2
testPts,1
average,3
ancillaryImport,6
unknownConn,4
chller,2
bacnetDis,2
control,1
emission,1
esbBLR,1
esbHP,1
esbHRS,1
esbNorthVAV,1
esbPumpdP,1
esbRm1013CO2,1
esbSouthRoomTemp,1
esbSouthVAV,1
esbSouth_VAV_MV,1
esb_staticPressureReset,1
ghg,1
in,1
isolation,1
out,1
tesTag,1
tmxNb,1
tower,1
transfer,2
bacnetDesc,1
fsc3W2WConversion1830,1
fscVAVsetback1815,1
high,1
spray,1
tt0724,1
command,1
linked,1
load,2
noMatch,1
subEquipRef,1
freezeStat,1
heatWheel,2
status,1
test,1
lifeBAHU1_VAV,1
lifeBAHU2_VAV,1
lifePHAHU1_VAV,1
life_B_AHU2,1
life_PHAHU2_VAV,1
vav,1
mslMultiPts,1
mslNameMatch,1
mslOk,1
newFixed,1
old,1
reheating,1
moaAHU_CMD,1
moaAHU_SA,1
moaAHU_SP,1
moaSteam,1
setpointRef,1
orchSchedMV,1
pressur,1
consumption,1
parcHtgEnergy,1
parc_Meter,1
cop,1
lim,1
pharmAHU05_AV_Alarm,1
pharmAHU10_VAV_DMP,1
pharmAHU13_VAV_DMP,1
pharmAHU1415_AV_Alarm,1
pharmAHU1415_VAV_DMP,1
pharmAHU1617_AV_ALARM,1
pharmAHU1617_VAV_DMP,1
pharmAHU9_VAV_DMP,1
pharmCT,1
pharmHWblr,1
pharmHeatRejCV,1
pharmSTMblr,1
pharmSteamBoilers,1
pharm_LEF_AFLW,1
pharm_LEF_Power,1
pharm_SAV_Test,1
gasMeterLoad,1
TOTAL_BUILDINGS,126
