id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,curStatus,disMacro,discharge,effective,enable,entering,enum,equipName,equipRef,fan,groupRef,his,hisConvert,hisEnd,hisErr,hisSize,hisStart,hisStatus,hot,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,occ,outside,point,pump,run,scheduleOcc,scheduled,sensor,siteRef,sp,tagTableRef,tags,temp,tlName,tz,unit,water,zachName,mod
@p:ubcv:r:23d50f76-a982d1d1 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.SHWS2-T,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000464,✓,JCL-NAE10/FCB.Local Application.SHWS2-T,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",23238,2019-01-13T15:00:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:20.774-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.SHWS2-T,✓,AI3000121,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.SHWS2-T.Trend1,Los_Angeles,°C,"",SHWS2-T,2020-04-09T19:01:58.599Z UTC
@p:ubcv:r:23d50f76-8fb92859 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10---FEC-06.SP1-A,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000068,✓,JCL-NAE10/FCB.JCL-NAE10---FEC-06.SP1-A,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","",",","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"","","bacnet::ConfirmedServiceErr: [15] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",fault,"",✓,Bool,2020-05-12T12:37:47.641-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10---FEC-06.SP1-A,✓,BI3000030,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","","",Los_Angeles,"","","",2020-04-08T18:52:35.554Z UTC
@p:ubcv:r:23d50f76-4ba60121 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.SHWP8-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000480,✓,JCL-NAE10/FCB.Local Application.SHWP8-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:06-08:00 Los_Angeles,"",4194,2019-03-19T16:30:12-07:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.423-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.SHWP8-S,✓,BI3000146,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.SHWP8-S.Trend1,Los_Angeles,"","",SHWP8-S,2020-04-08T18:55:37.192Z UTC
@p:ubcv:r:23d50f76-9f3954df Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.ZN3DP-SP,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000501,✓,JCL-NAE10/FCB.Local Application.ZN3DP-SP,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:06-08:00 Los_Angeles,"",10,2019-05-31T14:36:13-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:13.433-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.ZN3DP-SP,✓,AV3000189,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.ZN3DP-SP.Trend1,Los_Angeles,kPa,"",ZN3DP-SP,2020-04-09T19:01:58.6Z UTC
@p:ubcv:r:23d50f76-6d0fcbb4 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.BP2-O,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000483,✓,JCL-NAE10/FCB.Local Application.BP2-O,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",69220,2019-01-16T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:20.916-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.BP2-O,✓,AO3000205,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.BP2-O.Trend1,Los_Angeles,%,"",BP2-O,2020-04-09T19:01:58.601Z UTC
@p:ubcv:r:23d50f76-7ab078f0 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT2-T,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000512,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT2-T,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",23238,2019-01-13T15:00:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:20.782-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT2-T,✓,AI3000093,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT2-T.Trend1,Los_Angeles,°C,"",DHWT2-T,2020-04-09T19:01:58.602Z UTC
@p:ubcv:r:23d50f77-302ae4a9 Acadia Park HR Unsorted Points P11 JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P11-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000522,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P11-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $equipName $bmsName,"","","","","Off,On",P11,@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:06-08:00 Los_Angeles,"",11,2019-05-31T14:36:14-07:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.446-07:00 Los_Angeles,"","",Run Status,"",BI3000084,"","",✓,✓,✓,"","",✓,@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P11-S.Trend1,Los_Angeles,"","",P11-S,2020-05-12T11:03:27.576Z UTC
@p:ubcv:r:23d50f76-eef40975 Acadia Park HR Unsorted Points P3 JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P3-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000518,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P3-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $equipName $bmsName,"","","","","Off,On",P3,@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-02-15T14:12:07-08:00 Los_Angeles,"",13550,2019-02-20T21:29:34-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.643-07:00 Los_Angeles,"","",Run Status,"",BI3000081,"","",✓,✓,✓,"","",✓,@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P3-S.Trend1,Los_Angeles,"","",P3-S,2020-05-12T11:03:27.728Z UTC
@p:ubcv:r:23d50f76-e8e3f406 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.BP2-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000475,✓,JCL-NAE10/FCB.Local Application.BP2-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T13:59:08-07:00 Los_Angeles,"",7814,2019-03-18T14:34:55-07:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.758-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.BP2-S,✓,BI3000134,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.BP2-S.Trend1,Los_Angeles,"","",BP2-S,2020-04-08T18:55:36.777Z UTC
@p:ubcv:r:24ccc7ca-8ad5d7e8 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-06.Sump ALARM,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000901,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-06.Sump ALARM,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Normal,Alarm","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"-1 enumNumberToStr(self, false)",2020-02-25T18:39:29-08:00 Los_Angeles,"",24,2019-10-24T12:38:25-07:00 Los_Angeles,ok,"",✓,Str,2020-05-12T14:00:13.666-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-06.Sump ALARM,✓,MSV3000564,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-06.Sump ALARM.Trend1,Los_Angeles,"","",Sump ALARM,2020-04-08T18:50:09.261Z UTC
