id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,submeterAdd,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:25fab623-ae8d6e16 Life Sci HW Submeters High Temp HW Meter Water Delta Temp,"","","","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20817ed4-b0c540a8 Life Sci HW Submeters High Temp HW Meter,"",@p:ubcv:r:233e8755-ab3c4740 Life Building Utilities,✓,"","","",deltaTemp,"","","","","","",Number,"",Water Delta Temp,"","","","",✓,"","","","","",@p:ubcv:r:205358f2-4eff8d0a Life Sci,"","","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-03-10T20:34:26.318Z UTC
@p:ubcv:r:263b76be-45a9d551 Life Sci Water Main Meter Consumption,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,979610m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a63963-dee290f1 Life Sci Water Main Meter,"",@p:ubcv:r:21697fca-a3dfce4b Life Sci Utilities,✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"",consumption,319755,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Life_529_B.Water_Volume,✓,✓,"","",10394,"",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,163,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:55.316Z UTC
@p:ubcv:r:2229fd98-4d2ee136 Life Sci HW Submeters Low Temp HW Meter Power,@p:ubcv:r:21cad099-ebf58f82 LSC Low DES Meter,AI5,"",✓,"",@p:ubcv:r:21cad099-ebf58f82 LSC Low DES Meter,"",✓,MW => kW,ok,247.00000882148743kW,"","",$equipRef $navName,"","","",@p:ubcv:r:222a03b1-99ed22d7 Life Sci HW Submeters Low Temp HW Meter,"",@p:ubcv:r:21697fca-a3dfce4b Life Sci Utilities,✓,49.75668430336725kW,15min,2020-05-12T15:39:00-07:00 Los_Angeles,"",cov,678872,2016-05-05T14:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","",✓,"",✓,"","",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,"","","","","",Los_Angeles,kW,"","",✓,"","",2020-05-12T08:00:09.846Z UTC
@p:ubcv:r:2229fd48-d331cb68 Life Sci HW Submeters Low Temp HW Meter Energy,@p:ubcv:r:21cad099-ebf58f82 LSC Low DES Meter,AI1,"",✓,"",@p:ubcv:r:21cad099-ebf58f82 LSC Low DES Meter,"",✓,MWh => kWh,ok,2.147830078125E7kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:222a03b1-99ed22d7 Life Sci HW Submeters Low Temp HW Meter,"",@p:ubcv:r:21697fca-a3dfce4b Life Sci Utilities,✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"","",146217,2016-02-24T10:45:00-08:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","",✓,✓,"",10589,"",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,163,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,"","",✓,"","",2019-11-25T22:46:15.074Z UTC
@p:ubcv:r:21dffdae-4c5c315d Life Sci HW Submeters High Temp HW Meter Leaving Water Temp,@p:ubcv:r:21cad0a8-364fd646 LSC High DES Meter,AI10,"",✓,"",@p:ubcv:r:21cad0a8-364fd646 LSC High DES Meter,"",✓,"",ok,44.82999801635742°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20817ed4-b0c540a8 Life Sci HW Submeters High Temp HW Meter,"",@p:ubcv:r:21697fca-a3dfce4b Life Sci Utilities,✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",cov,300589,2018-01-03T16:40:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,"","","","",✓,Los_Angeles,°C,"","",✓,"","",2020-02-03T20:00:17.695Z UTC
@p:ubcv:r:21dffdae-8d7fa427 Life Sci HW Submeters High Temp HW Meter Entering Water Temp,@p:ubcv:r:21cad0a8-364fd646 LSC High DES Meter,AI9,"",✓,"",@p:ubcv:r:21cad0a8-364fd646 LSC High DES Meter,"",✓,"",ok,78.90999603271484°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20817ed4-b0c540a8 Life Sci HW Submeters High Temp HW Meter,"",@p:ubcv:r:21697fca-a3dfce4b Life Sci Utilities,✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",cov,155992,2018-01-03T16:40:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,"","","","",✓,Los_Angeles,°C,"","",✓,"","",2020-02-03T20:00:09.777Z UTC
@p:ubcv:r:264326b7-30e454c6 Life Sci Elec Submeters Elec B Power,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,588.3895874023438kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:23d38844-bc73d185 Life Sci Elec Submeters Elec B,"",@p:ubcv:r:21697fca-a3dfce4b Life Sci Utilities,✓,8.761843649033752kW,15min,2020-05-12T15:40:54-07:00 Los_Angeles,"","",423067,2010-12-31T16:00:00-08:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Life_529_B.Elec_Power,✓,✓,"",✓,116,"",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,163,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.845Z UTC
@p:ubcv:r:21e03364-21cdbfa8 Life Sci HW Submeters Low Temp HW Meter Leaving Water Temp,@p:ubcv:r:21cad099-ebf58f82 LSC Low DES Meter,AI10,"",✓,"",@p:ubcv:r:21cad099-ebf58f82 LSC Low DES Meter,"",✓,"",ok,45.2599983215332°C,"","",$equipRef $navName,"","","",@p:ubcv:r:222a03b1-99ed22d7 Life Sci HW Submeters Low Temp HW Meter,"",@p:ubcv:r:21697fca-a3dfce4b Life Sci Utilities,✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",cov,528825,2018-01-03T16:40:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,"","","","",✓,Los_Angeles,°C,"","",✓,"","",2020-02-03T20:00:16.054Z UTC
@p:ubcv:r:222a0391-96722e3b Life Sci HW Main Meter Power,"","","","","","","","","","","","","",$equipRef $navName,"","","",@p:ubcv:r:222a0391-0443d439 Life Sci HW Main Meter,"",@p:ubcv:r:21697fca-a3dfce4b Life Sci Utilities,✓,"","","",virtualMeter,"","","","","",✓,Number,"",Power,"","","","",✓,"",✓,"","",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,"","","","@p:ubcv:r:208180e5-cadc66f5, @p:ubcv:r:2229fd98-4d2ee136","",Los_Angeles,kW,✓,"",✓,"","",2020-05-06T19:21:27.407Z UTC
@p:ubcv:r:242bd70b-53ff70f3 Life Sci Rm 1008 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV357,✓,529.FLR1.AH12-1008,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:242bcc5e-3d9ba972 Life Sci Wifi,✓,"","",2020-05-12T15:40:00-07:00 Los_Angeles,"",cov,88847,2019-03-25T11:15:13-07:00 Los_Angeles,"","","",Number,"",Rm 1008 Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:205358f2-4eff8d0a Life Sci,"","","","","",Los_Angeles,"","","","",✓,447,2020-02-26T18:09:23.579Z UTC
