id,alarm,ancillaryImport,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,cmd,connRef,disMacro,elec,enable,energy,entering,enum,equipName,equipRef,esc,groupRef,his,hisEnd,hisMode,hisSize,hisStart,hisStatus,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,point,pump,runtime,sensor,siteRef,sp,speed,tagTableRef,temp,tlName,tz,unit,water,mod
@p:ubcv:r:2527d640-c782f4c2 Totem Park Res - Dene/Nootka Elec Main Meter Energy,"",✓,"","","","","","",$equipRef $navName,✓,"",✓,"","","",@p:ubcv:r:2527d640-7dfb15c5 Totem Park Res - Dene/Nootka Elec Main Meter,"",@p:ubcv:r:2527d63f-0d13a668 Totem Park Res - Dene/Nootka Utilities,✓,2020-01-01T00:00:00-08:00 Los_Angeles,consumption,201700,2014-04-01T00:00:00-07:00 Los_Angeles,"","",Number,"","",Energy,"","",✓,"","",✓,@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"","","","","",Los_Angeles,kWh,"",2020-04-28T00:03:35.757Z UTC
@p:ubcv:r:23f8ae31-0b6c901a Totem Park Res - Dene/Nootka DES Connection 540_HX1_P1_SPD_FB,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL1,✓,540_HX1_P1_SPD_FB,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","",P1,@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,2020-05-12T19:17:02-07:00 Los_Angeles,"",1472,2019-03-26T10:13:16-07:00 Los_Angeles,ok,"",Number,2020-05-12T20:27:32.449-07:00 Los_Angeles,"","Pump Speed ","",AI1,✓,✓,"",✓,@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"",✓,@p:ubcv:r:2401ebb6-3c9c8fdd (.+_)?P\d+(VFD)?_SPD_FB(_PERCENT|_PCT)?(_TL)?,"",540_HX1_P1_SPD_FB_TL,Los_Angeles,%,"",2020-05-13T00:03:40.884Z UTC
@p:ubcv:r:23f8ae31-564a93e6 Totem Park Res - Dene/Nootka DES Connection 540_HX1_HTG_EN_BV,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL36,✓,540_HX1_HTG_EN_BV,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,2020-05-12T19:14:42-07:00 Los_Angeles,"",442,2019-03-21T12:42:29-07:00 Los_Angeles,ok,"",Bool,2020-05-12T20:27:31.754-07:00 Los_Angeles,"",540_HX1_HTG_EN_BV,✓,BV9,✓,"","","",@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"","","","",540_HX1_HTG_EN_BV_TL,Los_Angeles,"","",2020-05-13T00:03:40.884Z UTC
@p:ubcv:r:23f8ae31-c45ba31d Totem Park Res - Dene/Nootka DES Connection 540_HX1_HILIMIT_PROT,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL43,✓,540_HX1_HILIMIT_PROT,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,"","","","",ok,"",Bool,2020-05-12T20:27:33.056-07:00 Los_Angeles,"",540_HX1_HILIMIT_PROT,✓,BV8,✓,"","","",@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"","","","",540_HX1_HILIMIT_PROT_TL,Los_Angeles,"","",2020-05-13T00:03:40.884Z UTC
@p:ubcv:r:23f8ae31-23e7956a Totem Park Res - Dene/Nootka DES Connection 540_HX1_FLW_SW,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL18,✓,540_HX1_FLW_SW,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,"","","","",ok,"",Bool,2020-05-12T20:27:33.077-07:00 Los_Angeles,"",540_HX1_FLW_SW,✓,BI6,✓,"","","",@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"","","","",540_HX1_FLW_SW_TL,Los_Angeles,"","",2020-05-13T00:03:40.884Z UTC
@p:ubcv:r:23f8ae31-14fe7c3b Totem Park Res - Dene/Nootka DES Connection 540_HX1_P1_SPD,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL23,✓,540_HX1_P1_SPD,✓,@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","",P1,@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,2020-05-12T19:17:02-07:00 Los_Angeles,"",3624,2019-03-26T10:13:15-07:00 Los_Angeles,ok,"",Number,2020-05-12T20:27:32.245-07:00 Los_Angeles,"",Pump Speed Cmd,"",AO2,✓,✓,"","",@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"",✓,@p:ubcv:r:23e65d0f-375a5dca .+_P(HX)?\d+[A-Z]?(_VFD)?_SPD(_AV)?(_TL)?,"",540_HX1_P1_SPD_TL,Los_Angeles,%,"",2020-05-13T00:03:40.884Z UTC
@p:ubcv:r:23f8ae31-e4e097ea Totem Park Res - Dene/Nootka DES Connection 540_HX1_HTG_DMD,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL34,✓,540_HX1_HTG_DMD,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,"","","","",ok,"",Bool,2020-05-12T20:27:33.088-07:00 Los_Angeles,"",540_HX1_HTG_DMD,✓,BV3,✓,"","","",@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"","","","",540_HX1_HTG_DMD_TL,Los_Angeles,"","",2020-05-13T00:03:40.884Z UTC
@p:ubcv:r:23f8ae31-df0cec93 Totem Park Res - Dene/Nootka DES Connection 540_HX1_LOAD_DP_SP,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL49,✓,540_HX1_LOAD_DP_SP,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","","",@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,"","","","",ok,"",Number,2020-05-12T20:27:33.099-07:00 Los_Angeles,"",540_HX1_LOAD_DP_SP,✓,AV5,✓,"","","",@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"","","","",540_HX1_LOAD_DP_SP_TL,Los_Angeles,psi,"",2020-05-13T00:03:40.884Z UTC
@p:ubcv:r:23f8ae31-c0299cc8 Totem Park Res - Dene/Nootka DES Connection 540_DHX1_FLW_SW*********,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL19,✓,540_DHX1_FLW_SW*********,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,"","","","",ok,"",Bool,2020-05-12T20:27:33.108-07:00 Los_Angeles,"",540_DHX1_FLW_SW*********,✓,BI9,✓,"","","",@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"","","","",540_DHX1_FLW_SW_TL,Los_Angeles,"","",2020-05-13T00:03:40.884Z UTC
@p:ubcv:r:23f8ae31-ca77c2e4 Totem Park Res - Dene/Nootka DES Connection 540_DHX1_CV_1S,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL26,✓,540_DHX1_CV_1S,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","","",@p:ubcv:r:264df459-1fd2fc10 Totem Park Res - Dene/Nootka DES Connection,✓,@p:ubcv:r:264df4c1-bd11ef71 Totem Park Res - Dene/Nootka Hydronic System,✓,2020-05-12T20:20:33-07:00 Los_Angeles,"",428255,2019-02-14T07:26:57-08:00 Los_Angeles,ok,"",Number,2020-05-12T20:27:35.67-07:00 Los_Angeles,"",540_DHX1_CV_1S,✓,AO5,✓,"","","",@p:ubcv:r:24c1145a-d3f32331 Totem Park Res - Dene/Nootka,"","","","",540_DHX1_CV_1S_TL,Los_Angeles,%,"",2020-05-13T00:03:40.884Z UTC
