id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,primaryLoop,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,submeterAdd,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:21cb0579-36010c90 Ansoc HW Submeters HW Submeter 1 Entering Water Temp,@p:ubcv:r:21cae734-f7a57082 ANSO DES Meter 1,AI9,✓,@p:ubcv:r:21cae734-f7a57082 ANSO DES Meter 1,✓,"",ok,35.130001068115234°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:21fd2c3d-8064169e Ansoc HW Submeters HW Submeter 1,"",@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,0.5°C,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",cov,175367,2017-12-18T15:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","",✓,"",✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,"","","","",✓,Los_Angeles,°C,"",✓,2020-05-06T18:24:25.299Z UTC
@p:ubcv:r:237f6091-1ded3c54 Ansoc HW Main Meter Flow,"","","","","","","","","","",$equipRef $navName,"","","",@p:ubcv:r:2094ed2e-46bfc223 Ansoc HW Main Meter,✓,@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,"","","",virtualMeter,consumption,"","","","",✓,Number,"",Flow,"","","",✓,"","","","",✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,"","","","@p:ubcv:r:21cb060e-724fcd0b, @p:ubcv:r:21cb0651-b8af298a","",Los_Angeles,L/s,✓,✓,2020-04-28T00:03:36.27Z UTC
@p:ubcv:r:21cb060e-724fcd0b Ansoc HW Submeters HW Submeter 1 Flow,@p:ubcv:r:21cae734-f7a57082 ANSO DES Meter 1,AI4,✓,@p:ubcv:r:21cae734-f7a57082 ANSO DES Meter 1,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:21fd2c3d-8064169e Ansoc HW Submeters HW Submeter 1,✓,@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,0.25L/s,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",cov,167817,2017-01-01T00:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","",✓,"",✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,"","","","","",Los_Angeles,L/s,"",✓,2020-05-06T18:24:25.299Z UTC
@p:ubcv:r:21cb0651-b8af298a Ansoc HW Submeters HW Submeter 2 Flow,@p:ubcv:r:21cae760-6641a783 ANSO DES Meter 2,AI4,✓,@p:ubcv:r:21cae760-6641a783 ANSO DES Meter 2,✓,L/h => L/s,ok,0.09999999999999999L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:21fd2d7e-efa7ff1f Ansoc HW Submeters HW Submeter 2,✓,@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,0.25L/s,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",cov,412693,2017-12-18T15:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","",✓,"",✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,"","","","","",Los_Angeles,L/s,"",✓,2020-05-06T18:24:25.299Z UTC
@p:ubcv:r:21f15d60-24ca75d0 Ansoc HW Main Meter Energy,"","","","","","","","","","",$equipRef $navName,"",✓,"",@p:ubcv:r:2094ed2e-46bfc223 Ansoc HW Main Meter,"",@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,"","","",virtualMeter,consumption,"","","",✓,✓,Number,"",Energy,"","","",✓,"","","","",✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,"","","","@p:ubcv:r:21f115b7-5daa28cd, @p:ubcv:r:21f11611-7648a509","",Los_Angeles,kWh,✓,✓,2020-05-06T18:24:57.916Z UTC
@p:ubcv:r:21f1164c-8a221d67 Ansoc HW Submeters HW Submeter 2 Power,@p:ubcv:r:21cae760-6641a783 ANSO DES Meter 2,AI5,✓,@p:ubcv:r:21cae760-6641a783 ANSO DES Meter 2,✓,"",ok,0.800000011920929kW,"","",$equipRef $navName,"","","",@p:ubcv:r:21fd2d7e-efa7ff1f Ansoc HW Submeters HW Submeter 2,"",@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,5kW,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",cov,441010,2018-01-16T12:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,✓,"",✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,"","","","","",Los_Angeles,kW,"",✓,2020-05-12T08:00:09.714Z UTC
@p:ubcv:r:21cb0651-58cb7c7f Ansoc HW Submeters HW Submeter 2 Entering Water Temp,@p:ubcv:r:21cae760-6641a783 ANSO DES Meter 2,AI9,✓,@p:ubcv:r:21cae760-6641a783 ANSO DES Meter 2,✓,"",ok,79.8699951171875°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:21fd2d7e-efa7ff1f Ansoc HW Submeters HW Submeter 2,"",@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,0.5°C,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",cov,199307,2017-12-18T15:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","",✓,"",✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,"","","","",✓,Los_Angeles,°C,"",✓,2020-05-06T18:24:25.299Z UTC
@p:ubcv:r:21f11611-7648a509 Ansoc HW Submeters HW Submeter 2 Energy,@p:ubcv:r:21cae760-6641a783 ANSO DES Meter 2,AI1,✓,@p:ubcv:r:21cae760-6641a783 ANSO DES Meter 2,✓,MWh => kWh,ok,1436299.9267578125kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:21fd2d7e-efa7ff1f Ansoc HW Submeters HW Submeter 2,"",@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"","",77671,2018-02-20T08:30:00-08:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"","",✓,"",✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,"","","","","",Los_Angeles,kWh,"",✓,2020-05-06T18:24:25.299Z UTC
@p:ubcv:r:263b7658-df46531e Ansoc Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,5760191.5kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:2094ed2e-9293b3cb Ansoc Elec Main Meter,"",@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,328386,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Anthro_Socio_048.Elec_Energy,✓,✓,"","","",10393,✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,142,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"",2020-05-04T19:39:54.821Z UTC
@p:ubcv:r:21f115b7-5daa28cd Ansoc HW Submeters HW Submeter 1 Energy,@p:ubcv:r:21cae734-f7a57082 ANSO DES Meter 1,AI1,✓,@p:ubcv:r:21cae734-f7a57082 ANSO DES Meter 1,✓,MWh => kWh,ok,1494549.9267578125kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:21fd2c3d-8064169e Ansoc HW Submeters HW Submeter 1,"",@p:ubcv:r:21697fca-ab62ae95 Ansoc Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"","",140206,2016-05-05T11:30:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"","",✓,10364,✓,@p:ubcv:r:2094ed2e-babf6bea Ansoc,142,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,"",✓,2020-05-06T18:24:25.299Z UTC
