id,ahu,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,bypass,capacity,chilled,close,cmd,co,co2,condenser,connRef,cool,cooling,covTest,cur,curConvert,curStatus,curVal,current,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,elecMeterLoad,emergency,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,groupRef,header,heat,heating,heatingMode,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,hvac,inMind,kind,lastSynced,lastTagged,leaving,level,lowLim,max,min,mixed,mode,motion,navName,noTagMatch,objectId,occ,occumancy,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,point,pointType,pool,power,pressure,primaryLoop,primarySide,pump,quantityID,return,roomRef,run,runtime,scheduleOcc,secondaryLoop,secondarySide,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,tank,temp,test2019,testUnits,tlName,tz,unit,utilityPoint,uv,valve,vavMode,volt,voltage,volume,water,waterMeterLoad,zone,zones,mod
@p:ubcv:r:2220c120-971aa93d Aquatic Centre Rm 116 EF-01 AqC_EF01_S_BV,"","",✓,"","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL397,✓,AqC_EF01_S_BV,"","","","","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2220de79-ac54a7fd Aquatic Centre Rm 116 EF-01,✓,✓,✓,"","","",@p:ubcv:r:220fb223-5e713045 Aquatic Centre Floor 1,"","","","","",✓,"","","",2020-05-12T07:00:09-07:00 Los_Angeles,"","","",1734,2018-02-16T22:00:02-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:01:36.976-07:00 Los_Angeles,2018-11-28T16:32:33.285-08:00 Los_Angeles,"","","","","","","","","Exhaust Fan Run ","",BV24,"","","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2220de79-40094c76 Aquatic Centre Rm 116,✓,"","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:24413a2c-c7fd0c25 (.+_)?EF_?(\d+)?(_A_\d+)?_F?S(_.+)?(_TL)?,"","","","","",AqC_EF01_S_BV_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-30T13:07:28.354Z UTC
@p:ubcv:r:22174975-fef915fb Aquatic Centre AHU-02 AqC_AHU2_RT_EFF,"","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL332,✓,AqC_AHU2_RT_EFF,"","","","","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba73-495768a3 Aquatic Centre AHU-02,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-05-12T11:01:00-07:00 Los_Angeles,"","","",576229,2018-02-14T05:09:32-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:01:38.624-07:00 Los_Angeles,2018-11-28T16:32:31.455-08:00 Los_Angeles,"","","","","","","","",AqC_AHU2_RT_EFF,✓,AV37,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_AHU2_RT_EFF_POLL_TL,Los_Angeles,°C,"","","","","","","","","","",✓,2020-04-30T13:07:27.892Z UTC
@p:ubcv:r:22174bdd-b4079719 Aquatic Centre Hot Tub AqC_HOT_TUB_PF7_MODE_MV,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL719,✓,AqC_HOT_TUB_PF7_MODE_MV,"","","","",✓,"","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","NORMAL MODE,FILTER BUMP/BACKWASH CYCLE,FILTER PRE-COAT CYCLE","",@p:ubcv:r:2220ba99-a6114989 Aquatic Centre Hot Tub,✓,"","","","","",@p:ubcv:r:2217879b-57ff289f Aquatic Centre Pools,"","",✓,✓,"",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T11:05:02-07:00 Los_Angeles,"","","",530617,2018-02-14T06:01:55-08:00 Los_Angeles,ok,"","","","","",Str,2020-05-12T11:05:34.78-07:00 Los_Angeles,2019-01-23T16:53:00.29-08:00 Los_Angeles,"","","","","","",✓,"",Heating Mode,"",MSV14,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:23e65d0e-9a375203 .+_MODE_MV(_TL)?,"","","","","",AqC_HOT_TUB_PF7_MODE_MV_POLL_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:49:58.221Z UTC
@p:ubcv:r:22174bdd-96181400 Aquatic Centre Hot Tub AqC_HOT_TUB_PF7_EFFLUENT_PRES,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL461,✓,AqC_HOT_TUB_PF7_EFFLUENT_PRES,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba99-a6114989 Aquatic Centre Hot Tub,✓,"","","","","",@p:ubcv:r:2217879b-57ff289f Aquatic Centre Pools,"","","","","",✓,"","","",2020-05-12T11:04:50-07:00 Los_Angeles,"","","",574986,2018-02-14T06:12:59-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:05:33.349-07:00 Los_Angeles,2018-11-28T16:32:39.813-08:00 Los_Angeles,"","","","","","","","",AqC_HOT_TUB_PF7_EFFLUENT_PRES,✓,AI4803,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_HOT_TUB_PF7_EFFLUENT_PRES_POLL_TL,Los_Angeles,psi,"","","","","","","","","","","",2020-04-09T19:02:43.048Z UTC
@p:ubcv:r:22174be0-d123f38e Aquatic Centre AHU-01 AqC_AHU1_RF_AFLW_AV,"","","","","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"",TL142,✓,AqC_AHU1_RF_AFLW_AV,"","","","","","","","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba05-add03185 Aquatic Centre AHU-01,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-05-12T11:00:56-07:00 Los_Angeles,"","","",575491,2018-02-14T06:02:35-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:01:09.164-07:00 Los_Angeles,2019-01-23T16:52:50.561-08:00 Los_Angeles,"","","","","","","","",AqC_AHU1_RF_AFLW_AV,✓,AV10,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_AHU1_RF_AFLW_AV_POLL_TL,Los_Angeles,L/s,"","","","","","","","","","","",2020-04-09T19:02:41.971Z UTC
@p:ubcv:r:22174975-3eeec6c3 Aquatic Centre Cooling Plant AqC_CHS_HRC_LAG_CHLR_STATUS_BV,"","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL430,✓,AqC_CHS_HRC_LAG_CHLR_STATUS_BV,"","","","","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","","OFF,ON","",@p:ubcv:r:2220ba9a-23eb0eee Aquatic Centre Cooling Plant,✓,"","","","","",@p:ubcv:r:22178d4c-e4a410c4 Aquatic Centre Hydronic Systems,"","","","","",✓,"","","",2020-02-21T10:24:32-08:00 Los_Angeles,"","","",1409,2018-01-20T03:21:46-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:01:36.319-07:00 Los_Angeles,2019-01-23T16:53:20.075-08:00 Los_Angeles,"","","","","","","","",Enable,"",BV55,"","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:241aae55-eccc0722 .+_STATUS_BV(_TL)?,"","","","","",AqC_CHS_HRC_LAG_CHLR_STATUS_BV_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-30T13:07:28.311Z UTC
@p:ubcv:r:2220bffc-5d31e956 Aquatic Centre Rm 133B VAV17 AqC_VAV17_RM133B_FLW_SP,"","",✓,"","",@p:ubcv:r:220f903b-1efca400 AqC AqC VAV17 RM133B CP770117 (770117),"",TL4,✓,AqC_VAV17_RM133B_FLW_SP,"","","","","","","","",@p:ubcv:r:220f903b-1efca400 AqC AqC VAV17 RM133B CP770117 (770117),"","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:2220dabd-efc6cc13 Aquatic Centre Rm 133B VAV17,✓,"","","","",✓,@p:ubcv:r:220fb223-5e713045 Aquatic Centre Floor 1,"","","","","",✓,"","","",2020-05-12T11:03:43-07:00 Los_Angeles,"","","",116678,2018-02-20T06:43:18-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:11:15.79-07:00 Los_Angeles,2019-04-11T16:04:13.879-07:00 Los_Angeles,"","","","","","","","",Discharge Air Flow Sp,"",AV5,"","","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2220dabd-91667cc6 Aquatic Centre Rm 133B,"","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"",✓,"","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","","","","",AqC_VAV17_RM133B_FLW_SP_TL,Los_Angeles,L/s,"","","","","","","","","","","",2020-04-09T19:02:42.903Z UTC
@p:ubcv:r:22174975-4b9e7791 Aquatic Centre AHU-04 AqC_AHU4_MAT_MIN_SP,"","",✓,"","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL365,✓,AqC_AHU4_MAT_MIN_SP,"","","","","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba74-002dff36 Aquatic Centre AHU-04,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-05-12T11:01:29-07:00 Los_Angeles,"","","",575692,2018-02-14T05:09:17-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:01:41.284-07:00 Los_Angeles,2019-01-23T16:52:49.357-08:00 Los_Angeles,"","","","",✓,✓,"","",Mixed Air Temp Min Sp,"",AV85,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"",✓,"","","",@p:ubcv:r:23e65d0e-5679f8dc .+_MAT_MIN_SP(_TL)?,"","",✓,"","",AqC_AHU4_MAT_MIN_SP_POLL_TL,Los_Angeles,°C,"","","","","","","","","","","",2020-04-30T13:07:27.959Z UTC
@p:ubcv:r:2220c035-a968c587 Aquatic Centre Rm 115 VAV3 AqC_VAV3_RM115_Dmp_Open,"","",✓,"","",@p:ubcv:r:220f903b-4d346744 AqC AqC VAV3 RM115 CP770103 (770103),"",TL91,✓,AqC_VAV3_RM115_Dmp_Open,"","","","",✓,"","","",@p:ubcv:r:220f903b-4d346744 AqC AqC VAV3 RM115 CP770103 (770103),"","","","","","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2220dabd-7ab70a8a Aquatic Centre Rm 115 VAV3,✓,"","","","","",@p:ubcv:r:220fb223-5e713045 Aquatic Centre Floor 1,"","","","","",✓,"","","",2020-05-12T08:02:59-07:00 Los_Angeles,"","","",41530,2018-02-19T23:33:36-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:07:15.978-07:00 Los_Angeles,2019-01-23T16:53:17.031-08:00 Los_Angeles,"","","","","","","","",Discharge Air Damper Open Cmd,"",BO5,"","","","","",✓,"","",✓,"","","","","","","","","",@p:ubcv:r:2220dabd-d53e829f Aquatic Centre Rm 115,"","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:23e65d0e-77e156cc .+_Dmp_Open(_TL.)?,"","","","","",AqC_VAV3_RM115_Dmp_Close_TL*,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:54:53.76Z UTC
@p:ubcv:r:22174bdc-e176425c Aquatic Centre Rainwater Harvesting System AqC_RWH_UV5_UV_AL,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL291,✓,AqC_RWH_UV5_UV_AL,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2220ba9a-a95a9bf7 Aquatic Centre Rainwater Harvesting System,✓,"","","","","",@p:ubcv:r:22178d4c-e4a410c4 Aquatic Centre Hydronic Systems,"","","","","",✓,"","","",2020-03-25T13:51:25-07:00 Los_Angeles,"","","",22599,2018-02-12T15:28:06-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:05:28.832-07:00 Los_Angeles,2018-11-28T16:32:55.05-08:00 Los_Angeles,"","","","","","","","",AqC_RWH_UV5_UV_AL,✓,BI4107,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_RWH_UV5_UV_AL_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:48:59.567Z UTC
