id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,water,zone,mod
@p:ubcv:r:23d51440-715adba2 Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.AI-3,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3006078,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.AI-3,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45500,2019-01-18T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.198-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.AI-3,✓,AI3006050,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.AI-3.Trend1,Los_Angeles,W,"","","","",2020-04-09T19:01:58.853Z UTC
@p:ubcv:r:23d51440-ee10f5fc Brock Hall Unsorted Points JCL-NAE11/Programming.Data Mapping.OAT,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3006593,✓,JCL-NAE11/Programming.Data Mapping.OAT,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45913,2019-01-17T04:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.213-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.Data Mapping.OAT,✓,AV3006592,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.Data Mapping.OAT.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:58.854Z UTC
@p:ubcv:r:23d5143f-dd29a3d4 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-28.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004398,✓,JCL-NAE11/FC-A.VND-11A-28.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:13-07:00 Los_Angeles,"","",728,2019-01-19T19:40:03-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.805-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-28.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-28.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:21.65Z UTC
@p:ubcv:r:23d51440-9e06a08c Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-06.ZN1-T,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004501,✓,JCL-NAE11/FC-A.FEC-11A-06.ZN1-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.106-07:00 Los_Angeles,"","","",Zone Temp,"",AI3003817,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE11/FC-A.FEC-11A-06.ZN1-T.Trend1,Los_Angeles,°C,"","","",✓,2020-04-09T19:01:58.858Z UTC
@p:ubcv:r:23d5143f-efc1b266 Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.BroCom Kamstrup DES Meter.AI-9,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3002875,✓,JCL-NAE11/BACnet IP integration interface.BroCom Kamstrup DES Meter.AI-9,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.247-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.BroCom Kamstrup DES Meter.AI-9,✓,AI3002112,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/BACnet IP integration interface.BroCom Kamstrup DES Meter.AI-9.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:58.859Z UTC
@p:ubcv:r:23d5143f-f2d0b0c4 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-31.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004401,✓,JCL-NAE11/FC-A.VND-11A-31.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:13-07:00 Los_Angeles,"","",605,2019-02-06T16:09:29-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.818-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-31.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-31.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:20.782Z UTC
@p:ubcv:r:23d51440-362b1dfc Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-43.BV-22.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3005789,✓,JCL-NAE11/FC-A.VND-11A-43.BV-22.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-04-21T14:12:57-07:00 Los_Angeles,"","",518,2018-11-20T04:02:18-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.896-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-43.BV-22.Trend1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","","",Los_Angeles,"","","","","",2020-04-08T18:50:19.048Z UTC
@p:ubcv:r:23d51440-a8dd6093 Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-06.RA-Q,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004477,✓,JCL-NAE11/FC-A.FEC-11A-06.RA-Q,"",✓,@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68634,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.441-07:00 Los_Angeles,"","","",Return Air Co2,"",AI3003795,"","","","",✓,"","","","","","",✓,"","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-0b579584 .+(\.|-| )RA-Q,"","",JCL-NAE11/FC-A.FEC-11A-06.RA-Q.Trend1,Los_Angeles,ppm,"","","","",2020-04-09T19:01:58.862Z UTC
@p:ubcv:r:23d51440-ce3b3b26 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-43.AV-2007,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3005788,✓,JCL-NAE11/FC-A.VND-11A-43.AV-2007,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68633,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.467-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-43.AV-2007,✓,AV3003337,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-43.AV-2007.Trend1,Los_Angeles,°F,"","","","",2020-04-09T19:01:58.864Z UTC
@p:ubcv:r:23d5143f-7ab80515 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-18.ZN-T,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004221,✓,JCL-NAE11/FC-A.VMA-11A-18.ZN-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.121-07:00 Los_Angeles,"","","",Zone Temp,"",AI3003242,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE11/FC-A.VMA-11A-18.ZN-T.Trend1,Los_Angeles,°C,"","","",✓,2020-04-09T19:01:58.866Z UTC
