id,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,ccmAHU4pumpVFD,ccmAHU5pumpVFD,ccmControlsOptMV,ccmFCU,ccmHPTest,ccmHeat,ccmHeatRecoveryMV,changeover,chilled,cmd,comp,condenser,connRef,cool,cooling,covTest,cur,curStatus,curVal,custom,damper,delta,differential,disMacro,disabled,discharge,dupOld2,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatPump,heatRecovery,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,lead,leaving,max,min,mode,modulating,motion,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,rate,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,stageDemanded,stageRequired,static,tagTableRef,tags,tank,temp,test2019,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:2359218b-ca0f81d8 CCM Unsorted Points SAHU4B_FAN_FAIL,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL4,✓,SAHU4B_FAN_FAIL,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2019-10-18T13:14:08-07:00 Los_Angeles,"",cov,29,2018-10-18T12:56:30-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.557-07:00 Los_Angeles,2018-11-28T16:32:37.707-08:00 Los_Angeles,"","","","","","","",SAHU4B_FAN_FAIL,✓,BV9,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SAHU4B_FAN_FAIL_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.876Z UTC
@p:ubcv:r:230715b6-995eba4a CCM AHU-05 AHU-05B P38 AHU_05B_P38_A,"","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL18,✓,AHU_05B_P38_A,"","","",✓,✓,"","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","",P38,@p:ubcv:r:23dbc780-e4d64c00 CCM AHU-05 AHU-05B,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:09:55-07:00 Los_Angeles,"","",91566,2018-08-14T00:31:30-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:23.585-07:00 Los_Angeles,2018-11-28T16:32:55.995-08:00 Los_Angeles,"","","","","","","","Run ","",AI12,"","","","","","",✓,"","","",✓,"","","","",✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:240c81ef-4f03ee33 .+_P_?\d+[A-Z]?_P?A(_TL)?,"","","","","",AHU_05B_P38_A_POLL_TL,Los_Angeles,A,"","","","",✓,"",2020-05-12T11:03:27.348Z UTC
@p:ubcv:r:2359214f-3f66ffcc CCM Rm 1015 FC-03 CCM_FCU_03_FAN_STATUS,"",✓,"","",@p:ubcv:r:2304b9f4-d6c1c716 CCM CCM_FCU_03 Motion (580217),"",TL3,✓,CCM_FCU_03_FAN_STATUS,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304b9f4-d6c1c716 CCM CCM_FCU_03 Motion (580217),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcd602-a31afa21 CCM Rm 1015 FC-03,✓,"",✓,"","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-10T17:31:07-07:00 Los_Angeles,"","",1592,2019-03-08T13:37:13-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:24:17.832-07:00 Los_Angeles,2018-11-28T16:32:37.48-08:00 Los_Angeles,"","","","","","","","Fan Run ","","","","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd602-5598bf43 CCM Rm 1015,✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0f-84b215bf .+_FAN_STATUS(_TL)?,"","","","","",CCM_FCU_03_FANSTAT_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.877Z UTC
@p:ubcv:r:2359209a-e5851291 CCM Heat Pump Plant CCM_DHW_DHWT1,"","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"",TL40,✓,CCM_DHW_DHWT1,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dccabe-25e6a02f CCM Heat Pump Plant,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T08:41:38-07:00 Los_Angeles,"","",560,2018-10-14T05:30:50-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:12.17-07:00 Los_Angeles,2018-11-28T16:32:53.509-08:00 Los_Angeles,"","","","","","","",CCM_DHW_DHWT1,✓,AI2108,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_DHW_DHWT1_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:23.477Z UTC
@p:ubcv:r:22d5eee2-5b28afe6 CCM Unsorted Points W_CIRC_PUMPS_MIN_PCT_POLL_TL,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL84,✓,W_CIRC_PUMPS_MIN_PCT_POLL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:15:32-07:00 Los_Angeles,"","",95737,2018-07-08T17:11:52-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:20.349-07:00 Los_Angeles,2018-11-28T16:32:44.243-08:00 Los_Angeles,"","","","","","","",W_CIRC_PUMPS_MIN_PCT_POLL_TL,✓,AV76,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.151Z UTC
@p:ubcv:r:235920e8-68db5f5f CCM LEF-06 EF-06B CCM_EF_6_STROBIC_B_C_MUXOUT,"","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"",TL1,✓,CCM_EF_6_STROBIC_B_C_MUXOUT,"","","","","","","","","","","","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e5f361-0f19de6a CCM LEF-06 EF-06B,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-03-18T14:22:21-07:00 Los_Angeles,"",cov,65,2018-10-16T10:03:00-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:15:36.304-07:00 Los_Angeles,2018-11-28T16:32:46.877-08:00 Los_Angeles,"","","","","","","",CCM_EF_6_STROBIC_B_C_MUXOUT,✓,BV74,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_EF_6_STROBIC_B_C_MUXOUT_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.061Z UTC
@p:ubcv:r:2359218f-f4673011 CCM LEF-06 EF-06B CCM_EF_06_STROBIC_B_EFA,"",✓,"","",@p:ubcv:r:2304b905-0e779642 CCM 057.0 CCM EF INTERFACE (581000),"",TL32,✓,CCM_EF_06_STROBIC_B_EFA,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-0e779642 CCM 057.0 CCM EF INTERFACE (581000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23e5f361-0f19de6a CCM LEF-06 EF-06B,✓,✓,✓,"","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:06:20-07:00 Los_Angeles,"","",83000,2018-10-13T04:16:44-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:17.551-07:00 Los_Angeles,2019-01-31T10:24:21.005-08:00 Los_Angeles,"","","","","","","","Exhaust Fan Run ","",AI7,"","","","","","",✓,"","","","","","","","",✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2411c351-87582de5 .+_EF(S|A)(_\d+)?(_TL)?,"","","","","",CCM_EF_06_STROBIC_B_EFA_POLL_TL,Los_Angeles,A,"","","","","","",2020-04-09T19:02:23.431Z UTC
@p:ubcv:r:23592139-481054b5 CCM AHU-03 CCM_AHU_03_SAT_SP,"",✓,"","",@p:ubcv:r:2304b905-c4df2203 CCM 057.0 CCM AHU2/3 EF 3 SE CATWALK (580400),"",TL123,✓,CCM_AHU_03_SAT_SP,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-c4df2203 CCM 057.0 CCM AHU2/3 EF 3 SE CATWALK (580400),"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:23dbc780-33d29dcd CCM AHU-03,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2019-12-10T07:17:36-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [184] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",60714,2018-10-14T13:37:29-07:00 Los_Angeles,fault,"","","","",Number,2020-05-11T00:31:14.132-07:00 Los_Angeles,2019-01-31T10:24:21.443-08:00 Los_Angeles,"","","","","","","",Discharge Air Temp Sp,"",AV12,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"",✓,"","","","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,"","",✓,"","","",Los_Angeles,°C,"","","","","","",2020-04-14T16:50:02.212Z UTC
@p:ubcv:r:23592239-a81c7beb CCM Unsorted Points SGAV_4_16_EX_FLW_ALM,"",✓,✓,"",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"",TL10,✓,SGAV_4_16_EX_FLW_ALM,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,✓,"","","",✓,"",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2018-11-06T10:03:47-08:00 Los_Angeles,"",cov,14,2018-10-16T10:01:25-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:03.932-07:00 Los_Angeles,2018-11-28T16:32:27.122-08:00 Los_Angeles,"","","","","","","",Exhaust Air Flow Alarm,"",BV227,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2441221b-87876233 .+_EXH?_FLO?W_ALA?R?M?(_BV)?(_TL)?,"","","","","",SGAV_4_16_EX_FLW_ALM_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.063Z UTC
@p:ubcv:r:235921ef-a728d166 CCM AHU-06 AHU-06A CCM_AHU_06A_OAD,"",✓,"","",@p:ubcv:r:2304b905-43a9f40b CCM 057.0 CCM AHU6AB (580500),"",TL109,✓,CCM_AHU_06A_OAD,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304b905-43a9f40b CCM 057.0 CCM AHU6AB (580500),"","","","","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbc780-a7727642 CCM AHU-06 AHU-06A,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:09:59-07:00 Los_Angeles,"","",83129,2018-10-13T04:08:19-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:14.198-07:00 Los_Angeles,2019-01-31T10:24:20.749-08:00 Los_Angeles,"","","","","","","",Outside Air Damper Cmd,"",AO9,"","","","",✓,"",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0f-65ca6cdf .+_OAD(_\d+)?(_TL)?,"","","","","",CCM_AHU_06A_OAD_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:22.91Z UTC
