id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:20a63de0-d6dca538 CEME Labs HW Main Meter Cooling Energy,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,AI2,✓,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,✓,MWh => kWh,ok,779.9999713897705kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a63de0-189823d3 CEME Labs HW Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,239870,2013-04-04T08:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Cooling Energy,"","","",✓,"","",10364,✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,113,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.61Z UTC
@p:ubcv:r:20a63de0-1330d0f1 CEME Labs HW Main Meter Power,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,AI5,✓,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a63de0-189823d3 CEME Labs HW Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,5kW,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",384024,2017-02-09T14:15:00-08:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,"","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.753Z UTC
@p:ubcv:r:263b7674-c370f861 CEME Labs Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,7054434.5kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a63de0-159d361c CEME Labs Elec Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,319713,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_CEME_Labs_307.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,113,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:54.898Z UTC
@p:ubcv:r:263b7673-0259acd1 CEME Labs Elec Main Meter Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,189.16635131835938kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:20a63de0-159d361c CEME Labs Elec Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,6.555683822813075kW,15min,2020-05-12T14:26:34-07:00 Los_Angeles,"","",416788,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_CEME_Labs_307.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,113,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.754Z UTC
@p:ubcv:r:2388a048-00acfe83 CEME Labs HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a63de0-189823d3 CEME Labs HW Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","","",@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.612Z UTC
@p:ubcv:r:21dffdad-b5db80de CEME Labs HW Main Meter Entering Water Temp,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,AI9,✓,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,✓,"",ok,72.33999633789062°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20a63de0-189823d3 CEME Labs HW Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,0.5°C,10min,2020-05-12T14:20:00-07:00 Los_Angeles,"",consumption,155383,2018-01-17T16:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.613Z UTC
@p:ubcv:r:21dffdad-4367b768 CEME Labs HW Main Meter Flow,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,AI4,✓,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:20a63de0-189823d3 CEME Labs HW Main Meter,✓,@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,0.25L/s,10min,2020-05-12T14:20:00-07:00 Los_Angeles,"",consumption,166218,2018-01-17T16:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,"","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:35.614Z UTC
@p:ubcv:r:263b7672-72221a7f CEME Labs Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,27695.3984375m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a63de0-288175f4 CEME Labs Water Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,314130,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_CEME_Labs_307.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,113,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:54.899Z UTC
@p:ubcv:r:21dffdad-50a71d91 CEME Labs HW Main Meter Leaving Water Temp,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,AI10,✓,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,✓,"",ok,41.84000015258789°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a63de0-189823d3 CEME Labs HW Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,0.5°C,10min,2020-05-12T14:20:00-07:00 Los_Angeles,"",consumption,220600,2018-01-17T16:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,"","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.615Z UTC
@p:ubcv:r:2541ebad-f77f5316 CEME Labs HW Main Meter Heating Energy,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,AI1,✓,@p:ubcv:r:21f2598a-dc2de7a0 CEMER DES Meter,✓,MWh => kWh,ok,3279979.98046875kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a63de0-189823d3 CEME Labs HW Main Meter,"",@p:ubcv:r:21697fca-06f4cd3b CEME Labs Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,19116,2019-10-22T09:45:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Heating Energy,"","","",✓,"","",10364,✓,@p:ubcv:r:20a63de0-3c8e8d4d CEME Labs,113,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.616Z UTC
