id,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,delta,deltaTempPoint,disMacro,energy,entering,enum,equipRef,esc,flow,groupRef,his,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,navName,objectId,point,pointType,power,sensor,siteRef,temp,tlName,toTag,tz,unit,utilityPoint,water,mod
@p:ubcv:r:26349467-ef517cff Central HX-1 HEX_01_HWRT_SP,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL14,"",HEX_01_HWRT_SP,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b66b-709a95b2 Central HX-1,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.41-07:00 Los_Angeles,"","",HEX_01_HWRT_SP,AV3,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_01_HWRT_SP_POLL_TL,✓,Los_Angeles,°C,"","",2020-04-23T20:27:08.183Z UTC
@p:ubcv:r:26349467-db6b3cff Central Unsorted Points CENTRAL_EM_1P_TODAY,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL71,"",CENTRAL_EM_1P_TODAY,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",509,2020-04-21T10:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.415-07:00 Los_Angeles,"","",CENTRAL_EM_1P_TODAY,AV1158,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_TODAY_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.217Z UTC
@p:ubcv:r:2244656d-505a9be9 Central HW Main Meter CENTRAL_EM_1P_TOTAL_POWER,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL70,✓,CENTRAL_EM_1P_TOTAL_POWER,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,✓,"","",@p:ubcv:r:2244656d-ce804c1b Central HW Main Meter,✓,"",@p:ubcv:r:2244654e-d823051a Central Utilities,✓,MWh => kWh,2020-04-23T10:45:00-07:00 Los_Angeles,"folio::HisWriteErr: Mismatched unit, rec unit 'MWh' != item unit 'kWh' [@p:ubcv:r:2244656d-505a9be9 ""Central HW Main Meter CENTRAL_EM_1P_TOTAL_POWER""]","",consumption,71963,2018-03-16T22:45:00-07:00 Los_Angeles,fault,✓,✓,Number,2020-05-12T12:37:47.656-07:00 Los_Angeles,2018-05-09T10:55:46.19-07:00 Los_Angeles,"",Energy,AV1156,✓,"","",✓,@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_TOTAL_TL,"",Los_Angeles,MWh,✓,✓,2020-04-28T00:03:35.087Z UTC
@p:ubcv:r:26349467-0ad0b86f Central Unsorted Points CPU Board Temperature,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL9,"",CPU Board Temperature,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.421-07:00 Los_Angeles,"","",CPU Board Temperature,AI83,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CPU Board Temperature_POLL_TL,✓,Los_Angeles,°C,"","",2020-04-23T18:01:11.025Z UTC
@p:ubcv:r:26349467-37b2ddac Central DES Connection DHW_DEMAND,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL19,"",DHW_DEMAND,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","OFF,ON",@p:ubcv:r:2634b5ed-fe309b28 Central DES Connection,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:26:34-07:00 Los_Angeles,"","","",10298,2020-04-23T07:04:22-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:27:07.43-07:00 Los_Angeles,"","",DHW_DEMAND,BI1206,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",DHW_DEMAND_COV_TL,✓,Los_Angeles,"","","",2020-04-23T20:28:03.06Z UTC
@p:ubcv:r:26349467-ac11ee5b Central DES Connection DHW_SWT_SP,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL15,"",DHW_SWT_SP,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b5ed-fe309b28 Central DES Connection,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.436-07:00 Los_Angeles,"","",DHW_SWT_SP,AV4,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",DHW_SWT_SP_POLL_TL,✓,Los_Angeles,°C,"","",2020-04-23T20:28:03.06Z UTC
@p:ubcv:r:26349467-d0908cc7 Central Unsorted Points Run Clear Button,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL20,"",Run Clear Button,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","OFF,ON",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"","","","","","","",ok,"","",Bool,2020-05-12T14:27:07.439-07:00 Los_Angeles,"","",Run Clear Button,BI80,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",Run Clear Button_COV_TL,✓,Los_Angeles,"","","",2020-04-23T18:01:11.247Z UTC
@p:ubcv:r:26349467-9091df13 Central DES Connection DHW_SWT_HI_LIMIT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL23,"",DHW_SWT_HI_LIMIT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","OFF,ON",@p:ubcv:r:2634b5ed-fe309b28 Central DES Connection,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"","","","","","","",ok,"","",Bool,2020-05-12T14:27:07.441-07:00 Los_Angeles,"","",DHW_SWT_HI_LIMIT,BV2,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",DHW_SWT_HI_LIMIT_COV_TL,✓,Los_Angeles,"","","",2020-04-23T20:28:03.06Z UTC
@p:ubcv:r:26349467-e24ceae5 Central Unsorted Points CENTRAL_EM_1P_LAST_MONTH,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL79,"",CENTRAL_EM_1P_LAST_MONTH,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-01T00:00:00-07:00 Los_Angeles,"","","",13,2019-05-01T00:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.444-07:00 Los_Angeles,"","",CENTRAL_EM_1P_LAST_MONTH,AV1171,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_LAST_MONTH_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.098Z UTC
@p:ubcv:r:26349467-b8ce81c8 Central Unsorted Points SEC_DEMAND,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL18,"",SEC_DEMAND,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","OFF,ON",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:05:49-07:00 Los_Angeles,"","","",626,2020-04-18T02:51:12-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:27:07.449-07:00 Los_Angeles,"","",SEC_DEMAND,BI1205,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",SEC_DEMAND_COV_TL,✓,Los_Angeles,"","","",2020-04-23T18:01:11.255Z UTC
@p:ubcv:r:2244656d-68c97fe1 Central HW Main Meter CENTRAL_EM_1P_SWT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL83,✓,CENTRAL_EM_1P_SWT,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"",✓,"",@p:ubcv:r:2244656d-ce804c1b Central HW Main Meter,✓,"",@p:ubcv:r:2244654e-d823051a Central Utilities,✓,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",consumption,75076,2018-03-17T15:00:00-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:27:07.454-07:00 Los_Angeles,2018-05-09T10:55:46.164-07:00 Los_Angeles,"",Entering Water Temp,AV1200,✓,"","",✓,@p:ubcv:r:224463e2-3fc52abd Central,✓,CENTRAL_EM_1P_SWT_TL,"",Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.088Z UTC
@p:ubcv:r:26349467-15d3e9b9 Central HX-2 HEX_02_VLV_FB,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL2,"",HEX_02_VLV_FB,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b67c-fb24a76f Central HX-2,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.459-07:00 Los_Angeles,"","",HEX_02_VLV_FB,AI1102,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_02_VLV_FB_POLL_TL,✓,Los_Angeles,%,"","",2020-04-23T20:27:28.978Z UTC
@p:ubcv:r:26349467-691bd9f9 Central HX-2 HEX_02_VLV_AV,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL13,"",HEX_02_VLV_AV,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:2634b67c-fb24a76f Central HX-2,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:20:46-07:00 Los_Angeles,"","","",2138,2020-04-20T08:04:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.469-07:00 Los_Angeles,"","",HEX_02_VLV_AV,AV2,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",HEX_02_VLV_AV_POLL_TL,✓,Los_Angeles,%,"","",2020-04-23T20:27:28.978Z UTC
@p:ubcv:r:26349467-f77013bd Central Unsorted Points CENTRAL_EM_1P_YEAR_PEAK_LO,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL92,"",CENTRAL_EM_1P_YEAR_PEAK_LO,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-01-01T00:29:16-08:00 Los_Angeles,"","","",7,2020-01-01T00:00:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.481-07:00 Los_Angeles,"","",CENTRAL_EM_1P_YEAR_PEAK_LO,AV1208,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_YEAR_PEAK_LO_TL,✓,Los_Angeles,kW,"","",2020-04-23T18:01:11.225Z UTC
@p:ubcv:r:26349467-52fa329e Central Unsorted Points CENTRAL_EM_1P_POWER,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),TL75,"",CENTRAL_EM_1P_POWER,@p:ubcv:r:22443d1c-a30f19a8 Central Router (680000),"","",$equipRef $bmsName,"","","",@p:ubcv:r:26349467-9c4c6dcc Central Unsorted Points,✓,"",@p:ubcv:r:26349466-01e3d64e Central $bmsName,✓,"",2020-05-12T14:26:55-07:00 Los_Angeles,"","","",32724,2020-04-23T07:29:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:27:07.493-07:00 Los_Angeles,"","",CENTRAL_EM_1P_POWER,AV1165,✓,"","","",@p:ubcv:r:224463e2-3fc52abd Central,"",CENTRAL_EM_1P_TL,✓,Los_Angeles,MWh,"","",2020-04-23T18:01:11.159Z UTC
