id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chbeSPRMV,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,elec,energy,entering,equipRef,esc,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,navName,objectId,opcConnRef,opcCur,opcPoint,point,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:263b7675-0df20dd0 Chem Bio Water Main Meter Consumption,"","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,45808.50390625m³,"","","",$equipRef $navName,"","","","",@p:ubcv:r:20a63c2e-bebba683 Chem Bio Water Main Meter,"","",@p:ubcv:r:21697fca-ec72d45d Chem Bio Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,319050,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"","","",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chem_bio_eng_300.Water_Volume,✓,✓,"",10394,✓,@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,159,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:54.907Z UTC
@p:ubcv:r:21dffdad-073edccb Chem Bio HW Main Meter Leaving Water Temp,"",@p:ubcv:r:21cac8e4-79d7ba62 CHBE DES Meter,AI10,"",✓,"","","",@p:ubcv:r:21cac8e4-79d7ba62 CHBE DES Meter,✓,"",ok,49.28999710083008°C,"","","",$equipRef $navName,"","","","",@p:ubcv:r:20a63c2e-7610e438 Chem Bio HW Main Meter,"","",@p:ubcv:r:21697fca-ec72d45d Chem Bio Utilities,✓,0.5°C,10min,2020-05-12T14:20:00-07:00 Los_Angeles,"",consumption,215242,2018-01-03T13:00:00-08:00 Los_Angeles,ok,"",✓,Number,"","",✓,Leaving Water Temp,"","","","",✓,"","",✓,@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","","",✓,"",Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:36.206Z UTC
@p:ubcv:r:234103de-1bfa43c0 Chem Bio Unsorted Points VAV2310_FLW,✓,@p:ubcv:r:234009f9-cdf80df9 Chem Chem Bio_VAV2310 OFFICES 283 B~E (502010),"",TL3,✓,VAV2310_FLW,✓,"",@p:ubcv:r:234009f9-cdf80df9 Chem Chem Bio_VAV2310 OFFICES 283 B~E (502010),"","","","","","","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:23410206-b0e96f36 Chem Bio Unsorted Points,✓,✓,@p:ubcv:r:23410206-9edffde5 Chem Bio Unsorted Points,✓,"","",2020-05-12T14:09:32-07:00 Los_Angeles,"","",57019,2018-09-23T08:35:07-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:22:48.662-07:00 Los_Angeles,2019-01-23T16:53:18.103-08:00 Los_Angeles,"",Discharge Air Flow,AV18,"","","",✓,"","",✓,@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","",@p:ubcv:r:23e65d0e-9b79f931 (.+_)?VAV.+_FLW(_TL)?,"",VAV2310_FLW_TL,Los_Angeles,L/s,"","","",2020-04-09T19:01:57.803Z UTC
@p:ubcv:r:2341040f-f1578a38 Chem Bio Unsorted Points VAV2310_DMP,✓,@p:ubcv:r:234009f9-cdf80df9 Chem Chem Bio_VAV2310 OFFICES 283 B~E (502010),"",TL6,✓,VAV2310_DMP,✓,✓,@p:ubcv:r:234009f9-cdf80df9 Chem Chem Bio_VAV2310 OFFICES 283 B~E (502010),"","","","",✓,"","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:23410206-b0e96f36 Chem Bio Unsorted Points,✓,"",@p:ubcv:r:23410206-9edffde5 Chem Bio Unsorted Points,✓,"","",2020-05-12T14:09:40-07:00 Los_Angeles,"","",56996,2018-09-23T08:35:10-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:22:49.202-07:00 Los_Angeles,2019-01-23T16:53:18.419-08:00 Los_Angeles,"",Discharge Air Damper Cmd,AV16,"","","",✓,"","","",@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"",VAV2310_DMP_TL,Los_Angeles,%,"","","",2020-04-09T19:01:57.804Z UTC
@p:ubcv:r:234104da-dcccd7c4 Chem Bio Unsorted Points VAV2314_DMP,✓,@p:ubcv:r:234009f9-14eb09b4 Chem Chem Bio_VAV2314 WORK AREA 292 (502014),"",TL6,✓,VAV2314_DMP,✓,✓,@p:ubcv:r:234009f9-14eb09b4 Chem Chem Bio_VAV2314 WORK AREA 292 (502014),"","","","",✓,"","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:23410206-b0e96f36 Chem Bio Unsorted Points,✓,"",@p:ubcv:r:23410206-9edffde5 Chem Bio Unsorted Points,✓,"","",2020-05-12T14:12:14-07:00 Los_Angeles,"","",57015,2018-09-23T08:33:59-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:22:59.699-07:00 Los_Angeles,2019-01-23T16:52:51.454-08:00 Los_Angeles,"",Discharge Air Damper Cmd,AV16,"","","",✓,"","","",@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"",VAV2314_DMP_TL,Los_Angeles,%,"","","",2020-04-09T19:01:57.811Z UTC
@p:ubcv:r:234103af-645a0684 Chem Bio Unsorted Points VAV2309_DMP,✓,@p:ubcv:r:234009f9-146ea040 Chem Chem Bio_VAV2309 RM283H (502009),"",TL6,✓,VAV2309_DMP,✓,✓,@p:ubcv:r:234009f9-146ea040 Chem Chem Bio_VAV2309 RM283H (502009),"","","","",✓,"","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:23410206-b0e96f36 Chem Bio Unsorted Points,✓,"",@p:ubcv:r:23410206-9edffde5 Chem Bio Unsorted Points,✓,"","",2020-05-12T14:25:23-07:00 Los_Angeles,"","",57016,2018-09-23T08:56:57-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:28:28.535-07:00 Los_Angeles,2019-01-23T16:53:16.383-08:00 Los_Angeles,"",Discharge Air Damper Cmd,AV16,"","","",✓,"","","",@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"",VAV2309_DMP_TL,Los_Angeles,%,"","","",2020-04-09T19:01:57.801Z UTC
@p:ubcv:r:23410569-1a4cffb1 Chem Bio Unsorted Points VAV2316_DMP,✓,@p:ubcv:r:234009f9-f4a7b150 Chem Chem Bio_VAV2316 RM297A (502016),"",TL6,✓,VAV2316_DMP,✓,✓,@p:ubcv:r:234009f9-f4a7b150 Chem Chem Bio_VAV2316 RM297A (502016),"","","","",✓,"","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:23410206-b0e96f36 Chem Bio Unsorted Points,✓,"",@p:ubcv:r:23410206-9edffde5 Chem Bio Unsorted Points,✓,"","",2020-05-12T14:12:11-07:00 Los_Angeles,"","",57015,2018-09-23T08:38:41-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:17.978-07:00 Los_Angeles,2019-01-23T16:52:58.256-08:00 Los_Angeles,"",Discharge Air Damper Cmd,AV16,"","","",✓,"","","",@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"",VAV2316_DMP_TL,Los_Angeles,%,"","","",2020-04-09T19:01:57.815Z UTC
@p:ubcv:r:2341046c-d3702007 Chem Bio Unsorted Points VAV2312_FLW,✓,@p:ubcv:r:234009f9-59f8ebd9 Chem Chem Bio_VAV2312 RM290 (502012),"",TL3,✓,VAV2312_FLW,✓,"",@p:ubcv:r:234009f9-59f8ebd9 Chem Chem Bio_VAV2312 RM290 (502012),"","","","","","","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:23410206-b0e96f36 Chem Bio Unsorted Points,✓,✓,@p:ubcv:r:23410206-9edffde5 Chem Bio Unsorted Points,✓,"","",2020-05-12T14:09:37-07:00 Los_Angeles,"","",57016,2018-09-23T08:55:13-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:22:56.735-07:00 Los_Angeles,2019-01-23T16:53:25.399-08:00 Los_Angeles,"",Discharge Air Flow,AV18,"","","",✓,"","",✓,@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","",@p:ubcv:r:23e65d0e-9b79f931 (.+_)?VAV.+_FLW(_TL)?,"",VAV2312_FLW_TL,Los_Angeles,L/s,"","","",2020-04-09T19:01:57.807Z UTC
@p:ubcv:r:234102ea-78abb52a Chem Bio Unsorted Points VAV2305_FLW,✓,@p:ubcv:r:234009f9-31a39ca4 Chem Chem Bio_VAV2305 RM282 (502005),"",TL3,✓,VAV2305_FLW,✓,"",@p:ubcv:r:234009f9-31a39ca4 Chem Chem Bio_VAV2305 RM282 (502005),"","","","","","","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:23410206-b0e96f36 Chem Bio Unsorted Points,✓,✓,@p:ubcv:r:23410206-9edffde5 Chem Bio Unsorted Points,✓,"","",2020-05-12T14:10:49-07:00 Los_Angeles,"","",56952,2018-09-23T08:23:41-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:22:49.062-07:00 Los_Angeles,2019-01-23T16:53:02.804-08:00 Los_Angeles,"",Discharge Air Flow,AV18,"","","",✓,"","",✓,@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","",@p:ubcv:r:23e65d0e-9b79f931 (.+_)?VAV.+_FLW(_TL)?,"",VAV2305_FLW_TL,Los_Angeles,L/s,"","","",2020-04-09T19:01:57.793Z UTC
@p:ubcv:r:23410346-10b25553 Chem Bio Unsorted Points VAV2306_DMP,✓,@p:ubcv:r:234009f9-f251b2d1 Chem Chem Bio_VAV2306 RM282 (502006),"",TL6,✓,VAV2306_DMP,✓,✓,@p:ubcv:r:234009f9-f251b2d1 Chem Chem Bio_VAV2306 RM282 (502006),"","","","",✓,"","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:23410206-b0e96f36 Chem Bio Unsorted Points,✓,"",@p:ubcv:r:23410206-9edffde5 Chem Bio Unsorted Points,✓,"","",2020-05-12T14:08:10-07:00 Los_Angeles,"","",57012,2018-09-23T09:01:07-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:13:38.247-07:00 Los_Angeles,2019-01-23T16:53:04.996-08:00 Los_Angeles,"",Discharge Air Damper Cmd,AV16,"","","",✓,"","","",@p:ubcv:r:20a63c2e-c6649b2c Chem Bio,"","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"",VAV2306_DMP_TL,Los_Angeles,%,"","","",2020-04-09T19:01:57.795Z UTC
