id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,chemC_CPP,chilled,chiller,cmd,co2,condenser,connRef,cool,cooling,coolingTower,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,district,domestic,dump,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,filter,flow,groupRef,heat,heatRecovery,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mixing,mode,navName,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,point,pointRef,pointType,power,preFilter,pressure,proj_1830_3W2W,pump,quantityID,reliability,return,roomRef,run,runtime,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sump,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:22bc3c33-5b8d1a80 Chem Centre Lab D416 Zone JCL-NAE21/N2-B.21BDX016.EV-D32-A,"",✓,✓,"",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3000160,"",✓,JCL-NAE21/N2-B.21BDX016.EV-D32-A,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Alarm,Normal","",@p:ubcv:r:230df185-e6ca2547 Chem Centre Lab D416 Zone,✓,✓,"","",@p:ubcv:r:230df185-0b3dda7c Chem Centre Floor 3,"","","","",✓,"","","",2020-03-10T08:53:16-07:00 Los_Angeles,"","","",27,2018-06-08T08:03:29-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:27:07.406-07:00 Los_Angeles,2018-12-07T09:45:29.559-08:00 Los_Angeles,"","","","","","",Exhaust Air Fan Alarm,"",BI3000158,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df185-4ec80c0b Chem Centre Lab D416,"","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:258694ff-feac8f01 .+(\.|-| |_)(EF|EV)-.+-A(LM)?,"",JCL-NAE21/N2-B.21BDX016.EV-D32-A.Trend,Los_Angeles,"","","","","","","",LAB-D416.EV-D32-A,"",2020-04-08T18:55:41.127Z UTC
@p:ubcv:r:22bc3c33-ad5a73c2 Chem Centre Rm D329 Zone JCL-NAE21/N2-A.21AVM171.EAV-A,"",✓,✓,"",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3001509,"",✓,JCL-NAE21/N2-A.21AVM171.EAV-A,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Normal,Alarm","",@p:ubcv:r:230df185-f60376df Chem Centre Rm D329 Zone,✓,✓,"","",@p:ubcv:r:230df184-6bbb79c1 Chem Centre Floor 2,"","","","",✓,"","","",2020-03-10T08:53:16-07:00 Los_Angeles,"","","",13,2018-06-08T08:03:29-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:27:07.412-07:00 Los_Angeles,2018-12-07T09:45:29.561-08:00 Los_Angeles,"","","","","","",Exhaust Air Fan Alarm,"",BI3001507,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df185-356452fb Chem Centre Rm D329,"","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:25869527-87133c5f .+(\.|-| |_)EAV?-A,"",JCL-NAE21/N2-A.21AVM171.EAV-A.Trend,Los_Angeles,"","","","","","","",Grid E-20.EAV-A,"",2020-04-08T18:55:48.385Z UTC
@p:ubcv:r:22bc3c33-d1bd1544 Chem Centre Rm D320 Zone JCL-NAE21/N2-A.21AVA157.D320-T,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3002993,"",✓,JCL-NAE21/N2-A.21AVA157.D320-T,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:230df184-f5afb381 Chem Centre Rm D320 Zone,"","","","",@p:ubcv:r:230df184-6bbb79c1 Chem Centre Floor 2,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:07.942-07:00 Los_Angeles,2018-12-07T09:45:38.184-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3002991,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df184-ef0b1df9 Chem Centre Rm D320,"","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3e-7700b082 .+(\.|-| )D\d+(\(N\)|\(S\)|[A-Z])?-T,✓,JCL-NAE21/N2-A.21AVA157.D320-T.Trend,Los_Angeles,°C,"","","","","","",Second Floor Zone Controls.D320-T,✓,2020-04-09T19:02:02.782Z UTC
@p:ubcv:r:22bc3c33-671fc36e Chem Centre Rm D326 Zone JCL-NAE21/N2-A.21AVM160.ZNT-SP,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3001320,"",✓,JCL-NAE21/N2-A.21AVM160.ZNT-SP,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","",✓,"","","","","","",@p:ubcv:r:230df185-6d8e9a29 Chem Centre Rm D326 Zone,"","","","",@p:ubcv:r:230df184-6bbb79c1 Chem Centre Floor 2,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:07.943-07:00 Los_Angeles,2018-12-07T09:45:38.474-08:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AO3001319,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df185-9472133f Chem Centre Rm D326,"","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"",✓,"","","","",@p:ubcv:r:23e65d3e-1fede0fa .+(\.|-| )ZNT-SP,✓,JCL-NAE21/N2-A.21AVM160.ZNT-SP.Trend,Los_Angeles,°C,"","","","","","",Office.ZNT-SP,✓,2020-04-09T19:02:02.783Z UTC
@p:ubcv:r:25ba30b9-255956f7 Chem Centre Rm D113 VAV-103 JCL-NAE21/N2-A.21AVM103.HTG-VLV,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005667,"","",JCL-NAE21/N2-A.21AVM103.HTG-VLV,"","","","",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:230df184-95a2cef1 Chem Centre Rm D113 VAV-103,"","","","",@p:ubcv:r:230df161-5f7ab9a0 Chem Centre Basement,"","",✓,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",10713,2020-01-21T02:00:00-08:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:27:08.58-07:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"",AO3000445,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"",JCL-NAE21/N2-A.21AVM103.HTG-VLV.Trend1,Los_Angeles,%,"",✓,"",✓,"","",Glass Blowing Lab.HTG-VLV,"",2020-04-09T19:02:02.784Z UTC
@p:ubcv:r:263d6e2c-96d5183a Chem Centre Unsorted Points JCL-NAE22/Programming.Local Application.DHEX1a-SP,"","","","",@p:ubcv:r:217b9cc5-d78bcc87 CHEM (NAE-22),"",TL3000206,"","",JCL-NAE22/Programming.Local Application.DHEX1a-SP,"","","","","","","",@p:ubcv:r:217b9cc5-d78bcc87 CHEM (NAE-22),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22837e91-b5747bd2 Chem Centre Unsorted Points,"","","","",@p:ubcv:r:22837e7d-3e9b0143 Chem Centre Unsorted Points,"","","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","","",1838,2020-04-29T20:10:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:21:03.694-07:00 Los_Angeles,"","","","","","","",JCL-NAE22/Programming.Local Application.DHEX1a-SP,✓,AV3000165,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","","","",JCL-NAE22/Programming.Local Application.DHEX1a-SP.Trend1,Los_Angeles,°C,"","","","","","",1320.PHWS.DHEX1a-SP,"",2020-04-30T11:08:29.97Z UTC
@p:ubcv:r:25ba30ba-1fb2496a Chem Centre Rm D200 Zone JCL-NAE21/N2-A.21AVM133.HTG-VLV,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005750,"","",JCL-NAE21/N2-A.21AVM133.HTG-VLV,"","","","",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:230df185-1e395c41 Chem Centre Rm D200 Zone,"","","","",@p:ubcv:r:230df184-c6d2a3ed Chem Centre Floor 1,"","",✓,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",10713,2020-01-21T02:00:00-08:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:27:08.589-07:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"",AO3001006,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"",JCL-NAE21/N2-A.21AVM133.HTG-VLV.Trend1,Los_Angeles,%,"",✓,"",✓,"","",Lecture Theatre.HTG-VLV,"",2020-04-09T19:02:02.785Z UTC
@p:ubcv:r:22bc3c6b-622e528d Chem Centre AHU-1B JCL-NAE21/N2-A.FAC-020.LT-A,"","",✓,"",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005193,"",✓,JCL-NAE21/N2-A.FAC-020.LT-A,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Normal,Alarm","",@p:ubcv:r:230df185-4603ac91 Chem Centre AHU-1B,"","","","",@p:ubcv:r:2203b248-bd64836a Chem Centre Air Systems,"","","","",✓,"","","",2020-03-10T08:53:16-07:00 Los_Angeles,"","","",17,2018-06-08T08:03:29-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:27:07.415-07:00 Los_Angeles,2018-12-07T09:45:29.563-08:00 Los_Angeles,"",✓,"","","","",Low Temp Alarm,"",BI3005138,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,✓,JCL-NAE21/N2-A.FAC-020.LT-A.Trend1,Los_Angeles,"","","","","","","",AHU-D1B.LT-A,"",2020-04-08T18:50:30.766Z UTC
@p:ubcv:r:22bc3c33-380f4099 Chem Centre Rm D231 Zone JCL-NAE21/N2-A.21AVM146.ZNT-SP,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3001097,"",✓,JCL-NAE21/N2-A.21AVM146.ZNT-SP,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","",✓,"","","","","","",@p:ubcv:r:230df185-b746f047 Chem Centre Rm D231 Zone,"","","","",@p:ubcv:r:230df184-c6d2a3ed Chem Centre Floor 1,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:07.945-07:00 Los_Angeles,2018-12-07T09:45:38.175-08:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AO3001096,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df185-30bf2a93 Chem Centre Rm D231,"","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"",✓,"","","","",@p:ubcv:r:23e65d3e-1fede0fa .+(\.|-| )ZNT-SP,✓,JCL-NAE21/N2-A.21AVM146.ZNT-SP.Trend,Los_Angeles,°C,"","","","","","",Physical/Analytical Research.ZNT-SP,✓,2020-04-09T19:02:02.786Z UTC
@p:ubcv:r:22bc3c34-647800ce Chem Centre Unsorted Points JCL-NAE21/Programming.Floor Systems.Zone.LO-ZN-T,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3004375,"",✓,JCL-NAE21/Programming.Floor Systems.Zone.LO-ZN-T,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22837e91-b5747bd2 Chem Centre Unsorted Points,"","","","",@p:ubcv:r:22837e7d-3e9b0143 Chem Centre Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:07.946-07:00 Los_Angeles,2018-12-07T09:45:29.518-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AV3004374,"","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE21/Programming.Floor Systems.Zone.LO-ZN-T.Trend1,Los_Angeles,°C,"","","","","","",HWS.LO-ZN-T,✓,2020-04-09T19:02:02.787Z UTC
