id,ahu,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chemN_1809_FHOpt,chemN_CPP,chilled,chiller,cmd,co2,condenser,connRef,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,filter,flow,groupRef,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mixing,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,preFilter,pressure,proj_1830_3W2W,pump,quantityID,rad,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238a0dc3-af529e04 Chem North Rm E219 VAV-E219 JCL-NAE19/N2-A.19A108VM.ZN-T,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3001253,✓,JCL-NAE19/N2-A.19A108VM.ZN-T,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:248034ca-205fed06 Chem North Rm E219 VAV-E219,"","","","",@p:ubcv:r:248034ca-1326c828 Chem North Floor 1,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25667,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.517-07:00 Los_Angeles,2018-12-07T09:45:30.619-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3001251,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:248034ca-8ba991f7 Chem North Rm E219,"","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE19/N2-A.19A108VM.ZN-T.Trend,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:01.124Z UTC
@p:ubcv:r:22724d83-38fa6945 Chem North EF-7 JCL-NAE19/N2-A.19A003DX.EF07-C,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000509,✓,JCL-NAE19/N2-A.19A003DX.EF07-C,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248050ae-63cd2cad Chem North EF-7,✓,✓,"","",@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",19,2017-08-17T07:52:10-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T14:22:58.328-07:00 Los_Angeles,2018-12-07T09:45:28.822-08:00 Los_Angeles,"","","","","","",Exhaust Fan Run Cmd,"",BO3000508,"","","","","","",✓,"","","","","","","","","","",✓,"","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"","",JCL-NAE19/N2-A.19A003DX.EF07-C.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:25.739Z UTC
@p:ubcv:r:238a0dc3-c3aaac48 Chem North Rm E116 VAV-E116 JCL-NAE19/N2-A.19A107VM.ZN-T,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3001200,✓,JCL-NAE19/N2-A.19A107VM.ZN-T,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:248034ca-ad236e20 Chem North Rm E116 VAV-E116,"","","","",@p:ubcv:r:248034ca-7b683009 Chem North Basement,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25667,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.519-07:00 Los_Angeles,2018-12-07T09:45:30.633-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3001198,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:248034ca-c6fac3f1 Chem North Rm E116,"","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE19/N2-A.19A107VM.ZN-T.Trend,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:01.125Z UTC
@p:ubcv:r:238a0dc3-00a6fb35 Chem North AHU-1 RF JCL-NAE19/N2-A.19A007DX.RF-A,"",✓,✓,@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000535,✓,JCL-NAE19/N2-A.19A007DX.RF-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:2480379f-6f1bbc4e Chem North AHU-1 RF,"",✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",4,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.331-07:00 Los_Angeles,2018-12-07T09:45:31.559-08:00 Los_Angeles,"","","","","","",Return Fan Alarm,"",BI3000534,"","","","","","",✓,"","","","","","","","",✓,"","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:258695ef-6eade023 .+(\.|-| |_)RF-A,"","",JCL-NAE19/N2-A.19A007DX.RF-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:25.459Z UTC
@p:ubcv:r:238a0dc3-4920560d Chem North Lab E413 Zone JCL-NAE19/N2-A.19A126DX.APM-2-A,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000589,✓,JCL-NAE19/N2-A.19A126DX.APM-2-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:248034ca-4efa625a Chem North Lab E413 Zone,"","","","",@p:ubcv:r:248034ca-f0c31ae3 Chem North Floor 3,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",4,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.333-07:00 Los_Angeles,2018-12-07T09:45:31.54-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A126DX.APM-2-A,✓,BI3000588,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:248034ca-0a40699d Lab E413-E415,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A126DX.APM-2-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:23.436Z UTC
@p:ubcv:r:238a0dc3-8f982ce9 Chem North Heating Plant JCL-NAE19/N2-A.19A001DX.HX1-CV-O,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008139,✓,JCL-NAE19/N2-A.19A001DX.HX1-CV-O,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:248034e6-ad88ae7b Chem North Heating Plant,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,✓,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51467,2018-11-21T05:30:00-08:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:22:58.671-07:00 Los_Angeles,2018-11-25T13:45:23.62-08:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"",AO3008138,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:2480771a-0257ae3b .+(\.|-| )D?HX\d\w?-CV-O,"","",JCL-NAE19/N2-A.19A001DX.HX1-CV-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-14T16:49:59.242Z UTC
@p:ubcv:r:238a0dc3-59d5475f Chem North EF-1 JCL-NAE19/FCB-02.VND-007.OUTPUT FREQ,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009196,✓,JCL-NAE19/FCB-02.VND-007.OUTPUT FREQ,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24803646-0ebd3953 Chem North EF-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51467,2018-11-21T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.673-07:00 Los_Angeles,2018-11-25T13:45:23.642-08:00 Los_Angeles,"","","","","","",JCL-NAE19/FCB-02.VND-007.OUTPUT FREQ,✓,AV3009076,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/FCB-02.VND-007.OUTPUT FREQ.Trend1,Los_Angeles,Hz,"","","","","",2020-04-09T19:02:01.128Z UTC
@p:ubcv:r:238a0dc3-11b18121 Lab E415 EV-02 JCL-NAE19/N2-A.19A126DX.EV-E02-A,"",✓,✓,@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000619,✓,JCL-NAE19/N2-A.19A126DX.EV-E02-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Alarm,Normal","",@p:ubcv:r:248059b9-784b3034 Lab E415 EV-02,✓,✓,"","",@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-04-09T09:17:53-07:00 Los_Angeles,"","",72,2018-12-07T11:19:59-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.366-07:00 Los_Angeles,2018-12-07T09:45:31.684-08:00 Los_Angeles,"","","","","","",Exhaust Air Fan Alarm,"",BI3000618,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2480598d-eae27103 Lab E415,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:258694ff-feac8f01 .+(\.|-| |_)(EF|EV)-.+-A(LM)?,"","",JCL-NAE19/N2-A.19A126DX.EV-E02-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:31.308Z UTC
@p:ubcv:r:24edab6a-1ff3fe26 Chem North Unsorted Points JCL-NAE19/Schedule.AHU-1 Schedule,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),SCH3005612,"",✓,JCL-NAE19/Schedule.AHU-1 Schedule,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","",unknown,"","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","",✓,"",Number,"","","","","","","","",Scheduled Occupancy,"","","","","","","","",✓,"","","","","","","","","","","","",✓,"",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","","",Los_Angeles,"","","","","","",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:238a0dc3-4370690b Chem North AHU-1 P9 JCL-NAE19/N2-A.19A007DX.P9-C,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000529,✓,JCL-NAE19/N2-A.19A007DX.P9-C,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P9,@p:ubcv:r:248034e6-55f973a1 Chem North AHU-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-04-12T07:39:52-07:00 Los_Angeles,"","",282,2018-11-17T20:28:06-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.37-07:00 Los_Angeles,2018-12-07T09:45:31.553-08:00 Los_Angeles,"","","","","","",Run Cmd,"",BO3000528,"","","","","","",✓,"","","","","",✓,"","","","",✓,"","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"","",JCL-NAE19/N2-A.19A007DX.P9-C.Trend,Los_Angeles,"","","","","","",2020-05-12T11:03:27.81Z UTC
