id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,energy,entering,enum,equipName,equipRef,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,leaving,low,mixed,mode,navName,noTagMatch,objectId,occ,outside,point,power,pump,quantityID,return,run,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,water,zachName,zone,mod
@p:ubcv:r:25a64582-4c08f0c2 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.Parameters.OCC-SCHEDULE,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007623,"",JCL-NAE09/FC-2.FEC-005.Parameters.OCC-SCHEDULE,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","Occupied,UnOccupied,Standby,Not Set","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T11:00:00-07:00 Los_Angeles,"","",182,2019-12-11T18:30:02-08:00 Los_Angeles,ok,"","",✓,Str,2020-05-12T14:23:34.534-07:00 Los_Angeles,"","","","",Scheduled Occupancy,"",MSV3007580,✓,"",✓,"","","","","",✓,"",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"",✓,"","","",@p:ubcv:r:23e65d3d-446b0e76 .+(\.|-| )OCC-SCHEDU(LE)?,"",JCL-NAE09/FC-2.FEC-005.Parameters.OCC-SCHEDULE.Trend2,Los_Angeles,"","","",AHU-01.OCC-SCHEDULE,"",2020-04-08T18:50:35.262Z UTC
@p:ubcv:r:25a64582-385d863e Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-006.1600 SHWS RADLW-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3008128,"",JCL-NAE09/FC-2.FEC-006.1600 SHWS RADLW-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18086,2020-01-06T03:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.535-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-006.1600 SHWS RADLW-T,✓,AI3008116,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-006.1600 SHWS RADLW-T.Trend1,Los_Angeles,°C,"","",1600.SHWS.RADLW-T,"",2020-04-09T19:01:58.476Z UTC
@p:ubcv:r:25a64582-15b25724 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-101.RLP-VLV,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001035,"",JCL-NAE09/N2-A.DC-101.RLP-VLV,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.537-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-101.RLP-VLV,✓,AO3000202,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-101.RLP-VLV.Trend1,Los_Angeles,%,"","",1600.RHWS.RADVLV-O,"",2020-04-09T19:01:58.477Z UTC
@p:ubcv:r:25a64582-f492a3d7 Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.SAF01-A,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007563,"",JCL-NAE09/FC-2.FEC-005.SAF01-A,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","Normal,Alarm","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-09T19:29:11-07:00 Los_Angeles,"","",9,2019-09-20T00:24:37-07:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:23:34.538-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-005.SAF01-A,✓,BI3007544,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-005.SAF01-A.Trend1,Los_Angeles,"","","",AHU-01.SAF01-A,"",2020-04-08T18:50:37.98Z UTC
@p:ubcv:r:25a64582-b9da6261 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-101.RA3-DPR,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001026,"",JCL-NAE09/N2-A.DC-101.RA3-DPR,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.54-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-101.RA3-DPR,✓,AO3000196,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-101.RA3-DPR.Trend1,Los_Angeles,_,"","",CS-AHU1.RA3-DPR,"",2020-04-09T19:15:03.597Z UTC
@p:ubcv:r:25a64582-b6aaac4e Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-005.MAD-O,✓,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3007566,"",JCL-NAE09/FC-2.FEC-005.MAD-O,✓,@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","",✓,"","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18086,2020-01-06T03:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.541-07:00 Los_Angeles,"","",✓,"",Mixed Air Damper Cmd,"",AO3007546,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","",@p:ubcv:r:23e65d3d-7228537e .+(\.|-| )MAD-O,"",JCL-NAE09/FC-2.FEC-005.MAD-O.Trend1,Los_Angeles,%,"","",AHU-01.MAD-O,"",2020-04-14T16:50:01.489Z UTC
@p:ubcv:r:25a64582-a20c746f Continuing Studies Unsorted Points JCL-NAE09/FC-2.FEC-006.1600 SHWS LHW-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3008126,"",JCL-NAE09/FC-2.FEC-006.1600 SHWS LHW-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",18086,2020-01-06T03:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.542-07:00 Los_Angeles,"","","","",JCL-NAE09/FC-2.FEC-006.1600 SHWS LHW-T,✓,AI3008114,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/FC-2.FEC-006.1600 SHWS LHW-T.Trend1,Los_Angeles,°C,"","",1600.SHWS.LHW-T,"",2020-04-09T19:01:58.48Z UTC
@p:ubcv:r:25a64582-43e11034 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-35.F22-23-C,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001069,"",JCL-NAE09/N2-A.DC-35.F22-23-C,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-09T19:29:11-07:00 Los_Angeles,"","",200,2019-12-23T21:00:05-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:23:34.543-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-35.F22-23-C,✓,BO3000234,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-35.F22-23-C.Trend1,Los_Angeles,"","","",CS-EF.F22-23-C,"",2020-04-08T18:52:42.774Z UTC
@p:ubcv:r:25a64582-6a0e3176 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-35.RP002-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001062,"",JCL-NAE09/N2-A.DC-35.RP002-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.545-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-35.RP002-T,✓,AI3000230,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-35.RP002-T.Trend1,Los_Angeles,°C,"","",CS-UF.RP002-T,"",2020-04-09T19:01:58.481Z UTC
@p:ubcv:r:25a64582-9e166a31 Continuing Studies Unsorted Points JCL-NAE09/N2-A.DC-32.RP028-T,"","",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"",TL3001945,"",JCL-NAE09/N2-A.DC-32.RP028-T,"",@p:ubcv:r:25a64114-0fce80c6 CSB (NAE-09),"","","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a6420b-46b2b1ee Continuing Studies Unsorted Points,"",@p:ubcv:r:25a6420b-06958ff8 Continuing Studies Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6108,2020-01-05T11:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:23:34.548-07:00 Los_Angeles,"","","","",JCL-NAE09/N2-A.DC-32.RP028-T,✓,AI3000939,"","",✓,"","","","","","","",@p:ubcv:r:21693dee-97fa087e Continuing Studies,"","","","","","","",JCL-NAE09/N2-A.DC-32.RP028-T.Trend1,Los_Angeles,°C,"","",CS-UF.RP028-T,"",2020-04-09T19:01:58.482Z UTC
