id,air,average,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cur,curConvert,curErr,curStatus,damper,delta,deltaTempPoint,demand,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:25a35719-6f4b383e Cunningham DHX-1 CUNNINGHAM_DHX1_DHW_RECIRC_PUMP_C,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL80,"",CUNNINGHAM_DHX1_DHW_RECIRC_PUMP_C,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T20:00:00-07:00 Los_Angeles,conn fault,"","",207,2019-12-30T08:00:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",CUNNINGHAM_DHX1_DHW_RECIRC_PUMP_C,✓,BV10,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_DHX1_DHW_RECIRC_PUMP_C_COV_TL,Los_Angeles,"","","","","","",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a35716-2d39cae1 Cunningham Unsorted Points F03_SAT_SP,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL19,"",F03_SAT_SP,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Discharge Air Temp Sp,"",AV10,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"",✓,"","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,F03_SAT_SP_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.151Z UTC
@p:ubcv:r:25a3574d-2983c576 Cunningham Unsorted Points CUNNINGHAM_HE_04_RWT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL23,"",CUNNINGHAM_HE_04_RWT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_HE_04_RWT,✓,AI1402,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_HE_04_RWT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.108Z UTC
@p:ubcv:r:25a35716-d976bf33 Cunningham Unsorted Points P8 F03_02_HC11_P8_PS_BV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL4,"",F03_02_HC11_P8_PS_BV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P8,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","","",conn fault,"","","","",fault,"",✓,Bool,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Run Status,"",BV2,"","","","",✓,"","",✓,"","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-e879dd15 .+_PS_BV(_TL)?,"",F03_02_HC11_P8_PS_BV_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:26.958Z UTC
@p:ubcv:r:25a3574d-046d4c11 Cunningham Unsorted Points CUNNINGHAM_HC04_SAT,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL25,"",CUNNINGHAM_HC04_SAT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI1501,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,CUNNINGHAM_HC04_SAT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.109Z UTC
@p:ubcv:r:25a35716-70cbd489 Cunningham Unsorted Points F04_HC09_SAT,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL12,"",F04_HC09_SAT,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI1203,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,F04_HC09_SAT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.152Z UTC
@p:ubcv:r:25a3574d-f7705888 Cunningham Unsorted Points CUNNINGHAM_HC06_SAT,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL27,"",CUNNINGHAM_HC06_SAT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI1503,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,CUNNINGHAM_HC06_SAT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.11Z UTC
@p:ubcv:r:25a3574e-a82ab125 Cunningham Unsorted Points CUNNINGHAM_HC05_SAT_SP,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL41,"",CUNNINGHAM_HC05_SAT_SP,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Discharge Air Temp Sp,"",AV250,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"",✓,"","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,CUNNINGHAM_HC05_SAT_SP_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.111Z UTC
@p:ubcv:r:25a35719-1af016d7 Cunningham Unsorted Points 625_AHU_01_S,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL56,"",625_AHU_01_S,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",625_AHU_01_S,✓,BI1102,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_AHU_01_S_POLL_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:30.9Z UTC
@p:ubcv:r:25a3574d-9b43291d Cunningham Unsorted Points CUNNINGHAM_HE_04_SWT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL22,"",CUNNINGHAM_HE_04_SWT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_HE_04_SWT,✓,AI1401,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_HE_04_SWT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.112Z UTC
