id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetDesc,bacnetHis,bacnetObjectId,bacnetPoint,bacnetWriteLevel,bmsName,bridgeName,chilled,chiller,cmd,co2,comp,condenser,connRef,cool,cooling,coolingTower,count,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,flow,fsc3W2WConversion1830,fscVAVsetback1815,groupRef,heat,heatRecovery,heating,high,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,johnson,kind,lastSynced,lastTagged,leaving,low,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,primaryLoop,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,scheduled,secondaryLoop,sensor,siteRef,sourceID,sp,speed,spray,sqlConnRef,sqlPoint,static,submeterAdd,tagTableRef,tank,temp,tlName,tt0724,tz,unit,utilityPoint,valve,vfd,volume,water,wifi,wifiId,writable,writeLevel,writeStatus,zachName,zone,mod
@p:ubcv:r:251c1d13-86c6e7a1 Forest Sci Rm 3613 VAV-3-714 JCL-NAE46/N2-A.DC-714.SUPFLOW,"",✓,"","",@p:ubcv:r:21e6b888-0f1d2dbd FSC (NAE-46),"","",TL3014476,"",✓,"",JCL-NAE46/N2-A.DC-714.SUPFLOW,"","","","","","","",@p:ubcv:r:21e6b888-0f1d2dbd FSC (NAE-46),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2530fa2b-3d71ad74 Forest Sci Rm 3613 VAV-3-714,"","","",✓,"","",@p:ubcv:r:251d6745-fbd471a9 Forest Sci Floor-03,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",22056,2019-09-23T05:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:33:17.847-07:00 Los_Angeles,"","","","","",Discharge Air Flow,"",AI3000651,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d674c-11c0467d Forest Sci Rm 3613,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:2573299e-4bf282a5 .+(\.|-| )SUPFLOW,"","",JCL-NAE46/N2-A.DC-714.SUPFLOW.Trend1,"",Los_Angeles,L/s,"","","","","","","","","","","","",2020-04-09T19:02:13.498Z UTC
@p:ubcv:r:24d5cf59-a1c0f5bd Forest Sci Rm 4234 VAV-212 JCL-NAE48/N2-A.DC-212.BXHTCMD,"","","","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","",TL3010320,"",✓,"",JCL-NAE48/N2-A.DC-212.BXHTCMD,"","","",✓,"","","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa2e-75df630b Forest Sci Rm 4234 VAV-212,"","","","","","",@p:ubcv:r:251d6745-0d02bb16 Forest Sci Floor-04,"","",✓,"",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26915,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:41:07.854-07:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3000812,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6750-8ea95795 Forest Sci Rm 4234,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:24f073e3-d5637f59 .+(\.|-| )BXHTCMD,"","",JCL-NAE48/N2-A.DC-212.BXHTCMD.Trend1,"",Los_Angeles,_,"",✓,"","","","","","","","",FS.VAV212.BXHTCMD,"",2020-04-30T11:09:54.939Z UTC
@p:ubcv:r:24d5d001-4f240c6c Forest Sci Rm 1321 VAV-1-114 JCL-NAE45/N2-A.DC-114.EXHFLOW,"",✓,"","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","",TL3031392,"",✓,"",JCL-NAE45/N2-A.DC-114.EXHFLOW,"","","","","","","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa28-fc9a6e58 Forest Sci Rm 1321 VAV-1-114,✓,"","",✓,"","",@p:ubcv:r:25142b65-a20d3e4b Forest Sci Floor-01,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26844,2019-07-31T21:45:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:35:45.425-07:00 Los_Angeles,"","","","","",Exhaust Air Flow,"",AI3000357,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6748-fe46df1e Forest Sci Rm 1321,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3d-eebf1d9a .+(\.|-| )EXHFLOW,"","",JCL-NAE45/N2-A.DC-114.EXHFLOW.Trend1,"",Los_Angeles,L/s,"","","","","","","","","","",FS.VAV114.EXHFLOW,"",2020-04-30T11:10:42.21Z UTC
@p:ubcv:r:24d5cf89-fb87f13f Forest Sci Rm 2926 VAV-2-412 JCL-NAE47/N2-A.DC-412.SPFLOWSP,"",✓,"","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3013782,"",✓,"",JCL-NAE47/N2-A.DC-412.SPFLOWSP,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2530fa26-2b008ccd Forest Sci Rm 2926 VAV-2-412,"","","",✓,"","",@p:ubcv:r:251d6745-6944eec8 Forest Sci Floor-02,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26952,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:37:07.927-07:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"",AO3000824,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6747-d0548ae4 Forest Sci Rm 2926,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"",✓,"","","","","","",@p:ubcv:r:23e65d3d-28cc8339 .+(\.|-| )SU?PFLOW?SP,"","",JCL-NAE47/N2-A.DC-412.SPFLOWSP.Trend1,"",Los_Angeles,L/s,"","","","","","","","","","",FS.VAV412.SPFLOWSP,"",2020-04-09T19:02:14.046Z UTC
@p:ubcv:r:25fb8378-88879782 Forest Sci Heating Plant HX-01B JCL-NAE45/FC-B.45B-FEC004.353-CV-HE1B2-FB,"","","","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","",TL3037061,"","","",JCL-NAE45/FC-B.45B-FEC004.353-CV-HE1B2-FB,"","","","","","","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530f2d2-4e603330 Forest Sci Heating Plant HX-01B,"","",✓,"","","",@p:ubcv:r:21698352-13c5efc9 Forest Sci Hydronic Systems,"","","","",✓,"","","",2020-04-28T13:39:04-07:00 Los_Angeles,"","","",2073,2020-03-10T10:59:20-07:00 Los_Angeles,ok,"",✓,"",✓,"",Number,2020-05-12T14:35:45.276-07:00 Los_Angeles,"","","","","",Valve Feedback,"",AI3012571,"","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:2512c909-1151651e .+(\.|-| )HE\d\w?\d?-FB,"","",JCL-NAE45/FC-B.45B-FEC004.353-CV-HE1B2-FB.Trend2,"",Los_Angeles,_,"",✓,"","",✓,"","","","","",FS.HWS.353-CV-HE1B2-FB,"",2020-04-30T11:10:42.219Z UTC
@p:ubcv:r:24662580-df9bae33 Forest Sci Rm 3322 VAV-192 JCL-NAE44/N2-A.DC-192.EXFLOWSP,"",✓,"","",@p:ubcv:r:2465e590-2523377f FSC (NAE-44),"","",TL3003575,"",✓,"",JCL-NAE44/N2-A.DC-192.EXFLOWSP,"","","","","","","",@p:ubcv:r:2465e590-2523377f FSC (NAE-44),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa2f-7529802f Forest Sci Rm 3322 VAV-192,✓,"","",✓,"","",@p:ubcv:r:251d6745-fbd471a9 Forest Sci Floor-03,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",35034,2019-05-08T11:15:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:31:57.639-07:00 Los_Angeles,"","","","","",Exhaust Air Flow Sp,"",AO3000441,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6751-8e9237b3 Forest Sci Rm 3322,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"",✓,"","","","","","",@p:ubcv:r:2538b6aa-d8b9ab23 .+(\.|-| )EXFLOWSP,"","",JCL-NAE44/N2-A.DC-192.EXFLOWSP.Trend1,"",Los_Angeles,L/s,"","","","","","","","","","",FS.VAV192.EXFLOWSP,"",2020-04-30T11:11:14.731Z UTC
@p:ubcv:r:24d5d000-14eabc13 Forest Sci Rm 320 VAV-b-107 JCL-NAE45/N2-A.DC-107.SBOXCMD,"",✓,"","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","",TL3031278,"",✓,"",JCL-NAE45/N2-A.DC-107.SBOXCMD,"","","",✓,"","","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","","","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2530fa2c-b28a7117 Forest Sci Rm 320 VAV-b-107,"","","","","","",@p:ubcv:r:251d6746-b8111e9c Forest Sci Basement,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26844,2019-07-31T21:45:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:35:45.432-07:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"",AO3000254,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d674d-9c67661d Forest Sci Rm 320,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:2538b61b-b2bb6db7 .+(\.|-| )SBOXCMD,"","",JCL-NAE45/N2-A.DC-107.SBOXCMD.Trend1,"",Los_Angeles,_,"","","","","","","","","","",FS.VAV107.SBOXCMD,"",2020-04-30T11:10:42.226Z UTC
@p:ubcv:r:24d5cf89-ed46a4db Forest Sci Rm 1004 RHC-1004 JCL-NAE47/N2-A.DC-1004.OCCCMD,"",✓,"","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3013615,"",✓,"",JCL-NAE47/N2-A.DC-1004.OCCCMD,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Unoccupied,Occupied","",@p:ubcv:r:252f6aee-e7719514 Forest Sci Rm 1004 RHC-1004,"","","","","","",@p:ubcv:r:22bc2023-4941fc31 Forest Sci Unsorted Points,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26952,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T14:37:07.932-07:00 Los_Angeles,"","","","",✓,Zone Occupancy Mode,"",BO3011153,✓,"","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-a87ebc9b .+(\.|-| )OCCC?M?D,"","",JCL-NAE47/N2-A.DC-1004.OCCCMD.Trend1,"",Los_Angeles,"","","","","","","","","","","",OCCCMD,✓,2020-04-08T18:55:34.553Z UTC
@p:ubcv:r:24662580-0e3ff644 Forest Sci Rm 3201 VAV-158 JCL-NAE44/N2-A.DC-158.EBOXCMD,"",✓,"","",@p:ubcv:r:2465e590-2523377f FSC (NAE-44),"","",TL3003540,"",✓,"",JCL-NAE44/N2-A.DC-158.EBOXCMD,"","","",✓,"","","",@p:ubcv:r:2465e590-2523377f FSC (NAE-44),"","","","","","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa27-4d475a4c Forest Sci Rm 3201 VAV-158,✓,"","","","","",@p:ubcv:r:251d6745-fbd471a9 Forest Sci Floor-03,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",35034,2019-05-08T11:15:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:31:57.674-07:00 Los_Angeles,"","","","","",Exhaust Air Damper Cmd,"",AO3000157,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6748-a8a8093f Forest Sci Rm 3201,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3d-c45fbca5 .+(\.|-| |_)EBOXCMD,"","",JCL-NAE44/N2-A.DC-158.EBOXCMD.Trend1,"",Los_Angeles,_,"","","","","","","","","","",FS.VAV158.EBOXCMD,"",2020-04-30T11:11:14.753Z UTC
@p:ubcv:r:24d5cf89-f35bc040 Forest Sci Rm 2962 VAV-2-421 JCL-NAE47/N2-A.DC-421.ACTHTGSP,"",✓,"","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3013607,"",✓,"",JCL-NAE47/N2-A.DC-421.ACTHTGSP,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:2530fa29-3ca7f8f4 Forest Sci Rm 2962 VAV-2-421,"","","","","","",@p:ubcv:r:251d6745-6944eec8 Forest Sci Floor-02,"","",✓,"",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26952,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:37:07.936-07:00 Los_Angeles,"","","","","",Zone Temp Effective Heating Sp,"",AI3000933,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d674a-645ea71a Forest Sci Rm 2962,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"",✓,"","","","","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,"",✓,JCL-NAE47/N2-A.DC-421.ACTHTGSP.Trend1,"",Los_Angeles,°C,"","","","","","","","","","",FS.VAV421.ACTHTGSP,✓,2020-04-09T19:02:14.05Z UTC
