id,bacnetConnRef,bacnetCur,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,objectId,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,temp,toTag,tz,unit,utilityPoint,volume,water,wifi,wifiId,zachName,mod
@p:ubcv:r:253a1481-03505320 Fred Kaiser Rm South Wifi Count,"","","","",313.FLR5.AHU1-South,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,48679,2019-10-16T10:45:00-07:00 Los_Angeles,"","","",Number,"",Rm South Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,783,"",2020-02-26T18:09:16.791Z UTC
@p:ubcv:r:2539fc43-b1005987 Fred Kaiser Rm 3085 Wifi Count,"","","","",313.FLR3.AHU1-3085,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:00-07:00 Los_Angeles,"",cov,49889,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 3085 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,773,"",2020-02-26T18:09:18.235Z UTC
@p:ubcv:r:263b76b0-c23e4d6e Fred Kaiser Elec Main Meter Energy,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,1869606.875kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a665c8-48591a0d Fred Kaiser Elec Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,251852,2013-03-07T15:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Kaiser_313.Elec_Energy,✓,✓,"","",10393,✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,228,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","","","","",2020-05-04T19:39:55.22Z UTC
@p:ubcv:r:2539fc43-db03fe0a Fred Kaiser Rm 4090 Wifi Count,"","","","",313.FLR4.AHU1-4090,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:00-07:00 Los_Angeles,"",cov,49829,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 4090 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,775,"",2020-02-26T18:09:17.976Z UTC
@p:ubcv:r:2388a048-ea4e3fd2 Fred Kaiser HW Main Meter Water Delta Temp,"","","","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","","",✓,"","","","","",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","",✓,"",Los_Angeles,°C,✓,"",✓,"","","",2020-04-28T00:03:35.86Z UTC
@p:ubcv:r:2539fc42-04ba2c67 Fred Kaiser Rm 4025 Wifi Count,"","","","",313.FLR4.AHU1-4025,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",2,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49735,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 4025 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,781,"",2020-02-26T18:09:17.277Z UTC
@p:ubcv:r:20a665c8-57d4adbe Fred Kaiser HW Main Meter Energy,@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,AI2,✓,"","",@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,"",✓,MWh => kWh,ok,3590309.814453125kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,243269,2013-04-04T08:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","","",✓,✓,"",10364,✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,228,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"",✓,"","","",2020-04-28T00:03:35.861Z UTC
@p:ubcv:r:2539fc43-8bc25e99 Fred Kaiser Rm 3030 Wifi Count,"","","","",313.FLR3.AHU1-3030,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49818,2019-10-16T09:10:00-07:00 Los_Angeles,"","","",Number,"",Rm 3030 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,774,"",2020-02-26T18:09:18.06Z UTC
@p:ubcv:r:2539fc43-20c42cf4 Fred Kaiser Rm 3070 Wifi Count,"","","","",313.FLR3.AHU1-3070,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49820,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 3070 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,771,"",2020-02-26T18:09:18.449Z UTC
@p:ubcv:r:20a665c8-7170b85b Fred Kaiser HW Main Meter Power,@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,AI5,✓,"","",@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,"",✓,MW => kW,ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,5kW,15min,2020-05-12T14:45:00-07:00 Los_Angeles,"","",328651,2016-05-05T12:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","","",✓,"",✓,"",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,kW,✓,"",✓,"","","",2020-05-12T08:00:09.804Z UTC
