id,ahu,air,alarm,bacnetConnRef,bacnetCur,bacnetDis,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,bypass,chilled,chiller,cmd,co2,condenser,connRef,cool,cooling,count,covTest,cur,curConvert,curErr,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,freezeStat,groupRef,heat,heatWheel,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,mixed,mixing,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,reheat,reliability,return,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siemens,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,status,tagTableRef,tags,temp,test,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:238a0b4b-0fc9b900 ICICS Rm 003 FC-01 JCL-NAE01/N2-17.IC17-024.LE-FC-01 CLG-VLV,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3043570,"",✓,JCL-NAE01/N2-17.IC17-024.LE-FC-01 CLG-VLV,"","",✓,"",✓,"","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"",✓,"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc37-71bfe537 ICICS Rm 003 FC-01,"","","","","","",@p:ubcv:r:2399b50a-e6e40530 ICICS Floor 0,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",51401,2018-11-21T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.64-07:00 Los_Angeles,2018-12-07T12:37:22.19-08:00 Los_Angeles,"","","","","",Cooling Valve Cmd,"",AO3009498,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-d02ef7a1 ICICS Rm 003,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","","",JCL-NAE01/N2-17.IC17-024.LE-FC-01 CLG-VLV.Trend1,Los_Angeles,%,"",✓,"",✓,"","",LP-LVL0-FC.LE-FC-01 CLG-VLV,"",2020-04-14T16:50:00.045Z UTC
@p:ubcv:r:238a0b4b-976ab6c3 ICICS Rm 201 VAV-12 JCL-NAE01/N2-17.IC17-038.Parameters.STARVBOX-S,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3049455,"",✓,JCL-NAE01/N2-17.IC17-038.Parameters.STARVBOX-S,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","False,True","",@p:ubcv:r:2198d415-b93a360f ICICS Rm 201 VAV-12,"","","","","","",@p:ubcv:r:21978aa2-556858ee ICICS Floor 2,"","","",✓,"","","",2020-05-07T13:31:51-07:00 Los_Angeles,"","","",1652,2018-11-21T06:10:47-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:49.707-07:00 Los_Angeles,2018-11-25T13:45:24.041-08:00 Los_Angeles,"","","","","",JCL-NAE01/N2-17.IC17-038.Parameters.STARVBOX-S,✓,BI3009899,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-5cc84e30 ICICS Rm 201,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-17.IC17-038.Parameters.STARVBOX-S.Trend1,Los_Angeles,"","","","","","","",LP-LVL2.VAV-12.STARVBOX-S,"",2020-04-08T18:55:49.11Z UTC
@p:ubcv:r:238a0b2f-00be183b ICICS Cooling Plant JCL-NAE03/FCB.Local Application.IC-CW_HE3-SRT,"","","",@p:ubcv:r:21e6a661-36fe7a6c ICICS (NAE-03),"","",TL3000517,"",✓,JCL-NAE03/FCB.Local Application.IC-CW_HE3-SRT,"","","","","","","",@p:ubcv:r:21e6a661-36fe7a6c ICICS (NAE-03),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399d7c8-53746d7f ICICS Cooling Plant,"","","","","","",@p:ubcv:r:216983e3-ef52cc34 ICICS Hydronic Systems,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",46356,2018-11-22T05:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:46:38.607-07:00 Los_Angeles,2018-11-25T13:45:23.732-08:00 Los_Angeles,"","","","","",JCL-NAE03/FCB.Local Application.IC-CW_HE3-SRT,✓,AI3000516,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE03/FCB.Local Application.IC-CW_HE3-SRT.Trend1,Los_Angeles,°C,"","","","","","",IC-CW.HE3-SRT,"",2020-05-08T11:39:27.293Z UTC
@p:ubcv:r:238a0b4b-66dbaa84 ICICS Rm 300 VAV-19 JCL-NAE01/N2-17.IC17-047.CLG-SP,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3049582,"",✓,JCL-NAE01/N2-17.IC17-047.CLG-SP,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"",✓,"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc38-1b797112 ICICS Rm 300 VAV-19,"","","","","","",@p:ubcv:r:21978aa2-70b093b5 ICICS Floor 3,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",51404,2018-11-21T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:49.727-07:00 Los_Angeles,2018-12-07T12:37:21.86-08:00 Los_Angeles,"","","","","",Cooling Sp,"",AO3010128,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-62cf0904 ICICS Rm 300,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"",✓,"","","","",@p:ubcv:r:25fd6232-50ab9bda .+\.CLG-SP,"",✓,"",JCL-NAE01/N2-17.IC17-047.CLG-SP.Trend1,Los_Angeles,°C,"","","","","","",LP-LVL3.VAV-19.CLG-SP,✓,2020-04-09T19:01:56.956Z UTC
@p:ubcv:r:25cd6b23-ca85e523 ICICS Unsorted Points JCL-NAE01/N2-17.FEC-015.BI1,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3055856,"","",JCL-NAE01/N2-17.FEC-015.BI1,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Close,Open","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T14:53:14-07:00 Los_Angeles,"","","",100,2020-01-28T06:06:19-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:48.416-07:00 Los_Angeles,"","","","","","",JCL-NAE01/N2-17.FEC-015.BI1,✓,BI3055826,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-17.FEC-015.BI1.Trend1,Los_Angeles,"","","","","","","",1660.AHU-03.CCD-FB,"",2020-04-08T18:50:19.665Z UTC
@p:ubcv:r:238a0b48-de860901 ICICS Rm 625B FC-03 JCL-NAE01/N2-16.IC16-023.06-RH-07 ZN-T,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3008155,"",✓,JCL-NAE01/N2-16.IC16-023.06-RH-07 ZN-T,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc37-e81e6e71 ICICS Rm 625B FC-03,"","","","","","",@p:ubcv:r:2399b50a-f5463425 ICICS Floor 6,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50966,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.643-07:00 Los_Angeles,2018-12-07T12:37:21.476-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3008154,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-7c2c9a1a ICICS Rm 625B,"","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,"",JCL-NAE01/N2-16.IC16-023.06-RH-07 ZN-T.Trend,Los_Angeles,°C,"","","","","","",IC-LVL6-RH.06-RH-07 ZN-T,✓,2020-04-09T19:01:56.957Z UTC
@p:ubcv:r:25f78d2d-9b671d76 ICICS Unsorted Points JCL-NAE02/FCB.Local Application.Parameters.1660 PHWS HWDP-EFFSP,"","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","",TL3001123,"","",JCL-NAE02/FCB.Local Application.Parameters.1660 PHWS HWDP-EFFSP,"","","","","","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-05T08:06:55-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [249] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",480,2020-03-08T04:07:02-07:00 Los_Angeles,fault,"","","",✓,Number,2020-05-12T01:13:13.262-07:00 Los_Angeles,"","","","","","",JCL-NAE02/FCB.Local Application.Parameters.1660 PHWS HWDP-EFFSP,✓,AV3001118,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE02/FCB.Local Application.Parameters.1660 PHWS HWDP-EFFSP.Trend1,Los_Angeles,kPa,"","","","","","",1660.PHWS.HWDP-EFFSP,"",2020-05-06T11:01:50.817Z UTC
@p:ubcv:r:238a0b4a-af24a0e8 ICICS Rm 310 VAV-09 JCL-NAE01/N2-17.IC17-035.Parameters.ACLG-SP,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3038468,"",✓,JCL-NAE01/N2-17.IC17-035.Parameters.ACLG-SP,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"",✓,"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc37-fcfbf8bc ICICS Rm 310 VAV-09,"","","","","","",@p:ubcv:r:21978aa2-70b093b5 ICICS Floor 3,"","","",✓,"","","",2020-05-12T06:00:32-07:00 Los_Angeles,"","","",929,2018-11-19T06:00:30-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:50.137-07:00 Los_Angeles,2018-12-07T12:37:21.534-08:00 Los_Angeles,"","","","","",Zone Temp Cooling Sp,"",AI3035072,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-06bef1d0 ICICS Rm 310,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"",✓,"","","","",@p:ubcv:r:23e65d3e-89385aab .+(\.|-| )ACLG-SP,"",✓,"",JCL-NAE01/N2-17.IC17-035.Parameters.ACLG-SP.Trend2,Los_Angeles,°C,"","","","","","",ACLG-SP,✓,2020-04-09T19:01:56.959Z UTC
@p:ubcv:r:238a0b49-94cbab04 ICICS Rm 239 FC-C0 JCL-NAE01/N2-17.IC17-110.02-RH-09 ZN-T,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3010454,"",✓,JCL-NAE01/N2-17.IC17-110.02-RH-09 ZN-T,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc38-09e6e8c4 ICICS Rm 239 FC-C0,"","","","","","",@p:ubcv:r:21978aa2-556858ee ICICS Floor 2,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50966,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.646-07:00 Los_Angeles,2018-12-07T12:37:21.059-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3010453,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-11d03fee ICICS Rm 239,"","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,"",JCL-NAE01/N2-17.IC17-110.02-RH-09 ZN-T.Trend,Los_Angeles,°C,"","","","","","",CS-LVL2-RH.02-RH-09 ZN-T,✓,2020-04-09T19:01:56.96Z UTC
@p:ubcv:r:25cd6b23-43e741d0 ICICS Unsorted Points JCL-NAE01/Programming.LP.Level 1.Room 110 WiFi.Number of devices,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3052617,"","",JCL-NAE01/Programming.LP.Level 1.Room 110 WiFi.Number of devices,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T14:15:05-07:00 Los_Angeles,"","","",819,2020-02-04T11:30:49-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:50.103-07:00 Los_Angeles,"","","","","","",JCL-NAE01/Programming.LP.Level 1.Room 110 WiFi.Number of devices,✓,AV3052613,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/Programming.LP.Level 1.Room 110 WiFi.Number of devices.Trend1,Los_Angeles,_,"","","","","","",1660.AHU-03.ZN-110.NODEVICES (WiFi),"",2020-04-09T19:15:02.14Z UTC
