id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bacnetWriteLevel,bmsName,bypass,chilled,chiller,cmd,condenser,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,filter,flow,groupRef,heat,heatRecovery,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,min,mixed,mixing,mode,mslMultiPts,mslNameMatch,mslOk,navName,newFixed,noTagMatch,objectId,occ,old,opcConnRef,opcCur,opcPoint,outside,point,pointRef,pointType,power,preheat,pressure,primaryLoop,proj_1830_3W2W,pump,quantityID,reheat,reheating,return,roomRef,run,runtime,scheduleOcc,scheduled,secondaryLoop,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,waterMeterLoad,writable,writeLevel,writeStatus,zachName,zone,mod
@p:ubcv:r:24c20726-65d73b46 Michael Smith Lab 375e SAV-3-56 JCL-NAE39/FCB-02.FAC-011.SAV-3-56 SAD-O,"",✓,"","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"",TL3008522,✓,"",JCL-NAE39/FCB-02.FAC-011.SAV-3-56 SAD-O,"","","",✓,"",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:24c21076-633ac033 Michael Smith Lab 375e SAV-3-56,"","","",✓,@p:ubcv:r:228ca8a1-9f282015 Michael Smith Floor 3,"","","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",42713,2019-07-16T13:10:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T15:46:25.401-07:00 Los_Angeles,"","","","","","","","","","","",Discharge Air Flow Cmd,"","",AO3001785,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:24ca457d-ac3aba5f Michael Smith Lab 375e,"","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"","","","","",@p:ubcv:r:2459fe31-850926c3 .+(\.|-| )SAD-(O|C),"","",JCL-NAE39/FCB-02.FAC-011.SAV-3-56 SAD-O.Trend1,Los_Angeles,L/s,"","","","","","","","","0830.AHU-01.ZN-375d,e.SAV-3-56.SAD-O","",2020-04-09T19:02:08.261Z UTC
@p:ubcv:r:23f5d38d-06a82874 Michael Smith Lab 269 SAV-2-51 JCL-NAE39/FCB-01.FAC-013.ACSS 269-RESET,"",✓,"","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"",TL3001206,✓,"",JCL-NAE39/FCB-01.FAC-013.ACSS 269-RESET,"","","","","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:240b3246-79d62b3a Michael Smith Lab 269 SAV-2-51,"","","",✓,@p:ubcv:r:228ca8a1-55b7da7b Michael Smith Floor 2,"","","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",64021,2019-02-11T11:00:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T15:46:25.406-07:00 Los_Angeles,"","","","",✓,"","","","","","",Discharge Air Flow Min Sp,"","",AI3000544,"","","","","","",✓,"",✓,"","","","","","","","","","",@p:ubcv:r:228ca8a1-b5d4d3db Michael Smith Lab 269,"","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"",✓,"","","",@p:ubcv:r:24e7157a-b33cdf5e .+(\.|-| )ACSS \d+[A-Z]?-(RESET|Reset),"","",JCL-NAE39/FCB-01.FAC-013.ACSS 269-RESET.Trend1,Los_Angeles,L/s,"","","","","","","","",0830.AHU-01.ZN-269.ACSS.269-RESET,"",2020-04-09T19:02:08.263Z UTC
@p:ubcv:r:24e73183-d58d10ba Michael Smith Unsorted Points JCL-NAE49/FC-2.FEC-005.HEX1bV-O,"","","","",@p:ubcv:r:21e6ba93-3780c55b MSL (NAE-49),"",TL3008243,✓,"",JCL-NAE49/FC-2.FEC-005.HEX1bV-O,"","","","","",@p:ubcv:r:21e6ba93-3780c55b MSL (NAE-49),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:228cc75f-bfc8e6a9 Michael Smith Unsorted Points,"","","","",@p:ubcv:r:228cc355-20fdff17 Michael Smith Unsorted Points,"","","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",38804,2019-08-13T14:00:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T15:40:37.953-07:00 Los_Angeles,"","","","","","","","","","","",JCL-NAE49/FC-2.FEC-005.HEX1bV-O,"",✓,AO3008209,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"","","","","","","","",JCL-NAE49/FC-2.FEC-005.HEX1bV-O.Trend1,Los_Angeles,_,"","","","","","","","",0830.PHW.HEX1bV-O,"",2020-04-30T11:09:41.33Z UTC
@p:ubcv:r:23f5d38d-c5a85dce Michael Smith Lab 275 SAV-2-73 JCL-NAE39/FCB-01.FAC-016.SAV-2-73 EFFCLG-O,"",✓,"","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"",TL3001008,✓,"",JCL-NAE39/FCB-01.FAC-016.SAV-2-73 EFFCLG-O,"","","",✓,"",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),✓,"","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:240b3245-96f85886 Michael Smith Lab 275 SAV-2-73,"","","","",@p:ubcv:r:228ca8a1-55b7da7b Michael Smith Floor 2,"","","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",64021,2019-02-11T11:00:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T15:46:25.409-07:00 Los_Angeles,"","","","","","","","","","","",Zone Effective Cooling Cmd,"","",AV3000393,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:228ca8a1-2f0d804d Michael Smith Lab 275,"","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"","","","","",@p:ubcv:r:23e65d3e-dce1bfc8 .+(\.|-| )EFFCLG-O,"","",JCL-NAE39/FCB-01.FAC-016.SAV-2-73 EFFCLG-O.Trend1,Los_Angeles,%,"","","","","","","","",0830.AHU-01.ZN-275.SAV-2-73.EFFCLG-O,✓,2020-04-09T19:02:08.264Z UTC
@p:ubcv:r:24241de9-ec9fa731 Michael Smith Lab 251 Aircuity JCL-NAE39/BACnet IP connection.083-Airquity.ZN-251.AI-107058,"","","","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"",TL3005821,✓,"",JCL-NAE39/BACnet IP connection.083-Airquity.ZN-251.AI-107058,"","","","","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:24391cdf-d1cf5435 Michael Smith Lab 251 Aircuity,"","","","",@p:ubcv:r:228ca8a1-55b7da7b Michael Smith Floor 2,"","","","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",39704,2019-03-19T02:45:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T15:46:25.411-07:00 Los_Angeles,"","","","","","","","","","","",JCL-NAE39/BACnet IP connection.083-Airquity.ZN-251.AI-107058,"",✓,AI3004857,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:228ca8a1-c324ee71 Michael Smith Lab 251,"","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"","","","","","","","",JCL-NAE39/BACnet IP connection.083-Airquity.ZN-251.AI-107058.Trend1,Los_Angeles,ppm,"","","","","","","","",0830.AHU-01.ZN-251.RA-CO,"",2020-04-09T19:02:08.265Z UTC
@p:ubcv:r:24c20725-edbd5ddb Michael Smith Lab 375d SAV-3-55 JCL-NAE39/FCB-02.FAC-011.SAV-3-55 EFFHTG-SP,"",✓,"","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"",TL3008512,✓,"",JCL-NAE39/FCB-02.FAC-011.SAV-3-55 EFFHTG-SP,"","","","","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:24c21076-309c90c8 Michael Smith Lab 375d SAV-3-55,"","","","",@p:ubcv:r:228ca8a1-9f282015 Michael Smith Floor 3,"","",✓,"",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",42713,2019-07-16T13:10:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T15:46:25.414-07:00 Los_Angeles,"","","","","","","","","","","",Zone Temp Effective Heating Sp,"","",AV3001750,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:24ca457d-eef14cd9 Michael Smith Lab 375d,"","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"",✓,"","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,"",✓,JCL-NAE39/FCB-02.FAC-011.SAV-3-55 EFFHTG-SP.Trend1,Los_Angeles,°C,"","","","","","","","","0830.AHU-01.ZN-375d,e.SAV-3-55.EFFHTG-SP",✓,2020-04-09T19:02:08.266Z UTC
@p:ubcv:r:226b8812-3e93efa6 Michael Smith Unsorted Points JCL-NAE50/Programming.MS.CENTRAL.MS-CHW.SP_CALC.demand_lim,"","","","",@p:ubcv:r:21e6bb0d-38120850 MSL (NAE-50),"",TL3005608,✓,"",JCL-NAE50/Programming.MS.CENTRAL.MS-CHW.SP_CALC.demand_lim,"","","","","",@p:ubcv:r:21e6bb0d-38120850 MSL (NAE-50),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:228cc75f-bfc8e6a9 Michael Smith Unsorted Points,"","","","",@p:ubcv:r:228cc355-20fdff17 Michael Smith Unsorted Points,"","","","",✓,"","","",2019-09-24T18:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [139] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",45528,2018-04-18T22:15:00-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-12T10:09:44.576-07:00 Los_Angeles,2018-07-30T13:54:05.455-07:00 Los_Angeles,"","","","","","","","","","",JCL-NAE50/Programming.MS.CENTRAL.MS-CHW.SP_CALC.demand_lim,"",✓,AV3003961,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"","","","","","","","","",Los_Angeles,_,"","","","","","","","","","",2020-05-08T12:01:33.774Z UTC
@p:ubcv:r:23f5d38d-919efd63 Michael Smith Lab 263 SAV-2-39 JCL-NAE39/FCB-01.FAC-011.SAV-2-39 EFFCLG-O,"",✓,"","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"",TL3000816,✓,"",JCL-NAE39/FCB-01.FAC-011.SAV-2-39 EFFCLG-O,"","","",✓,"",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),✓,"","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:240b3246-85d76a41 Michael Smith Lab 263 SAV-2-39,"","","","",@p:ubcv:r:228ca8a1-55b7da7b Michael Smith Floor 2,"","","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",64022,2019-02-11T11:00:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T15:46:25.429-07:00 Los_Angeles,"","","","","","","","","","","",Zone Effective Cooling Cmd,"","",AV3000230,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:228ca8a1-538eb4fa Michael Smith Lab 263,"","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"","","","","",@p:ubcv:r:23e65d3e-dce1bfc8 .+(\.|-| )EFFCLG-O,"","",JCL-NAE39/FCB-01.FAC-011.SAV-2-39 EFFCLG-O.Trend1,Los_Angeles,%,"","","","","","","","",0830.AHU-01.ZN-263.SAV-2-39.EFFCLG-O,✓,2020-04-09T19:02:08.269Z UTC
@p:ubcv:r:229b4c76-54e5dc01 Michael Smith Lab 263a SAV-2-45 JCL-NAE39/FCB-01.FAC-011.SAV-2-45 SA-F,"",✓,"","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"",TL3000831,✓,"",JCL-NAE39/FCB-01.FAC-011.SAV-2-45 SA-F,"","","","","",@p:ubcv:r:23074d9c-92337d2d MSL (NAE-39),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:240b3245-7a685ea4 Michael Smith Lab 263a SAV-2-45,"","","",✓,@p:ubcv:r:228ca8a1-55b7da7b Michael Smith Floor 2,"","","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",85349,2018-05-25T03:45:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T15:46:25.431-07:00 Los_Angeles,2019-04-11T16:04:13.904-07:00 Los_Angeles,"","","","","","","","","",✓,Discharge Air Flow,"","",AI3000252,"",✓,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:24b25a4a-c92dbfe3 Michael Smith Lab 263a,"","","","","",✓,@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE39/FCB-01.FAC-011.SAV-2-45 SA-F.Trend1,Los_Angeles,L/s,"","","","","","","","",0830.AHU-01.ZN-263.SAV-2-45.SA-F,"",2020-04-09T19:02:08.27Z UTC
@p:ubcv:r:228cc9d4-48ace4a2 Michael Smith Rm 009 RHC-4 JCL-NAE49/N2-A.DC-010.RH8-VLV,"","","","",@p:ubcv:r:21e6ba93-3780c55b MSL (NAE-49),"",TL3001151,✓,"",JCL-NAE49/N2-A.DC-010.RH8-VLV,"","","",✓,"",@p:ubcv:r:21e6ba93-3780c55b MSL (NAE-49),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:228ca8a1-7fde4efc Michael Smith Rm 009 RHC-4,"","","","",@p:ubcv:r:228ca8a1-c5164fc6 Michael Smith Basement,✓,"","","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",66424,2018-05-14T03:45:00-07:00 Los_Angeles,ok,"",✓,"",✓,✓,Number,2020-05-12T15:40:38.029-07:00 Los_Angeles,2018-12-07T09:45:29.027-08:00 Los_Angeles,"","","","","","","","","","",Reheat Valve Cmd,"","",AO3000581,"","","","","","",✓,"","","","","","","","","",✓,✓,"",@p:ubcv:r:228ca8a1-2292da32 Michael Smith Rm 009,"","","","","","",@p:ubcv:r:2093b263-c807a1f4 Michael Smith,"","","","","",@p:ubcv:r:240c6a66-0cbcd98a .+(\.|-| )RH(\d)?-VLV,"","",JCL-NAE49/N2-A.DC-010.RH8-VLV.Trend1,Los_Angeles,%,"",✓,"",✓,"","","","",MS.RHC4.RH8-VLV,"",2020-04-30T11:09:41.379Z UTC
