id,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,consumption,cur,curConvert,curStatus,curVal,disMacro,disabled,elec,energy,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,primaryLoop,quantityID,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,submeterAdd,temp,tlName,toTag,tz,unit,unknownConn,utilityPoint,volume,water,mod
@p:ubcv:r:25547744-e541bdb4 Osborne Unsorted Points OCA1P07,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL53,✓,OCA1P07,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T11:19:40-07:00 Los_Angeles,"","","",1,2019-10-25T11:19:40-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.735-07:00 Los_Angeles,"",OCA1P07,✓,AV20,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_53,"",Los_Angeles,_,"","","","",2020-04-30T11:03:00.204Z UTC
@p:ubcv:r:263d6ce4-84edb73f Osborne Unsorted Points OCVA1T1_V,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL282,"",OCVA1T1_V,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",1393,2020-04-28T03:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.497-07:00 Los_Angeles,"",OCVA1T1_V,"",AV121,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",OCVAT1_V_TL1,✓,Los_Angeles,°C,"","","","",2020-04-30T11:03:00.267Z UTC
@p:ubcv:r:25547744-3d0a7815 Osborne Unsorted Points OCA1CD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL11,✓,OCA1CD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:21-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:38-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.512-07:00 Los_Angeles,"",OCA1CD,✓,AO0,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_11,"",Los_Angeles,%,"","","","",2020-04-09T19:01:56.539Z UTC
@p:ubcv:r:25547744-2932a385 Osborne Unsorted Points OCA1DS,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL18,✓,OCA1DS,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T14:01:39-07:00 Los_Angeles,"","","",4055,2019-10-31T14:30:48-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.534-07:00 Los_Angeles,"",OCA1DS,✓,AV6,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_18,"",Los_Angeles,Pa,"","","","",2020-04-30T11:03:00.119Z UTC
@p:ubcv:r:25547744-3736d07a Osborne Unsorted Points OCVA3VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL216,✓,OCVA3VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T11:19:48-07:00 Los_Angeles,"","","",1,2019-10-25T11:19:48-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.833-07:00 Los_Angeles,"",OCVA3VRT,✓,AV68,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_216,"",Los_Angeles,%,"","","","",2020-04-30T11:03:00.479Z UTC
@p:ubcv:r:25547744-c55ac7aa Osborne Unsorted Points OCA1BP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL257,✓,OCA1BP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:21-07:00 Los_Angeles,"","","",221949,2019-11-05T08:09:38-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.549-07:00 Los_Angeles,"",OCA1BP,✓,AV77,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_257,"",Los_Angeles,_,"","","","",2020-04-30T11:03:00.114Z UTC
@p:ubcv:r:25547744-f746de55 Osborne Unsorted Points OCA2CO,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL104,✓,OCA2CO,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:26-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:43-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.565-07:00 Los_Angeles,"",OCA2CO,✓,AV35,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_104,"",Los_Angeles,_,"","","","",2020-04-09T19:15:01.751Z UTC
@p:ubcv:r:25547744-aa00958e Osborne Unsorted Points OCA2TMX,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL172,✓,OCA2TMX,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:06:53-07:00 Los_Angeles,"","","",398,2019-10-31T11:32:52-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.102-07:00 Los_Angeles,"",OCA2TMX,✓,AV61,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_172,"",Los_Angeles,°C,"","","","",2020-04-30T11:03:00.261Z UTC
@p:ubcv:r:25547744-cc66c569 Osborne Unsorted Points OCA2MT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL132,✓,OCA2MT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:47:31-07:00 Los_Angeles,"","","",35946,2019-10-31T18:48:55-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.607-07:00 Los_Angeles,"",OCA2MT,✓,AI2,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_132,"",Los_Angeles,°C,"","","","",2020-04-30T11:02:59.563Z UTC
@p:ubcv:r:25547744-16f6b441 Osborne Unsorted Points OCA1SP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL78,✓,OCA1SP,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:25-07:00 Los_Angeles,"","","",886025,2019-11-05T09:09:24-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.63-07:00 Los_Angeles,"",OCA1SP,✓,AI1,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_78,"",Los_Angeles,Pa,"","","","",2020-04-30T11:02:59.562Z UTC
