id,air,alarm,avg,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,cmd,co2,connRef,cool,cooling,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,flow,gas,gasMeterLoad,groupRef,heatWheel,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4d6ce-3faaddde Ponderosa East FC-402 PON_EAST_FC402_SAT_SP,✓,"","",@p:ubcv:r:23d12dc1-98d9d1a4 PondE PON_EAST_FC402_CP720202 (720202),TL7,✓,PON_EAST_FC402_SAT_SP,"","","","","",@p:ubcv:r:23d12dc1-98d9d1a4 PondE PON_EAST_FC402_CP720202 (720202),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25b10945-42658caa Ponderosa East FC-402,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"","",✓,"","","",2020-05-12T15:52:58-07:00 Los_Angeles,"",339490,2019-01-18T05:37:43-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:28.767-07:00 Los_Angeles,2019-01-23T16:53:24.891-08:00 Los_Angeles,"",Discharge Air Temp Sp,"",AV5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"",✓,"","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,PON_EAST_FC402_SAT_SP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.552Z UTC
@p:ubcv:r:23d4d6ba-4b39de35 Ponderosa East Unsorted Points PON_EAST_SA_DMP_LVL3_BV,"","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),TL2,✓,PON_EAST_SA_DMP_LVL3_BV,"","","","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-12T14:30:01-07:00 Los_Angeles,"",920,2019-01-03T05:01:22-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:56:38.735-07:00 Los_Angeles,"","",PON_EAST_SA_DMP_LVL3_BV,✓,BV258,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","","",Los_Angeles,"","","","","","",2020-04-08T18:51:24.018Z UTC
@p:ubcv:r:23d4d46b-acb52129 Ponderosa East Unsorted Points PON_EAST_DC_LAG_PMP_BV,"","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),TL59,✓,PON_EAST_DC_LAG_PMP_BV,"","","","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-11T09:02:06-07:00 Los_Angeles,"",28,2019-07-23T12:57:35-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:18.948-07:00 Los_Angeles,"","",PON_EAST_DC_LAG_PMP_BV,✓,BV79,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_DC_LAG_PMP_BV_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:29.305Z UTC
@p:ubcv:r:23d4d6ba-3f15f2d1 Ponderosa East MAU-1 PON_EAST_MUA1_HC_SWT,"","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),TL36,✓,PON_EAST_MUA1_HC_SWT,"","","","","",@p:ubcv:r:23d120cc-f789c9b5 PondE POND_EAST_HRV2_MUA1_MUA2 (720200),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b0fc86-a84230fc Ponderosa East MAU-1,✓,"","","","","","",@p:ubcv:r:2203b248-7242dcea Ponderosa East Air Systems,"","",✓,"","","",2020-05-12T15:53:15-07:00 Los_Angeles,"",39763,2019-01-16T10:18:41-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:38.838-07:00 Los_Angeles,2019-01-23T16:53:07.684-08:00 Los_Angeles,"",PON_EAST_MUA1_HC_SWT,✓,AI103,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","","",Los_Angeles,_,"","","","","",2020-04-09T19:15:27.172Z UTC
@p:ubcv:r:23d4d47d-9274f5d9 Ponderosa East FC-101 PON_EAST_FC101_FS_BV,"","","",@p:ubcv:r:23d12cc2-b6e0c6c8 PondE PON_EAST_FC101_CP720101 (720101),TL13,✓,PON_EAST_FC101_FS_BV,"","","","","",@p:ubcv:r:23d12cc2-b6e0c6c8 PondE PON_EAST_FC101_CP720101 (720101),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25b0ff1f-566072b2 Ponderosa East FC-101,✓,"","","","","","",@p:ubcv:r:25b0ff04-bca0e2b7 Ponderosa East Floor 1,"","",✓,"","","",2020-05-12T11:00:02-07:00 Los_Angeles,"",23193,2019-01-14T01:04:44-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:46:22.466-07:00 Los_Angeles,"","",PON_EAST_FC101_FS_BV,✓,BV4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_FS_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:40.348Z UTC
@p:ubcv:r:23d4d6ce-468d5a1f Ponderosa East FC-402 PON_EAST_FC402_HCV,"","","",@p:ubcv:r:23d12dc1-98d9d1a4 PondE PON_EAST_FC402_CP720202 (720202),TL3,✓,PON_EAST_FC402_HCV,"","","",✓,"",@p:ubcv:r:23d12dc1-98d9d1a4 PondE PON_EAST_FC402_CP720202 (720202),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b10945-42658caa Ponderosa East FC-402,✓,"","","","","","",@p:ubcv:r:25b1090f-b5ad2446 Ponderosa East Floor 4,"",✓,✓,"","","",2020-05-12T15:52:58-07:00 Los_Angeles,"",339490,2019-01-18T05:37:43-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:53:29.609-07:00 Los_Angeles,2019-01-23T16:53:15.541-08:00 Los_Angeles,"",Heating Valve Cmd,"",AO4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",PON_EAST_FC402_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:37.553Z UTC
@p:ubcv:r:23d4d46a-3287537a Ponderosa East Unsorted Points PON_EAST_DHW_TANK_SP_AV,"","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),TL11,✓,PON_EAST_DHW_TANK_SP_AV,"","","","","",@p:ubcv:r:23d120cc-1e6ba3b7 PondE PON_EAST_MECHANICAL_RM1017A (720100),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d12e3b-a975e4fc Ponderosa East Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d12e3b-a4d3984b Ponderosa East Unsorted Points,"","",✓,"","","",2020-05-12T15:38:17-07:00 Los_Angeles,"",6843,2019-07-31T23:02:37-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:18.956-07:00 Los_Angeles,"","",PON_EAST_DHW_TANK_SP_AV,✓,AV2,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_DHW_TANK_SP_AV_COV_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.168Z UTC
@p:ubcv:r:23d4d673-a866c3fb Ponderosa East MAU-2 PON_EAST_MUA2_RM3008_PB,"","","",@p:ubcv:r:23d12cc2-353c667b PondE PON_EAST_FC309_CP720128 (720128),TL14,✓,PON_EAST_MUA2_RM3008_PB,"","","","","",@p:ubcv:r:23d12cc2-353c667b PondE PON_EAST_FC309_CP720128 (720128),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25b0fc92-bde03350 Ponderosa East MAU-2,✓,"","","","","","",@p:ubcv:r:2203b248-7242dcea Ponderosa East Air Systems,"","",✓,"","","",2020-04-27T21:36:26-07:00 Los_Angeles,"",91,2019-02-22T13:27:49-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:46:22.38-07:00 Los_Angeles,"","",PON_EAST_MUA2_RM3008_PB,✓,BI6,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","","","",PON_EAST_MUA2_PB_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:36.462Z UTC
@p:ubcv:r:23d4d4c1-113924ef Ponderosa East FC-105 PON_EAST_FC105_CO2,✓,"","",@p:ubcv:r:23d12cc2-358d8a46 PondE PON_EAST_FC105_CP720105 (720105),TL12,✓,PON_EAST_FC105_CO2,"","","","",✓,@p:ubcv:r:23d12cc2-358d8a46 PondE PON_EAST_FC105_CP720105 (720105),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25b10064-3393ec93 Ponderosa East FC-105,✓,"","","","","","",@p:ubcv:r:25b0ff04-bca0e2b7 Ponderosa East Floor 1,"","",✓,"","","",2020-05-12T15:34:48-07:00 Los_Angeles,"",23224,2019-01-14T08:11:09-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:19.399-07:00 Los_Angeles,2019-01-23T16:53:10.915-08:00 Los_Angeles,"",Zone Co2,"",AI5,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,"","","","","",@p:ubcv:r:23e65d0f-a2d8d959 .+_CO2(\(RM\d+[A-Z]\))?(-\d)?(_TL)?,"",PON_EAST_FC105_CO2_TL,Los_Angeles,ppm,"","","","",✓,2020-04-09T19:02:37.346Z UTC
@p:ubcv:r:263b76df-72b6f206 Ponderosa East Gas Main Meter Gas,"","","","","","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"","",✓,ok,399890m³,"","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:20a65d1f-c3c59955 Ponderosa East Gas Main Meter,"","","","","",✓,"",@p:ubcv:r:21697fca-6485a1a8 Ponderosa East Utilities,"","",✓,"",15min,"",2020-05-12T15:45:00-07:00 Los_Angeles,consumption,184703,2015-02-03T07:45:00-08:00 Los_Angeles,ok,✓,"","",Number,"","","",Gas,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Ponderosa_East_903.Gas_Volume,✓,"",✓,"","","","",10371,"","",✓,@p:ubcv:r:20a65d1f-a0c744e1 Ponderosa East,331,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,m³,✓,"",✓,"","",2020-05-04T19:39:55.554Z UTC
