id,connRef,delta,deltaTempPoint,disMacro,elec,energy,equipRef,groupRef,his,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,navName,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,submeterAdd,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:21c57018-33f395db Totem Park Res - Qelexen/Hemlesen Hemeselem HW Main Meter Power,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"","",@p:ubcv:r:21c57018-febe457e Totem Park Res - Qelexen/Hemlesen Hemeselem HW Main Meter,@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"","",82364,2017-12-11T15:45:00-08:00 Los_Angeles,ok,"",✓,Number,Power,✓,"",✓,10610,✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,193,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kW,"","",✓,2020-05-06T19:21:27.378Z UTC
"@p:ubcv:r:250ad9f4-a00fc990 Totem Park Res - Qelexen/Hemlesen Qelexen HW Main Meter   Energy  ",@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"",✓,"@p:ubcv:r:250ad9f4-6fc975f2 Totem Park Res - Qelexen/Hemlesen Qelexen HW Main Meter  ",@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,2020-05-11T03:15:00-07:00 Los_Angeles,"",consumption,22519,2019-09-06T08:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"Energy  ",✓,"","",10364,✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,194,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,"","",✓,2020-04-28T00:03:35.202Z UTC
"@p:ubcv:r:250ad9f4-9de0f555 Totem Park Res - Qelexen/Hemlesen Hemeselem HW Main Meter   Power  ",@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"","","@p:ubcv:r:250ad9f4-81a07217 Totem Park Res - Qelexen/Hemlesen Hemeselem HW Main Meter  ",@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"","",22593,2019-09-06T08:15:00-07:00 Los_Angeles,ok,"",✓,Number,"Power  ",✓,"",✓,10610,✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,193,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kW,"","",✓,2020-05-06T19:21:27.315Z UTC
"@p:ubcv:r:250ad9f4-9d6d7855 Totem Park Res - Qelexen/Hemlesen Hemeselem HW Main Meter   Energy  ",@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"",✓,"@p:ubcv:r:250ad9f4-81a07217 Totem Park Res - Qelexen/Hemlesen Hemeselem HW Main Meter  ",@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,22609,2019-09-06T08:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"Energy  ",✓,"","",10364,✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,193,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,"","",✓,2020-04-28T00:03:35.712Z UTC
@p:ubcv:r:215308ce-baacd8cd Totem Park Res - Qelexen/Hemlesen Elec Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,✓,@p:ubcv:r:215308ce-e7e03ca2 Totem Park Res - Qelexen/Hemlesen Elec Main Meter,@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,392768,2011-09-26T12:00:00-07:00 Los_Angeles,ok,✓,"",Number,Energy,✓,"","",10393,✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,195,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:35.313Z UTC
"@p:ubcv:r:250ad9f4-a834c7d6 Totem Park Res - Qelexen/Hemlesen Common Block HW Main Meter   Energy  ","","","",$equipRef $navName,"",✓,"@p:ubcv:r:250ad9f4-56850bb4 Totem Park Res - Qelexen/Hemlesen Common Block HW Main Meter  ",@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,"",virtualMeter,consumption,"","","","",✓,Number,"Energy  ",✓,"","","",✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,"","","","","@p:ubcv:r:21c56edc-550230a4, @p:ubcv:r:21c57018-9c20c728","",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.448Z UTC
"@p:ubcv:r:250ad9f4-5cfc3a1a Totem Park Res - Qelexen/Hemlesen Common Block HW Main Meter   Water Delta Temp  ","",✓,✓,$equipRef $navName,"","","@p:ubcv:r:250ad9f4-56850bb4 Totem Park Res - Qelexen/Hemlesen Common Block HW Main Meter  ",@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,"",deltaTemp,consumption,"","","","","",Number,"Water Delta Temp  ",✓,"","","","",@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,"","","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.449Z UTC
@p:ubcv:r:215308ce-17b1644c Totem Park Res - Qelexen/Hemlesen Elec Main Meter Power,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,"",@p:ubcv:r:215308ce-e7e03ca2 Totem Park Res - Qelexen/Hemlesen Elec Main Meter,@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"","",300787,2011-09-26T12:00:00-07:00 Los_Angeles,ok,"","",Number,Power,✓,"",✓,116,✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,195,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kW,✓,"","",2020-05-06T19:21:27.347Z UTC
@p:ubcv:r:215308ce-b6f607e3 Totem Park Res - Qelexen/Hemlesen Water Main Meter Consumption,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"","",@p:ubcv:r:215308ce-105e7467 Totem Park Res - Qelexen/Hemlesen Water Main Meter,@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,300787,2011-09-26T12:00:00-07:00 Los_Angeles,ok,✓,"",Number,Consumption,✓,"","",10394,✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,195,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,m³,✓,✓,✓,2020-04-28T00:03:35.489Z UTC
"@p:ubcv:r:250ad9f4-a8654fc6 Totem Park Res - Qelexen/Hemlesen Qelexen HW Main Meter   Power  ",@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"","","@p:ubcv:r:250ad9f4-6fc975f2 Totem Park Res - Qelexen/Hemlesen Qelexen HW Main Meter  ",@p:ubcv:r:21697fca-7d2dd92e Totem Park Res - Qelexen/Hemlesen Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"","",22597,2019-09-06T08:15:00-07:00 Los_Angeles,ok,"",✓,Number,"Power  ",✓,"",✓,10610,✓,@p:ubcv:r:215308ce-730b90aa Totem Park Res - Qelexen/Hemlesen,194,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kW,"","",✓,2020-05-06T19:21:27.464Z UTC
