id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,bridgeName,chilled,chiller,cmd,co2,connRef,cooling,count,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,primaryLoop,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zone,mod
@p:ubcv:r:25a26824-63ba76e0 Wesbrook Building Unsorted Points WB_RAD_P2_SWT,"",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"",TL6,"",WB_RAD_P2_SWT,"","","","","",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a265c3-89b7c0d0 Wesbrook Building Unsorted Points,✓,"","","",@p:ubcv:r:25a265c3-5258cf28 Wesbrook Building Unsorted Points,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12908,2019-12-30T09:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:06:43.759-07:00 Los_Angeles,"","","",WB_RAD_P2_SWT,✓,AI1707,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",WB_RAD_P2_SWT_TL,Los_Angeles,°C,"","","","","","","",2020-05-07T11:09:51.415Z UTC
@p:ubcv:r:25a26b40-f0d62aa9 Wesbrook Building HX-1 864_HX1_HWS_DP,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL35,"",864_HX1_HWS_DP,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634b966-c64cc42e Wesbrook Building HX-1,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:10:00-07:00 Los_Angeles,"","","",38023,2020-01-01T19:35:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.417-07:00 Los_Angeles,"","","",864_HX1_HWS_DP,✓,AI1303,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",864_HX1_HWS_DP_POLL_TL,Los_Angeles,psi,"","","","","","","",2020-04-23T20:50:35.608Z UTC
@p:ubcv:r:25a26824-c605651c Wesbrook Building Unsorted Points WB_CHIL_CH1_S,"",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"",TL26,"",WB_CHIL_CH1_S,"","","","","",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a265c3-89b7c0d0 Wesbrook Building Unsorted Points,✓,"","","",@p:ubcv:r:25a265c3-5258cf28 Wesbrook Building Unsorted Points,"",✓,"","","",2019-09-05T10:19:54-07:00 Los_Angeles,"","","",12,2019-07-26T16:32:48-07:00 Los_Angeles,ok,"","",Bool,2020-05-13T09:06:43.893-07:00 Los_Angeles,"","","",WB_CHIL_CH1_S,✓,BI2203,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",WB_CHIL_CH1_S_COV_TL,Los_Angeles,"","","","","","","","",2020-05-07T11:09:51.557Z UTC
@p:ubcv:r:25a26824-68c43751 Wesbrook Building Unsorted Points WB_AC_01_VFD_C,"",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"",TL28,"",WB_AC_01_VFD_C,"","","","","",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a265c3-89b7c0d0 Wesbrook Building Unsorted Points,✓,"","","",@p:ubcv:r:25a265c3-5258cf28 Wesbrook Building Unsorted Points,"",✓,"","","",2020-04-08T16:52:13-07:00 Los_Angeles,"","","",146,2019-12-30T07:33:00-08:00 Los_Angeles,ok,"","",Bool,2020-05-13T09:06:41.052-07:00 Los_Angeles,"","","",WB_AC_01_VFD_C,✓,BO1101,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","","","",WB_AC_01_VFD_C_COV_TL,Los_Angeles,"","","","","","","","",2020-05-07T11:09:51.563Z UTC
@p:ubcv:r:25a26ac7-7c41e774 Wesbrook Building Heating Plant 864_AHU_04_RHC_06_SAT,✓,@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL191,"",864_AHU_04_RHC_06_SAT,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12908,2019-12-30T09:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.428-07:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3202,"","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,864_AHU_04_RHC_06_SAT_TL,Los_Angeles,°C,"","","","","","","",2020-04-09T19:02:09.656Z UTC
@p:ubcv:r:25a26ac7-383f08b2 Wesbrook Building Heating Plant 864_DHX1_DHW_SWT,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL27,"",864_DHX1_DHW_SWT,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:10:00-07:00 Los_Angeles,"","","",38023,2020-01-01T19:35:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-13T09:12:50.468-07:00 Los_Angeles,"",✓,"",Leaving Hot Water Temp,"",AI1102,"","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:241405e5-786bad4c .+_DHW_SWT(_TL)?,✓,864_DHX1_DHW_SWT_POLL_TL,Los_Angeles,°C,"","","",✓,"","","",2020-04-09T19:02:09.66Z UTC
@p:ubcv:r:25a26823-ddb74745 Wesbrook Building Unsorted Points WB_AC_01_RAT,✓,@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"",TL51,"",WB_AC_01_RAT,"","","","","",@p:ubcv:r:25a254b0-5302ded0 WESB WB_ROOF_MR412_CHILLER_OAT_CP540100 (540100),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a265c3-89b7c0d0 Wesbrook Building Unsorted Points,✓,"","","",@p:ubcv:r:25a265c3-5258cf28 Wesbrook Building Unsorted Points,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12908,2019-12-30T09:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:06:44.12-07:00 Los_Angeles,"","","",Return Air Temp,"",AI1103,"","","","","",✓,"","","","","","",✓,"",✓,@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:23e65d0f-3b2d274c .+_RAT(_TL)?,✓,WB_AC_01_RAT_POLL_TL,Los_Angeles,°C,"","","","","","","",2020-05-07T11:09:51.579Z UTC
@p:ubcv:r:25a26b40-fed81afe Wesbrook Building Heating Plant 864_RAD_HE_05_HWRT,"",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL46,"",864_RAD_HE_05_HWRT,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:10:00-07:00 Los_Angeles,"","","",38023,2020-01-01T19:35:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-13T09:12:50.484-07:00 Los_Angeles,"","","",Entering Hot Water Temp,"",AI1605,"","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:23e65d0e-2ae762c1 .+_HWRT(_AV)?(_\d+)?(_TL)?,✓,864_RAD_HE_05_HWRT_POLL_TL,Los_Angeles,°C,"","","",✓,"","","",2020-04-09T19:02:09.662Z UTC
@p:ubcv:r:25a26b40-c09b64b3 Wesbrook Building Heating Plant 864_AHU_04_RM300_RT,✓,@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL13,"",864_AHU_04_RM300_RT,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12908,2019-12-30T09:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.497-07:00 Los_Angeles,"","","",Zone Temp,"",AI1802,"","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,864_AHU_04_RM300_RT_TL,Los_Angeles,°C,"","","","","","",✓,2020-04-09T19:02:09.663Z UTC
@p:ubcv:r:25a26b40-9152067e Wesbrook Building Heating Plant 864_AHU_04_RHC_07_SAT_SP,✓,@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"",TL213,"",864_AHU_04_RHC_07_SAT_SP,"","","","","",@p:ubcv:r:21e2cfe9-9fba4f7e WESB Main Router (540000),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:21dffdae-c28b6c6b Wesbrook Building Heating Plant,✓,"","","",@p:ubcv:r:21dff50a-db7797e9 Wesbrook Building Hydronic Systems,"",✓,"","","",2020-05-13T09:00:00-07:00 Los_Angeles,"","","",12908,2019-12-30T09:15:00-08:00 Los_Angeles,ok,"","",Number,2020-05-13T09:12:50.588-07:00 Los_Angeles,"","","",Discharge Air Temp Sp,"",AV541,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:20a66b75-7a9616c8 Wesbrook Building,"",✓,"","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,864_AHU_04_RHC_07_SAT_SP_TL,Los_Angeles,°C,"","","","","","","",2020-04-09T19:02:09.664Z UTC
