id,air,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,cur,curConvert,disMacro,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hot,kind,lastSynced,lastTagged,leaving,navName,noTagMatch,objectId,outside,point,pointType,power,primaryLoop,scheduleOcc,sensor,shortName,siemens,siemensName,siteRef,temp,tz,unit,unknownConn,water,mod
@p:ubcv:r:24141523-d457f4d4 IRSDC Unsorted Points IRSDC_MF-2-1-3_ZONE_AIR_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL22,✓,IRSDC_MF-2-1-3_ZONE_AIR_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41965,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.953-07:00 Los_Angeles,"","",IRSDC_MF-2-1-3_ZONE_AIR_TEMP,✓,AI10,"",✓,"","","","","","",✓,IRSDC_MF-2-1-3_ZONE_AIR_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.726Z UTC
@p:ubcv:r:24142068-1e5ea0e2 IRSDC Unsorted Points IRSDC_MF-2-1-2_SLAB_VALVE_CMD,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL39,✓,IRSDC_MF-2-1-2_SLAB_VALVE_CMD,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T08:01:14-07:00 Los_Angeles,"",20336,2019-03-04T08:13:18-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.357-07:00 Los_Angeles,"","",IRSDC_MF-2-1-2_SLAB_VALVE_CMD,✓,AO4,"",✓,"","","","","","",✓,IRSDC_MF-2-1-2_SLAB_VALVE_CMD,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.727Z UTC
@p:ubcv:r:24142068-d3d2dffa IRSDC Unsorted Points IRSDC_MINIMUM_ZONE_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL94,✓,IRSDC_MINIMUM_ZONE_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41962,2019-03-05T11:15:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.973-07:00 Los_Angeles,"","",IRSDC_MINIMUM_ZONE_TEMP,✓,AV64,"",✓,"","","","","","",✓,IRSDC_MINIMUM_ZONE_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.728Z UTC
@p:ubcv:r:24141523-4d32df84 IRSDC Unsorted Points IRSDC_BOILER_HW_LEAVING_TEMP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL70,✓,IRSDC_BOILER_HW_LEAVING_TEMP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41966,2019-03-05T10:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.062-07:00 Los_Angeles,"","",IRSDC_BOILER_HW_LEAVING_TEMP,✓,AI1,"",✓,"","","","","","",✓,IRSDC_BOILER_HW_LEAVING_TEMP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.729Z UTC
@p:ubcv:r:24142068-886c9abb IRSDC Unsorted Points IRSDC_BOILER_OA-T_MIN-SP,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL75,✓,IRSDC_BOILER_OA-T_MIN-SP,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41964,2019-03-05T11:15:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.077-07:00 Los_Angeles,"","",IRSDC_BOILER_OA-T_MIN-SP,✓,AV7,"",✓,"","","","","","",✓,IRSDC_BOILER_OA-T_MIN-SP,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.73Z UTC
@p:ubcv:r:24142068-1eacd476 IRSDC Unsorted Points Skysparks.OA-T_Avg,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL106,✓,Skysparks.OA-T_Avg,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-11T23:00:09-07:00 Los_Angeles,"",335,2019-03-02T11:00:02-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.534-07:00 Los_Angeles,"","",Skysparks.OA-T_Avg,✓,AV67,"",✓,"","","","","","",✓,Skysparks.OA-T_Avg,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,°C,"","",2020-04-09T19:01:56.731Z UTC
@p:ubcv:r:24142068-3fd7a117 IRSDC Unsorted Points IRSDC_MF-2-2-3_SLAB_VALVE_PID,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL48,✓,IRSDC_MF-2-2-3_SLAB_VALVE_PID,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-02-21T08:43:48-08:00 Los_Angeles,"",22608,2019-03-04T08:17:31-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.234-07:00 Los_Angeles,"","",IRSDC_MF-2-2-3_SLAB_VALVE_PID,✓,AV28,"",✓,"","","","","","",✓,IRSDC_MF-2-2-3_SLAB_VALVE_PID,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.732Z UTC
@p:ubcv:r:24142068-743758e1 IRSDC Unsorted Points IRSDC_MF-1-1-1_SLAB_VALVE_PID,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL36,✓,IRSDC_MF-1-1-1_SLAB_VALVE_PID,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-08T23:51:21-07:00 Los_Angeles,"",12236,2019-03-02T10:39:57-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:06.484-07:00 Los_Angeles,"","",IRSDC_MF-1-1-1_SLAB_VALVE_PID,✓,AV10,"",✓,"","","","","","",✓,IRSDC_MF-1-1-1_SLAB_VALVE_PID,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.733Z UTC
@p:ubcv:r:24142068-dbc9e762 IRSDC Unsorted Points IRSDC_AHU-01_ELECHEAT_CMD,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL68,✓,IRSDC_AHU-01_ELECHEAT_CMD,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"",41962,2019-03-05T11:15:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T14:53:07.091-07:00 Los_Angeles,"","",IRSDC_AHU-01_ELECHEAT_CMD,✓,AO0,"",✓,"","","","","","",✓,IRSDC_AHU-01_ELECHEAT_CMD,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,%,"","",2020-04-09T19:01:56.734Z UTC
@p:ubcv:r:2414217e-cb3cf79f IRSDC Unsorted Points IRSDC_AHU-01_SUPPLY_FAN,"",@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),TL84,✓,IRSDC_AHU-01_SUPPLY_FAN,@p:ubcv:r:20ff87a9-5744e351 IRSDC (302320),"","",$equipRef $siemensName,"","OFF,ON",@p:ubcv:r:24140d71-052ef48b IRSDC Unsorted Points,"",@p:ubcv:r:24140d71-913ea5b6 IRSDC Unsorted Points,✓,"","","",2020-05-12T00:00:00-07:00 Los_Angeles,"",260,2019-03-04T21:00:00-08:00 Los_Angeles,ok,"",Bool,2020-05-12T14:53:06.603-07:00 Los_Angeles,"","",IRSDC_AHU-01_SUPPLY_FAN,✓,BO0,"",✓,"","","","","",IRSDC_AHU-01_SUPPLY_FAN,✓,IRSDC_AHU-01_SUPPLY_FAN,@p:ubcv:r:20ff880a-94a0b072 IRSDC,"",Los_Angeles,"","","",2019-12-03T18:23:03.588Z UTC
