id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetDesc,bacnetHis,bacnetPoint,bmsName,boiler,chilled,cmd,connRef,cooling,curStatus,damper,delta,differential,disMacro,discharge,effective,enable,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heating,his,hisConvert,hisEnd,hisErr,hisFunc,hisSize,hisStart,hisStatus,hot,ionaSchedMV,ionaSched_MV,jci,kind,lastSynced,lastTagged,leaving,low,mode,navName,noTagMatch,objectId,occ,outside,point,pointType,pressure,pump,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,sp,speed,tagTableRef,temp,testUnits,tlName,tz,unit,valve,water,zone,mod
@p:ubcv:r:23244f4f-a426d28f Iona Rm 300 VAV-46 JCL-NAE51/N2-2.TU-46.DA-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005053,✓,JCL-NAE51/N2-2.TU-46.DA-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e632-d13a2174 Iona Rm 300 VAV-46,"","","",@p:ubcv:r:24e48a79-95bcaaa8 Iona Floor 3,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57093,2018-09-06T02:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.629-07:00 Los_Angeles,2018-12-07T09:45:30.323-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3004215,"","",✓,"","","",@p:ubcv:r:24e5e632-d2469b20 Iona Rm 300,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"",JCL-NAE51/N2-2.TU-46.DA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.172Z UTC
@p:ubcv:r:238b4041-edc3df0e Iona Rm 257 VAV-34 JCL-NAE51/N2-1.TU-34.AHTG-SP,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004770,✓,JCL-NAE51/N2-1.TU-34.AHTG-SP,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-a20e247e Iona Rm 257 VAV-34,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,✓,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12833,2018-11-21T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.435-07:00 Los_Angeles,2018-12-07T09:45:30.99-08:00 Los_Angeles,"","","",Zone Temp Heating Sp,"",AI3004010,"","",✓,"","","",@p:ubcv:r:24e5e631-b69ca845 Iona Rm 257,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,✓,"",@p:ubcv:r:23e65d3e-70b9dd24 .+(\.|-| )AHTG-SP,✓,"",JCL-NAE51/N2-1.TU-34.AHTG-SP.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.173Z UTC
@p:ubcv:r:238b4076-48a761ed Iona Rm 031 FC-031 JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-07.DA-T,"",✓,"","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","",TL3000198,✓,JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-07.DA-T,"","","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e632-4f56d596 Iona Rm 031 FC-031,"","","",@p:ubcv:r:24e4ace9-df32f2aa Iona Floor 0,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50469,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:45:18.356-07:00 Los_Angeles,2018-12-07T09:45:31.929-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3000197,"","",✓,"","","",@p:ubcv:r:24e5e15f-9a92b910 Iona Rm 031,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"",JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-07.DA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.539Z UTC
@p:ubcv:r:238b4041-3951a45d Iona Rm 441 VAV-41 JCL-NAE51/N2-1.TU-41.ZN-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004823,✓,JCL-NAE51/N2-1.TU-41.ZN-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-40ed6e0c Iona Rm 441 VAV-41,"","","",@p:ubcv:r:24e48a79-ef918fa3 Iona Floor 4,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.631-07:00 Los_Angeles,2018-12-07T09:45:31.058-08:00 Los_Angeles,"","","",Zone Temp,"",AI3004045,"","",✓,"","","",@p:ubcv:r:24e5e631-281323f7 Iona Rm 441,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE51/N2-1.TU-41.ZN-T.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.174Z UTC
@p:ubcv:r:238b4042-5d68833b Iona Heating Plant B-2 JCL-NAE51/N2-1.BOILEDR.Binary Outputs.B2-E,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005273,✓,JCL-NAE51/N2-1.BOILEDR.Binary Outputs.B2-E,✓,"",✓,@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","",✓,"","Off,On","",@p:ubcv:r:24e5eea2-150cde11 Iona Heating Plant B-2,"","","",@p:ubcv:r:24e48e78-476eaa3c Iona Hydronic Systems,"",✓,"",2020-05-12T14:48:11-07:00 Los_Angeles,"","",3364,2019-01-14T13:48:08-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:49:28.989-07:00 Los_Angeles,2018-11-25T13:45:23.935-08:00 Los_Angeles,"","","",Boiler Enable Cmd,"",BO3001882,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:24e5ef4b-7ab6d609 .+(\.|-| )B\d-E,"","",JCL-NAE51/N2-1.BOILEDR.Binary Outputs.B2-E.Trend1,Los_Angeles,"","","","",2020-04-08T18:50:34.336Z UTC
@p:ubcv:r:238b4041-58f8cb65 Iona Unsorted Points JCL-NAE51/N2-1.SHW PUMP.Parameters.P3-P4 Control-PI Stpt.PISTPT,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3003467,✓,JCL-NAE51/N2-1.SHW PUMP.Parameters.P3-P4 Control-PI Stpt.PISTPT,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:2322dda5-34e7842d Iona Unsorted Points,"","","",@p:ubcv:r:2322dda5-a3e422e9 Iona Unsorted Points,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50969,2018-11-22T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.633-07:00 Los_Angeles,2018-11-25T13:45:23.463-08:00 Los_Angeles,"","","",JCL-NAE51/N2-1.SHW PUMP.Parameters.P3-P4 Control-PI Stpt.PISTPT,✓,AO3001951,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","","","","",JCL-NAE51/N2-1.SHW PUMP.Parameters.P3-P4 Control-PI Stpt.PISTPT.Trend1,Los_Angeles,psi,"","","",2020-04-09T19:02:15.175Z UTC
@p:ubcv:r:238b4042-0f992927 Iona AHU-02 JCL-NAE51/N2-1.AHU2.DAS-P,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005457,✓,JCL-NAE51/N2-1.AHU2.DAS-P,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e48e78-1e2f5cd9 Iona AHU-02,"","","",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:49:28.634-07:00 Los_Angeles,2018-11-25T13:45:23.701-08:00 Los_Angeles,"","","",Discharge Air Pressure,"",AI3005400,"","",✓,"",✓,"","","","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:25462df8-3e9a16fd .+(\.|-| )DAS-P,"","",JCL-NAE51/N2-1.AHU2.DAS-P.Trend1,Los_Angeles,Pa,"","","",2020-04-09T19:02:15.176Z UTC
@p:ubcv:r:238b4042-a47357e1 Iona HRV-01 JCL-NAE51/N2-1.HRV.EA-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005428,✓,JCL-NAE51/N2-1.HRV.EA-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e48e78-092849ba Iona HRV-01,✓,"","",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.636-07:00 Los_Angeles,2018-12-07T09:45:31.526-08:00 Los_Angeles,"","","",Exhaust Air Temp,"",AI3005377,"","",✓,"","","","","","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-8e9134af .+(\.|-| )EA\d?-T,✓,"",JCL-NAE51/N2-1.HRV.EA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.177Z UTC
@p:ubcv:r:238b4041-482b7a2c Iona Rm 222 VAV-25 JCL-NAE51/N2-2.TU-25.ZN-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004842,✓,JCL-NAE51/N2-2.TU-25.ZN-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-bc7709b5 Iona Rm 222 VAV-25,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.637-07:00 Los_Angeles,2018-12-07T09:45:31.063-08:00 Los_Angeles,"","","",Zone Temp,"",AI3004059,"","",✓,"","","",@p:ubcv:r:24e5e631-734f19db Iona Rm 222,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE51/N2-2.TU-25.ZN-T.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.178Z UTC
@p:ubcv:r:23244e14-786a0095 Iona Rm 020 VAV-01 JCL-NAE51/N2-1.TU-01.Parameters.SUPFLOW,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005121,✓,JCL-NAE51/N2-1.TU-01.Parameters.SUPFLOW,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-266c7f7a Iona Rm 020 VAV-01,"","",✓,@p:ubcv:r:24e4ace9-df32f2aa Iona Floor 0,"",✓,"",2018-10-26T06:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [144] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",3964,2018-09-06T01:45:00-07:00 Los_Angeles,fault,"",✓,"",✓,Number,2020-05-12T10:09:44.429-07:00 Los_Angeles,2018-12-07T09:45:30.312-08:00 Los_Angeles,"","","",Discharge Air Flow,"",AI3004288,"","",✓,"","","",@p:ubcv:r:24e5e631-f04316b7 Iona Rm 020,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:2573299e-4bf282a5 .+(\.|-| )SUPFLOW,"","","",Los_Angeles,L/s,"","","",2020-04-14T16:50:01.631Z UTC
