id,air,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,bypass,chilled,cmd,connRef,damper,disMacro,discharge,enable,entering,enum,equipName,equipRef,esc,exhaust,fan,groupRef,heating,his,hisEnd,hisSize,hisStart,hisStatus,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,outside,point,pump,run,sensor,siteRef,sp,speed,tagTableRef,temp,tlName,tz,unit,valve,water,zone,mod
@p:ubcv:r:2512d552-a840f7db Marine Drive Res #1 Unsorted Points M_DCS_BV,"",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),TL16,✓,M_DCS_BV,"","","",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),"",$equipRef $bmsName,"","","","OFF,ON","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T11:32:30-07:00 Los_Angeles,22,2019-09-16T09:36:06-07:00 Los_Angeles,ok,"",Bool,2020-05-12T15:41:23.931-07:00 Los_Angeles,"",M_DCS_BV,✓,BV15,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M_DCS_BV_COV_TL,Los_Angeles,"","","","",2020-04-08T18:53:30.201Z UTC
@p:ubcv:r:2512d552-da929276 Marine Drive Res #1 Unsorted Points M_DHW_LEAD_BOILER_AV,"",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),TL90,✓,M_DHW_LEAD_BOILER_AV,"","","",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:34:08-07:00 Los_Angeles,16539,2019-09-13T13:33:59-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:41:23.951-07:00 Los_Angeles,"",M_DHW_LEAD_BOILER_AV,✓,AV15,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M_DHW_LEAD_BOILER_AV_POLL_TL,Los_Angeles,_,"","","",2020-04-09T19:15:22.751Z UTC
@p:ubcv:r:2512d59b-3b463490 Marine Drive Res #1 Unsorted Points M6_DRY8_RUN_S_BV,"",@p:ubcv:r:2512d4be-91638f62 MDR1 M6 LAUNDRY (651006),TL39,✓,M6_DRY8_RUN_S_BV,"","","",@p:ubcv:r:2512d4be-91638f62 MDR1 M6 LAUNDRY (651006),"",$equipRef $bmsName,"","","","OFF,ON","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T12:08:46-07:00 Los_Angeles,1222,2019-09-11T17:05:58-07:00 Los_Angeles,ok,"",Bool,2020-05-12T15:38:52.876-07:00 Los_Angeles,"",M6_DRY8_RUN_S_BV,✓,BV17,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","","",Los_Angeles,"","","","",2020-04-08T18:54:13.476Z UTC
@p:ubcv:r:2512d59b-8f73758f Marine Drive Res #1 Unsorted Points M6_DRY5_A,"",@p:ubcv:r:2512d4be-91638f62 MDR1 M6 LAUNDRY (651006),TL6,✓,M6_DRY5_A,"","","",@p:ubcv:r:2512d4be-91638f62 MDR1 M6 LAUNDRY (651006),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:27:41-07:00 Los_Angeles,15271,2019-09-13T03:20:31-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:38:54.28-07:00 Los_Angeles,"",M6_DRY5_A,✓,AI6,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","","",Los_Angeles,_,"","","",2020-04-09T19:15:22.763Z UTC
@p:ubcv:r:2512d552-294c019e Marine Drive Res #1 Unsorted Points M_DCP125_S,"",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),TL38,✓,M_DCP125_S,"","","",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:34:08-07:00 Los_Angeles,16539,2019-09-13T13:33:59-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:41:23.957-07:00 Los_Angeles,"",M_DCP125_S,✓,AI1403,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M_DCP125_S_POLL_TL,Los_Angeles,A,"","","",2020-04-09T19:02:29.267Z UTC
@p:ubcv:r:2512d579-7e584faf Marine Drive Res #1 Unsorted Points M4_DRY3_4_S_BV,"",@p:ubcv:r:2512d37f-39e58641 MDR1 M4 LAUNDRY (651004),TL25,✓,M4_DRY3_4_S_BV,"","","",@p:ubcv:r:2512d37f-39e58641 MDR1 M4 LAUNDRY (651004),"",$equipRef $bmsName,"","","","OFF,ON","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T01:07:14-07:00 Los_Angeles,8061,2019-09-14T21:53:08-07:00 Los_Angeles,ok,"",Bool,2020-05-12T15:38:51.505-07:00 Los_Angeles,"",M4_DRY3_4_S_BV,✓,BV4,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M4_DRY3_4_S_BV_COV_TL,Los_Angeles,"","","","",2020-04-08T18:53:11.692Z UTC
@p:ubcv:r:2512d552-09ec5d8f Marine Drive Res #1 Unsorted Points M_DCP303_C,"",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),TL6,✓,M_DCP303_C,"","","",@p:ubcv:r:2512d02b-45514672 MDR1 377.0 MARINE DRIVE RESIDENCE (65100),"",$equipRef $bmsName,"","","","OFF,ON","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T09:01:00-07:00 Los_Angeles,26,2020-01-07T09:00:25-08:00 Los_Angeles,ok,"",Bool,2020-05-12T15:41:23.959-07:00 Los_Angeles,"",M_DCP303_C,✓,BO1201,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"","","","",M_DCP303_C_COV_TL,Los_Angeles,"","","","",2020-04-08T18:52:17.567Z UTC
@p:ubcv:r:2512d579-08a0fb84 Marine Drive Res #1 Unsorted Points M4_LDRY_EF403_SPD_AV,✓,@p:ubcv:r:2512d37f-39e58641 MDR1 M4 LAUNDRY (651004),TL13,✓,M4_LDRY_EF403_SPD_AV,"","",✓,@p:ubcv:r:2512d37f-39e58641 MDR1 M4 LAUNDRY (651004),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,✓,✓,@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:33:24-07:00 Los_Angeles,15242,2019-09-13T13:37:53-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:38:54.401-07:00 Los_Angeles,"",Exhaust Fan Speed Cmd,"",AV3,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"",✓,@p:ubcv:r:24423e24-51c58a81 .+_EF(\d+[A-Z]?)?(_VFD)?_SPD(_AV)?(_TL)?,"",M4_LDRY_EF403_SPD_AV_POLL_TL,Los_Angeles,%,"","","",2020-04-09T19:02:29.339Z UTC
@p:ubcv:r:2512d589-04f426e6 Marine Drive Res #1 Unsorted Points M5_LDRY_EF503_SPD,✓,@p:ubcv:r:2512d37c-0e69997b MDR1 M5 LAUNDRY (651005),TL8,✓,M5_LDRY_EF503_SPD,"","",✓,@p:ubcv:r:2512d37c-0e69997b MDR1 M5 LAUNDRY (651005),"",$equipRef $bmsName,"","","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,✓,✓,@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:38:09-07:00 Los_Angeles,15271,2019-09-13T13:28:42-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:40:34.608-07:00 Los_Angeles,"",Exhaust Fan Speed Cmd,"",AO2,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,"",✓,@p:ubcv:r:24423e24-51c58a81 .+_EF(\d+[A-Z]?)?(_VFD)?_SPD(_AV)?(_TL)?,"",M5_LDRY_EF503_SPD_POLL_TL,Los_Angeles,%,"","","",2020-04-09T19:02:29.354Z UTC
@p:ubcv:r:2512d563-59241ea1 Marine Drive Res #1 Unsorted Points M_AHU103_SAT_SP,✓,@p:ubcv:r:2512d272-c1a3e547 MDR1 AHU102 AHU103 AHU104 (651001),TL18,✓,M_AHU103_SAT_SP,"","","",@p:ubcv:r:2512d272-c1a3e547 MDR1 AHU102 AHU103 AHU104 (651001),"",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:2512d550-47e30f9e Marine Drive Res #1 Unsorted Points,✓,"","",@p:ubcv:r:2512d550-c06d6a44 Marine Drive Res #1 Unsorted Points,"",✓,2020-05-12T14:33:32-07:00 Los_Angeles,15242,2019-09-13T13:29:42-07:00 Los_Angeles,ok,"",Number,2020-05-12T15:36:34.699-07:00 Los_Angeles,"",Discharge Air Temp Sp,"",AV6,"",✓,"","","",@p:ubcv:r:250aa0be-43def258 Marine Drive Res #1,✓,"",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,M_AHU103_SAT_SP_POLL_TL,Los_Angeles,°C,"","","",2020-04-09T19:02:29.31Z UTC
