id,alarm,ancillaryImport,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,cmd,connRef,disMacro,elec,enable,energy,entering,enum,equipName,equipRef,esc,groupRef,his,hisEnd,hisMode,hisSize,hisStart,hisStatus,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,point,pump,runtime,sensor,siteRef,sp,speed,tagTableRef,temp,tlName,tz,unit,water,mod
@p:ubcv:r:23f8ae31-e0afeb08 Totem Park Res - Haida/Salish DES Connection 540_HX2_HTG_EN_BV,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL41,✓,540_HX2_HTG_EN_BV,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T19:14:42-07:00 Los_Angeles,"",442,2019-03-21T12:42:29-07:00 Los_Angeles,ok,"",Bool,2020-05-12T20:27:31.655-07:00 Los_Angeles,"",540_HX2_HTG_EN_BV,✓,BV20,✓,"","","",@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"","","","",540_HX2_HTG_EN_BV_TL,Los_Angeles,"","",2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-f97808ca Totem Park Res - Haida/Salish DES Connection 540_DHX2_HWST_SP,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL55,✓,540_DHX2_HWST_SP,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T20:00:00-07:00 Los_Angeles,"",21950,2019-02-10T11:00:00-08:00 Los_Angeles,ok,✓,Number,2020-05-12T20:27:33.681-07:00 Los_Angeles,✓,Leaving Hot Water Temp Sp,"",AV36,✓,"","","",@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,✓,"",@p:ubcv:r:23e65d0e-fbb477f4 .+_HWST_SP(_TL)?,✓,540_DHX2_HWST_SP_TL,Los_Angeles,°C,✓,2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-976b392a Totem Park Res - Haida/Salish DES Connection 540_HX2_HWST,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL12,✓,540_HX2_HWST,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T20:23:56-07:00 Los_Angeles,"",44255,2019-02-09T14:58:26-08:00 Los_Angeles,ok,✓,Number,2020-05-12T20:27:35.074-07:00 Los_Angeles,✓,Leaving Hot Water Temp,"",AI16,✓,"","",✓,@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"","",@p:ubcv:r:23e65d0e-90aebcb3 .+_HWST(_AV)?(_\d+)?(_TL)?,✓,540_HX2_HWST_TL,Los_Angeles,°C,✓,2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-c2608f71 Totem Park Res - Haida/Salish DES Connection 540_HX2_FLW_SW,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL21,✓,540_HX2_FLW_SW,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T19:17:33-07:00 Los_Angeles,"",322,2019-03-22T08:55:05-07:00 Los_Angeles,ok,"",Bool,2020-05-12T20:27:32.749-07:00 Los_Angeles,"",540_HX2_FLW_SW,✓,BI105,✓,"","","",@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"","","","",540_HX2_FLW_SW_TL,Los_Angeles,"","",2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-78abbeb7 Totem Park Res - Haida/Salish DES Connection 540_DHX2_HWRT,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL15,✓,540_DHX2_HWRT,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","",✓,"","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-11T10:34:22-07:00 Los_Angeles,"",697258,2019-02-14T12:53:31-08:00 Los_Angeles,ok,✓,Number,2020-05-12T20:27:32.948-07:00 Los_Angeles,"",Entering Hot Water Temp,"",AI104,✓,"","",✓,@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"","",@p:ubcv:r:23e65d0e-2ae762c1 .+_HWRT(_AV)?(_\d+)?(_TL)?,✓,540_DHX2_HWRT_TL,Los_Angeles,°C,✓,2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-d019ade2 Totem Park Res - Haida/Salish DES Connection 540_HX2_P2_SPD,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL27,✓,540_HX2_P2_SPD,✓,@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","",P2,@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T19:17:02-07:00 Los_Angeles,"",3625,2019-03-07T12:29:44-08:00 Los_Angeles,ok,"",Number,2020-05-12T20:27:32.347-07:00 Los_Angeles,"",Pump Speed Cmd,"",AO7,✓,✓,"","",@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"",✓,@p:ubcv:r:23e65d0f-375a5dca .+_P(HX)?\d+[A-Z]?(_VFD)?_SPD(_AV)?(_TL)?,"",540_HX2_P2_SPD_TL,Los_Angeles,%,"",2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-195f882d Totem Park Res - Haida/Salish DES Connection 540_HX2_CV_3P,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL28,✓,540_HX2_CV_3P,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T20:26:10-07:00 Los_Angeles,"",20876,2019-02-09T15:16:40-08:00 Los_Angeles,ok,"",Number,2020-05-12T20:27:34.56-07:00 Los_Angeles,"",540_HX2_CV_3P,✓,AO8,✓,"","","",@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"","","","",540_HX2_CV_3P_TL,Los_Angeles,%,"",2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-99eb1d71 Totem Park Res - Haida/Salish DES Connection 540_HX2_LOAD_DP,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL11,✓,540_HX2_LOAD_DP,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T19:17:14-07:00 Los_Angeles,"",1263,2019-03-07T12:29:44-08:00 Los_Angeles,ok,"",Number,2020-05-12T20:27:32.55-07:00 Los_Angeles,"",540_HX2_LOAD_DP,✓,AI15,✓,"","","",@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"","","","",540_HX2_LOAD_DP_TL,Los_Angeles,psi,"",2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-01ed1637 Totem Park Res - Haida/Salish DES Connection 540_DHX2_CV_2S,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL30,✓,540_DHX2_CV_2S,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","","","","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T20:07:43-07:00 Los_Angeles,"",443369,2019-02-14T12:13:03-08:00 Los_Angeles,ok,"",Number,2020-05-12T20:27:33.572-07:00 Los_Angeles,"",540_DHX2_CV_2S,✓,AO10,✓,"","","",@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"","","","",540_DHX2_CV_2S_TL,Los_Angeles,%,"",2020-05-13T00:08:04.237Z UTC
@p:ubcv:r:23f8ae31-d838aba4 Totem Park Res - Haida/Salish DES Connection 540_HX2_HWRT,"","",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),TL13,✓,540_HX2_HWRT,"",@p:ubcv:r:23f885f9-e0eda0ef Totem 540.0 TOTEM DENE&NOOTKA (506300),$equipRef $bmsName,"","","",✓,"","",@p:ubcv:r:264df608-f1fce720 Totem Park Res - Haida/Salish DES Connection,✓,@p:ubcv:r:264df640-4d04eea2 Totem Park Res - Haida/Salish Hydronic System,✓,2020-05-12T20:17:24-07:00 Los_Angeles,"",10346,2019-02-10T03:23:47-08:00 Los_Angeles,ok,✓,Number,2020-05-12T20:27:34.463-07:00 Los_Angeles,"",Entering Hot Water Temp,"",AI101,✓,"","",✓,@p:ubcv:r:24c11442-1ea8246e Totem Park Res - Haida/Salish,"","",@p:ubcv:r:23e65d0e-2ae762c1 .+_HWRT(_AV)?(_\d+)?(_TL)?,✓,540_HX2_HWRT_TL,Los_Angeles,°C,✓,2020-05-13T00:08:04.237Z UTC
