id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bacnetWriteLevel,bmsName,bridgeName,cmd,co2,connRef,cooling,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,dxCoilMode,effective,elec,elecMeterLoad,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,min,mixed,mode,navName,newPoint,noTagMatch,objectId,occ,occupancyIndicator,oldPoint,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preFilter,pressure,primaryLoop,pump,quantityID,reliability,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,vfd,volume,water,waterMeterLoad,wifi,wifiId,writable,writeLevel,writeStatus,zachName,zone,zones,mod
@p:ubcv:r:224555b2-5e26b4cf AERL Heating Plant HX-01 JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-9,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000247,"",✓,"",JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-9,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","",✓,"","",@p:ubcv:r:22459c7a-55a4d373 AERL Heating Plant HX-01,"","","","","",@p:ubcv:r:216981ef-9ee8f059 AERL Hydronic Systems,"","",✓,"","","",2019-02-07T12:30:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [37] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",13278,2018-03-18T11:00:00-07:00 Los_Angeles,fault,"",✓,✓,"",Number,2020-05-12T12:37:47.654-07:00 Los_Angeles,2018-12-07T09:45:28.834-08:00 Los_Angeles,"","","","","",Entering Hot Water Temp,"","",AI3000236,"","","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-4c90626e JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-9,✓,"",Los_Angeles,°C,"","","","",✓,"","","","","","","","","",2020-04-14T16:50:00.044Z UTC
@p:ubcv:r:2242fc12-0629d335 AERL Heating Plant P3 JCL-NAE12/N2-B.02B001DX.P3-S,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3001379,"",✓,"",JCL-NAE12/N2-B.02B001DX.P3-S,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P3,@p:ubcv:r:2242f080-587be69b AERL Heating Plant,"","","","","",@p:ubcv:r:216981ef-9ee8f059 AERL Hydronic Systems,"","",✓,"","","",2019-03-25T08:42:15-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [12] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",25,2018-01-06T07:02:30-08:00 Los_Angeles,fault,"","",✓,✓,Bool,2020-05-11T05:22:39.839-07:00 Los_Angeles,2018-12-07T09:45:28.835-08:00 Los_Angeles,"","","","","",Run Status,"","",BI3000164,"","","","","","","",✓,"","","","","",✓,"","","",✓,"","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",Los_Angeles,"","","","","","","","","","","","","","","",2020-05-12T11:03:27.557Z UTC
@p:ubcv:r:2242fc12-7321d89c AERL Office 4 Zone JCL-NAE12/N2-B.02B017UN.SHUTDOWN,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3001671,"",✓,"",JCL-NAE12/N2-B.02B017UN.SHUTDOWN,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Auto,Off","",@p:ubcv:r:25d48c78-9dad9eb8 AERL Office 4 Zone,"","","","","",@p:ubcv:r:2242ea4c-2f7027d9 AERL Floor 4,"","",✓,"","","",2020-05-12T06:00:08-07:00 Los_Angeles,"","","",1165,2018-03-14T21:00:06-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T13:54:12.503-07:00 Los_Angeles,2018-07-30T13:54:04.352-07:00 Los_Angeles,"","","","","",JCL-NAE12/N2-B.02B017UN.SHUTDOWN,"",✓,BO3000756,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:25d48c78-872605a3 AERL Office 4,"","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE12/N2-B.02B017UN.SHUTDOWN.Trend1,Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:55:34.254Z UTC
@p:ubcv:r:25d16191-d29bdb8f AERL AHU-03 SF JCL-NAE13/FCB.FEC-007.SF-S,"",✓,"","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3001026,"","","",JCL-NAE13/FCB.FEC-007.SF-S,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:22431293-e546c881 AERL AHU-03 SF,"",✓,"","","",@p:ubcv:r:2203b248-53158c67 AERL Air Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",13461,2020-02-07T20:10:00-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:13.713-07:00 Los_Angeles,"","","","","","",Discharge Fan Run Status,"","",BI3000677,"","","","","","","",✓,"","","","","","","","","",✓,"","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"",JCL-NAE13/FCB.FEC-007.SF-S.Trend1,Los_Angeles,"","","","","","","","","","","","",3160.AHU-03.SF-S,"","",2020-04-08T18:52:44.179Z UTC
@p:ubcv:r:253ba37e-4dad8392 AERL Unsorted Points JCL-NAE13/FCB.FEC-007.DAS-P,"",✓,"","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000846,"",✓,"",JCL-NAE13/FCB.FEC-007.DAS-P,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",29542,2019-10-17T07:20:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:00:13.723-07:00 Los_Angeles,"","","","","","",Discharge Air Pressure,"","",AI3000667,"","","","","","","",✓,"","","",✓,"","","","","","","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:25462df8-3e9a16fd .+(\.|-| )DAS-P,"",JCL-NAE13/FCB.FEC-007.DAS-P.Trend1,Los_Angeles,Pa,"","","","","","","","","","","",3160.AHU-03.DAS-P,"","",2020-04-09T19:02:17.592Z UTC
@p:ubcv:r:20daf435-f928ec31 AERL AHU-01 JCL-NAE12/N2-B.02B004UN.Parameters.Air Flow.SP-SET,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3007139,"",✓,"",JCL-NAE12/N2-B.02B004UN.Parameters.Air Flow.SP-SET,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:20dae5fa-ccb58b9a AERL AHU-01,"","","","","",@p:ubcv:r:2203b248-53158c67 AERL Air Systems,"","",✓,"","","",2019-10-09T07:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [110] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",79141,2017-06-19T14:00:00-07:00 Los_Angeles,fault,"","",✓,✓,Number,2020-05-11T00:31:14.066-07:00 Los_Angeles,2018-12-07T09:45:29.273-08:00 Los_Angeles,"","","","","",Discharge Air Pressure Sp,"","",AO3000323,"","",✓,"","","","",✓,"","","",✓,"","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"",✓,"","","",@p:ubcv:r:23e65d3d-21440cd1 .+(\.|-| )SP-SET,"","",Los_Angeles,Pa,"","","","","","","","","","","","","","",2020-04-14T16:49:59.508Z UTC
@p:ubcv:r:224555b2-6a293b97 AERL Unsorted Points JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-1,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000251,"",✓,"",JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-1,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:2242ea4c-b4c1f7a1 AERL Unsorted Points,"","",✓,"","","",2019-02-07T12:30:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [39] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",13275,2018-03-18T11:00:00-07:00 Los_Angeles,fault,"","",✓,"",Number,2020-05-12T12:37:47.661-07:00 Los_Angeles,2018-07-30T13:54:04.372-07:00 Los_Angeles,"","","","","",JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-1,"",✓,AI3000244,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,_,"","","","","","","","","","","","","","",2020-04-09T19:15:20.445Z UTC
@p:ubcv:r:253ba37e-0e92b552 AERL Unsorted Points P05 JCL-NAE13/FCB.FEC-005.P05-C,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000693,"",✓,"",JCL-NAE13/FCB.FEC-005.P05-C,"",✓,"",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P05,@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T13:00:02-07:00 Los_Angeles,"","","",423,2019-10-16T11:13:02-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:13.735-07:00 Los_Angeles,"","","","","","",Run Cmd,"","",BO3000629,"","","","","","","",✓,"","","","","",✓,"","","",✓,"","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"",JCL-NAE13/FCB.FEC-005.P05-C.Trend1,Los_Angeles,"","","","","","","","","","","","",3160.AHU-01.P05-C,"","",2020-05-12T11:03:27.651Z UTC
@p:ubcv:r:20daf487-292b2948 AERL AHU-02 JCL-NAE12/N2-B.02B005UN.SP-SET,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3007140,"",✓,"",JCL-NAE12/N2-B.02B005UN.SP-SET,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:20daf003-f06928f2 AERL AHU-02,"","","","","",@p:ubcv:r:2203b248-53158c67 AERL Air Systems,"","",✓,"","","",2019-11-22T07:15:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [107] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",83143,2017-06-19T14:00:00-07:00 Los_Angeles,fault,"","",✓,✓,Number,2020-05-11T00:31:14.07-07:00 Los_Angeles,2018-12-07T09:45:29.299-08:00 Los_Angeles,"","","","","",Discharge Air Pressure Sp,"","",AO3000342,"","",✓,"","","","",✓,"","","",✓,"","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"",✓,"","","",@p:ubcv:r:23e65d3d-21440cd1 .+(\.|-| )SP-SET,"","",Los_Angeles,Pa,"","","","","","","","","","","","","","",2020-04-14T16:50:01.101Z UTC
@p:ubcv:r:253ba37e-e1d8b798 AERL Unsorted Points JCL-NAE13/FCB.FEC-005.RH-O,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000705,"",✓,"",JCL-NAE13/FCB.FEC-005.RH-O,"",✓,"",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"",✓,✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",58890,2019-10-17T11:15:00-07:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:00:13.752-07:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"","",AO3000638,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-e0e662f6 .+(\.|-| )RH-O,"",JCL-NAE13/FCB.FEC-005.RH-O.Trend1,Los_Angeles,%,"",✓,"","",✓,"","","","","","",3160.AHU-01.RH-O,"","",2020-04-09T19:02:17.595Z UTC
