id,air,autoSorted,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bacnetWriteLevel,base,bmsName,bridgeName,chilled,chiller,cmd,condenser,connRef,cool,cooling,count,covTest,cur,curConvert,curErr,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,flow,gas,groupRef,heat,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,hrv,kind,lastSynced,lastTagged,leaving,lowLim,mode,navName,navname,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,primaryLoop,pump,quantityID,reliability,return,run,runtime,schedulable,scheduleOcc,scheduleRef,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,testName,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,writable,writeLevel,writeStatus,zone,mod
@p:ubcv:r:236c92e3-62f66bd9 Alumni Centre HRV-1 HRV1_FZ,"","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"",TL49,✓,"","",HRV1_FZ,"","","","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","OFF,ON","",@p:ubcv:r:24103921-9087c055 Alumni Centre HRV-1,✓,"","","","",@p:ubcv:r:2203b248-28b6b255 Alumni Centre Air Systems,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",76151,2018-10-26T11:10:00-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T14:00:44.419-07:00 Los_Angeles,2018-11-28T16:32:56.979-08:00 Los_Angeles,"","","",HRV1_FZ,"",✓,BI1403,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","","","","",HRV1_FZ_TL,Los_Angeles,"","","","","","","","","","","",2020-04-30T12:06:20.069Z UTC
@p:ubcv:r:236c92e3-fd67ef90 Alumni Centre HW Submeters BTU-101 BTU101_RTN_TEMP,"","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"",TL98,✓,"","",BTU101_RTN_TEMP,"","","","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","",✓,"","",@p:ubcv:r:25250410-cb0970df Alumni Centre HW Submeters BTU-101,✓,"","","","",@p:ubcv:r:21697fca-7bb972f1 Alumni Centre Utilities,"","","",✓,"","","",2020-05-12T14:00:36-07:00 Los_Angeles,"","","",375418,2018-10-30T18:29:34-07:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T14:00:46.371-07:00 Los_Angeles,2018-11-28T16:32:51.751-08:00 Los_Angeles,"","","",Entering Hot Water Temp,"","",AV1060,"","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:24c4abea-706bbc56 .+_RTN_TEMP(_TL)?,✓,"","",BTU101_RTN_TEMP_POLL_TL,Los_Angeles,°C,"","","",✓,"","","","","","",2020-04-30T12:06:20.033Z UTC
@p:ubcv:r:236c92e2-0b6e0d56 Alumni Centre AHU-02 7970_AHU-02_FLTD-P,"","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"",TL124,✓,"","",7970_AHU-02_FLTD-P,"","","","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"","","","","","","","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24c3be0d-d4c7182e Alumni Centre AHU-02,✓,"","","","",@p:ubcv:r:2203b248-28b6b255 Alumni Centre Air Systems,"","",430Pa,✓,"","","",2020-05-12T14:00:35-07:00 Los_Angeles,"","","",368540,2018-10-31T03:23:36-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T14:00:45.611-07:00 Los_Angeles,2019-01-23T16:53:12.371-08:00 Los_Angeles,"",280Pa,"",7970_AHU-02_FLTD-P,"",✓,AI1801,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","","","","",AHU2_FIL_S_POLL_TL,Los_Angeles,Pa,"","","","","","","","","","",2020-04-30T12:06:19.962Z UTC
@p:ubcv:r:226d2e1a-48959180 Alumni Centre Heating Plant HWS_CWS_HW_DP,"","","",@p:ubcv:r:21cadec0-ecd8e79a ALUM Main Router (670000),"",TL56,✓,"","",HWS_CWS_HW_DP,"","","","","",@p:ubcv:r:21cadec0-ecd8e79a ALUM Main Router (670000),"","","","","","","","","","",✓,"",✓,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24c3bb2c-3094a993 Alumni Centre Heating Plant,✓,"","","","",@p:ubcv:r:21cadcbf-9493aff0 Alumni Centre Hydronic Systems,"","","",✓,"","","",2020-05-12T13:55:00-07:00 Los_Angeles,"","","",219440,2018-04-11T11:15:00-07:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T13:58:48.806-07:00 Los_Angeles,2019-01-23T16:53:27.116-08:00 Los_Angeles,"","","",Hot Water Differential Pressure,"","",AI1701,"","","","","",✓,"","",✓,"","","","","","","","","","",✓,@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:23e65d0e-b37e30b8 .+_HW_DP(_TL)?,"","","",HWS_CWS_HW_DP_TL,Los_Angeles,psi,"","","",✓,"","","","","","",2020-04-09T19:02:29.388Z UTC
@p:ubcv:r:236c921d-7afda9a5 Alumni Centre Heating Plant BLR_GAS_THISMONTH_BASE,"","","",@p:ubcv:r:21cadec0-ecd8e79a ALUM Main Router (670000),"",TL103,✓,"","",BLR_GAS_THISMONTH_BASE,"","","","","",@p:ubcv:r:21cadec0-ecd8e79a ALUM Main Router (670000),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24c3bb2c-3094a993 Alumni Centre Heating Plant,✓,"","","","",@p:ubcv:r:21cadcbf-9493aff0 Alumni Centre Hydronic Systems,"","","",✓,"","","",2020-05-12T13:57:19-07:00 Los_Angeles,"","","",392841,2018-10-31T04:01:53-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T13:58:50.972-07:00 Los_Angeles,2018-11-28T16:32:36.983-08:00 Los_Angeles,"","","",BLR_GAS_THISMONTH_BASE,"",✓,AV64,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","","","","",BLR_GAS_THISMONTH_BASE_POLL_TL,Los_Angeles,m³,"","","","","","","","","","",2020-04-09T19:02:29.39Z UTC
@p:ubcv:r:236c92e3-30b861fe Alumni Centre AHU-02 7970_AHU-02_EFFDAT-SP,"","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"",TL78,✓,"","",7970_AHU-02_EFFDAT-SP,"","","","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24c3be0d-d4c7182e Alumni Centre AHU-02,✓,"","","","",@p:ubcv:r:2203b248-28b6b255 Alumni Centre Air Systems,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",368677,2018-10-31T04:28:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T14:00:45.617-07:00 Los_Angeles,2019-01-23T16:53:02.649-08:00 Los_Angeles,"","","",7970_AHU-02_EFFDAT-SP,"",✓,AV32,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","","","","",AHU2_SAT_SP_AV_POLL_TL,Los_Angeles,°C,"","","","","","","","","","",2020-04-30T12:06:20.006Z UTC
@p:ubcv:r:236c9256-8da5fffb Alumni Centre FCU-05 FC05_SAT_SP,✓,"","",@p:ubcv:r:236c8e4c-35e103b9 ALUM FC05_RM_LL118 (670005),"",TL8,✓,"","",FC05_SAT_SP,"","","","","",@p:ubcv:r:236c8e4c-35e103b9 ALUM FC05_RM_LL118 (670005),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:24103b51-08fde0de Alumni Centre FCU-05,✓,"","","","",@p:ubcv:r:24103ec5-9a094bc6 Alumni Centre Basement,"","","",✓,"","","",2020-05-12T13:44:44-07:00 Los_Angeles,"","","",54151,2018-10-26T10:48:16-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T13:52:25.161-07:00 Los_Angeles,2019-01-23T16:52:58.758-08:00 Los_Angeles,"","","",Discharge Air Temp Sp,"","",AV7,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"",✓,"","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,"","",FC05_SAT_SP_POLL_TL,Los_Angeles,°C,"","","","","","","","","","",2020-04-09T19:02:29.58Z UTC
@p:ubcv:r:236c92e2-cf4f852b Alumni Centre HRV-1 RF HRV1_RF_ENAB,"","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"",TL118,✓,"","",HRV1_RF_ENAB,"","","",✓,"",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","",✓,"","","OFF,ON","",@p:ubcv:r:25d750aa-f2046daf Alumni Centre HRV-1 RF,✓,"",✓,"","",@p:ubcv:r:2203b248-28b6b255 Alumni Centre Air Systems,"","","",✓,"","","",2019-10-23T09:12:47-07:00 Los_Angeles,"","","",1,2019-10-23T09:12:47-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T14:00:43.367-07:00 Los_Angeles,2018-11-28T16:32:40.038-08:00 Los_Angeles,"","","",Return Fan Enable Cmd,"","",BV26,"","","","","",✓,"","","","","","","",✓,"","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:245ce390-9b6f07da .+_RF_ENAB(_TL)?,"","","",HRV1_RF_ENAB_COV_TL,Los_Angeles,"","","","","","","","","","","",2020-04-30T12:06:20.092Z UTC
@p:ubcv:r:236c931f-3aba353d Alumni Centre FCU-20 FC20_T,✓,"","",@p:ubcv:r:236c9092-18ca1d89 ALUM FC20_CORRIDOR_230 (670324),"",TL5,✓,"","",FC20_T,"","","","","",@p:ubcv:r:236c9092-18ca1d89 ALUM FC20_CORRIDOR_230 (670324),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:24103b51-2697460c Alumni Centre FCU-20,✓,"","","","",@p:ubcv:r:24103e34-f6898d28 Alumni Centre 2nd Floor,"","","",✓,"","","",2020-05-12T13:50:04-07:00 Los_Angeles,"","","",54144,2018-10-26T10:25:09-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T13:52:26.395-07:00 Los_Angeles,2018-11-28T16:32:50.762-08:00 Los_Angeles,"","","",Discharge Air Temp,"","",AI2,"","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","",@p:ubcv:r:23e65d0e-eee35397 FC\d+_T(_TL)?,✓,"","",FC20_T_POLL_TL,Los_Angeles,°C,"","","","","","","","","","",2020-04-09T19:02:29.79Z UTC
@p:ubcv:r:236c92e2-27d6ba4d Alumni Centre AHU-01 7970_AHU-01_ZN-H,"","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"",TL12,✓,"","",7970_AHU-01_ZN-H,"","","","","",@p:ubcv:r:226d2efb-ef7180f7 ALUM UBC ALUMNI CP670300 (670300),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24c3be0d-414d0cda Alumni Centre AHU-01,✓,"","","","",@p:ubcv:r:2203b248-28b6b255 Alumni Centre Air Systems,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",77548,2018-10-26T11:10:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T14:00:44.508-07:00 Los_Angeles,2019-01-23T16:53:10.531-08:00 Los_Angeles,"","","",7970_AHU-01_ZN-H,"",✓,AI201003,"","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2094eabc-a7ca801d Alumni Centre,"","","","","","","","","","",AHU1_RH_TL,Los_Angeles,%,"","","","","","","","","","",2020-04-30T12:06:19.956Z UTC
