id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,submeterAdd,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:21cb227f-f4a8b13c Asian Centre HW Main Meter Entering Water Temp,@p:ubcv:r:21cab65b-69fdb27f Asian Centre DES Meter,AI9,✓,@p:ubcv:r:21cab65b-69fdb27f Asian Centre DES Meter,✓,"",ok,20.239999771118164°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:21cb1e82-100fe022 Asian Centre HW Main Meter,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,0.5°C,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,210034,2017-12-18T17:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:36.088Z UTC
@p:ubcv:r:264326a2-6b7caac8 Asian Centre Elec Submeters Elec Submeter 1 Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,2843942.25kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:22d8ee7c-471c2f0d Asian Centre Elec Submeters Elec Submeter 1,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,328386,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Asian_046_1.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,66,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:54.788Z UTC
@p:ubcv:r:22d8eece-c169b3ef Asian Centre Elec Main Meter Power,"","","","","","","","","","",$equipRef $navName,✓,"","",@p:ubcv:r:22d8ee50-9808ee03 Asian Centre Elec Main Meter,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,"","","",virtualMeter,"","","","",✓,"",Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,"","","","@p:ubcv:r:2643269d-abede2bc, @p:ubcv:r:2643269c-8ad0c76a","",Los_Angeles,kW,✓,"","",2020-05-06T19:21:27.289Z UTC
@p:ubcv:r:22d8eeb0-f026ab6d Asian Centre Elec Main Meter Energy,"","","","","","","","","","",$equipRef $navName,✓,✓,"",@p:ubcv:r:22d8ee50-9808ee03 Asian Centre Elec Main Meter,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,"","","",virtualMeter,consumption,"","","",✓,"",Number,"",Energy,"","","",✓,"","","",✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,"","","","@p:ubcv:r:264326a2-6b7caac8, @p:ubcv:r:2643269f-5643a4d7","",Los_Angeles,kWh,✓,"","",2020-05-06T18:25:45.477Z UTC
@p:ubcv:r:21cb2215-175fbb16 Asian Centre HW Main Meter Flow,@p:ubcv:r:21cab65b-69fdb27f Asian Centre DES Meter,AI4,✓,@p:ubcv:r:21cab65b-69fdb27f Asian Centre DES Meter,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:21cb1e82-100fe022 Asian Centre HW Main Meter,✓,@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,0.25L/s,10min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,165160,2017-12-18T17:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,"","","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:36.089Z UTC
@p:ubcv:r:2643269d-abede2bc Asian Centre Elec Submeters Elec Submeter 1 Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,18.723886489868164kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:22d8ee7c-471c2f0d Asian Centre Elec Submeters Elec Submeter 1,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,5kW,15min,2020-05-12T14:00:00-07:00 Los_Angeles,"","",324021,2010-12-31T16:00:00-08:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Asian_046_1.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,66,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.719Z UTC
@p:ubcv:r:2643269f-5643a4d7 Asian Centre Elec Submeters Elec Submeter 2 Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,3519496.75kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:22d8f008-b635e4f5 Asian Centre Elec Submeters Elec Submeter 2,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,328386,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Asian_046_2.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,67,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:54.789Z UTC
@p:ubcv:r:21cb1e82-17ba992b Asian Centre HW Main Meter Power,@p:ubcv:r:21cab65b-69fdb27f Asian Centre DES Meter,AI5,✓,@p:ubcv:r:21cab65b-69fdb27f Asian Centre DES Meter,✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:21cb1e82-100fe022 Asian Centre HW Main Meter,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,5kW,15min,2020-05-12T14:00:00-07:00 Los_Angeles,"","",344073,2016-05-05T15:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,"","","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.72Z UTC
@p:ubcv:r:263b764e-06b4f53b Asian Centre Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,28746.599609375m³,"","",$equipRef $navName,"","","",@p:ubcv:r:21cb1ef7-1a8496d0 Asian Centre Water Main Meter,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,328384,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Asian_046_1.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,66,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:54.784Z UTC
@p:ubcv:r:21cb1e82-5178d0e8 Asian Centre HW Main Meter Energy,@p:ubcv:r:21cab65b-69fdb27f Asian Centre DES Meter,AI1,✓,@p:ubcv:r:21cab65b-69fdb27f Asian Centre DES Meter,✓,MWh => kWh,ok,2242119.873046875kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:21cb1e82-100fe022 Asian Centre HW Main Meter,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,139546,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"","",10364,✓,@p:ubcv:r:21cb1e82-6d0a2438 Asian Centre,298,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:36.091Z UTC
