id,condensate,connRef,cur,curConvert,curStatus,curVal,disMacro,elec,energy,entering,equipRef,flow,gas,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,hotWater,kind,leaving,navName,opcConnRef,opcCur,point,pointType,power,pressure,primaryLoop,pump,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,steam,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:2524f76e-ac9c6895 BRDF Generator Main Meter Energy,"",@p:ubcv:r:23060489-d61f5459 ION DB,"","","","",$equipRef $navName,✓,✓,"",@p:ubcv:r:2524f76e-1cb8ff7c BRDF Generator Main Meter,"","",@p:ubcv:r:23dd1d22-405fb9e7 BRDF Utilities,✓,"","","",2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,210663,2012-08-07T16:00:00-07:00 Los_Angeles,ok,✓,"","",Number,"",Energy,"","",✓,"","","","","",135,✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,210,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:35.759Z UTC
@p:ubcv:r:25a7b1cc-9529451a BRDF Heat Exchanger Condensate Pressure,✓,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,6.411352634429932kPa,$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,10kPa,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",11536,2020-01-07T13:30:00-08:00 Los_Angeles,ok,"","","",Number,"",Condensate Pressure,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Heat_Exchanger.Condensate_Pres,✓,"","",✓,"","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","","",Los_Angeles,kPa,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a79ef4-0000267e BRDF CHP Engine Feedwater Rate,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,lb/h => kg/s,ok,0.12581036027238499kg/s,$equipRef $navName,"","","",@p:ubcv:r:25a6798e-e5013205 BRDF CHP Engine,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,0.1kg/s,15min,"",2020-05-12T14:17:37-07:00 Los_Angeles,"","",50975,2020-01-07T12:00:00-08:00 Los_Angeles,ok,"","","",Number,"",Feedwater Rate,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Engine.Feedwater_Rate,✓,"","","","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","",✓,✓,Los_Angeles,kg/s,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:2524f76e-0db6e572 BRDF Generator Main Meter Power,"",@p:ubcv:r:23060489-d61f5459 ION DB,"","","","",$equipRef $navName,✓,"","",@p:ubcv:r:2524f76e-1cb8ff7c BRDF Generator Main Meter,"","",@p:ubcv:r:23dd1d22-405fb9e7 BRDF Utilities,✓,"","","",2020-05-12T03:15:00-07:00 Los_Angeles,"","",153985,2015-10-20T15:30:00-07:00 Los_Angeles,ok,"","",✓,Number,"",Power,"","",✓,"",✓,"","","",116,✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,210,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kW,✓,"","",2020-05-06T19:21:27.271Z UTC
@p:ubcv:r:25a67f41-620b3914 BRDF CHP Engine Elec,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,1.9706130027770996MW,$equipRef $navName,✓,"","",@p:ubcv:r:25a6798e-e5013205 BRDF CHP Engine,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,0.25MW,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",11717,2020-01-06T15:30:00-08:00 Los_Angeles,ok,"","","",Number,"",Elec,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Engine.Elec_Power,✓,"",✓,"","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","","",Los_Angeles,MW,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a7b531-ef15df82 BRDF Heat Exchanger Pump P-2 Speed,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,-0.012111663818359375%,$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,2.5%,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",12046,2020-01-07T13:45:00-08:00 Los_Angeles,ok,"","","",Number,"",Pump P-2 Speed,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Heat_Exchanger.P-2_Speed,✓,"","","","",✓,"",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","","",Los_Angeles,%,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a798a8-329ce040 BRDF Gasifier Steam Rate,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,lb/h => kg/s,ok,0kg/s,$equipRef $navName,"","","",@p:ubcv:r:25a6744d-4face8ee BRDF Gasifier,✓,"",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,0.25kg/s,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",12667,2020-01-07T17:15:00-08:00 Los_Angeles,ok,"","","",Number,"",Steam Rate,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Gasifier.Steam_Rate,✓,"","","","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","",✓,✓,Los_Angeles,kg/s,"","",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a7951b-82ff8b43 BRDF Gasifier Steam Pressure,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,psi => kPa,ok,680.6353397991943kPa,$equipRef $navName,"","","",@p:ubcv:r:25a6744d-4face8ee BRDF Gasifier,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,10kPa,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",21069,2020-01-07T11:24:06-08:00 Los_Angeles,ok,"","","",Number,"",Steam Pressure,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Gasifier.Steam_Pres,✓,"","",✓,"","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","",✓,"",Los_Angeles,kPa,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a67eaf-d1ae2682 BRDF CHP Engine DE Power,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,kW => MW,ok,0.13033883666992188MW,$equipRef $navName,"","","",@p:ubcv:r:25a6798e-e5013205 BRDF CHP Engine,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,0.25MW,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",12118,2020-01-06T15:30:00-08:00 Los_Angeles,ok,"",✓,"",Number,"",DE Power,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Engine.DE_Power,✓,"",✓,"","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","","",Los_Angeles,MW,"","",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a6798e-aa4444c2 BRDF CHP Engine DE Entering Water Temp,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,°F => °C,ok,84.14561801486548°C,$equipRef $navName,"","",✓,@p:ubcv:r:25a6798e-e5013205 BRDF CHP Engine,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,1°C,15min,"",2020-05-12T14:18:38-07:00 Los_Angeles,"","",25248,2020-01-06T15:28:37-08:00 Los_Angeles,ok,"",✓,"",Number,"",DE Entering Water Temp,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Engine.DE_Entering_Water_Temp,✓,"","","","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","",✓,Los_Angeles,°C,"","",✓,2020-03-17T20:57:47.078Z UTC
