id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bios_L2_SAV_FLW_SP,bios_L3_SAV_FLW_SP,bios_L4_SAV_FLW_SP,bmsName,bypass,changeover,chilled,close,cm_BIOS_DHW,cmd,comp,condenser,connRef,cool,cooling,coolingTower,covTest,cur,curConvert,curStatus,curVal,custom,damper,delta,deltaTempPoint,demand,differential,disMacro,disable,disabled,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,groupRef,heat,heatPump,heatRecovery,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,leaving,mixing,mode,modulating,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,point,pointType,power,pressure,primaryLoop,ptTest,pump,quantityID,reheat,return,roomRef,run,runtime,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,stage1,stage2,stage3,stage4,stage5,stage6,stage7,stage8,stageDemanded,stageRequired,static,supply,tagTableRef,tags,temp,test2019,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:2273c191-9ab4a6c9 Bio Sci South Rm 2322 SAV-2-06 SAV_2S_06_RT_SP,✓,"",@p:ubcv:r:2273873c-82d60f3c BioSc S BSc_570235_SAV_2S_06 GAV2S05 LAB2322 (570235),"",TL2,✓,"","","",SAV_2S_06_RT_SP,"","","","","","","","",@p:ubcv:r:2273873c-82d60f3c BioSc S BSc_570235_SAV_2S_06 GAV2S05 LAB2322 (570235),"","","","","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","",@p:ubcv:r:2308cc6b-fd563784 Bio Sci South Rm 2322 SAV-2-06,✓,"","","","","",@p:ubcv:r:2308cc6b-b313df1c Bio Sci South Floor 2,"","","","",✓,"","","",2020-05-12T13:53:27-07:00 Los_Angeles,"","","",107053,2018-04-24T07:46:22-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:03:25.119-07:00 Los_Angeles,2019-01-23T16:53:03.13-08:00 Los_Angeles,"","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2308cc6b-5cbdead9 Bio Sci South Rm 2322,"","","",@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",SAV_2S_06_RT_SP_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:19.502Z UTC
@p:ubcv:r:23c138f0-b8e3d5c0 Bio Sci South Rm 0320 FC-0-02 FC_0S_02_RT_SP,✓,"",@p:ubcv:r:2229eb2d-7b01498d BioSc S BSc_FC_0S_02 FC_0S_05 GAV0S04 (570103),"",TL2,✓,"","","",FC_0S_02_RT_SP,"","","","","","","","",@p:ubcv:r:2229eb2d-7b01498d BioSc S BSc_FC_0S_02 FC_0S_05 GAV0S04 (570103),"","","","","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","",@p:ubcv:r:2308cc6a-a436e40f Bio Sci South Rm 0320 FC-0-02,✓,"","","","","",@p:ubcv:r:23085f6e-192fcb64 Bio Sci South Floor 0,"","","","",✓,"","","",2020-05-12T14:01:45-07:00 Los_Angeles,"","","",71161,2019-01-02T12:24:14-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:09:17.991-07:00 Los_Angeles,2019-01-23T16:53:17.792-08:00 Los_Angeles,"","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2308677d-de871536 Bio Sci South Rm 0320,"","","",@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",FC_0S_02_RT_SP_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:19.076Z UTC
@p:ubcv:r:23c1425c-d7631b19 Bio Sci South Lab 3322 VAV-3S-03 SAV_3S_03_OperationMode,"","",@p:ubcv:r:227397d3-13f54052 BioSc S BSc_570303_SAV_3S_03 STBH LAB3322 (570303),"",TL13,✓,"","","",SAV_3S_03_OperationMode,"","","","","","","","",@p:ubcv:r:227397d3-13f54052 BioSc S BSc_570303_SAV_3S_03 STBH LAB3322 (570303),"","","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Occupied,Standby,Unoccupied","",@p:ubcv:r:23cbe488-ab0c02fd Bio Sci South Lab 3322 VAV-3S-03,✓,"","","","","",@p:ubcv:r:2308cc6c-f44eff58 Bio Sci South Floor 3,"","","","",✓,"","","-1 enumNumberToStr(self, false)",2020-03-05T07:48:03-08:00 Los_Angeles,"","","",99,2018-09-24T08:27:01-07:00 Los_Angeles,ok,"","","","",Str,2020-05-12T14:06:59.741-07:00 Los_Angeles,2019-01-23T16:53:19.057-08:00 Los_Angeles,"","",✓,"",Operation Mode,"",MSV3,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:23cbe488-6b7c9941 Bio Sci South Lab 3322,"","","",@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:254a170a-20a4f0b2 .+_OperationMode(_TL)?,"","","",SAV_3S_03_OperationMode_TL,Los_Angeles,"","","","","","","",2020-04-08T18:53:40.344Z UTC
@p:ubcv:r:2273c058-aaa65299 Bio Sci South Rm 1320 FC-1-7A FC_1S_7A_RT_AV,✓,"",@p:ubcv:r:2273873c-ca6bd273 BioSc S BSc_570220_FC_1S_7A 7B (570220),"",TL1,✓,"","","",FC_1S_7A_RT_AV,"","","","","","","","",@p:ubcv:r:2273873c-ca6bd273 BioSc S BSc_570220_FC_1S_7A 7B (570220),"","","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2309bbfb-c79a2d3a Bio Sci South Rm 1320 FC-1-7A,✓,"","","","","",@p:ubcv:r:2308cc6a-c8c4bacb Bio Sci South Floor 1,"","","","",✓,"","","",2020-05-12T13:49:10-07:00 Los_Angeles,"","","",106707,2018-04-24T07:33:06-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T13:58:47.051-07:00 Los_Angeles,2019-01-23T16:53:01.618-08:00 Los_Angeles,"","","","",Zone Temp,"",AV24,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2308cc6a-ddd1ed28 Bio Sci South Rm 1320,"","",✓,@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"","","","","","","","","","","","","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",FC_1S_7A_RT_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:19.355Z UTC
@p:ubcv:r:2273c3e1-67792f13 Bio Sci South Rm 2328 FC-2-04 FC_2S_04_CCV,"","",@p:ubcv:r:2273873c-9dd3a760 BioSc S BSc_570260_FC_2S_04 GAV2S15 DATA2328 (570260),"",TL5,✓,"","","",FC_2S_04_CCV,"","",✓,"","",✓,"","",@p:ubcv:r:2273873c-9dd3a760 BioSc S BSc_570260_FC_2S_04 GAV2S15 DATA2328 (570260),✓,✓,"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23cbde9f-111d7972 Bio Sci South Rm 2328 FC-2-04,✓,"","","","","",@p:ubcv:r:2308cc6b-b313df1c Bio Sci South Floor 2,"","","","",✓,"","","",2020-05-12T14:07:12-07:00 Los_Angeles,"","","",106253,2018-04-24T08:01:01-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:10:31.725-07:00 Los_Angeles,2019-01-23T16:53:11.501-08:00 Los_Angeles,"","","","",Cooling Valve Cmd,"",AO3,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2309c150-a755fdab Bio Sci South Rm 2328,"","","",@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"","","","","","","","","","","","","","","","","",@p:ubcv:r:23e65d0e-46fa10b2 .+_(\d+)?CCV(_TL)?,"","","",FC_HCV_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:19.706Z UTC
@p:ubcv:r:2604c0d0-3758e2bd Bio Sci South LEF-2 EF-A S_LEF_2_A_EFC_17,✓,"","@p:ubcv:r:22738176-85fd0f7d BioSc S 068.0 BSc_S LVL_3, 4 AHU1_2 (570300)","",TL113,"","","","",S_LEF_2_A_EFC_17,"","","","","",✓,"","","@p:ubcv:r:22738176-85fd0f7d BioSc S 068.0 BSc_S LVL_3, 4 AHU1_2 (570300)","","","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:227b847d-738b9340 Bio Sci South LEF-2 EF-A,✓,✓,✓,"","","",@p:ubcv:r:2203b248-a931c717 Bio Sci South Air Systems,"","","","",✓,"","","",2020-05-12T13:45:00-07:00 Los_Angeles,"","","",5518,2020-03-16T02:30:00-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T13:58:47.849-07:00 Los_Angeles,"","","","","",Exhaust Fan Run Cmd,"",BO1501,"","","","","","",✓,"","","","","","","","","","",✓,"","",@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"","","","","","","","","","","","","","","","","",@p:ubcv:r:245cddb1-fc491e66 .+_EFC(_\d+)?(_TL)?,"","","",TL113_S_LEF_2_A_EFC_17,Los_Angeles,"","","","","","","",2020-04-08T18:49:12.913Z UTC
@p:ubcv:r:2273c12f-99eb745d Bio Sci South Rm 2312B SAV-2-01 SAV_2S_01_DP,✓,"",@p:ubcv:r:2273873c-c7a2e180 BioSc S BSc_570230_SAV_2S_01 GAV2S02 FAV2S01 FUMEHOOD ALCOVE2312B (570230),"",TL5,✓,"","","",SAV_2S_01_DP,"","","","","","","","",@p:ubcv:r:2273873c-c7a2e180 BioSc S BSc_570230_SAV_2S_01 GAV2S02 FAV2S01 FUMEHOOD ALCOVE2312B (570230),"","","","","","","","","","",✓,"","",✓,$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:2308cc6b-d09fcdad Bio Sci South Rm 2312B SAV-2-01,✓,"","","","","",@p:ubcv:r:2308cc6b-b313df1c Bio Sci South Floor 2,"","","","",✓,"","","",2020-05-12T14:08:56-07:00 Los_Angeles,"","","",106845,2018-04-24T07:41:02-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:09:19.176-07:00 Los_Angeles,2019-04-11T16:04:13.972-07:00 Los_Angeles,"","","","",Discharge Air Differential Pressure,"",AI5,"","","","","","",✓,"","",✓,"","","","","","",@p:ubcv:r:2308cc6b-148dcdbd Bio Sci South Rm 2312B,"","",✓,@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"","","","","","","","","","","","","","","","","",@p:ubcv:r:245ce7f5-631ede2e SAV_\d+\w?_.+_DP(_TL)?,"","","",SAV_2S_01_DP_TL,Los_Angeles,Pa,"","","","","","",2020-04-09T19:02:19.461Z UTC
@p:ubcv:r:2274c063-a06079b7 Bio Sci South Unsorted Points BSC_MUA2_SFC,✓,"",@p:ubcv:r:22737e20-7c401d6c BioSc 069.0 BSc_WorkShop_MUA (571200),"",TL34,✓,"","","",BSC_MUA2_SFC,"","","","","",✓,"","",@p:ubcv:r:22737e20-7c401d6c BioSc 069.0 BSc_WorkShop_MUA (571200),"","","","","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","Off,On","",@p:ubcv:r:2275196d-7b50127c Bio Sci South Unsorted Points,✓,"",✓,"","","",@p:ubcv:r:2275196d-5505821a Bio Sci South Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:01-07:00 Los_Angeles,"","","",241,2017-08-03T16:21:26-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:08:43.84-07:00 Los_Angeles,2019-01-23T16:53:24.139-08:00 Los_Angeles,"","","","",Discharge Fan Run Cmd,"",BO6,"","","","","","",✓,"","","","","","","","","","",✓,"","",@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"","","","","","","","","","","","","","","","","",@p:ubcv:r:23e65d0f-ef6babc0 .+_SF(\d)?C(_TL)?,"","","",BSC_MUA2_SFC_TL,Los_Angeles,"","","","","","","",2020-04-08T18:54:18.007Z UTC
@p:ubcv:r:23c148f0-02893ff2 Bio Sci South Unsorted Points VAV_4S_22_DMP_CLOSE,✓,"",@p:ubcv:r:227397d3-c97bf8e7 BioSc S BSc_570355_SAV_4S_22 STBH LAB 4322 (570355),"",TL91,✓,"","","",VAV_4S_22_DMP_CLOSE,"","","",✓,"",✓,"","",@p:ubcv:r:227397d3-c97bf8e7 BioSc S BSc_570355_SAV_4S_22 STBH LAB 4322 (570355),"","","","","","","","","",✓,"","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2275196d-7b50127c Bio Sci South Unsorted Points,✓,"","","","","",@p:ubcv:r:2275196d-5505821a Bio Sci South Unsorted Points,"","","","",✓,"","","",2020-03-23T10:20:05-07:00 Los_Angeles,"","","",288,2018-12-20T12:35:08-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:09:16.05-07:00 Los_Angeles,"","","","","",Discharge Air Damper Close Cmd,"",BO5,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"","","","","","","","","","","","","","","","","",@p:ubcv:r:23e65d0e-e5404cf7 .+_DMP_CLOSE(_TL)?,"","","",VAV_4S_22_Dmp_Close_TL*,Los_Angeles,"","","","","","","",2020-04-08T18:54:53.736Z UTC
@p:ubcv:r:22750bea-c37117f6 Bio Sci South AHU-02 S_AHU_02_FIL,"",✓,"@p:ubcv:r:22738176-85fd0f7d BioSc S 068.0 BSc_S LVL_3, 4 AHU1_2 (570300)","","",✓,"","","",S_AHU_02_FIL,"","","","","","","","","@p:ubcv:r:22738176-85fd0f7d BioSc S 068.0 BSc_S LVL_3, 4 AHU1_2 (570300)","","","","","","","","","","","","","",✓,$equipRef $bmsName,"",✓,✓,"","","","","","Off,On","",@p:ubcv:r:22750985-4599523c Bio Sci South AHU-02,✓,"","","",✓,"",@p:ubcv:r:2203b248-a931c717 Bio Sci South Air Systems,"","","","",✓,"","","",2020-02-27T10:22:37-08:00 Los_Angeles,"","","",78,2017-10-03T06:56:02-07:00 Los_Angeles,"","","","","",Bool,"",2020-04-08T11:37:14.569-07:00 Los_Angeles,"","","","",Discharge Air Filter Alarm,"",BI15,"","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:2065778c-a26bc90b Bio Sci South,"","","","","","","","","","","","","","","","","","","","","",TL15_S_AHU_02_FIL,Los_Angeles,"","","","","","","",2020-04-08T18:37:14.839Z UTC
