id,ahuMode,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bacnetWriteLevel,biowAHU1_2_3pumpVFD,biow_L2_SAV_FLW_SP,biow_L3_SAV_FLW_SP,biow_L4_SAV_FLW_SP,biow_SAV_HCV,bmsName,bypass,changeover,chilled,close,cmd,comp,condenser,connRef,cool,cooling,coolingTower,cur,curConvert,curStatus,curVal,custom,damper,delta,deltaTempPoint,demand,differential,disMacro,disabled,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,groupRef,heat,heatPump,heatRecovery,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,leaving,max,min,mixing,mode,modulating,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,point,pointType,power,pressure,primaryLoop,projectColin,pump,quantityID,rad,recovery,return,roomRef,run,runtime,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,stageDemanded,stageRequired,static,supply,tagTableRef,temp,test2019,testUnits,tlName,toTag,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:2273d733-19de302f Bio Sci West Rm 0204 FC-0W-01 FC_0W_01_RT_AV,"",✓,"",@p:ubcv:r:227398f5-9b9684a3 BioSc BSc_570501_FC_0W_01 (570501),"",TL1,✓,"","","","","","",FC_0W_01_RT_AV,"","","","","","","",@p:ubcv:r:227398f5-9b9684a3 BioSc BSc_570501_FC_0W_01 (570501),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:23c6645f-86cfad54 Bio Sci West Rm 0204 FC-0W-01,✓,"","","","","",@p:ubcv:r:23c6645e-6e2b07ee Bio Sci West Floor 0,"","","","",✓,"","","",2020-05-12T13:58:19-07:00 Los_Angeles,"","","",106521,2018-04-24T08:49:30-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:04:39.51-07:00 Los_Angeles,2019-01-23T16:53:24.173-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AV24,"","","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23c6645f-73045d54 Bio Sci West Rm 0204,"","",✓,"",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"","","","","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,"","",FC_0W_01_RT_TL,"",Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:20.474Z UTC
@p:ubcv:r:2274b7e4-ad5efb2d Bio Sci West Unsorted Points WEST_GEN_Max_KVA-Total,"","","",@p:ubcv:r:208a9267-6c485a48 BioSc 068.0 BioScience: Rm4334 (570000),"",TL18,✓,"","","","","","",WEST_GEN_Max_KVA-Total,"","","","","","","",@p:ubcv:r:208a9267-6c485a48 BioSc 068.0 BioScience: Rm4334 (570000),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22751992-06798fa3 Bio Sci West Unsorted Points,✓,"","","","","",@p:ubcv:r:22751992-023d2201 Bio Sci West Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",71672,2018-04-23T06:45:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:06:56.765-07:00 Los_Angeles,2018-11-28T16:32:49.478-08:00 Los_Angeles,"","","","","","",WEST_GEN_Max_KVA-Total,✓,AV54,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"","","","","","","","","","","","","",West_Gen_KVA_Total_TL,"",Los_Angeles,kVA,"","","","","","",2020-04-14T22:17:36.44Z UTC
@p:ubcv:r:2274bd23-9d87f2e2 Bio Sci West LEF-2 W_LEF_2_DSP,"",✓,"",@p:ubcv:r:223467d1-9513bea1 BioSc W 065.0 BSc_W LVL_5_WCLG_TWR_LEF_2_3 W_HTG_DP (570800),"",TL8,✓,"","","","","","",W_LEF_2_DSP,"","","","","","","",@p:ubcv:r:223467d1-9513bea1 BioSc W 065.0 BSc_W LVL_5_WCLG_TWR_LEF_2_3 W_HTG_DP (570800),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:227b86f1-fb90f431 Bio Sci West LEF-2,✓,✓,"","","","",@p:ubcv:r:22750c63-14a6e3b2 Bio Sci West Air Systems,"","","","",✓,"","",inH₂O => Pa,2020-05-06T04:30:00-07:00 Los_Angeles,"folio::HisWriteErr: Mismatched unit, rec unit 'inH₂O' != item unit 'Pa' [@p:ubcv:r:2274bd23-9d87f2e2 ""Bio Sci West LEF-2 W_LEF_2_DSP""]","","",65084,2018-04-22T06:00:00-07:00 Los_Angeles,fault,"","","","",Number,2020-05-12T12:37:47.878-07:00 Los_Angeles,2019-01-23T16:53:17.956-08:00 Los_Angeles,"","","","","","",Exhaust Air Duct Pressure,"",AI2101,"","","","","","","",✓,"","",✓,"","","","","","","","","","",✓,"",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"","","","","","","","","",@p:ubcv:r:245b6c70-6bc434ac .+_LEF_.+_DSP(_TL)?,"","","",CPP_W_LEF_2_DSP_TL,"",Los_Angeles,inH₂O,"","","","","","",2020-05-06T11:36:17.126Z UTC
@p:ubcv:r:2273dda0-8f9bd71b Bio Sci West Rm 2200 FC-2W-01 FC_2W_01_RT_SP,"",✓,"",@p:ubcv:r:227399b8-b54f0fd7 BioSc W BSc_570643_FC_2W_01 (570643),"",TL2,✓,"","","","","","",FC_2W_01_RT_SP,"","","","","","","",@p:ubcv:r:227399b8-b54f0fd7 BioSc W BSc_570643_FC_2W_01 (570643),"","","","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:23c671bd-d0073365 Bio Sci West Rm 2200 FC-2W-01,✓,"","","","","",@p:ubcv:r:232ee2f8-ec105af3 Bio Sci West Floor 2,"","","","",✓,"","","",2020-05-12T13:57:55-07:00 Los_Angeles,"","","",102860,2018-04-24T09:18:52-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:00:45.2-07:00 Los_Angeles,2019-01-23T16:53:02.832-08:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23c671bd-7f2077a5 Bio Sci West Rm 2200,"","","","",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"",✓,"","","","","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,"","",FC_2W_01_RT_SP_TL,"",Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:21.171Z UTC
@p:ubcv:r:2273dd1e-2d28a6ae Bio Sci West Lab 2244 VAV-2W-35 SAV_2W_35_OperationMode,"","","",@p:ubcv:r:227399b8-9bcc53b1 BioSc W BSc_570636_SAV_2W_35 STBH  LAB2244 CORR. ENTRY WASTE_RECYCL (570636),"",TL13,✓,"","","","","","",SAV_2W_35_OperationMode,"","","","","","","",@p:ubcv:r:227399b8-9bcc53b1 BioSc W BSc_570636_SAV_2W_35 STBH  LAB2244 CORR. ENTRY WASTE_RECYCL (570636),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Occupied,Standby,Unoccupied","",@p:ubcv:r:23c6627a-cf40cada Bio Sci West Lab 2244 VAV-2W-35,✓,"","","","","",@p:ubcv:r:232ee2f8-ec105af3 Bio Sci West Floor 2,"","","","",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T11:01:06-07:00 Los_Angeles,"","","",5285,2018-04-15T22:51:30-07:00 Los_Angeles,ok,"","","","",Str,2020-05-12T14:02:14.708-07:00 Los_Angeles,2019-01-23T16:53:20.108-08:00 Los_Angeles,"","","","",✓,"",Operation Mode,"",MSV3,"","","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23c65d11-4d82a645 Bio Sci West Lab 2244,"","","","",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"",✓,"","","","","","","",@p:ubcv:r:254a170a-20a4f0b2 .+_OperationMode(_TL)?,"","","",SAV_2W_35_OperationMode_TL,"",Los_Angeles,"","","",✓,"","","",2020-04-08T18:53:40.36Z UTC
@p:ubcv:r:23c133b3-1774ef64 Bio Sci West Unsorted Points RM3203_RADV_1,"","","",@p:ubcv:r:22739a58-cc57ccf1 BioSc W BSc_570743_FC_3W_04 RM3204A STATICP (570743),"",TL7,✓,"","","","","","",RM3203_RADV_1,"","","","","","","",@p:ubcv:r:22739a58-cc57ccf1 BioSc W BSc_570743_FC_3W_04 RM3204A STATICP (570743),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22751992-06798fa3 Bio Sci West Unsorted Points,✓,"","","","","",@p:ubcv:r:22751992-023d2201 Bio Sci West Unsorted Points,"","","","",✓,"","","",2020-05-12T14:06:49-07:00 Los_Angeles,"","","",71218,2019-01-02T03:45:26-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:07:00.49-07:00 Los_Angeles,"","","","","","","",RM3203_RADV_1,✓,AO5,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"","","","","","","","","","","","","",RM3203_RADV_1_TL,"",Los_Angeles,%,"","","","","","",2020-04-09T19:02:21.696Z UTC
@p:ubcv:r:23c12845-3cbecd3a Bio Sci West Unsorted Points DEHUM_1W_04_RH_SP,"",✓,"",@p:ubcv:r:227398f5-d6bbb0f8 BioSc W BSc_570544_FC_1W_06A_DEHUM_RM1248** (570544),"",TL37,✓,"","","","","","",DEHUM_1W_04_RH_SP,"","","","","","","",@p:ubcv:r:227398f5-d6bbb0f8 BioSc W BSc_570544_FC_1W_06A_DEHUM_RM1248** (570544),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22751992-06798fa3 Bio Sci West Unsorted Points,✓,"","","","","",@p:ubcv:r:22751992-023d2201 Bio Sci West Unsorted Points,"","","","",✓,"","","",2020-05-12T14:06:19-07:00 Los_Angeles,"","","",70680,2019-01-02T19:44:28-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:09:16.222-07:00 Los_Angeles,2019-01-23T16:52:56.173-08:00 Los_Angeles,"","","","","","",Zone Relative Humidity Sp,"",AV95,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"",✓,"","","","","","","",@p:ubcv:r:23e65d0f-21ed9a49 .+_RH_SP(_TL)?,"","","",DEHUM_1W_04_RH_SP_POLL_TL,"",Los_Angeles,%,"","","","","",✓,2020-04-09T19:02:20.743Z UTC
@p:ubcv:r:263d72ab-7770e2fe Bio Sci West Unsorted Points 1ST_FLR_VAV_RT_AVG,"","","",@p:ubcv:r:21cb1685-3d6449b7 BioSc W 065.0 BSc_W LVL_1_WWHP_SHEX_MM (570500),"",TL62,"","","","","","","",1ST_FLR_VAV_RT_AVG,"","","","","","","",@p:ubcv:r:21cb1685-3d6449b7 BioSc W 065.0 BSc_W LVL_1_WWHP_SHEX_MM (570500),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22751992-06798fa3 Bio Sci West Unsorted Points,✓,"","","","","",@p:ubcv:r:22751992-023d2201 Bio Sci West Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",1391,2020-04-28T02:30:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:00:43.424-07:00 Los_Angeles,"","","","","","","",1ST_FLR_VAV_RT_AVG,"",AV26,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"","","","","","","","","","","","","",1ST_FLR_VAV_RT_AVG_TL,✓,Los_Angeles,°C,"","","","","","",2020-04-30T11:27:39.033Z UTC
@p:ubcv:r:22ff5b4f-855fcd3a Bio Sci West Rm 1239 FC-1W-01 FC_1W_01_RT_SP,"",✓,"",@p:ubcv:r:227398f5-0efb37d3 BioSc W BSc_570527_FC_1W_01 GAV1W27 DEHUM1W6** (570527),"",TL2,✓,"","","","","","",FC_1W_01_RT_SP,"","","","","","","",@p:ubcv:r:227398f5-0efb37d3 BioSc W BSc_570527_FC_1W_01 GAV1W27 DEHUM1W6** (570527),"","","","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:23c694d5-0ce2cc5e Bio Sci West Rm 1239 FC-1W-01,✓,"","","","","",@p:ubcv:r:23c6485a-2145c1e7 Bio Sci West Floor 1,"","","","",✓,"","","",2020-05-12T14:07:34-07:00 Los_Angeles,"","","",91935,2018-08-08T04:00:30-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:11:06.217-07:00 Los_Angeles,2019-01-23T16:53:07.673-08:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23c694d5-352658f1 Bio Sci West Rm 1239,"","","","",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"",✓,"","","","","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,"","",FC_1W_01_RT_SP_TL,"",Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:20.613Z UTC
@p:ubcv:r:2273d9ff-52d7db81 Bio Sci West AHU-01 W_AHU_01_DSP,"",✓,"",@p:ubcv:r:23070bd3-600f7eff BioSciW 065.0 BSc_W LVL_2_AHU1_2_3 (570600),"",TL7,✓,"","","","","","",W_AHU_01_DSP,"","","","","","","",@p:ubcv:r:23070bd3-600f7eff BioSciW 065.0 BSc_W LVL_2_AHU1_2_3 (570600),"","","","","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","",@p:ubcv:r:22750c63-0236755d Bio Sci West AHU-01,✓,"","","","","",@p:ubcv:r:22750c63-14a6e3b2 Bio Sci West Air Systems,"","","","",✓,"","","",2020-02-05T07:00:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [229] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",58408,2018-04-22T16:00:00-07:00 Los_Angeles,fault,"","","","",Number,2020-05-11T12:10:01.537-07:00 Los_Angeles,2019-01-23T16:53:18.796-08:00 Los_Angeles,"","","","","","",Discharge Air Static Pressure,"",AI7,"","","","","","","",✓,"","",✓,"","","","","","","","","","",✓,"",@p:ubcv:r:20939d4e-511e6e7b Bio Sci West,"","","","","","","",✓,"",@p:ubcv:r:2413228e-d67903e1 (.+_)?AHU_?\d+\w?(_\d+\w?)?_DSP(_AV)?(_TL)?,"","","",TL7_W_AHU_01_DSP,"",Los_Angeles,_,"","","","","","",2020-04-14T16:49:58.978Z UTC
