id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curErr,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
"@p:ubcv:r:21dff5d8-9f98d9c4 Buchanan A,B,C HW Main Meter Entering Water Temp",@p:ubcv:r:21cac5c9-95e6ec98 BUCH ABC DES Meter,AI9,"",✓,"",@p:ubcv:r:21cac5c9-95e6ec98 BUCH ABC DES Meter,"",✓,"","",ok,78.18000030517578°C,"","",$equipRef $navName,"","",✓,"@p:ubcv:r:209d19fe-c0d116ae Buchanan A,B,C HW Main Meter","","@p:ubcv:r:21697fca-1a5a02b6 Buchanan A,B,C Utilities",✓,0.5°C,10min,2020-05-12T14:20:00-07:00 Los_Angeles,"",consumption,160511,2018-01-03T12:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","","",✓,"","","","",✓,"@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C","","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.001Z UTC
"@p:ubcv:r:2481a02d-86cc4fdc Buchanan A,B,C Rm A102 Wifi Count","","","","",121.FLR1.AHU4-A102,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","","",0,"","",$siteRef $navName,"","","","","","@p:ubcv:r:23ac414a-5d272ec0 Buchanan A,B,C Wifi",✓,"","",2020-05-12T14:20:00-07:00 Los_Angeles,"",cov,83250,2019-05-29T12:55:00-07:00 Los_Angeles,"","","",Number,"",Rm A102 Wifi Count,✓,"","","",✓,"","","","",✓,"@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C","","","","",Los_Angeles,"","","","",✓,643,2020-02-26T18:09:22.327Z UTC
"@p:ubcv:r:21dff5db-b3b2e543 Buchanan A,B,C HW Main Meter Leaving Water Temp",@p:ubcv:r:21cac5c9-95e6ec98 BUCH ABC DES Meter,AI10,"",✓,"",@p:ubcv:r:21cac5c9-95e6ec98 BUCH ABC DES Meter,"",✓,"","",ok,49.06999969482422°C,"","",$equipRef $navName,"","","","@p:ubcv:r:209d19fe-c0d116ae Buchanan A,B,C HW Main Meter","","@p:ubcv:r:21697fca-1a5a02b6 Buchanan A,B,C Utilities",✓,0.5°C,10min,2020-05-12T14:20:00-07:00 Los_Angeles,"",consumption,281023,2018-01-03T12:20:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,"@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C","","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.002Z UTC
"@p:ubcv:r:263b7665-fa8ba3c6 Buchanan A,B,C Elec Main Meter Power","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"","",ok,50.6168327331543kW,"","",$equipRef $navName,✓,"","","@p:ubcv:r:209d19fe-a5c2c46c Buchanan A,B,C Elec Main Meter","","@p:ubcv:r:21697fca-1a5a02b6 Buchanan A,B,C Utilities",✓,5kW,15min,2020-05-12T14:19:14-07:00 Los_Angeles,"","",350804,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Buchanan_ABC_121.Elec_Power,✓,✓,"",✓,116,"",✓,"@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C",188,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.742Z UTC
"@p:ubcv:r:2481a02d-4ca188b2 Buchanan A,B,C Rm A201 Wifi Count","","","","",121.FLR2.AHU4-A201,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","","",0,"","",$siteRef $navName,"","","","","","@p:ubcv:r:23ac414a-5d272ec0 Buchanan A,B,C Wifi",✓,"","",2020-05-12T14:20:00-07:00 Los_Angeles,"",cov,87775,2019-05-29T12:55:00-07:00 Los_Angeles,"","","",Number,"",Rm A201 Wifi Count,✓,"","","",✓,"","","","",✓,"@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C","","","","",Los_Angeles,"","","","",✓,645,2020-02-26T18:09:22.139Z UTC
"@p:ubcv:r:24367d07-95dc722b Buchanan A,B,C Reliability","","","",✓,"","","",✓,"","","","","","",$siteRef $navName,"","","","","","",✓,"","","","","","","","","","",Bool,"",Reliability,"","","","",✓,"","","",✓,"","@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C","","","","",Los_Angeles,"","","","",✓,"",2020-02-03T19:32:36.693Z UTC
"@p:ubcv:r:2481a02d-67fef492 Buchanan A,B,C Rm B215 Wifi Count","","","","",121.FLR2.AHU1-B215,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","","",0,"","",$siteRef $navName,"","","","","","@p:ubcv:r:23ac414a-5d272ec0 Buchanan A,B,C Wifi",✓,"","",2020-05-12T14:20:00-07:00 Los_Angeles,"",cov,87784,2019-05-29T12:55:00-07:00 Los_Angeles,"","","",Number,"",Rm B215 Wifi Count,✓,"","","",✓,"","","","",✓,"@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C","","","","",Los_Angeles,"","","","",✓,650,2020-02-26T18:09:21.739Z UTC
"@p:ubcv:r:2388a048-55bf6800 Buchanan A,B,C HW Main Meter Water Delta Temp","","","","","","","","","","","","",✓,✓,$equipRef $navName,"","","","@p:ubcv:r:209d19fe-c0d116ae Buchanan A,B,C HW Main Meter","","@p:ubcv:r:21697fca-1a5a02b6 Buchanan A,B,C Utilities",✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","",✓,"","","","","","@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C","","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.003Z UTC
"@p:ubcv:r:209d19fe-da7b3947 Buchanan A,B,C HW Main Meter Energy",@p:ubcv:r:21cac5c9-95e6ec98 BUCH ABC DES Meter,AI1,"",✓,"",@p:ubcv:r:21cac5c9-95e6ec98 BUCH ABC DES Meter,"",✓,MWh => kWh,"",ok,3202429.931640625kWh,"","",$equipRef $navName,"",✓,"","@p:ubcv:r:209d19fe-c0d116ae Buchanan A,B,C HW Main Meter","","@p:ubcv:r:21697fca-1a5a02b6 Buchanan A,B,C Utilities",✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,138971,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","",✓,"","",10364,"",✓,"@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C",188,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,"","",2020-04-28T00:03:36.004Z UTC
"@p:ubcv:r:2481a02d-38f322c3 Buchanan A,B,C Rm B213 Wifi Count","","","","",121.FLR2.AHU1-B213,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","","",0,"","",$siteRef $navName,"","","","","","@p:ubcv:r:23ac414a-5d272ec0 Buchanan A,B,C Wifi",✓,"","",2020-05-12T14:20:00-07:00 Los_Angeles,"",cov,87752,2019-05-29T12:55:00-07:00 Los_Angeles,"","","",Number,"",Rm B213 Wifi Count,✓,"","","",✓,"","","","",✓,"@p:ubcv:r:209d19fe-b117fef7 Buchanan A,B,C","","","","",Los_Angeles,"","","","",✓,649,2020-02-26T18:09:21.796Z UTC
