id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,chiller,cmd,co2,condenser,connRef,cooling,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,max,mixed,mixing,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,proj_1830_3W2W,pump,quantityID,return,roomRef,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:257d5cc3-4663c5c9 Buchanan Tower Rm 0323 FC-03-028 JCL-NAE18/FCB-01.FEC-026.SF2-S,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002744,"",JCL-NAE18/FCB-01.FEC-026.SF2-S,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257da868-eaf33a75 Buchanan Tower Rm 0323 FC-03-028,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-04-23T09:29:27-07:00 Los_Angeles,"","","",397,2019-12-03T02:19:41-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:54.334-07:00 Los_Angeles,"","","","","","",Discharge Fan Run Status,"",BI3002743,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-767ec9c1 Buchanan Tower Rm 0323,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE18/FCB-01.FEC-026.SF2-S.Trend1,Los_Angeles,"","","","","","RM-0323 - FC-09-026, FC-03-027, FC-03-028.SF2-S","",2020-04-08T18:55:43.037Z UTC
@p:ubcv:r:238b479a-7df4ef0b Buchanan Tower Rm 10xx SAV-10-002 JCL-NAE15/FC-A.15A-VMA042.ZN-T,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007171,✓,JCL-NAE15/FC-A.15A-VMA042.ZN-T,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257dabc2-7679818f Buchanan Tower Rm 10xx SAV-10-002,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:55.091-07:00 Los_Angeles,2018-12-07T09:45:30.896-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3007169,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-644f6e33 Buchanan Tower Rm 10xx,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE15/FC-A.15A-VMA042.ZN-T.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-10xx - SAV-10-002.ZN-T,✓,2020-04-09T19:02:00.391Z UTC
@p:ubcv:r:238b4799-5f895135 Buchanan Tower Rm 09xx SAV-09-003 JCL-NAE15/FC-A.15A-VMA013.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006176,✓,JCL-NAE15/FC-A.15A-VMA013.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da866-8025c6d8 Buchanan Tower Rm 09xx SAV-09-003,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:55.107-07:00 Los_Angeles,2018-12-07T09:45:30.754-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3006175,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f3-600291d7 Buchanan Tower Rm 09xx,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-VMA013.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-09xx - SAV-09-003.ZN-SP,✓,2020-04-09T19:02:00.393Z UTC
@p:ubcv:r:238b47ce-589fecc2 Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC017.MAD-O,✓,"",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3001241,✓,JCL-NAE16/FCB.16B-FEC017.MAD-O,"","",✓,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",25574,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:48.287-07:00 Los_Angeles,2018-12-07T09:45:30.618-08:00 Los_Angeles,"","","",✓,"",Mixed Air Damper Cmd,"",AO3001240,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-7228537e .+(\.|-| )MAD-O,"","",JCL-NAE16/FCB.16B-FEC017.MAD-O.Trend1,Los_Angeles,%,"","","","",BUTO.REF SYS.MAD-O,"",2020-04-09T19:02:00.722Z UTC
@p:ubcv:r:238b479b-ef316014 Buchanan Tower Rm 1018 FC-10-018 JCL-NAE15/FC-A.15A-FEC054.SF-O,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007631,✓,JCL-NAE15/FC-A.15A-FEC054.SF-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257dabab-40126805 Buchanan Tower Rm 1018 FC-10-018,"",✓,"","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:55.114-07:00 Los_Angeles,2018-12-07T09:45:31.919-08:00 Los_Angeles,"","","","","",Discharge Fan Speed Cmd,"",AO3007630,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabab-d954abd4 Buchanan Tower Rm 1018,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","",✓,"","",@p:ubcv:r:23e65d3d-c41cb6bb .+(\.|-| )SF(\d+)?-O(.Trend\d)?,"","",JCL-NAE15/FC-A.15A-FEC054.SF-O.Trend1,Los_Angeles,%,"","","","",BUTO.RM-1018 - FC-10-018.SF-O,"",2020-04-09T19:02:00.394Z UTC
@p:ubcv:r:257d5e3a-80c46fb5 Buchanan Tower Rm 528 FC-05-28 JCL-NAE05/FCB-01.FEC-028.ZN-SP,✓,"",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3001606,"",JCL-NAE05/FCB-01.FEC-028.ZN-SP,"","","","","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257daac8-d13cc9e8 Buchanan Tower Rm 528 FC-05-28,"","","","","",@p:ubcv:r:257daac7-f3d4c5f0 Buchanan Tower Floor 5,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15260,2019-12-04T23:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:15:34.375-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3000432,"","","","",✓,"","","","","","","","",@p:ubcv:r:257daac8-6cf02405 Buchanan Tower Rm 528,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE05/FCB-01.FEC-028.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-05-28.ZN-SP,✓,2020-04-09T19:01:58.012Z UTC
@p:ubcv:r:257d5cc3-624e60d9 Buchanan Tower Rm 423 FC-04-23 JCL-NAE18/FCB-01.FEC-051.ZN-SP,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3004634,"",JCL-NAE18/FCB-01.FEC-051.ZN-SP,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da95f-99aea7e5 Buchanan Tower Rm 423 FC-04-23,"","","","","",@p:ubcv:r:257da7f4-cd1f41b4 Buchanan Tower Floor 4,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15270,2019-12-04T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.384-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3003918,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-9f9b2055 Buchanan Tower Rm 423,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE18/FCB-01.FEC-051.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-04-23.ZN-SP,✓,2020-04-09T19:02:00.941Z UTC
@p:ubcv:r:238b479a-27653fa4 Buchanan Tower Rm 1010 FC-10-010 JCL-NAE15/FC-A.15A-FEC044.HTG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007257,✓,JCL-NAE15/FC-A.15A-FEC044.HTG-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257dabc2-c137b68e Buchanan Tower Rm 1010 FC-10-010,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:55.129-07:00 Los_Angeles,2018-12-07T09:45:30.968-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3007256,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-40f8965e Buchanan Tower Rm 1010,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC044.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-1010 - FC-10-010.HTG-O,"",2020-04-09T19:02:00.396Z UTC
@p:ubcv:r:238b47ce-34e59cfa Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC017.SFH-C,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3001262,✓,JCL-NAE16/FCB.16B-FEC017.SFH-C,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-04-23T09:18:04-07:00 Los_Angeles,"","","",8,2018-12-17T15:08:14-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:47.844-07:00 Los_Angeles,2018-11-25T13:45:23.223-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC017.SFH-C,✓,BO3001261,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC017.SFH-C.Trend1,Los_Angeles,"","","","","",BUTO.REF SYS.SFH-C,"",2020-04-08T18:50:42.738Z UTC
@p:ubcv:r:238b479a-5227609a Buchanan Tower Rm 0922 FC-09-022 JCL-NAE15/FC-A.15A-FEC027.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006693,✓,JCL-NAE15/FC-A.15A-FEC027.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da866-8803e907 Buchanan Tower Rm 0922 FC-09-022,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:55.151-07:00 Los_Angeles,2018-12-07T09:45:31.59-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3006692,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-deec1ba9 Buchanan Tower Rm 0922,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-FEC027.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-0922 - FC-09-022.ZN-SP,✓,2020-04-09T19:02:00.399Z UTC
