id,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,enum,equipRef,esc,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tlName,toTag,tz,unit,unknown,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:2645c32a-443b0d87 CEME Unsorted Points BACx_LPHXV1S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL314,"","",BACx_LPHXV1S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.203-07:00 Los_Angeles,"",BACx_LPHXV1S,"",AV477,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_LPHXV1S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.248Z UTC
@p:ubcv:r:2645b453-e7977ce2 CEME Labs DES Connection CDHX1VS,@p:ubcv:r:2645b133-f4f4eb21 CEME CLAB01 (300100),"",TL102,"","",CDHX1VS,"",@p:ubcv:r:2645b133-f4f4eb21 CEME CLAB01 (300100),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645c20e-5f2f27b0 CEME Labs DES Connection,✓,"",@p:ubcv:r:2645c20e-1a0bc305 CEME Labs Air Systems,✓,"","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",686,2020-05-05T10:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:14:14.233-07:00 Los_Angeles,"",CDHX1VS,"",AI4,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",300100_TrendLog_102,✓,Los_Angeles,%,"","","","","","",2020-05-06T18:46:26.257Z UTC
@p:ubcv:r:261f61b3-89c3ea38 Thunderbird Park Unsorted Points IRA1WFUOC,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL159,"","",IRA1WFUOC,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","OFF,ON",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-06T15:15:20-07:00 Los_Angeles,"","",264,2020-01-06T08:37:06-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:24:18.981-07:00 Los_Angeles,"",IRA1WFUOC,✓,BV14,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_159,"",Los_Angeles,"",✓,"","","","","",2020-05-06T18:51:21.418Z UTC
@p:ubcv:r:263b7670-61be1779 CEME Elec Main Meter Power,"","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,113.18618774414062kW,"","",$equipRef $navName,✓,"","","",@p:ubcv:r:20966ced-f9f65722 CEME Elec Main Meter,"","",@p:ubcv:r:21697fca-cf4b94ab CEME Utilities,✓,5kW,15min,2020-05-12T14:25:43-07:00 Los_Angeles,"","",417096,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"","",Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_CEME_306.Elec_Power,✓,✓,"",✓,116,"",✓,@p:ubcv:r:20966ced-944d8cc5 CEME,60,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kW,"",✓,"","","","",2020-05-12T08:00:09.751Z UTC
@p:ubcv:r:261f61b2-1c439164 Thunderbird Park Unsorted Points ANA2WFCNT,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL131,"","",ANA2WFCNT,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-03-19T15:07:50-07:00 Los_Angeles,"","",278,2020-02-06T12:34:37-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.168-07:00 Los_Angeles,"",ANA2WFCNT,✓,AV331,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_131,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.169Z UTC
@p:ubcv:r:261f61b2-ec614f90 Thunderbird Park Unsorted Points ANWF_RTU1-5_L9,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL220,"","",ANWF_RTU1-5_L9,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:06-07:00 Los_Angeles,"","",1885,2020-04-03T07:01:46-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.187-07:00 Los_Angeles,"",ANWF_RTU1-5_L9,✓,AV392,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_220,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.19Z UTC
@p:ubcv:r:2645c32a-3ab193ec CEME Unsorted Points BACx_CEHX2VS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL256,"","",BACx_CEHX2VS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:17.822-07:00 Los_Angeles,"",BACx_CEHX2VS,"",AV419,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_CEHX2VS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.214Z UTC
@p:ubcv:r:2645c32a-656bb8f6 CEME Unsorted Points BACx_MDHX3V1S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL275,"","",BACx_MDHX3V1S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.215-07:00 Los_Angeles,"",BACx_MDHX3V1S,"",AV438,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_MDHX3V1S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.27Z UTC
@p:ubcv:r:261f61b3-4a133ae4 Thunderbird Park Unsorted Points IBA5WFCNT,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL86,"","",IBA5WFCNT,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T11:23:19-07:00 Los_Angeles,"","",290,2020-02-13T14:03:29-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.209-07:00 Los_Angeles,"",IBA5WFCNT,✓,AV289,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_86,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.34Z UTC
@p:ubcv:r:2645c32a-9b38ed6f CEME Unsorted Points BACx_LSDHXV2S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL299,"","",BACx_LSDHXV2S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.228-07:00 Los_Angeles,"",BACx_LSDHXV2S,"",AV462,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_LSDHXV2S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.251Z UTC
@p:ubcv:r:2645c32a-a9d5cdb3 CEME Unsorted Points BACx_GCHXV1S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL246,"","",BACx_GCHXV1S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:17.841-07:00 Los_Angeles,"",BACx_GCHXV1S,"",AV409,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_GCHXV1S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.234Z UTC
@p:ubcv:r:261f61b3-7b303c02 Thunderbird Park Unsorted Points PPHXDT,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL27,"","",PPHXDT,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3523,2020-04-05T21:45:05-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.224-07:00 Los_Angeles,"",PPHXDT,✓,AV17,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",PPHXDT.TL1,"",Los_Angeles,°C,✓,"","","","","",2020-05-06T18:51:21.4Z UTC
@p:ubcv:r:2645c32a-8122d295 CEME Unsorted Points BACx_BKHX1V2S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL319,"","",BACx_BKHX1V2S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.242-07:00 Los_Angeles,"",BACx_BKHX1V2S,"",AV482,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_BKHX1V2S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.208Z UTC
@p:ubcv:r:2645c32a-89953f21 CEME Unsorted Points BACx_HNHX2VS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL283,"","",BACx_HNHX2VS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.254-07:00 Los_Angeles,"",BACx_HNHX2VS,"",AV446,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_HNHX2VS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.239Z UTC
