id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bmsName2,bridgeName,bypass,chilled,cmd,co2,connRef,cool,cooling,count,covTest,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,dupOld,dupOld2,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,freq,groupRef,heat,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,max,min,mixed,mode,navName,noTagMatch,objectId,occ,occupancy,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointRef,pointType,power,preFilter,pressure,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,testPts,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,window,zone,mod
@p:ubcv:r:24d4e5b6-d85e205c CIRS Rm 2160 Zone CIRS_N2_WIN_OFFICE_8_WIN_S,"","","","",@p:ubcv:r:22581fde-50e2aefe CIRS Underfloor_Gridline_13/A_CP621001 (621001),"",TL56,"",✓,CIRS_N2_WIN_OFFICE_8_WIN_S,"","","","","","",@p:ubcv:r:22581fde-50e2aefe CIRS Underfloor_Gridline_13/A_CP621001 (621001),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Closed,Open","",@p:ubcv:r:24d5d2e9-e6d8230d CIRS Rm 2160 Zone,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-04-09T19:01:56-07:00 Los_Angeles,"","","",14,2019-08-28T09:31:09-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:09:06.978-07:00 Los_Angeles,"","","","","","",Window Status,"",BI3,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3f-5650c0d1 CIRS Rm 2160,"","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:24d5de60-df6447d0 .+_WIN(S(\d+)?)?_.+(_TL)?,"","","","",CIRS_N2_WIN_OFFICE_8_WIN_S_COV_TL,Los_Angeles,"","","","","","","",✓,"",2020-04-08T18:54:30.841Z UTC
@p:ubcv:r:24d4e750-56f41246 CIRS Unsorted Points Wireless_01937A7E_LastTimeSinceUpdate,"","","","",@p:ubcv:r:22581ed3-4e739813 CIRS Lvl_2_Calp_Rm_CP621107_MMok (621107),"",TL1,"",✓,Wireless_01937A7E_LastTimeSinceUpdate,"","","","","","",@p:ubcv:r:22581ed3-4e739813 CIRS Lvl_2_Calp_Rm_CP621107_MMok (621107),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:04:08-07:00 Los_Angeles,"","","",97117,2019-07-31T13:08:10-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:05:03.026-07:00 Los_Angeles,"","","","","","",Wireless_01937A7E_LastTimeSinceUpdate,✓,AV10106,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",Wireless_01937A7E_LastTimeSinceUpdate_TL,Los_Angeles,_,"","","","","","","","",2020-04-09T19:15:22.363Z UTC
@p:ubcv:r:22582423-74187fe5 CIRS Rm 3131 Zone CIRS_L3N_RAD_DL_SOLAR_2_RT_AV,"",✓,"","",@p:ubcv:r:22582046-5ef195dd CIRS Underfloor_girdline_13/b_CP12_CP621201 (621201),"",TL53,"",✓,CIRS_L3N_RAD_DL_SOLAR_2_RT_AV,"","","","","","",@p:ubcv:r:22582046-5ef195dd CIRS Underfloor_girdline_13/b_CP12_CP621201 (621201),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:24d5d2e9-7cd1e260 CIRS Rm 3131 Zone,✓,"","","","","","",@p:ubcv:r:225ffb3d-60e6d2c7 CIRS Floor 3,"","","",✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","","",73735,2018-04-03T03:45:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:13:05.038-07:00 Los_Angeles,2019-01-23T16:53:07.849-08:00 Los_Angeles,"","","","","",Zone Temp,"",AV10334,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb40-2d435565 CIRS Rm 3131,"","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"","",CIRS_L3N_RAD_DL_SOLAR_2_RT_TL,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:28.479Z UTC
@p:ubcv:r:2258237b-d756bbd8 CIRS Air HP-3 CIRS_HPUMP_3_BOM_RM1342_HTG_SP,"","","","",@p:ubcv:r:22581e1f-587beac8 CIRS L362_enocean_CP620701 (620701),"",TL14,"",✓,CIRS_HPUMP_3_BOM_RM1342_HTG_SP,"","","","","","",@p:ubcv:r:22581e1f-587beac8 CIRS L362_enocean_CP620701 (620701),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:225feca1-7f7eaac4 CIRS Air HP-3,✓,"","","","","","",@p:ubcv:r:225fec25-18138bcf CIRS Air Systems,"","","",✓,"","","",2020-05-12T11:01:01-07:00 Los_Angeles,"","","",74073,2018-04-01T16:46:17-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:02:00.79-07:00 Los_Angeles,2018-11-28T16:32:52.989-08:00 Los_Angeles,"","","","","",CIRS_HPUMP_3_BOM_RM1342_HTG_SP,✓,AV2,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_HPUMP_3_BOM_RM1342_HTG_SP_POLL_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:27.983Z UTC
@p:ubcv:r:2258235b-1c731d11 CIRS stair 3 FF-03 CIRS_FF03_STAIR_3_T,"",✓,"","",@p:ubcv:r:2258187b-4cba3548 CIRS CIRS_BSMT_MECH_AHU2_UH6_FF3_CP620200 (620200),"",TL20,"",✓,CIRS_FF03_STAIR_3_T,"","","","","","",@p:ubcv:r:2258187b-4cba3548 CIRS CIRS_BSMT_MECH_AHU2_UH6_FF3_CP620200 (620200),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:225ffb3d-c4bb7a89 CIRS stair 3 FF-03,✓,"","","","","","",@p:ubcv:r:225ffb3d-576eaa97 CIRS Basement,"","","",✓,"","","",2020-05-12T11:01:19-07:00 Los_Angeles,"","","",73984,2018-04-02T14:34:21-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:05:25.112-07:00 Los_Angeles,2019-01-23T16:52:51.424-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI1603,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3d-0f00e5d4 CIRS stair 3,"","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:23e65d0f-44f30bbc .+_STAIR_\d_T(_TL)?,"",✓,"","",CIRS_FF03_STAIR_3_T_POLL_TL,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:27.44Z UTC
@p:ubcv:r:225824df-05a2774b CIRS Unsorted Points CIRS_BLENDING_TANK2_OFF_TIME_SP,"","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"",TL92,"",✓,CIRS_BLENDING_TANK2_OFF_TIME_SP,"","","","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:19-07:00 Los_Angeles,"","","",74073,2018-04-01T17:53:42-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:58.511-07:00 Los_Angeles,2018-11-28T16:32:55.86-08:00 Los_Angeles,"","","","","",CIRS_BLENDING_TANK2_OFF_TIME_SP,✓,AV6,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_BLENDING_TANK2_OFF_TIME_SP_POLL_TL,Los_Angeles,min,"","","","","","","","",2020-04-09T19:02:28.044Z UTC
@p:ubcv:r:22582358-f6b453bc CIRS Unsorted Points CIRS_EOS_MUA_PRE_HWS_HI_SIDE_HL_P4_S_BV,"","","","",@p:ubcv:r:22581905-2113e091 CIRS Basement_Mech_Room_SP4_SP5_CP620400 (620400),"",TL71,"",✓,CIRS_EOS_MUA_PRE_HWS_HI_SIDE_HL_P4_S_BV,"","","","","","",@p:ubcv:r:22581905-2113e091 CIRS Basement_Mech_Room_SP4_SP5_CP620400 (620400),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","OFF,ON",P4,@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-09T19:35:59-07:00 Los_Angeles,"","","",1693,2018-03-01T17:05:07-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:05:28.161-07:00 Los_Angeles,2019-01-23T16:52:58.164-08:00 Los_Angeles,"","","","","",CIRS_EOS_MUA_PRE_HWS_HI_SIDE_HL_P4_S_BV,✓,BV54,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_EOS_MUA_PRE_HWS_HI_SIDE_HL_P4_S_BV_COV_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:54:40.875Z UTC
@p:ubcv:r:22582358-04705515 CIRS Heating Plant P-1 CIRS_HWS_HL_P1_VFD_ENAB_BV,"","","","",@p:ubcv:r:22581905-2113e091 CIRS Basement_Mech_Room_SP4_SP5_CP620400 (620400),"",TL63,"",✓,CIRS_HWS_HL_P1_VFD_ENAB_BV,"","","","",✓,"",@p:ubcv:r:22581905-2113e091 CIRS Basement_Mech_Room_SP4_SP5_CP620400 (620400),"","","","","","","","","","",$equipRef $bmsName,"","","","","","",✓,"","","OFF,ON","",@p:ubcv:r:22615061-a3c1f858 CIRS Heating Plant P-1,✓,"","","","","","",@p:ubcv:r:225ff10c-3a1bb8cb CIRS Hydronic Systems,"","","",✓,"","","",2020-05-12T09:58:28-07:00 Los_Angeles,"","","",1199,2017-10-12T07:49:32-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:05:28.344-07:00 Los_Angeles,2019-01-23T16:53:12.369-08:00 Los_Angeles,"","","","","",Enable Cmd,"",BV47,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:25f55206-e97a42dc .+_ENAB_BV(_TL)?,"","","","",CIRS_HWS_HL_P1_VFD_ENAB_BV_COV_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:54:21.213Z UTC
@p:ubcv:r:225824c6-b5acdcc3 CIRS Rm 3147 Zone CIRS_L3N_RAD_DL_SLR_SIM_3_RT_AV,"",✓,"","",@p:ubcv:r:22582046-db2973dd CIRS Underfloor_gridline_13A_CP621205 (621205),"",TL29,"",✓,CIRS_L3N_RAD_DL_SLR_SIM_3_RT_AV,"","","","","","",@p:ubcv:r:22582046-db2973dd CIRS Underfloor_gridline_13A_CP621205 (621205),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:24d5d2ea-0fcb5b3e CIRS Rm 3147 Zone,✓,"","","","","","",@p:ubcv:r:225ffb3d-60e6d2c7 CIRS Floor 3,"","","",✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","","",73398,2018-04-03T04:15:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:10:32.438-07:00 Los_Angeles,2019-01-23T16:53:12.581-08:00 Los_Angeles,"","","","","",Zone Temp,"",AV1,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb40-ceaa9ca1 CIRS Rm 3147,"","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"","",CIRS_L3N_RAD_DL_SLR_SIM_3_RT_TL,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:28.545Z UTC
@p:ubcv:r:225824de-b4bcdb1b CIRS Rm B1202 UH-06 CIRS_UH06_FAN_C_COV_TL,"","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"",TL110,"",✓,CIRS_UH06_FAN_C_COV_TL,"","","","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"","","",✓,"","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:225ffb3e-811536c1 CIRS Rm B1202 UH-06,✓,"","","","","","",@p:ubcv:r:225ffb3d-576eaa97 CIRS Basement,"","","",✓,"","","","","","",cov,"","",ok,"","","",Bool,2020-05-12T11:04:58.522-07:00 Los_Angeles,2019-01-23T16:53:18.68-08:00 Los_Angeles,"","","","","",CIRS_UH06_FAN_C_COV_TL,✓,BO1201,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3e-aa6b0ec9 CIRS Rm B1202,"","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","","",Los_Angeles,"","","","","","","","","",2020-04-08T18:49:14.147Z UTC
