id,air,apparent,bacnetConnRef,bacnetCur,bacnetPoint,co,co2,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,efficiency,elec,energy,entering,equipRef,exhaust,flow,gas,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,nox,o2,opcConnRef,opcCur,opcPoint,point,pointType,power,pressure,primaryLoop,pump,quantityID,real,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:25854150-9d32e417 Campus Energy Centre Boiler B-3 Exhaust NOx,✓,"","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,20ppm,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2ppm,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",16827,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust NOx,✓,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Exhaust_NOX_Lvl,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,ppm,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25af7421-ffbd80f2 Campus Energy Centre Process System Energy,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,432021.21875MWh,"","",$equipRef $navName,"","",✓,"",@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",10952,2020-01-13T10:45:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.CEC_Total_Heat_Delivered,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MWh,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:263b6ae8-1d166fb4 Campus Energy Centre Feeder 12F26 Real Power,"","","","","","","","",✓,"",ok,0kW,"","",$equipRef $navName,"","","","",@p:ubcv:r:263b6ae8-3547b69d Campus Energy Centre Feeder 12F26,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,14.5416289126579kW,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",12153,2020-04-28T15:45:00-07:00 Los_Angeles,ok,"","",Number,"",Real Power,"","",@p:ubcv:r:26349586-6a57daa8 Substation KepServer,ns=2;s=Utilities.UNY Substation.UNY_Feeder_12F26.kW tot,✓,✓,"",✓,"","","","",✓,✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kW,"","",2020-05-12T08:00:09.759Z UTC
@p:ubcv:r:25a657ae-cac0673f Campus Energy Centre Process System P-101 Status,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,false,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,✓,"",2020-05-08T12:54:19-07:00 Los_Angeles,"","",79,2020-01-06T12:51:31-08:00 Los_Angeles,ok,"","",Bool,"",P-101 Status,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.P_101_Status,✓,✓,"","","","",✓,"","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:2639df35-1ddb240b Campus Energy Centre Feeder 60L57 Real Power,"","","","","","","","",✓,"",ok,10479.982421875kW,"","",$equipRef $navName,"","","","",@p:ubcv:r:2639df1e-594cded1 Campus Energy Centre Feeder 60L57,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,71.42885422105883kW,15min,2020-05-12T14:24:52-07:00 Los_Angeles,"","",10747,2020-04-28T15:12:48-07:00 Los_Angeles,ok,"","",Number,"",Real Power,"","",@p:ubcv:r:26349586-6a57daa8 Substation KepServer,ns=2;s=Utilities.UNY Substation.UNY_Feeder_60L57_1.kW tot,✓,✓,"",✓,"","","","",✓,✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kW,"","",2020-05-12T08:00:09.762Z UTC
@p:ubcv:r:2639dea1-87414f99 Campus Energy Centre Feeder 60L56 Real Power,"","","","","","","","",✓,"",ok,11044.833984375kW,"","",$equipRef $navName,"","","","",@p:ubcv:r:2639de17-51150094 Campus Energy Centre Feeder 60L56,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,79.0992644352083kW,15min,2020-05-12T14:24:52-07:00 Los_Angeles,"","",10834,2020-04-28T15:15:00-07:00 Los_Angeles,ok,"","",Number,"",Real Power,"","",@p:ubcv:r:26349586-6a57daa8 Substation KepServer,ns=2;s=Utilities.UNY Substation.UNY_Feeder_60L56_1.kW tot,✓,✓,"",✓,"","","","",✓,✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kW,"","",2020-05-12T08:00:09.758Z UTC
@p:ubcv:r:25a65b6e-394ad43c Campus Energy Centre Process System CEC Entering Temp,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,65.5999984741211°C,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",16824,2020-01-06T13:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",CEC Entering Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.CEC_Entering_Temp,✓,✓,"","","",✓,"","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a65484-bf0dbee3 Campus Energy Centre Process System CEC Entering Pressure,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,244.3389434814453kPa,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,10kPa,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",13922,2020-01-06T12:30:00-08:00 Los_Angeles,ok,"","",Number,"",CEC Entering Pressure,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.CEC_Entering_Pres,✓,✓,"","",✓,"","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kPa,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:2584382d-4b4d63a4 Campus Energy Centre Boiler B-1 Firing Rate,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0%,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",104754,2019-12-12T08:45:00-08:00 Los_Angeles,ok,"","",Number,"",Firing Rate,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Firing_Rate,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a65daf-e1595faa Campus Energy Centre Fuel Oil Fuel Level,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,347.2077331542969cm,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:25a65d43-b3395830 Campus Energy Centre Fuel Oil,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,5cm,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",11629,2020-01-06T13:15:00-08:00 Los_Angeles,ok,"","",Number,"",Fuel Level,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Fuel_Oil.Tank_Lvl,✓,✓,"","",✓,"","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,cm,"","",2020-03-17T20:57:47.078Z UTC
