id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,submeterAdd,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:264326ac-315b1fef Chan Centre Elec Submeters Elec Feed 1 Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,6.158123970031738kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:23d3911b-c6b4f85d Chan Centre Elec Submeters Elec Feed 1,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,5kW,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",332421,2010-12-31T16:00:00-08:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chan_130_1.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,103,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.766Z UTC
@p:ubcv:r:264326a8-c2ff3a5b Chan Centre Elec Submeters Elec Feed 1 Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,2814072kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:23d3911b-c6b4f85d Chan Centre Elec Submeters Elec Feed 1,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,328392,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chan_130_1.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,103,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:54.901Z UTC
@p:ubcv:r:20966efe-9ec0c37b Chan Centre Elec Main Meter Energy,"","","","","","","","","","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20966efe-e5d12b13 Chan Centre Elec Main Meter,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,"","","",virtualMeter,consumption,"","","",✓,"",Number,"",Energy,"","","",✓,"","","",✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,"","","","@p:ubcv:r:264326a8-c2ff3a5b, @p:ubcv:r:264326aa-75b99233","",Los_Angeles,kWh,✓,"","",2020-05-06T19:00:03.258Z UTC
@p:ubcv:r:20966efe-33f8e06c Chan Centre HW Main Meter Power,@p:ubcv:r:21cac68f-25a9c120 CHAN DES Meter,AI5,✓,@p:ubcv:r:21cac68f-25a9c120 CHAN DES Meter,✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20966efe-5be855da Chan Centre HW Main Meter,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,5kW,15min,2020-05-12T14:17:29-07:00 Los_Angeles,"","",563617,2016-05-10T15:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,"","","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.767Z UTC
@p:ubcv:r:21dffdad-4b26bef9 Chan Centre HW Main Meter Entering Water Temp,@p:ubcv:r:21cac68f-25a9c120 CHAN DES Meter,AI9,✓,@p:ubcv:r:21cac68f-25a9c120 CHAN DES Meter,✓,"",ok,75.62999725341797°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20966efe-5be855da Chan Centre HW Main Meter,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,0.5°C,10min,2020-05-12T14:24:25-07:00 Los_Angeles,"",consumption,178854,2018-01-03T13:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.353Z UTC
@p:ubcv:r:20966efe-794e8bf2 Chan Centre HW Main Meter Energy,@p:ubcv:r:21cac68f-25a9c120 CHAN DES Meter,AI1,✓,@p:ubcv:r:21cac68f-25a9c120 CHAN DES Meter,✓,MWh => kWh,ok,3485290.0390625kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20966efe-5be855da Chan Centre HW Main Meter,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,139471,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"","",10364,✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,301,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.354Z UTC
@p:ubcv:r:21dffdad-44542909 Chan Centre HW Main Meter Leaving Water Temp,@p:ubcv:r:21cac68f-25a9c120 CHAN DES Meter,AI10,✓,@p:ubcv:r:21cac68f-25a9c120 CHAN DES Meter,✓,"",ok,50.40999984741211°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20966efe-5be855da Chan Centre HW Main Meter,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,0.5°C,10min,2020-05-12T14:20:00-07:00 Los_Angeles,"",consumption,270219,2018-01-03T13:00:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.355Z UTC
@p:ubcv:r:20966efe-bdf922da Chan Centre Elec Main Meter Power,"","","","","","","","","","",$equipRef $navName,✓,"","",@p:ubcv:r:20966efe-e5d12b13 Chan Centre Elec Main Meter,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,"","","",virtualMeter,"","","","","","",Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,"","","","@p:ubcv:r:264326ac-315b1fef, @p:ubcv:r:264326ab-c312c5ba","",Los_Angeles,kW,✓,"","",2020-05-06T19:21:27.45Z UTC
@p:ubcv:r:263b7674-58a536e3 Chan Centre Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,58731.80078125m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20966efe-f1d73c3e Chan Centre Water Main Meter,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"",consumption,319753,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chan_130_1.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:20966efe-cb183e4a Chan Centre,103,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:54.905Z UTC
@p:ubcv:r:2388a048-a4b2917f Chan Centre HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20966efe-5be855da Chan Centre HW Main Meter,"",@p:ubcv:r:21697fca-ceb443ec Chan Centre Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","","",@p:ubcv:r:20966efe-cb183e4a Chan Centre,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.356Z UTC
