id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,chanGunnDeepDive,connRef,cur,curStatus,curVal,disMacro,disabled,discharge,elec,energy,enum,equipRef,frank,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,kind,lastSynced,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,shortName,siemens,siemensName,siteRef,sourceID,sqlConnRef,sqlPoint,tags,temp,tlName,tz,unit,utilityPoint,window,mod
@p:ubcv:r:24919005-cc8824c8 Chan Gunn Unsorted Points SMC_NATV-3-5_TOP_FAN_STS,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL215,✓,SMC_NATV-3-5_TOP_FAN_STS,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31916,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:07.706-07:00 Los_Angeles,"",SMC_NATV-3-5_TOP_FAN_STS,✓,BV22,"","","",✓,"","","","","",✓,SMC_NATV-3-5_TOP_FAN_STS,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_215,Los_Angeles,"","","",2020-02-12T22:11:41.469Z UTC
@p:ubcv:r:2426d2af-d096e717 Chan Gunn Unsorted Points SMC.301522:CTL TEMP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL800,✓,SMC.301522:CTL TEMP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11316,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:15.447-07:00 Los_Angeles,"",SMC.301522:CTL TEMP,✓,AO78,"","","",✓,"","","","","",✓,SMC.301522:CTL TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.955Z UTC
@p:ubcv:r:2426d1fd-cd21aac1 Chan Gunn Unsorted Points SMC.301519:FAN AMPS,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL747,✓,SMC.301519:FAN AMPS,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11316,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:15.417-07:00 Los_Angeles,"",SMC.301519:FAN AMPS,✓,AO1012,"","","",✓,"","","","","",✓,SMC.301519:FAN AMPS,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.954Z UTC
@p:ubcv:r:25a29cb2-1030a68a Chan Gunn Unsorted Points SMC.MF2.DEWPT.ALM,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL967,"",SMC.MF2.DEWPT.ALM,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","NORMAL,ALARM",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-11T16:55:04-07:00 Los_Angeles,"","",154,2019-12-30T08:43:21-08:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:16.14-07:00 Los_Angeles,"",SMC.MF2.DEWPT.ALM,✓,BV2,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_967,Los_Angeles,"","","",2020-02-12T22:12:57.007Z UTC
@p:ubcv:r:2426d188-856d6804 Chan Gunn Unsorted Points SMC.301517:ROOM TEMP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL723,✓,SMC.301517:ROOM TEMP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [95] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",11329,2019-03-20T19:15:01-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:01.657-07:00 Los_Angeles,"",SMC.301517:ROOM TEMP,✓,AI4,"","","",✓,"","","","","",✓,SMC.301517:ROOM TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.957Z UTC
@p:ubcv:r:2426d2af-95afa298 Chan Gunn Unsorted Points SMC.301522:DAY.NGT,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL802,✓,SMC.301522:DAY.NGT,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","DAY,NIGHT",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11332,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:15.464-07:00 Los_Angeles,"",SMC.301522:DAY.NGT,✓,BO29,"","","",✓,"","","","","",✓,SMC.301522:DAY.NGT,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:07.668Z UTC
@p:ubcv:r:24919005-f76654dd Chan Gunn Unsorted Points SMC_RAIN_WEST,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL246,✓,SMC_RAIN_WEST,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","NORMAL,ALARM",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31914,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:07.76-07:00 Los_Angeles,"",SMC_RAIN_WEST,✓,BV11,"","","",✓,"","","","","",✓,SMC_RAIN_WEST,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_246,Los_Angeles,"","","",2020-02-12T22:09:12.27Z UTC
@p:ubcv:r:25a29cb2-0d45bbb0 Chan Gunn Unsorted Points SMC.301544_H/C_PUMP_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1218,"",SMC.301544_H/C_PUMP_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.142-07:00 Los_Angeles,"",SMC.301544_H/C_PUMP_KWH,✓,AV42,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301544_H/C_PMP_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.946Z UTC
@p:ubcv:r:2422cc9f-b9645b0b Chan Gunn Unsorted Points SMC.301519:ROOM TEMP_TL_30,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL83,✓,SMC.301519:ROOM TEMP_TL_30,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","",19402,2019-03-15T15:30:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.163-07:00 Los_Angeles,"",SMC.301519:ROOM TEMP_TL_30,✓,"","","","",✓,"","","","","",✓,SMC.301519:ROOM TEMP_TL_30,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.959Z UTC
@p:ubcv:r:24194dbe-560ee73b Chan Gunn Unsorted Points SMC_PCHW_DP,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL108,✓,SMC_PCHW_DP,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:07:56-07:00 Los_Angeles,"","",373619,2019-03-13T11:21:47-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:11.333-07:00 Los_Angeles,"",SMC_PCHW_DP,✓,AI1,"","","",✓,"","","","","",✓,SMC_PCHW_DP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301615:Airflow_TL_COV,Los_Angeles,kPa,"","",2020-04-09T19:01:56.388Z UTC
