id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:24367d07-16ab0ddb Chem South Reliability,"","","",✓,"","","",✓,"","","","","",$siteRef $navName,"","","","","","",✓,"","","","","","","","","","",Bool,"",Reliability,"","","","",✓,"","","",✓,"",@p:ubcv:r:2093b572-db9edae9 Chem South,"","","","",Los_Angeles,"","","","",✓,"",2020-02-03T19:32:36.693Z UTC
@p:ubcv:r:21dffdad-b2807662 Chem South HW Main Meter Entering Water Temp,@p:ubcv:r:21cac9cc-850e7e33 CHEMS DES Meter,AI9,"",✓,"",@p:ubcv:r:21cac9cc-850e7e33 CHEMS DES Meter,"",✓,"",ok,78.5199966430664°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:2093b572-ee301743 Chem South HW Main Meter,"",@p:ubcv:r:21697fca-c9a216f0 Chem South Utilities,✓,0.5°C,10min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,169660,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:2093b572-db9edae9 Chem South,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.095Z UTC
@p:ubcv:r:23ac528e-000ff5dc Chem South Rm B250 Wifi Count,"","","","",132.FLR2.AHU1-B250,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","","",✓,"","",2020-05-12T14:30:04-07:00 Los_Angeles,"",cov,113750,2018-12-18T17:05:01-08:00 Los_Angeles,"","","",Number,"",Rm B250 Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:2093b572-db9edae9 Chem South,"","","","",Los_Angeles,"","","","",✓,202,2020-02-26T18:09:23.746Z UTC
@p:ubcv:r:23ac528e-fad11400 Chem South Rm B150 Wifi Count,"","","","",132.FLR1.AHU1-B150,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","","",✓,"","",2020-05-12T14:30:05-07:00 Los_Angeles,"",cov,117318,2018-12-18T16:50:01-08:00 Los_Angeles,"","","",Number,"",Rm B150 Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:2093b572-db9edae9 Chem South,"","","","",Los_Angeles,"","","","",✓,200,2020-02-26T18:09:23.748Z UTC
@p:ubcv:r:21dffdad-119f10f1 Chem South HW Main Meter Flow,@p:ubcv:r:21cac9cc-850e7e33 CHEMS DES Meter,AI4,"",✓,"",@p:ubcv:r:21cac9cc-850e7e33 CHEMS DES Meter,"",✓,m³/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:2093b572-ee301743 Chem South HW Main Meter,✓,@p:ubcv:r:21697fca-c9a216f0 Chem South Utilities,✓,0.25L/s,10min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,427599,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","","",✓,"","","","",✓,@p:ubcv:r:2093b572-db9edae9 Chem South,"","","","",Los_Angeles,L/s,✓,"",✓,"","",2020-04-28T00:03:36.096Z UTC
@p:ubcv:r:2388a048-1dadc978 Chem South HW Main Meter Water Delta Temp,"","","","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:2093b572-ee301743 Chem South HW Main Meter,"",@p:ubcv:r:21697fca-c9a216f0 Chem South Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","",✓,"","","","","",@p:ubcv:r:2093b572-db9edae9 Chem South,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.097Z UTC
@p:ubcv:r:263b7680-737227cc Chem South Elec Main Meter Energy,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,2275275kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:2093b572-bc72e2d6 Chem South Elec Main Meter,"",@p:ubcv:r:21697fca-c9a216f0 Chem South Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,319731,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chem_south_148.Elec_Energy,✓,✓,"","",10393,"",✓,@p:ubcv:r:2093b572-db9edae9 Chem South,168,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:54.945Z UTC
@p:ubcv:r:263b767f-89d76031 Chem South Elec Main Meter Power,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,73.85701751708984kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:2093b572-bc72e2d6 Chem South Elec Main Meter,"",@p:ubcv:r:21697fca-c9a216f0 Chem South Utilities,✓,5kW,15min,2020-05-12T14:30:00-07:00 Los_Angeles,"","",341090,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chem_south_148.Elec_Power,✓,✓,"",✓,116,"",✓,@p:ubcv:r:2093b572-db9edae9 Chem South,168,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.78Z UTC
@p:ubcv:r:21dffdad-6d84f4be Chem South HW Main Meter Leaving Water Temp,@p:ubcv:r:21cac9cc-850e7e33 CHEMS DES Meter,AI10,"",✓,"",@p:ubcv:r:21cac9cc-850e7e33 CHEMS DES Meter,"",✓,"",ok,47.66999816894531°C,"","",$equipRef $navName,"","","",@p:ubcv:r:2093b572-ee301743 Chem South HW Main Meter,"",@p:ubcv:r:21697fca-c9a216f0 Chem South Utilities,✓,0.5°C,10min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,556723,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:2093b572-db9edae9 Chem South,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.098Z UTC
@p:ubcv:r:263b767e-de9f8cb2 Chem South Water Main Meter Consumption,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,300846.59375m³,"","",$equipRef $navName,"","","",@p:ubcv:r:2093b572-57851762 Chem South Water Main Meter,"",@p:ubcv:r:21697fca-c9a216f0 Chem South Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,319731,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Chem_south_148.Water_Volume,✓,✓,"","",10394,"",✓,@p:ubcv:r:2093b572-db9edae9 Chem South,168,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:54.947Z UTC
