id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:24367d07-949749c6 David Lam Reliability,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",BV18,✓,"","","",✓,"","",true,"","",$siteRef $navName,"","","","","","",✓,"","",2020-05-12T14:31:09-07:00 Los_Angeles,"","",102437,2019-04-03T09:54:58-07:00 Los_Angeles,"","","",Bool,"",Reliability,"","","","",✓,"","","",✓,"",@p:ubcv:r:209d209e-acf92fa0 David Lam,"","","","",Los_Angeles,"","","","",✓,"",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:263b768a-a30c09f7 David Lam Water Main Meter Consumption,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,99.69999694824219m³,"","",$equipRef $navName,"","","",@p:ubcv:r:209d209e-7b2419f8 David Lam Water Main Meter,"",@p:ubcv:r:21697fca-f9ad4cb4 David Lam Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,319751,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_David_Lam_490.Water_Volume,✓,✓,"","",10394,"",✓,@p:ubcv:r:209d209e-acf92fa0 David Lam,78,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:54.993Z UTC
@p:ubcv:r:209d209e-006a4e8f David Lam HW Main Meter Power,@p:ubcv:r:24f6dd84-1c331f73 DLAM DES Meter,AI5,"",✓,"",@p:ubcv:r:24f6dd84-1c331f73 DLAM DES Meter,"",✓,"",ok,42kW,"","",$equipRef $navName,"","","",@p:ubcv:r:209d209e-4793e950 David Lam HW Main Meter,"",@p:ubcv:r:21697fca-f9ad4cb4 David Lam Utilities,✓,5kW,15min,2020-05-12T14:34:30-07:00 Los_Angeles,"","",365899,2016-05-05T14:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","",✓,"",✓,"","",✓,@p:ubcv:r:209d209e-acf92fa0 David Lam,"","","","",Los_Angeles,kW,✓,"",✓,"","",2020-05-12T08:00:09.786Z UTC
@p:ubcv:r:209d209e-c207a1ee David Lam HW Main Meter Energy,@p:ubcv:r:24f6dd84-1c331f73 DLAM DES Meter,AI1,"",✓,"",@p:ubcv:r:24f6dd84-1c331f73 DLAM DES Meter,"",✓,MWh => kWh,ok,5323959.9609375kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:209d209e-4793e950 David Lam HW Main Meter,"",@p:ubcv:r:21697fca-f9ad4cb4 David Lam Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,145221,2016-02-24T10:45:00-08:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","",✓,"","",10364,"",✓,@p:ubcv:r:209d209e-acf92fa0 David Lam,78,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,"","",2020-04-28T00:03:36.184Z UTC
@p:ubcv:r:21dffdad-dee5ce53 David Lam HW Main Meter Leaving Water Temp,@p:ubcv:r:24f6dd84-1c331f73 DLAM DES Meter,AI10,"",✓,"",@p:ubcv:r:24f6dd84-1c331f73 DLAM DES Meter,"",✓,"",ok,45.57999801635742°C,"","",$equipRef $navName,"","","",@p:ubcv:r:209d209e-4793e950 David Lam HW Main Meter,"",@p:ubcv:r:21697fca-f9ad4cb4 David Lam Utilities,✓,0.5°C,10min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,106897,2019-08-26T11:20:00-07:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:209d209e-acf92fa0 David Lam,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.185Z UTC
@p:ubcv:r:2388a048-dfd35c95 David Lam HW Main Meter Water Delta Temp,"","","","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:209d209e-4793e950 David Lam HW Main Meter,"",@p:ubcv:r:21697fca-f9ad4cb4 David Lam Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","",✓,"","","","","",@p:ubcv:r:209d209e-acf92fa0 David Lam,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.186Z UTC
@p:ubcv:r:242547dd-f813ff87 David Lam Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV354,✓,490.FLR1.AH4,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:242547dd-1eea0558 David Lam Wifi,✓,"","",2020-05-12T14:30:06-07:00 Los_Angeles,"",cov,90233,2019-03-20T11:50:07-07:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:209d209e-acf92fa0 David Lam,"","","","",Los_Angeles,"","","","",✓,442,2020-02-26T18:09:23.581Z UTC
@p:ubcv:r:263b768a-c7503531 David Lam Elec Main Meter Energy,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,5858594kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:209d209e-bf86891b David Lam Elec Main Meter,"",@p:ubcv:r:21697fca-f9ad4cb4 David Lam Utilities,✓,"",15min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,319751,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_David_Lam_490.Elec_Energy,✓,✓,"","",10393,"",✓,@p:ubcv:r:209d209e-acf92fa0 David Lam,78,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:54.997Z UTC
@p:ubcv:r:21dffdad-34e43037 David Lam HW Main Meter Entering Water Temp,@p:ubcv:r:24f6dd84-1c331f73 DLAM DES Meter,AI9,"",✓,"",@p:ubcv:r:24f6dd84-1c331f73 DLAM DES Meter,"",✓,"",ok,81.4000015258789°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:209d209e-4793e950 David Lam HW Main Meter,"",@p:ubcv:r:21697fca-f9ad4cb4 David Lam Utilities,✓,0.5°C,10min,2020-05-12T14:30:00-07:00 Los_Angeles,"",consumption,60861,2019-08-26T11:20:00-07:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:209d209e-acf92fa0 David Lam,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.187Z UTC
@p:ubcv:r:263b768b-fcb1b16d David Lam Elec Main Meter Power,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,97.60038757324219kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:209d209e-bf86891b David Lam Elec Main Meter,"",@p:ubcv:r:21697fca-f9ad4cb4 David Lam Utilities,✓,5kW,15min,2020-05-12T14:33:20-07:00 Los_Angeles,"","",413809,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_David_Lam_490.Elec_Power,✓,✓,"",✓,116,"",✓,@p:ubcv:r:209d209e-acf92fa0 David Lam,78,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.787Z UTC
