id,air,ancillaryImport,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,chilled,cmd,connRef,cooling,cur,curConvert,curStatus,curVal,damper,disMacro,discharge,domestic,effective,elec,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,gas,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,power,primaryLoop,pump,quantityID,run,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,unknownConn,utilityPoint,valve,water,zone,mod
@p:ubcv:r:247ec11a-50d439a2 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC010.OA Dew Point,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3002279,✓,JCL-NAE60/FC-A.01A-FEC010.OA Dew Point,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"",16851,2019-05-24T01:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.325-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC010.OA Dew Point,✓,AV3001776,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC010.OA Dew Point.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.656Z UTC
@p:ubcv:r:247ec11a-3e510430 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC026.RH-O,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001559,✓,JCL-NAE60/FC-A.01A-FEC026.RH-O,"",✓,@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"",32240,2019-05-26T20:45:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:28:57.327-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3001121,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-e0e662f6 .+(\.|-| )RH-O,"",JCL-NAE60/FC-A.01A-FEC026.RH-O.Trend1,Los_Angeles,%,"","",✓,✓,"",2020-04-09T19:02:17.657Z UTC
@p:ubcv:r:247ec11a-8e29556b Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC019.EF-S,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001536,✓,JCL-NAE60/FC-A.01A-FEC019.EF-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,✓,✓,"","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-01-14T21:40:35-08:00 Los_Angeles,"",13,2019-05-25T08:00:27-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.147-07:00 Los_Angeles,"","",Exhaust Fan Run Feedback,"",BI3000885,"","","",✓,"","","","",✓,✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC019.EF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.1Z UTC
@p:ubcv:r:247ec11a-bf8ec569 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC005.DHWPHST1-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000261,✓,JCL-NAE60/FC-A.01A-FEC005.DHWPHST1-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"",49124,2019-05-26T08:40:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.328-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC005.DHWPHST1-T,✓,AI3000064,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC005.DHWPHST1-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.658Z UTC
@p:ubcv:r:247ec11a-fb48ccce Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC017.F41-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000246,✓,JCL-NAE60/FC-A.01A-FEC017.F41-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T06:00:01-07:00 Los_Angeles,"",728,2019-05-22T23:30:06-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.276-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC017.F41-S,✓,BI3000111,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC017.F41-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:46.772Z UTC
@p:ubcv:r:247ec11a-aca3d930 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC017.F28-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000231,✓,JCL-NAE60/FC-A.01A-FEC017.F28-S,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T04:00:24-07:00 Los_Angeles,"",720,2019-05-22T23:30:06-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.274-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC017.F28-S,✓,BI3000112,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC017.F28-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:46.589Z UTC
@p:ubcv:r:247ec11a-854c13c6 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC029.CLG-O,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3002407,✓,JCL-NAE60/FC-A.01A-FEC029.CLG-O,✓,✓,@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),✓,"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"",8507,2019-05-22T09:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.294-07:00 Los_Angeles,"","",Cooling Valve Cmd,"",AV3002351,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"",JCL-NAE60/FC-A.01A-FEC029.CLG-O.Trend1,Los_Angeles,%,"","",✓,✓,"",2020-04-09T19:02:17.659Z UTC
@p:ubcv:r:247ec11a-ba856c09 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC028.CLG1-C,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3001525,✓,JCL-NAE60/FC-A.01A-FEC028.CLG1-C,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-03-27T09:37:02-07:00 Los_Angeles,"",18,2019-05-25T08:00:53-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.236-07:00 Los_Angeles,"","",JCL-NAE60/FC-A.01A-FEC028.CLG1-C,✓,BO3000894,"","","",✓,"","","","","","",@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","","","",JCL-NAE60/FC-A.01A-FEC028.CLG1-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:48.093Z UTC
@p:ubcv:r:247ec11a-4e15a499 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC022.ZN-T,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3000198,✓,JCL-NAE60/FC-A.01A-FEC022.ZN-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"",32136,2019-05-26T20:45:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.33-07:00 Los_Angeles,"","",Zone Temp,"",AI3000128,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE60/FC-A.01A-FEC022.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.66Z UTC
@p:ubcv:r:247ec11a-4bf8b119 Doug Mitchell Thunderbird Sports Centre Unsorted Points JCL-NAE60/FC-A.01A-FEC010.ZN-T,✓,"",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),TL3002277,✓,JCL-NAE60/FC-A.01A-FEC010.ZN-T,"","",@p:ubcv:r:247ebfb3-e8894340 THUN (NAE-60),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:247ec10e-4a8bdf33 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"","","","",@p:ubcv:r:247ec10e-246ec303 Doug Mitchell Thunderbird Sports Centre Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"",16844,2019-05-24T01:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.333-07:00 Los_Angeles,"","",Zone Temp,"",AV3001792,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b6ee-463bc771 Doug Mitchell Thunderbird Sports Centre,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE60/FC-A.01A-FEC010.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.661Z UTC
