id,ahu,air,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,base,bmsName,chilled,chiller,chller,cmd,co2,connRef,cool,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,demand,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,final,flow,groupRef,heat,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,leaving,lowLim,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,primarySide,pump,quantityID,return,roomRef,run,runtime,secondarySide,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23528b76-8a191946 EOS Rm 336 VAV-D03 VAV_D03_AirFlowSetpoint,"",✓,"",@p:ubcv:r:23528291-d1427b28 EOS EOS_VAV_D03_RM336_336A (600603),"",TL6,✓,"",VAV_D03_AirFlowSetpoint,"","","","","",@p:ubcv:r:23528291-d1427b28 EOS EOS_VAV_D03_RM336_336A (600603),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:237342e8-cbee1261 EOS Rm 336 VAV-D03,✓,"","","","","",✓,@p:ubcv:r:23733bef-fc506da6 EOS Floor 3,"","","",✓,"","","",2020-05-12T14:25:00-07:00 Los_Angeles,"","","",168051,2018-10-06T17:00:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:29:48.681-07:00 Los_Angeles,2019-04-29T09:00:54.178-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV830,"","","","","",✓,"","","","","","",@p:ubcv:r:237342e8-c54a8c62 EOS Rm 336,"","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"",✓,"","","","",@p:ubcv:r:23e65d0e-d9694e62 .+_AirFlowSetpoint(_TL)?,"","",VAV_D03_AirflowSetpointTL,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:24.105Z UTC
@p:ubcv:r:23737b5b-22f1182a EOS Rm 224 VAV-B12 VAV_B12_ActiveSpaceTempSetpoint,"",✓,"",@p:ubcv:r:2352823f-76facf37 EOS EOS_VAV_B12_RM224 (600412),"",TL2,✓,"",VAV_B12_ActiveSpaceTempSetpoint,"","","","","",@p:ubcv:r:2352823f-76facf37 EOS EOS_VAV_B12_RM224 (600412),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23908f12-bcda9e1e EOS Rm 224 VAV-B12,✓,"","","","","","",@p:ubcv:r:23733bf0-95b59567 EOS Floor 2,"","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",160871,2018-10-31T15:15:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:31:20.701-07:00 Los_Angeles,2019-01-23T16:52:59.199-08:00 Los_Angeles,"","","","",Zone Temp Occupied Sp,"",AV829,✓,"","","","",✓,"","","","","","",@p:ubcv:r:23908f12-a6aeec2e EOS Rm 224,"","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"",✓,"","","","",@p:ubcv:r:23e65d0f-fdae4a60 .+_ActiveSpaceTempSetpoint(_TL)?,✓,"",VAV_B12_ActiveSpaceTempSetpointTL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:23.921Z UTC
@p:ubcv:r:23737bb2-33351823 EOS Rm 309 VAV-C4 VAV_C04_AirFlowSetpoint,"",✓,"",@p:ubcv:r:23528261-7c25ea68 EOS EOS_VAV_C04_RM309 (600504),"",TL6,✓,"",VAV_C04_AirFlowSetpoint,"","","","","",@p:ubcv:r:23528261-7c25ea68 EOS EOS_VAV_C04_RM309 (600504),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23908f12-176b93ee EOS Rm 309 VAV-C4,✓,"","","","","",✓,@p:ubcv:r:23733bef-fc506da6 EOS Floor 3,"","","",✓,"","","",2020-01-08T08:50:00-08:00 Los_Angeles,"","","",124554,2018-11-01T13:45:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:31:58.46-07:00 Los_Angeles,2019-04-11T16:04:13.678-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV830,"","","","","",✓,"","","","","","",@p:ubcv:r:23908f12-e58528ae EOS Rm 309,"","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"",✓,"","","","",@p:ubcv:r:23e65d0e-d9694e62 .+_AirFlowSetpoint(_TL)?,"","",VAV_C04_AirflowSetpointTL,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:23.999Z UTC
@p:ubcv:r:23528792-862f9ad7 EOS Rm 12 VAV-F09 VAV_F09_ActiveSpaceTempSetpoint,"",✓,"",@p:ubcv:r:23528403-a8176365 EOS EOS_VAV_F09_RM121 (600809),"",TL2,✓,"",VAV_F09_ActiveSpaceTempSetpoint,"","","","","",@p:ubcv:r:23528403-a8176365 EOS EOS_VAV_F09_RM121 (600809),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23733bf3-73eb2054 EOS Rm 12 VAV-F09,✓,"","","","","","",@p:ubcv:r:23733bf0-c61c2cc2 EOS Floor 1,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","","",168076,2018-10-06T15:35:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:24:25.893-07:00 Los_Angeles,2019-01-23T16:53:21.831-08:00 Los_Angeles,"","","","",Zone Temp Occupied Sp,"",AV829,✓,"","","","",✓,"","","","","","",@p:ubcv:r:23733bf3-cbe66f26 EOS Rm 12,"","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"",✓,"","","","",@p:ubcv:r:23e65d0f-fdae4a60 .+_ActiveSpaceTempSetpoint(_TL)?,✓,"",VAV_F09_ActiveSpaceTempSetpointTL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:24.374Z UTC
@p:ubcv:r:23528a93-2c3dd885 EOS Rm 208D VAV-D08 VAV_D08_Heat1_Analog_AO1,"","","",@p:ubcv:r:23528291-c1d3d170 EOS EOS_VAV_D08_RM208D_224 (600608),"",TL4,✓,"",VAV_D08_Heat1_Analog_AO1,"","","",✓,"",@p:ubcv:r:23528291-c1d3d170 EOS EOS_VAV_D08_RM208D_224 (600608),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23733bf2-3278a6e5 EOS Rm 208D VAV-D08,✓,"","","","","","",@p:ubcv:r:23733bf0-95b59567 EOS Floor 2,"",✓,"",✓,"","","",2020-05-12T14:25:00-07:00 Los_Angeles,"","","",168055,2018-10-06T16:40:00-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:28:59.245-07:00 Los_Angeles,2019-01-23T16:53:12.578-08:00 Los_Angeles,"","","","",Heating Valve Cmd,"",AO1,"","","","","",✓,"","","","","","",@p:ubcv:r:23733bf2-6495177b EOS Rm 208D,"","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"","","","","","",@p:ubcv:r:23e65d0e-88c9222e .+_Heat\d_Analog(_.+)(_TL)?,"","",VAV_D08_DuctReHeatVlvTL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:24.14Z UTC
@p:ubcv:r:23528fa7-c79aec88 EOS AHU-01 EOS_AHU1_RT_SP,"",✓,"",@p:ubcv:r:23527793-0582d8c5 EOS EOS AHU1 (600100),"",TL24,✓,"",EOS_AHU1_RT_SP,"","","","","",@p:ubcv:r:23527793-0582d8c5 EOS EOS AHU1 (600100),"","","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:239086e0-bef19e55 EOS AHU-01,✓,"","","","","","",@p:ubcv:r:2203b248-66f97c58 EOS Air Systems,"","","",✓,"","","",2020-05-12T14:29:22-07:00 Los_Angeles,"","","",405761,2018-10-11T10:31:32-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:29:38.843-07:00 Los_Angeles,2019-01-23T16:52:57.732-08:00 Los_Angeles,"","","","",Zone Temp Effective Sp,"",AV7,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,"",EOS_AHU1_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:23.558Z UTC
@p:ubcv:r:23528567-47231676 EOS Rm 113 VAV-E11 VAV_E11_AirFlowSetpoint,"",✓,"",@p:ubcv:r:235283a9-aac6ffc4 EOS EOS_VAV_E11_RM113_113A (600711),"",TL6,✓,"",VAV_E11_AirFlowSetpoint,"","","","","",@p:ubcv:r:235283a9-aac6ffc4 EOS EOS_VAV_E11_RM113_113A (600711),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:237342e8-239c764b EOS Rm 113 VAV-E11,✓,"","","","","",✓,@p:ubcv:r:23733bf0-c61c2cc2 EOS Floor 1,"","","",✓,"","","",2020-05-12T14:25:00-07:00 Los_Angeles,"","","",168080,2018-10-06T15:20:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:25:08.083-07:00 Los_Angeles,2019-04-11T16:04:14.058-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV830,"","","","","",✓,"","","","","","",@p:ubcv:r:23733bf3-130f7446 EOS Rm 113,"","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"",✓,"","","","",@p:ubcv:r:23e65d0e-d9694e62 .+_AirFlowSetpoint(_TL)?,"","",VAV_E11_AirflowSetpointTL,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:24.281Z UTC
@p:ubcv:r:235285a8-62b7b8dd EOS Rm 21 VAV-F05 VAV_F05_AirFlowSetpoint,"",✓,"",@p:ubcv:r:23528403-47195c71 EOS EOS_VAV_F05_RM219 (600805),"",TL6,✓,"",VAV_F05_AirFlowSetpoint,"","","","","",@p:ubcv:r:23528403-47195c71 EOS EOS_VAV_F05_RM219 (600805),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23733bf3-dfc5c48a EOS Rm 21 VAV-F05,✓,"","","","","",✓,@p:ubcv:r:23733bf0-95b59567 EOS Floor 2,"","","",✓,"","","",2020-05-12T14:25:00-07:00 Los_Angeles,"","","",168080,2018-10-06T15:20:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:25:07.943-07:00 Los_Angeles,2019-04-11T16:04:14.023-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV830,"","","","","",✓,"","","","","","",@p:ubcv:r:23733bf1-54dc68a5 EOS Rm 21,"","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"",✓,"","","","",@p:ubcv:r:23e65d0e-d9694e62 .+_AirFlowSetpoint(_TL)?,"","",VAV_F05_AirflowSetpointTL,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:24.346Z UTC
@p:ubcv:r:23528a6c-be893249 EOS Heating Plant DHX-02 EOS_HX2_PRIMARY_VLV_DEMAND,"","","",@p:ubcv:r:23527793-5f8b06ab EOS EOS_HWS_DHW_CP600200 (600200),"",TL11,✓,"",EOS_HX2_PRIMARY_VLV_DEMAND,"","","","","",@p:ubcv:r:23527793-5f8b06ab EOS EOS_HWS_DHW_CP600200 (600200),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23739f01-8aac8590 EOS Heating Plant DHX-02,✓,"","","","","","",@p:ubcv:r:21dff50a-8a82cfce EOS Hydronic Systems,"","","",✓,"","","",2020-05-12T14:18:36-07:00 Los_Angeles,"","","",1310081,2018-10-11T15:57:25-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:30:27.778-07:00 Los_Angeles,2018-11-29T09:12:55.561-08:00 Los_Angeles,"","","","",EOS_HX2_PRIMARY_VLV_DEMAND,✓,AV1014,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:209d2507-96901ab0 EOS,"","","","","","","","","",EOS_HX2_PRIMARY_VLV_DEMAND_TL,Los_Angeles,%,"","","","","",2020-04-09T19:02:23.63Z UTC
@p:ubcv:r:23528ef4-95330ee2 EOS Rm 113A VAV-E10 VAV_E10_SpaceTemp_AI1001,"",✓,"",@p:ubcv:r:235283a9-311e535d EOS EOS_VAV_E10_RM113A_113F (600710),"",TL1,✓,"",VAV_E10_SpaceTemp_AI1001,"","","","","",@p:ubcv:r:235283a9-311e535d EOS EOS_VAV_E10_RM113A_113F (600710),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23733bf3-1bf7802b EOS Rm 113A VAV-E10,✓,"","","","","","",@p:ubcv:r:23733bf0-c61c2cc2 EOS Floor 1,"","","",✓,"","","",2020-05-12T14:25:00-07:00 Los_Angeles,"","","",168072,2018-10-06T16:00:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:28:28.393-07:00 Los_Angeles,2019-01-23T16:52:59.362-08:00 Los_Angeles,"","","","",Zone Temp,"",AI1001,"","","","","",✓,"","","","","","",@p:ubcv:r:23733bf3-1dd3c37a EOS Rm 113A,"","","",✓,@p:ubcv:r:209d2507-96901ab0 EOS,"","","","","","",@p:ubcv:r:23e65d0f-54696367 .+_SpaceTemp(_.+)?(_TL)?,✓,"",VAV_E10_SpaceTempTL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:24.273Z UTC
