id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,cmd,co2,command,connRef,cooling,count,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,linked,load,low,mixed,mixing,mode,navName,noMatch,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,primaryLoop,pump,quantityID,reliability,return,reversing,roomRef,run,runtime,scheduleOcc,secondaryLoop,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,subEquipRef,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,waterMeterLoad,wifi,wifiId,zachName,zone,zones,mod
@p:ubcv:r:220b975e-3c9faa7e Friedman Rm 412 VAV 1-4-05 JCL-NAE24/FCB-01.VMA-047.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009855,"",✓,JCL-NAE24/FCB-01.VMA-047.SAFLOW-SP,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-145d425a Friedman Rm 412 VAV 1-4-05,"","",✓,@p:ubcv:r:220b8ce4-f3738769 Friedman Floor 4,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82544,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.356-07:00 Los_Angeles,2019-04-11T16:04:13.821-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow Sp,"","",AV3007985,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-36f026b6 Friedman Rm 412,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE24/FCB-01.VMA-047.SAFLOW-SP.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-4-05.SAFLOW-SP,"","",2020-04-09T19:02:03.774Z UTC
@p:ubcv:r:220b975d-ebe1ff52 Friedman Rm 143 VAV 1-1-06 JCL-NAE24/FCB-01.VMA-016.RM-143a HTG-O,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008898,"",✓,JCL-NAE24/FCB-01.VMA-016.RM-143a HTG-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-30b0b0de Friedman Rm 143 VAV 1-1-06,"","","",@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,✓,✓,✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82486,2018-02-06T00:00:00-08:00 Los_Angeles,ok,"",✓,✓,✓,Number,2020-05-12T14:43:38.359-07:00 Los_Angeles,2018-12-07T09:45:30.554-08:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"","",AO3007782,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-e2ca9afb Friedman Rm 143,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE24/FCB-01.VMA-016.RM-143a HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,@p:ubcv:r:2094e280-f218ba9d Friedman HW Main Meter,"","","","","",2020-04-14T16:49:59.505Z UTC
@p:ubcv:r:220ca3a8-7031ad98 Friedman Rm 104 VAV 1-1-02 JCL-NAE24/FCB-01.VMA-011.HTG-O,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008632,"",✓,JCL-NAE24/FCB-01.VMA-011.HTG-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-ffd83f54 Friedman Rm 104 VAV 1-1-02,"","","",@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,✓,✓,✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82482,2018-02-06T00:00:00-08:00 Los_Angeles,ok,"",✓,✓,✓,Number,2020-05-12T14:43:38.361-07:00 Los_Angeles,2018-12-07T09:45:30.412-08:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"","",AO3007730,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-ce30fabe Friedman Rm 104,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE24/FCB-01.VMA-011.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,@p:ubcv:r:2094e280-f218ba9d Friedman HW Main Meter,"","","","","",2020-04-14T16:49:59.239Z UTC
@p:ubcv:r:220b975d-b9324448 Friedman Rm 150 VAV 3-1-02 JCL-NAE24/FCB-01.VMA-018.SA-F,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009004,"",✓,JCL-NAE24/FCB-01.VMA-018.SA-F,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-2861a68a Friedman Rm 150 VAV 3-1-02,"","",✓,@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82509,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.364-07:00 Los_Angeles,2019-04-11T16:04:14.016-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow,"","",AV3007803,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-4aae8b65 Friedman Rm 150,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE24/FCB-01.VMA-018.SA-F.Trend1,Los_Angeles,L/s,"","","","","","","",5252.AHU-03.VAV-1-02.SA-F,"","",2020-04-09T19:02:03.777Z UTC
@p:ubcv:r:20cd9d0c-cd03ed74 Friedman AHU-03 JCL-NAE24/FCB-01.FEC-008.RA-CO2,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008406,"",✓,JCL-NAE24/FCB-01.FEC-008.RA-CO2,"","",✓,"",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:20952535-364d7905 Friedman AHU-03,"","","",@p:ubcv:r:2203b248-8734d49f Friedman Air Systems,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",105015,2017-06-08T23:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.37-07:00 Los_Angeles,2018-12-07T09:45:32.195-08:00 Los_Angeles,"","","","","","","",Return Air Co2,"","",AI3007655,"","","","","","","",✓,"","","","","","","",✓,"","","","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-df02d527 .+(\.|-| )RA-CO2,"","",JCL-NAE24/FCB-01.FEC-008.RA-CO2.Trend1,Los_Angeles,ppm,"","","","","","","",5252.AHU-03.RA-CO2,"","",2020-04-09T19:02:03.778Z UTC
@p:ubcv:r:2549f11f-294f5375 Friedman Unsorted Points JCL-NAE24/FCB-01.VMA-029.ZN-T,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010024,"",✓,JCL-NAE24/FCB-01.VMA-029.ZN-T,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",27964,2019-10-28T03:40:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.374-07:00 Los_Angeles,"","","","","","","","",Zone Temp,"","",AI3008012,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE24/FCB-01.VMA-029.ZN-T.Trend1,Los_Angeles,°C,"","","","","","","",5252.AHU-03.VAV-2-01.ZN-T,✓,"",2020-04-09T19:02:03.78Z UTC
@p:ubcv:r:220b975e-860e4261 Friedman Rm 233 VAV 3-2-01 JCL-NAE24/FCB-01.VMA-029.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010028,"",✓,JCL-NAE24/FCB-01.VMA-029.SAFLOW-SP,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-159f4ef7 Friedman Rm 233 VAV 3-2-01,"","",✓,@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82506,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.372-07:00 Los_Angeles,2019-04-11T16:04:14.079-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow Sp,"","",AV3008015,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-de8fe334 Friedman Rm 233,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE24/FCB-01.VMA-029.SAFLOW-SP.Trend1,Los_Angeles,L/s,"","","","","","","",5252.AHU-03.VAV-2-01.SAFLOW-SP,"","",2020-04-09T19:02:03.779Z UTC
@p:ubcv:r:20c8417f-72ddacab Friedman AHU-01 JCL-NAE24/FCB-01.FEC-006.RH-O,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008238,"",✓,JCL-NAE24/FCB-01.FEC-006.RH-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2093d548-c4f0a4cf Friedman AHU-01,"","","",@p:ubcv:r:2203b248-8734d49f Friedman Air Systems,✓,✓,✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",105333,2017-06-04T21:30:00-07:00 Los_Angeles,ok,"",✓,✓,✓,Number,2020-05-12T14:43:38.377-07:00 Los_Angeles,2018-12-07T09:45:30.537-08:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"","",AO3007617,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-e0e662f6 .+(\.|-| )RH-O,"","",JCL-NAE24/FCB-01.FEC-006.RH-O.Trend1,Los_Angeles,%,"",✓,"",✓,@p:ubcv:r:2094e280-f218ba9d Friedman HW Main Meter,"","","","","",2020-04-14T16:50:02.479Z UTC
@p:ubcv:r:20cd9cbe-5ed0ddd4 Friedman AHU-03 JCL-NAE24/FCB-01.FEC-008.DA-T,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008401,"",✓,JCL-NAE24/FCB-01.FEC-008.DA-T,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:20952535-364d7905 Friedman AHU-03,"","","",@p:ubcv:r:2203b248-8734d49f Friedman Air Systems,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",105031,2017-06-08T23:00:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.379-07:00 Los_Angeles,2018-12-07T09:45:32.196-08:00 Los_Angeles,"","","","","","","",Discharge Air Temp,"","",AI3007651,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE24/FCB-01.FEC-008.DA-T.Trend1,Los_Angeles,°C,"","","","","","","",5252.AHU-03.DA-T,"","",2020-04-09T19:02:03.782Z UTC
@p:ubcv:r:220b975e-435ed50f Friedman Rm 244 VAV 3-2-04 JCL-NAE24/FCB-01.VMA-028.SA-F,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010155,"",✓,JCL-NAE24/FCB-01.VMA-028.SA-F,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-8523127e Friedman Rm 244 VAV 3-2-04,"","",✓,@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",82528,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.381-07:00 Los_Angeles,2019-04-11T16:04:13.861-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow,"","",AV3008034,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-61673a51 Friedman Rm 244,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE24/FCB-01.VMA-028.SA-F.Trend1,Los_Angeles,L/s,"","","","","","","",5252.AHU-03.VAV-2-04.SA-F,"","",2020-04-09T19:02:03.783Z UTC
