id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,submeterAdd,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:25fab8bd-187e2a16 H.R. Macmillan HW Submeters HW Submeter 2 Water Delta Temp Copy,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:24883e07-a41aca10 H.R. Macmillan HW Submeters HW Submeter 2,"",@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,"","","",deltaTemp,"","","","","","",Number,"",Water Delta Temp Copy,"","","",✓,"","","","",@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-03-10T20:45:16.625Z UTC
@p:ubcv:r:21dffdad-62cf9010 H.R. Macmillan HW Submeters HW Submeter 1 Flow,@p:ubcv:r:21cad17e-1a36ed63 MCML DES Meter 1,AI4,✓,@p:ubcv:r:21cad17e-1a36ed63 MCML DES Meter 1,✓,m³/h => L/s,ok,0.1333333303531011L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:24883dce-e937f751 H.R. Macmillan HW Submeters HW Submeter 1,✓,@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,0.25L/s,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,479036,2018-01-03T17:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","","",Los_Angeles,L/s,✓,"",✓,2020-02-03T20:00:20.164Z UTC
@p:ubcv:r:21e037e3-bf5db161 H.R. Macmillan HW Submeters HW Submeter 2 Entering Water Temp,@p:ubcv:r:21cad1bb-5558017f MCML DES Meter 2,AI9,✓,@p:ubcv:r:21cad1bb-5558017f MCML DES Meter 2,✓,"",ok,81.73999786376953°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:24883e07-a41aca10 H.R. Macmillan HW Submeters HW Submeter 2,"",@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,0.5°C,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,156966,2018-01-03T17:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-02-03T20:00:15.987Z UTC
@p:ubcv:r:21e037e3-8b6b3f10 H.R. Macmillan HW Submeters HW Submeter 2 Flow,@p:ubcv:r:21cad1bb-5558017f MCML DES Meter 2,AI4,✓,@p:ubcv:r:21cad1bb-5558017f MCML DES Meter 2,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:24883e07-a41aca10 H.R. Macmillan HW Submeters HW Submeter 2,✓,@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,0.25L/s,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,124535,2018-01-03T17:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","","",Los_Angeles,L/s,✓,"",✓,2020-02-03T20:00:08.224Z UTC
@p:ubcv:r:24883b28-2a74c846 H.R. Macmillan HW Main Meter Energy,"","","","","","","","","","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a64c7b-f5c0e195 H.R. Macmillan HW Main Meter,"",@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,"","","",virtualMeter,consumption,"","","",✓,✓,Number,"",Energy,"","","",✓,"","","",✓,@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","@p:ubcv:r:20a64c7b-ea982525, @p:ubcv:r:248838c1-25ad59f9","",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:36.13Z UTC
@p:ubcv:r:248838c1-e8f7b615 H.R. Macmillan HW Submeters HW Submeter 2 Power,@p:ubcv:r:21cad1bb-5558017f MCML DES Meter 2,AI5,✓,@p:ubcv:r:21cad1bb-5558017f MCML DES Meter 2,✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:24883e07-a41aca10 H.R. Macmillan HW Submeters HW Submeter 2,"",@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,5kW,15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",cov,126971,2019-06-03T13:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,✓,✓,"",✓,@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.814Z UTC
@p:ubcv:r:263b76ca-c802bd66 H.R. Macmillan Elec Main Meter Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,5905300.5kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a64c7b-e0b1249c H.R. Macmillan Elec Main Meter,"",@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,319752,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_MacMillan_386.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,50,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.396Z UTC
@p:ubcv:r:21dffdad-1ac84e8a H.R. Macmillan HW Submeters HW Submeter 1 Leaving Water Temp,@p:ubcv:r:21cad17e-1a36ed63 MCML DES Meter 1,AI10,✓,@p:ubcv:r:21cad17e-1a36ed63 MCML DES Meter 1,✓,"",ok,49.40999984741211°C,"","",$equipRef $navName,"","","",@p:ubcv:r:24883dce-e937f751 H.R. Macmillan HW Submeters HW Submeter 1,"",@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,0.5°C,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,292050,2018-01-03T17:00:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-02-03T20:00:13.519Z UTC
@p:ubcv:r:21e037e3-5fa7993d H.R. Macmillan HW Submeters HW Submeter 2 Leaving Water Temp,@p:ubcv:r:21cad1bb-5558017f MCML DES Meter 2,AI10,✓,@p:ubcv:r:21cad1bb-5558017f MCML DES Meter 2,✓,"",ok,47.029998779296875°C,"","",$equipRef $navName,"","","",@p:ubcv:r:24883e07-a41aca10 H.R. Macmillan HW Submeters HW Submeter 2,"",@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,0.5°C,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,131887,2018-01-03T17:00:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-02-03T20:00:16.68Z UTC
@p:ubcv:r:2388a048-653d993f H.R. Macmillan HW Main Meter Water Delta Temp,"","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a64c7b-f5c0e195 H.R. Macmillan HW Main Meter,"",@p:ubcv:r:21697fca-ae20a9dc H.R. Macmillan Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","",✓,"","","","",@p:ubcv:r:20a64c7b-7e795fe5 H.R. Macmillan,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:36.131Z UTC
