id,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curErr,curStatus,curVal,delta,deltaTempPoint,disMacro,disabled,elec,energy,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,occupancy,point,pointType,power,quantityID,reliability,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,temp,tlName,toTag,tz,unit,unknown,utilityPoint,volume,water,wifi,wifiId,zachName,mod
@p:ubcv:r:263d7c6b-7b01e352 Hebb Unsorted Points 6560_METER3A_PWR_MTR-PHASE_C_VOLTAGE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1003,"","",6560_METER3A_PWR_MTR-PHASE_C_VOLTAGE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:56-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:47.13-07:00 Los_Angeles,"",6560_METER3A_PWR_MTR-PHASE_C_VOLTAGE,✓,AV2301,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3A_PWR_MTR-PHASE_C_VOLTAGE_POLL_TL,"",Los_Angeles,V,✓,"","","","","","",2020-04-30T12:14:30.388Z UTC
@p:ubcv:r:263d7c6a-a3d378c9 Hebb Unsorted Points 6560_PHW_P07-O,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL109,"","",6560_PHW_P07-O,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.324-07:00 Los_Angeles,"",6560_PHW_P07-O,✓,AO1702,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PHW_P07-O_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.389Z UTC
@p:ubcv:r:263d7c6b-22075510 Hebb Unsorted Points 6560_METER3E_PWR_MTR-PHASE_A_REACTIVE_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1102,"","",6560_METER3E_PWR_MTR-PHASE_A_REACTIVE_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.343-07:00 Los_Angeles,"",6560_METER3E_PWR_MTR-PHASE_A_REACTIVE_POWER,✓,AV2588,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3E_PWR_MTR-PHASE_A_REACTIVE_POWER_POLL_TL,"",Los_Angeles,VAR,✓,"","","","","","",2020-04-30T12:14:30.39Z UTC
@p:ubcv:r:263d7c69-9206f42f Hebb Unsorted Points 6560_PHW_P08-FB,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL17,"","",6560_PHW_P08-FB,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:45-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:38.08-07:00 Los_Angeles,"",6560_PHW_P08-FB,✓,AI1503,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PHW_P08-FB_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.391Z UTC
@p:ubcv:r:263d7c6c-7a1da11f Hebb Unsorted Points 6560_WWCH_REJV_CMD_TARGET,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL268,"","",6560_WWCH_REJV_CMD_TARGET,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:52-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:40.464-07:00 Los_Angeles,"",6560_WWCH_REJV_CMD_TARGET,✓,AV162,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_WWCH_REJV_CMD_TARGET_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.392Z UTC
@p:ubcv:r:263d7c6c-7afdda3d Hebb Unsorted Points 6560_PCHW_P03-EN,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL172,"","",6560_PCHW_P03-EN,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T10:31:33-07:00 Los_Angeles,"","","",87,2020-04-27T10:13:09-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:40:32.852-07:00 Los_Angeles,"",6560_PCHW_P03-EN,✓,BO1104,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PCHW_P03-EN_COV_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.393Z UTC
@p:ubcv:r:263d7c6b-d741b2e8 Hebb Unsorted Points 6560_METER2G_PWR_MTR-PHASE_A_CURRENT,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL798,"","",6560_METER2G_PWR_MTR-PHASE_A_CURRENT,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:32:00-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:56.427-07:00 Los_Angeles,"",6560_METER2G_PWR_MTR-PHASE_A_CURRENT,✓,AV2162,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2G_PWR_MTR-PHASE_A_CURRENT_POLL_TL,"",Los_Angeles,A,✓,"","","","","","",2020-04-30T12:14:30.394Z UTC
@p:ubcv:r:263d7c6b-4b1b7e6b Hebb Unsorted Points 6560_METER2F_PWR_MTR-PHASE_B_POWER_FACTOR,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL788,"","",6560_METER2F_PWR_MTR-PHASE_B_POWER_FACTOR,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:45-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:39.278-07:00 Los_Angeles,"",6560_METER2F_PWR_MTR-PHASE_B_POWER_FACTOR,✓,AV2105,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2F_PWR_MTR-PHASE_B_POWER_FACTOR_POLL_TL,"",Los_Angeles,pf,✓,"","","","","","",2020-04-30T12:14:30.395Z UTC
@p:ubcv:r:263d7c6a-98c4779b Hebb Unsorted Points 6560_SHW_BYPV01-O,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL112,"","",6560_SHW_BYPV01-O,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:07-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:58.251-07:00 Los_Angeles,"",6560_SHW_BYPV01-O,✓,AO2101,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SHW_BYPV01-O_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.396Z UTC
@p:ubcv:r:263d7c6a-23bf5dce Hebb Unsorted Points 6560_METER2A_PWR_MTR-PHASE_B_CURRENT,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL661,"","",6560_METER2A_PWR_MTR-PHASE_B_CURRENT,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:58-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:49.355-07:00 Los_Angeles,"",6560_METER2A_PWR_MTR-PHASE_B_CURRENT,✓,AV1743,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2A_PWR_MTR-PHASE_B_CURRENT_POLL_TL,"",Los_Angeles,A,✓,"","","","","","",2020-04-30T12:14:30.397Z UTC
