id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:21dffdad-25b2c1b8 Hennings HW Main Meter Flow,@p:ubcv:r:21cace3e-ab615db0 HENN DES Meter,AI4,"",✓,"",@p:ubcv:r:21cace3e-ab615db0 HENN DES Meter,"",✓,L/h => L/s,ok,0.16999999999999998L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:20a64e4a-b0367524 Hennings HW Main Meter,✓,@p:ubcv:r:21697fca-dd4d620e Hennings Utilities,✓,0.25L/s,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",consumption,153750,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","","",✓,"","","","",✓,@p:ubcv:r:20a64e4a-59641631 Hennings,"","","","",Los_Angeles,L/s,✓,"",✓,"","",2020-04-28T00:03:35.162Z UTC
@p:ubcv:r:263b76a5-e928a402 Hennings Elec Main Meter Energy,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,611913.125kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a64e4a-831d6501 Hennings Elec Main Meter,"",@p:ubcv:r:21697fca-dd4d620e Hennings Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,319717,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Hennings_652.Elec_Energy,✓,✓,"","",10393,"",✓,@p:ubcv:r:20a64e4a-59641631 Hennings,89,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:55.156Z UTC
@p:ubcv:r:24367d07-0b44db37 Hennings Reliability,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",BV33,✓,"","","",✓,"","",true,"","",$siteRef $navName,"","","","","","",✓,"","",2020-05-12T14:52:28-07:00 Los_Angeles,"","",64589,2019-09-05T13:07:27-07:00 Los_Angeles,"","","",Bool,"",Reliability,"","","","",✓,"","","",✓,"",@p:ubcv:r:20a64e4a-59641631 Hennings,"","","","",Los_Angeles,"","","","",✓,"",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:242d1ab2-8ebaab09 Hennings Rm RTU2-202 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV388,✓,652.FLR1.RTU2-202,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:242d1ab2-8f5b2a0e Hennings Wifi,✓,"","",2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,92081,2019-03-26T10:20:10-07:00 Los_Angeles,"","","",Number,"",Rm RTU2-202 Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a64e4a-59641631 Hennings,"","","","",Los_Angeles,"","","","",✓,606,2020-02-26T18:09:23.557Z UTC
@p:ubcv:r:263b76a4-38a3f740 Hennings Water Main Meter Consumption,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,186106.21875m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a64e4a-54ee84ae Hennings Water Main Meter,"",@p:ubcv:r:21697fca-dd4d620e Hennings Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,319717,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Hennings_652.Water_Volume,✓,✓,"","",10394,"",✓,@p:ubcv:r:20a64e4a-59641631 Hennings,89,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:55.16Z UTC
@p:ubcv:r:21dffdad-d961fb6a Hennings HW Main Meter Leaving Water Temp,@p:ubcv:r:21cace3e-ab615db0 HENN DES Meter,AI10,"",✓,"",@p:ubcv:r:21cace3e-ab615db0 HENN DES Meter,"",✓,"",ok,59.369998931884766°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a64e4a-b0367524 Hennings HW Main Meter,"",@p:ubcv:r:21697fca-dd4d620e Hennings Utilities,✓,0.5°C,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",consumption,522058,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:20a64e4a-59641631 Hennings,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.163Z UTC
@p:ubcv:r:263b76a5-3042d153 Hennings Elec Main Meter Power,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,97.13225555419922kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:20a64e4a-831d6501 Hennings Elec Main Meter,"",@p:ubcv:r:21697fca-dd4d620e Hennings Utilities,✓,5kW,15min,2020-05-12T14:52:04-07:00 Los_Angeles,"","",397460,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Hennings_652.Elec_Power,✓,✓,"",✓,116,"",✓,@p:ubcv:r:20a64e4a-59641631 Hennings,89,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.818Z UTC
@p:ubcv:r:242d1ab2-a9090252 Hennings Rm 200 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV386,✓,652.FLR1.AHU3-200,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:242d1ab2-8f5b2a0e Hennings Wifi,✓,"","",2020-05-12T14:50:08-07:00 Los_Angeles,"",cov,88479,2019-03-26T10:20:10-07:00 Los_Angeles,"","","",Number,"",Rm 200 Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a64e4a-59641631 Hennings,"","","","",Los_Angeles,"","","","",✓,605,2020-02-26T18:09:23.558Z UTC
@p:ubcv:r:2388a048-590fa043 Hennings HW Main Meter Water Delta Temp,"","","","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a64e4a-b0367524 Hennings HW Main Meter,"",@p:ubcv:r:21697fca-dd4d620e Hennings Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","",✓,"","","","","",@p:ubcv:r:20a64e4a-59641631 Hennings,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.164Z UTC
@p:ubcv:r:20a64e4a-6b4b4939 Hennings HW Main Meter Power,@p:ubcv:r:21cace3e-ab615db0 HENN DES Meter,AI5,"",✓,"",@p:ubcv:r:21cace3e-ab615db0 HENN DES Meter,"",✓,"",ok,16.5kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a64e4a-b0367524 Hennings HW Main Meter,"",@p:ubcv:r:21697fca-dd4d620e Hennings Utilities,✓,5kW,15min,2020-05-12T14:45:00-07:00 Los_Angeles,"","",455830,2016-05-05T15:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","",✓,"",✓,"","",✓,@p:ubcv:r:20a64e4a-59641631 Hennings,"","","","",Los_Angeles,kW,✓,"",✓,"","",2020-05-12T08:00:09.819Z UTC
