id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curErr,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,primaryLoop,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,submeterAdd,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:21fd2a4d-92712484 Henry Angus HW Submeters Base Building HW Submeter Energy,@p:ubcv:r:21cab518-bb6c615d Angus DES Meter,AI1,"",✓,"",@p:ubcv:r:21cab518-bb6c615d Angus DES Meter,"",✓,MWh => kWh,"",ok,3296790.0390625kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:21fd2fdf-cd85d417 Henry Angus HW Submeters Base Building HW Submeter,"",@p:ubcv:r:21697fca-e55c4512 Henry Angus Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"","",146213,2016-02-24T10:45:00-08:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","",✓,✓,"",✓,10364,"",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,77,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,"","",✓,"","",2020-03-10T20:40:11.676Z UTC
@p:ubcv:r:21fd324f-f96e2694 Henry Angus HW Main Meter Power,"","","","","","","","","","","","","","",$equipRef $navName,"","","",@p:ubcv:r:209cd503-06627c95 Henry Angus HW Main Meter,"",@p:ubcv:r:21697fca-e55c4512 Henry Angus Utilities,✓,"","","",virtualMeter,"","","","","",✓,Number,"",Power,"","","","",✓,"",✓,"","","",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,"","","","@p:ubcv:r:21fd3163-173d50cf, @p:ubcv:r:21fd30ae-669195f8","",Los_Angeles,kW,✓,"",✓,"","",2020-05-06T19:21:27.261Z UTC
@p:ubcv:r:25b89dee-42d2a687 Henry Angus Tower Flr 5 Wifi Count,"","","","",023.FLR5.Tower,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","","",6,"","",$siteRef $navName,"","","","","",@p:ubcv:r:25b89dec-0c7581c1 Wifi,✓,"","",2020-05-12T14:50:09-07:00 Los_Angeles,"",cov,24945,2020-01-20T09:25:18-08:00 Los_Angeles,"","","",Number,"",Tower Flr 5 Wifi Count,✓,"","","",✓,"","","","","",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,"","","","","",Los_Angeles,"","","","",✓,788,2020-02-26T18:09:16.16Z UTC
@p:ubcv:r:21dffdad-24a926ed Henry Angus HW Submeters Base Building HW Submeter Flow,@p:ubcv:r:21cab518-bb6c615d Angus DES Meter,AI4,"",✓,"",@p:ubcv:r:21cab518-bb6c615d Angus DES Meter,"",✓,m³/h => L/s,"",ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:21fd2fdf-cd85d417 Henry Angus HW Submeters Base Building HW Submeter,✓,@p:ubcv:r:21697fca-e55c4512 Henry Angus Utilities,✓,0.25L/s,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,306657,2018-01-25T16:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","","",✓,"","","","","",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,"","","","","",Los_Angeles,L/s,"","",✓,"","",2020-03-10T20:40:11.676Z UTC
@p:ubcv:r:263b7655-cbfc9095 Henry Angus Water Main Meter Consumption,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"","",ok,80068.203125m³,"","",$equipRef $navName,"","","",@p:ubcv:r:209cd503-a94ca1fa Henry Angus Water Main Meter,"",@p:ubcv:r:21697fca-e55c4512 Henry Angus Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,319752,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Angus_023.Water_Volume,✓,✓,"","","",10394,"",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,77,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:54.815Z UTC
@p:ubcv:r:21fd3163-173d50cf Henry Angus HW Submeters Addition Submeter Power,@p:ubcv:r:21c724d9-82222061 Angus Addition DES Meter,AI5,"",✓,"",@p:ubcv:r:21c724d9-82222061 Angus Addition DES Meter,"",✓,"","",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:21fd3005-67a1568f Henry Angus HW Submeters Addition Submeter,"",@p:ubcv:r:21697fca-e55c4512 Henry Angus Utilities,✓,5kW,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,242939,2018-01-25T16:30:00-08:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","",✓,"",✓,✓,"","",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,"","","","","",Los_Angeles,kW,"","",✓,"","",2020-05-12T08:00:09.82Z UTC
@p:ubcv:r:25b89def-cd49362b Henry Angus Tower Flr 4 Wifi Count,"","","","",023.FLR4.Tower,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:25b89dec-0c7581c1 Wifi,✓,"","",2020-05-12T14:50:09-07:00 Los_Angeles,"",cov,23983,2020-01-20T09:25:19-08:00 Los_Angeles,"","","",Number,"",Tower Flr 4 Wifi Count,✓,"","","",✓,"","","","","",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,"","","","","",Los_Angeles,"","","","",✓,787,2020-02-26T18:09:16.265Z UTC
@p:ubcv:r:25b89ded-b826b9d0 Henry Angus Tower Flr 7 Wifi Count,"","","","",023.FLR7.Tower,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","","",8,"","",$siteRef $navName,"","","","","",@p:ubcv:r:25b89dec-0c7581c1 Wifi,✓,"","",2020-05-12T14:50:09-07:00 Los_Angeles,"",cov,23918,2020-01-20T09:25:18-08:00 Los_Angeles,"","","",Number,"",Tower Flr 7 Wifi Count,✓,"","","",✓,"","","","","",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,"","","","","",Los_Angeles,"","","","",✓,790,2020-02-26T18:09:15.771Z UTC
@p:ubcv:r:237f6071-cbce5147 Henry Angus HW Main Meter Flow,"","","","","","","","","","","","","","",$equipRef $navName,"","","",@p:ubcv:r:209cd503-06627c95 Henry Angus HW Main Meter,✓,@p:ubcv:r:21697fca-e55c4512 Henry Angus Utilities,✓,"","","",virtualMeter,consumption,"","","","",✓,Number,"",Flow,"","","","",✓,"","","","","",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,"","","","@p:ubcv:r:21fd2ae5-e5eba9b4, @p:ubcv:r:21dffdad-24a926ed","",Los_Angeles,L/s,✓,"",✓,"","",2020-04-28T00:03:35.338Z UTC
@p:ubcv:r:263b7656-9cedf45a Henry Angus Elec Main Meter Power,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"","",ok,328.6895751953125kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:209cd503-05b8e77b Henry Angus Elec Main Meter,"",@p:ubcv:r:21697fca-e55c4512 Henry Angus Utilities,✓,14.930855662713002kW,15min,2020-05-12T14:52:59-07:00 Los_Angeles,"","",424782,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Angus_023.Elec_Power,✓,✓,"",✓,"",116,"",✓,@p:ubcv:r:209cd503-2cba29a3 Henry Angus,77,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.822Z UTC
