id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:23ac528e-c647c7bb I.K. Barber AH-4 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV303,✓,516.FLR2.AH4,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$equipRef $navName,"","","",@p:ubcv:r:23ef3413-433c1af1 I.K. Barber AH-4,"",@p:ubcv:r:23ac414a-1890b6df I.K. Barber Wifi,✓,"","",2020-05-12T14:50:10-07:00 Los_Angeles,"",cov,113468,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","","",Los_Angeles,"","","","",✓,695,2020-02-26T18:09:19.871Z UTC
@p:ubcv:r:21dffdad-c0db5980 I.K. Barber HW Main Meter Leaving Water Temp,@p:ubcv:r:21cacebf-c33ce7e3 IKB DES Meter,AI10,"",✓,"",@p:ubcv:r:21cacebf-c33ce7e3 IKB DES Meter,"",✓,"",ok,39.97999954223633°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a650b7-a234e2bc I.K. Barber HW Main Meter,"",@p:ubcv:r:21697fca-ed3e97a5 I.K. Barber Utilities,✓,0.5°C,10min,2020-05-12T14:51:00-07:00 Los_Angeles,"",consumption,214762,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.685Z UTC
@p:ubcv:r:23ac528e-dc3d6e78 I.K. Barber AH-2 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV301,✓,516.FLR2.AH2,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$equipRef $navName,"","","",@p:ubcv:r:23ef3413-c5c4619c I.K. Barber AH-2,"",@p:ubcv:r:23ac414a-1890b6df I.K. Barber Wifi,✓,"","",2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,114954,2018-12-18T17:05:04-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","","",Los_Angeles,"","","","",✓,694,2020-02-26T18:09:19.901Z UTC
@p:ubcv:r:23ac528e-78ad0915 I.K. Barber AH-4 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV305,✓,516.FLR4.AH4,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",8,"","",$equipRef $navName,"","","",@p:ubcv:r:23ef3413-433c1af1 I.K. Barber AH-4,"",@p:ubcv:r:23ac414a-1890b6df I.K. Barber Wifi,✓,"","",2020-05-12T14:50:10-07:00 Los_Angeles,"",cov,111610,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","","",Los_Angeles,"","","","",✓,753,2020-02-26T18:09:19.528Z UTC
@p:ubcv:r:23ac528e-8aff9bb9 I.K. Barber AH-7 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV310,✓,516.FLR3.AH7,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",5,"","",$equipRef $navName,"","","",@p:ubcv:r:23ef342a-779062bb I.K. Barber AH-7,"",@p:ubcv:r:23ac414a-1890b6df I.K. Barber Wifi,✓,"","",2020-05-12T14:50:10-07:00 Los_Angeles,"",cov,110107,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","","",Los_Angeles,"","","","",✓,750,2020-02-26T18:09:19.65Z UTC
@p:ubcv:r:24367d07-12c08061 I.K. Barber Reliability,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",BV8,✓,"","","",✓,"","",true,"","",$siteRef $navName,"","","","","","",✓,"","",2020-05-12T14:52:29-07:00 Los_Angeles,"","",102441,2019-04-03T09:54:58-07:00 Los_Angeles,"","","",Bool,"",Reliability,"","","","",✓,"","","",✓,"",@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","","",Los_Angeles,"","","","",✓,"",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:263b76a7-59d32b18 I.K. Barber Elec Main Meter Energy,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,8144126kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a650b7-bb46dc27 I.K. Barber Elec Main Meter,"",@p:ubcv:r:21697fca-ed3e97a5 I.K. Barber Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,319752,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_IKBLC_516.Elec_Energy,✓,✓,"","",10393,"",✓,@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,158,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:55.171Z UTC
@p:ubcv:r:23ac528e-1908a7c3 I.K. Barber AH-7 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV311,✓,516.FLR4.AH7,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$equipRef $navName,"","","",@p:ubcv:r:23ef342a-779062bb I.K. Barber AH-7,"",@p:ubcv:r:23ac414a-1890b6df I.K. Barber Wifi,✓,"","",2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,112484,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","","",Los_Angeles,"","","","",✓,752,2020-02-26T18:09:19.545Z UTC
@p:ubcv:r:23ac528e-78ac1f84 I.K. Barber AH-1 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV298,✓,516.FLR3.AH1,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$equipRef $navName,"","","",@p:ubcv:r:23ef340c-c85244fe I.K. Barber AH-1,"",@p:ubcv:r:23ac414a-1890b6df I.K. Barber Wifi,✓,"","",2020-05-12T14:50:00-07:00 Los_Angeles,"",cov,113652,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","","",Los_Angeles,"","","","",✓,748,2020-02-26T18:09:19.82Z UTC
@p:ubcv:r:2388a048-1d298560 I.K. Barber HW Main Meter Water Delta Temp,"","","","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a650b7-a234e2bc I.K. Barber HW Main Meter,"",@p:ubcv:r:21697fca-ed3e97a5 I.K. Barber Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","",✓,"","","","","",@p:ubcv:r:20a650b7-3b908ee9 I.K. Barber,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.686Z UTC
